sen_str,swapped_sen_str,leaf_rule
خود سپریم کورٹ نے کہا ہے کہ واقعی جو دعوے کئے جا رہے ہےں وہ درست ہےں تو پھر خاطرخواہ کوٹہ غریب عوام تک کیوں فراہم نہیں کیا جا رہا ہے تاکہ ان کی بھوک اور ملاوٹ والی غذا کے مسئلہ کا کوئی حل نکل سکے اور غریب عوام کو بھی دو وقت پیٹ بھر روٹی دستیاب ہو سکے ۔,خود سپریم کورٹ نے کہا ہے کہ واقعی جو دعوے کئے جا رہے ہےں وہ درست ہےں تو پھر خاطرخواہ کوٹہ غریب عوام تک کیوں فراہم نہیں کیا جا رہا ہے تاکہ ان کی بھوک اور ملاوٹ والی غذا کے مسئلہ کا کوئی حل نکل سکے اور دو وقت پیٹ بھر روٹی دستیاب ہو غریب عوام کو بھی سکے ۔,[0] -> [2] -> [3]
انہوں نے اضلاع محبوب نگر ، عادل آباد ، میدک اور نلگنڈہ مےں مسلم ملازمین پولیس کے ساتھ اعلیٰ عہدیداروں کے روا رکھے گئے سلوک کی تحقیقات اور ذمہ_داروں کے خلاف سخت کارروائی کا مطالبہ کیا ۔,انہوں نے اضلاع محبوب نگر ، عادل آباد ، میدک اور نلگنڈہ مےں اعلیٰ عہدیداروں کے روا رکھے مسلم ملازمین پولیس کے ساتھ گئے سلوک کی تحقیقات اور ذمہ_داروں کے خلاف سخت کارروائی کا مطالبہ کیا ۔,[0] -> [2] -> [3]
آر ٹی او مسٹر آر پنڈری اردو اور تلگو نمائندوں سے بات_چیت کرتے ہوئے کہا کہ خانگی گاڑیوں مےں ڈیزل کے بجائے گیاس کا تیل استعمال کرنے سے راہ_گیروں کو بےشمار بیماریوں کا سامنا کرنا پڑ رہا ہے ۔,آر ٹی او مسٹر آر پنڈری بات_چیت کرتے اردو اور تلگو نمائندوں سے ہوئے کہا کہ خانگی گاڑیوں مےں ڈیزل کے بجائے گیاس کا تیل استعمال کرنے سے راہ_گیروں کو بےشمار بیماریوں کا سامنا کرنا پڑ رہا ہے ۔,[0] -> [2] -> [3]
تاہم اس وقت تک عوام ، صحت ، اور سرکاری احکامات کو عملآوری دی جائے گی ۔,تاہم اس وقت تک عملآوری دی عوام ، صحت ، اور سرکاری احکامات کو جائے گی ۔,[0] -> [2] -> [3]
پولیس نے جیکب مارٹن کا پتہ بتانے والے کو 25 ہزار روپئے انعام کا اعلان کیا تھا ۔,پولیس نے 25 ہزار روپئے انعام کا اعلان کیا جیکب مارٹن کا پتہ بتانے والے کو تھا ۔,[0] -> [2] -> [3]
ٹرائیل کورٹ نے شکایت_کنندہ کے بیان سے انحراف کے باوجود حالات و واقعاتی شواہد پر اکتفا کرتے ہوئے شائنی آہوجہ کو 7 سال قید بامشقت کی سزا سنائی تھی ۔,ٹرائیل کورٹ نے شکایت_کنندہ کے بیان سے انحراف کے باوجود حالات و واقعاتی شواہد پر اکتفا کرتے ہوئے 7 سال قید بامشقت کی سزا سنائی شائنی آہوجہ کو تھی ۔,[0] -> [2] -> [3]
وہ دہلی مےں انسٹی ٹیوٹ آف آبجیکٹیو اسٹڈیز کی سہ روزہ کانفرنس کے افتتاحی سشن سے خطاب کر رہے تھے ۔,وہ دہلی مےں خطاب کر انسٹی ٹیوٹ آف آبجیکٹیو اسٹڈیز کی سہ روزہ کانفرنس کے افتتاحی سشن سے رہے تھے ۔,[0] -> [2] -> [3]
اب جب کہ سری لنکا کے شمالی علاقوں میں ایک عرصہ سے جاری جنگ کا خاتمہ ہو گیا ۔ صدر راجہ پکسے نے فتح کی اس خوشی میں پارلیمنٹ سے خصوصی خطاب کیا ۔,اب جب کہ سری لنکا کے شمالی علاقوں میں ایک عرصہ سے جاری جنگ کا خاتمہ ہو گیا ۔ صدر راجہ پکسے نے فتح کی اس خوشی میں خصوصی خطاب کیا پارلیمنٹ سے ۔,[0] -> [2] -> [3]
اس کے بعد سے اب تک ضلع بیدر سے کسی مسلمان کو بحیثیت عہدیدار کمیٹی ہذا مےں شامل نہیں کیا گیا جبکہ جناب دھرم سنگھ نے اس مرتبہ ضلع سے 4 مسلمانوں کو پی سی سی مےں نمائندگی دلائی ہے ۔,اس کے بعد سے اب تک ضلع بیدر سے کسی مسلمان کو بحیثیت عہدیدار کمیٹی ہذا مےں شامل نہیں کیا گیا جبکہ جناب دھرم سنگھ نے اس مرتبہ ضلع سے پی سی سی مےں نمائندگی دلائی 4 مسلمانوں کو ہے ۔,[0] -> [2] -> [3]
سونیا گاندھی نے قانون_ساز کونسل کے ارکان کو وزارت میں شامل کرنے کی بھی منظوری نہیں دی تاہم اس سلسلہ میں مسٹر کے روشیا کو مستثنیٰ رکھا گیا ہے ۔,سونیا گاندھی نے وزارت میں شامل کرنے کی بھی منظوری نہیں دی قانون_ساز کونسل کے ارکان کو تاہم اس سلسلہ میں مسٹر کے روشیا کو مستثنیٰ رکھا گیا ہے ۔,[0] -> [2] -> [3]
"پونے کے گھوڑوں کے فارم ہاؤس کے مالک حسن علی خان , جن پر ٹیکس سے بچنے کا الزام ہے , ان کے لیے 1997 مےں اقبال سنگھ نے بحیثیت رکن راجیہ سبھا انھیں جلد پاسپورٹ جاری کرنے کی سفارش کی تھی ۔","پونے کے گھوڑوں کے فارم ہاؤس کے مالک حسن علی خان , جن پر ٹیکس سے بچنے کا الزام ہے , ان کے لیے 1997 مےں اقبال سنگھ نے بحیثیت رکن راجیہ سبھا جلد پاسپورٹ جاری کرنے انھیں کی سفارش کی تھی ۔",[0] -> [2] -> [3]
پرکاش کرت حلقہ اسمبلی بالی کے سی پی ایم امیدوار کے حق مےں انتخابی ریالی سے خطاب کر رہے تھے ۔,پرکاش کرت حلقہ اسمبلی بالی کے سی پی ایم امیدوار کے حق مےں خطاب کر انتخابی ریالی سے رہے تھے ۔,[0] -> [2] -> [3]
جاپان نے ایک سرکاری بحران ٹیم تشکیل دینے کا اعلان کرتے ہوئے کہا کہ جاپان اقوام متحدہ کی سلامتی کونسل سے نیوکلیئر تجربہ پر اجلاس کے انعقاد کا مطالبہ کرے گا ۔,جاپان نے ایک سرکاری بحران ٹیم تشکیل دینے کا اعلان کرتے ہوئے کہا کہ جاپان نیوکلیئر تجربہ پر اجلاس کے انعقاد کا مطالبہ کرے اقوام متحدہ کی سلامتی کونسل سے گا ۔,[0] -> [2] -> [3]
احتجاجی مسلمانوں نے وقف بورڈ اور بلدیہ حیدرآباد کے خلاف نعرے لگاتے ہوئے احتجاج کیا اور ساتھ ہی معاہدہ کو منسوخ کرنے کا وقف بورڈ سے مطالبہ کیا ۔,احتجاجی مسلمانوں نے وقف بورڈ اور بلدیہ حیدرآباد کے خلاف نعرے لگاتے ہوئے احتجاج کیا اور ساتھ ہی معاہدہ کو منسوخ کرنے کا مطالبہ کیا وقف بورڈ سے ۔,[0] -> [2] -> [3]
"بعد ازاں انھوں نے آر اینڈ بی گیسٹ ہاؤز مےں صحافیوں سے بات_چیت کرتے ہوئے بتایا کہ علاقہ تلنگانہ سے تعلق رکھنے والے خواہشمند امیدوار آرمی مےں مخلوعہ مختلف قسم کی جائیدادوں سولجر ٹکنیکل , سولجر نرسنگ اسسٹنٹ , جنرل ڈیوٹی کلرک , اسٹور کیپرس اور سولجر ٹریڈرس بھرتی عمل مےں لائی جا رہی ہے ۔","بعد ازاں انھوں نے آر اینڈ بی گیسٹ ہاؤز مےں بات_چیت کرتے صحافیوں سے ہوئے بتایا کہ علاقہ تلنگانہ سے تعلق رکھنے والے خواہشمند امیدوار آرمی مےں مخلوعہ مختلف قسم کی جائیدادوں سولجر ٹکنیکل , سولجر نرسنگ اسسٹنٹ , جنرل ڈیوٹی کلرک , اسٹور کیپرس اور سولجر ٹریڈرس بھرتی عمل مےں لائی جا رہی ہے ۔",[0] -> [2] -> [3]
اس سلسلے مےں پوچھ_تاچھ کے لئے دو افراد کو حراست مےں لیا گیا ہے ۔,اس سلسلے مےں پوچھ_تاچھ کے لئے حراست مےں لیا دو افراد کو گیا ہے ۔,[0] -> [2] -> [3]
ہم ان تمام افراد سے جنہوں نے نریندر مودی کی ستائش کی تھی اپیل کرتے ہےں کہ وہ اپنا محاسبہ کریں ۔,ہم اپیل کرتے ان تمام افراد سے جنہوں نے نریندر مودی کی ستائش کی تھی ہےں کہ وہ اپنا محاسبہ کریں ۔,[0] -> [2] -> [3]
اس کے علاوہ اس ٹورنمنٹ میں اچھا مظاہرہ کرنے والوں کو بھی انعامات سے نوازا جائے گا ۔,اس کے علاوہ انعامات سے نوازا اس ٹورنمنٹ میں اچھا مظاہرہ کرنے والوں کو بھی جائے گا ۔,[0] -> [2] -> [3]
"دیہی روزگار اسکیم کے تحت دیہاتوں مےں جنگی خطوط پر کاموں کا آغاز کرتے ہوئے مزدوروں کو روزگار فراہم کیا جائے , ضلع کلکٹر سمیتا سبھروال نے کل آر ڈی او آفس جگتیال مےں منعقدہ جگتیال ڈیویژن سطح کے اجلاس کو مخاطب کرتے ہوئے عہدیداروں کو ہدایت دی ۔","دیہی روزگار اسکیم کے تحت دیہاتوں مےں جنگی خطوط پر کاموں کا آغاز کرتے ہوئے مزدوروں کو روزگار فراہم کیا جائے , ضلع کلکٹر سمیتا سبھروال نے کل آر ڈی او آفس جگتیال مےں منعقدہ جگتیال ڈیویژن سطح کے اجلاس کو مخاطب کرتے ہوئے ہدایت دی عہدیداروں کو ۔",[0] -> [2] -> [3]
یچوری نے بتایا کہ انھوں نے کالے دھن کے متعلق کمیشن کو ثبوت پیش کر دیے ہیں ۔,یچوری نے بتایا کہ انھوں نے کالے دھن کے متعلق ثبوت پیش کر کمیشن کو دیے ہیں ۔,[0] -> [2] -> [3]
رسواکن مقاصد کے الزامات مسترد کرتے ہوئے مرلی منوہر جوشی نے کل رپورٹ اسپیکر لوک سبھا کو روانہ کر دی تھی اور ان سے خواہش کی تھی کہ رپورٹ پارلیمنٹ مےں پیش کی جائے ۔,رسواکن مقاصد کے الزامات مسترد کرتے ہوئے مرلی منوہر جوشی نے کل رپورٹ روانہ کر اسپیکر لوک سبھا کو دی تھی اور ان سے خواہش کی تھی کہ رپورٹ پارلیمنٹ مےں پیش کی جائے ۔,[0] -> [2] -> [3]
چیف منسٹر نے سال 2011 کے درمیان تمام ہائی اسکول تک انفارمیشن کمیونیکیشن ٹیکنالوجی کو وسعت دینے کی بھی عہدیداروں کو ہدایت دی ۔,چیف منسٹر نے تمام ہائی اسکول تک ہدایت دی سال 2011 کے درمیان انفارمیشن کمیونیکیشن ٹیکنالوجی کو وسعت دینے کی بھی عہدیداروں کو ۔,[0] -> [2] -> [3]
ہر سرکل میں 20 راشن دکانات کے حساب سے ویلیج مالس کو ترقی دی جائے گی ۔,ہر سرکل میں 20 راشن دکانات کے حساب سے ترقی دی ویلیج مالس کو جائے گی ۔,[0] -> [2] -> [3]
پٹلم اور نظام ساگر کے قومی شاہراہوں پر آر ٹی او مسٹر آر پنڈری نے بڑی کوڑبگل کے جملہ پانچ جیپوں کو پولیس تحویل مےں لیتے ہوئے علحدہ علحدہ کیس رجسٹر کر کے انہیں نوٹسیں جاری کر دی ۔,پٹلم اور نظام ساگر کے قومی شاہراہوں پر آر ٹی او مسٹر آر پنڈری نے بڑی کوڑبگل کے جملہ پانچ جیپوں کو پولیس تحویل مےں لیتے ہوئے علحدہ علحدہ کیس رجسٹر کر کے نوٹسیں جاری کر انہیں دی ۔,[0] -> [2] -> [3]
اور کیڈمیم کے پےنٹ خصوصاً ریلوں کو رنگ و روغن کرنے کے لیے استعمال کیے جاتے ہیں ۔,اور کیڈمیم کے پےنٹ رنگ و روغن کرنے خصوصاً ریلوں کو کے لیے استعمال کیے جاتے ہیں ۔,[0] -> [2] -> [3]
بعد ازاں گرام پنچایت کے عارضی مزدوروں نے اخباری نمائندوں کو تفصیلات بتاتے ہوئے کہا کہ گذشتہ 11 مہینوں سے انہیں اجرت کی ادائیگی نہیں ہوئی ہے ۔,بعد ازاں گرام پنچایت کے عارضی مزدوروں نے اخباری نمائندوں کو تفصیلات بتاتے ہوئے کہا کہ گذشتہ 11 مہینوں سے اجرت کی ادائیگی نہیں ہوئی انہیں ہے ۔,[0] -> [2] -> [3]
انہوں نے مزید کہا کہ کانگریس پارٹی نہ صرف اس کا خیرمقدم و تائید کرےگی بلکہ انہیں ( انا ہزارے ) کو درکار دستاویزات فراہم کرےگی ۔,انہوں نے مزید کہا کہ کانگریس پارٹی نہ صرف اس کا خیرمقدم و تائید کرےگی بلکہ ( انا ہزارے ) کو درکار دستاویزات فراہم کرےگی انہیں ۔,[0] -> [2] -> [3]
مسٹر احمد اللہ نے وزارت میں شمولیت پر صدر کانگریس سونیا گاندھی اور چیف منسٹر راج شیکھر ریڈی سے اظہار تشکر کیا اور کہا کہ جو بھی قلمدان انہیں دیا جائے گا وہ پوری دیانتداری اور محنت و لگن کے ساتھ اس ذمہ_داری کو نبھانے کی کوشش کریں گے ۔,مسٹر احمد اللہ نے وزارت میں شمولیت پر صدر کانگریس سونیا گاندھی اور چیف منسٹر راج شیکھر ریڈی سے اظہار تشکر کیا اور کہا کہ جو بھی قلمدان دیا انہیں جائے گا وہ پوری دیانتداری اور محنت و لگن کے ساتھ اس ذمہ_داری کو نبھانے کی کوشش کریں گے ۔,[0] -> [2] -> [3]
قاہرہ میں واقع الازہر یونیورسٹی کے مفتی اعظم محمد سید طنطوی نے سنٹرل امام حسین کونسل سے دہشت_گردوں کے صدرنشین غضنفر مہدی سے ملاقات کے دوران یہ ریمارکس کیے ۔,قاہرہ میں واقع الازہر یونیورسٹی کے مفتی اعظم محمد سید طنطوی نے سنٹرل امام حسین کونسل سے ملاقات کے دوران یہ ریمارکس کیے دہشت_گردوں کے صدرنشین غضنفر مہدی سے ۔,[0] -> [2] -> [3]
"ڈاکٹر ونئے نے انھیں پارٹی میں جنرل سکریٹری کے ساتھ اقلیتی اُمور کی ذمہ_داری حوالے کرنے پر سربراہ پرجا راجیم چرنجیوی سے اظہار تشکر کرتے ہوئے کہا کہ ان پر جو بھروسہ کیا گیا ہے , وہ اس کو پورا کرنے میں مکمل تعاون کریں گے ۔","ڈاکٹر ونئے نے انھیں پارٹی میں جنرل سکریٹری کے ساتھ اقلیتی اُمور کی ذمہ_داری حوالے کرنے پر اظہار تشکر کرتے سربراہ پرجا راجیم چرنجیوی سے ہوئے کہا کہ ان پر جو بھروسہ کیا گیا ہے , وہ اس کو پورا کرنے میں مکمل تعاون کریں گے ۔",[0] -> [2] -> [3]
"ڈاکٹر ونئے نے انھیں پارٹی میں جنرل سکریٹری کے ساتھ اقلیتی اُمور کی ذمہ_داری حوالے کرنے پر سربراہ پرجا راجیم چرنجیوی سے اظہار تشکر کرتے ہوئے کہا کہ ان پر جو بھروسہ کیا گیا ہے , وہ اس کو پورا کرنے میں مکمل تعاون کریں گے ۔","ڈاکٹر ونئے نے انھیں پارٹی میں جنرل سکریٹری کے ساتھ اقلیتی اُمور کی ذمہ_داری حوالے کرنے پر اظہار تشکر کرتے سربراہ پرجا راجیم چرنجیوی سے ہوئے کہا کہ ان پر جو بھروسہ کیا گیا ہے , وہ اس کو پورا کرنے میں مکمل تعاون کریں گے ۔",[0] -> [2] -> [3]
"جگتیال , مٹ پلی , کورٹلہ میونسپل مےں پینے کے پانی کے لیے کوئی مشکلات نہیں ہے مگر سربراہی کو یقینی بنانے کے لیے عہدیداروں کو ہدایت دی ۔","جگتیال , مٹ پلی , کورٹلہ میونسپل مےں پینے کے پانی کے لیے کوئی مشکلات نہیں ہے مگر سربراہی کو یقینی بنانے کے لیے ہدایت دی عہدیداروں کو ۔",[0] -> [2] -> [3]
ماہرین نے کہا ہے کہ جارحانہ رویہ سے گریز کے لیے خود پر قابو پانے کی ضرورت ہوتی ہے اور خود کو کنٹرول کرنا بہت زیادہ توانائی کے بغیر ممکن نہیں ہوتا جبکہ گلوکوز ہی دماغ کو وہ توانائی فوری طور پر فراہم کرتا ہے جس کی اس وقت بہت زیادہ ضرورت ہوتی ہے ۔,ماہرین نے کہا ہے کہ جارحانہ رویہ سے گریز کے لیے خود پر قابو پانے کی ضرورت ہوتی ہے اور خود کو کنٹرول کرنا بہت زیادہ توانائی کے بغیر ممکن نہیں ہوتا جبکہ گلوکوز ہی وہ توانائی فوری طور پر فراہم کرتا دماغ کو ہے جس کی اس وقت بہت زیادہ ضرورت ہوتی ہے ۔,[0] -> [2] -> [3]
ریاستی چینی امور کے مشیر چانک کو یون نے کہا کہ جن علاقوں کو امداد دی گئی ہے ان میں نوجوانوں کے مسائل کا استحصال ۔ غریب خاندانوں اور واحد ماؤں کی فلاح و بہبود کے لیے امداد ۔ پنجابی زبان کی تعلیم میں مدد ، اسپورٹس کی ترقی اور گردوارہ صاحب کے لیے اراضی مختص کرنا شامل ہیں ۔,ریاستی چینی امور کے مشیر چانک کو یون نے کہا کہ امداد دی جن علاقوں کو گئی ہے ان میں نوجوانوں کے مسائل کا استحصال ۔ غریب خاندانوں اور واحد ماؤں کی فلاح و بہبود کے لیے امداد ۔ پنجابی زبان کی تعلیم میں مدد ، اسپورٹس کی ترقی اور گردوارہ صاحب کے لیے اراضی مختص کرنا شامل ہیں ۔,[0] -> [2] -> [3]
ہسپتال کے اعلیٰ ذرائع نے بتایا کہ انھیں دواخانہ منتقلی کے دوران دیر ہونے کے سبب بچایا نہیں جا سکا جبکہ ان کے جسم پر بہت زیادہ سوجن آ گئی تھی ۔,ہسپتال کے اعلیٰ ذرائع نے بتایا کہ دواخانہ منتقلی کے دوران دیر ہونے کے سبب بچایا انھیں نہیں جا سکا جبکہ ان کے جسم پر بہت زیادہ سوجن آ گئی تھی ۔,[0] -> [2] -> [3]
"حسن اتفاق سے اےک دن باپ بوزخشان اپنی مصروفیت کی وجہ سے کھیتوں کی طرف نہیں جا سکا , بلکہ اپنے بیٹے مایہ کو یہ ذمہ_داری دی کہ وہ کھیتوں کو دیکھ آئے ۔","حسن اتفاق سے اےک دن باپ بوزخشان اپنی مصروفیت کی وجہ سے کھیتوں کی طرف نہیں جا سکا , بلکہ یہ ذمہ_داری دی اپنے بیٹے مایہ کو کہ وہ کھیتوں کو دیکھ آئے ۔",[0] -> [2] -> [3]
انہوں نے اخباری نمائندوں سے کہا کہ ہندوستان کو اس بات کی خوشی ہے کہ وہ اپنی الیکٹرانک ووٹنگ مشینیں مصر کو دے گا کیوںکہ مصر کے پاس اب اتنا وقت نہیں ہے کہ وہ انتخابات کی اعلی سطح پر تیاری کر سکے ۔,انہوں نے کہا اخباری نمائندوں سے کہ ہندوستان کو اس بات کی خوشی ہے کہ وہ اپنی الیکٹرانک ووٹنگ مشینیں مصر کو دے گا کیوںکہ مصر کے پاس اب اتنا وقت نہیں ہے کہ وہ انتخابات کی اعلی سطح پر تیاری کر سکے ۔,[0] -> [2] -> [3]
صدر ٹی آر ایس مسٹر کے چندر شیکھر راوء اس جلسہ سے خصوصی خطاب کریں_گے ۔,صدر ٹی آر ایس مسٹر کے چندر شیکھر راوء خصوصی خطاب کریں_گے اس جلسہ سے ۔,[0] -> [2] -> [3]
مسٹر کرشنا بابو نے کہا کہ کولکتہ سے تعلق رکھنے والے ادارے نے آلودگی کے مسئلہ پر ہاوزنگ کے رول کا بھی انکشاف کیا تھا اور حکومت کو سفارش پیش کی تھی ۔,مسٹر کرشنا بابو نے کہا کہ کولکتہ سے تعلق رکھنے والے ادارے نے آلودگی کے مسئلہ پر ہاوزنگ کے رول کا بھی انکشاف کیا تھا اور سفارش پیش کی حکومت کو تھی ۔,[0] -> [2] -> [3]
پولیس ملازمین نے سیشن جج کی جانب سے پولیس ملازمین کو جاری کیے گئے سمن کے خلاف درخواست کو مسترد کر دیا تھا جبکہ پولیس ملازمین نے سیشن جج کے اس فیصلہ کو ہائی کورٹ میں چیلنج کیا تھا ۔,پولیس ملازمین نے سیشن جج کی جانب سے جاری کیے پولیس ملازمین کو گئے سمن کے خلاف درخواست کو مسترد کر دیا تھا جبکہ پولیس ملازمین نے سیشن جج کے اس فیصلہ کو ہائی کورٹ میں چیلنج کیا تھا ۔,[0] -> [2] -> [3]
مقامی افراد نے شکایت کی کہ گریٹر بلدیہ کو بار بار توجہ دلوائے جانے کے باوجود لاپرواہی کا مظاہرہ کر رہا ہے ۔,مقامی افراد نے شکایت کی کہ بار بار توجہ دلوائے گریٹر بلدیہ کو جانے کے باوجود لاپرواہی کا مظاہرہ کر رہا ہے ۔,[0] -> [2] -> [3]
اور ان سے خودسپرد ہو جانے کے لیے کہا تھا ۔,اور خودسپرد ہو جانے کے لیے کہا ان سے تھا ۔,[0] -> [2] -> [3]
انہوں نے اخباری نمائندوں کے ایک سوال کا جواب دیتے ہوئے کہا کہ مسٹر کے نارائنا سکریٹری سی پی آئی کی جانب سے چندرا بابو نائیڈو کی صدر پی آر پی سے ملاقات کروانے کی بات کرنا کوئی مناسب بات نہیں ہے ۔,انہوں نے اخباری نمائندوں کے ایک سوال کا جواب دیتے ہوئے کہا کہ مسٹر کے نارائنا سکریٹری سی پی آئی کی جانب سے چندرا بابو نائیڈو کی ملاقات کروانے کی بات کرنا صدر پی آر پی سے کوئی مناسب بات نہیں ہے ۔,[0] -> [2] -> [3]
وزارت قانون کے اعلیٰ عہدیدار جن لوک پال بل کا تفصیلی جائزہ لے رہے ہےں اور اس کی اہم خصوصیات سے مرکزی وزرا کو باخبر کریں_گے ۔,وزارت قانون کے اعلیٰ عہدیدار جن لوک پال بل کا تفصیلی جائزہ لے رہے ہےں اور اس کی اہم خصوصیات سے باخبر کریں_گے مرکزی وزرا کو ۔,[0] -> [2] -> [3]
چیف منسٹر نے فینانس ڈپارٹمنٹ کو مڈ ڈے میل اسکیم کے لیے ترجیحی بنیادوں پر فنڈس باقاعدہ جاری کرنے کی ہدایت دی ۔,چیف منسٹر نے مڈ ڈے میل اسکیم کے لیے ترجیحی بنیادوں پر فنڈس باقاعدہ جاری کرنے کی ہدایت دی فینانس ڈپارٹمنٹ کو ۔,[0] -> [2] -> [3]
