sen_str,swapped_sen_str,leaf_rule
Jag har i minnet när jag säger detta att Jacques Maritain en gång karakteriserade nittonhundratalets europeiska antisemitism som ett försök att göra sig kvitt kristendomens moraliska börda .,Jag har i minnet när jag säger detta att Jacques Maritain en gång karakteriserade nittonhundratalets europeiska antisemitism som ett försök att sig göra kvitt kristendomens moraliska börda .,[0] -> [1] -> [2]
"Om ni lovar att bara äta koschermat kommer jag att skicka er femton dollar i veckan så länge ni lever . ""","Om ni lovar att bara äta koschermat kommer jag att er skicka femton dollar i veckan så länge ni lever . """,[0] -> [1] -> [2]
Att hitta bolagets lokaler vållade mig ingen svårighet .,Att hitta bolagets lokaler mig vållade ingen svårighet .,[0] -> [1] -> [2]
"Herr ordförande , mina damer och herrar ! Needle har gjort sig stor möda med utfrågningen i utskottet .","Herr ordförande , mina damer och herrar ! Needle har sig gjort stor möda med utfrågningen i utskottet .",[0] -> [1] -> [2]
Då och då skänkte mig en båt från fastlandet en flyktig kontakt med verkligheten .,Då och då mig skänkte en båt från fastlandet en flyktig kontakt med verkligheten .,[0] -> [1] -> [2]
"Man måste ge dem sitt erkännande , tänkte Harry , då George tog fram en vanlig hårnål ur fickan och började dyrka upp låset .","Man måste dem ge sitt erkännande , tänkte Harry , då George tog fram en vanlig hårnål ur fickan och började dyrka upp låset .",[0] -> [1] -> [2]
Kom och gör James sällskap med en drink ...,Kom och James gör sällskap med en drink ...,[0] -> [1] -> [2]
"Stillman kunde vandra , han kunde vingla omkring som en blind från det ena stället till det andra , men det var ett privilegium som förvägrades Quinn .","Stillman kunde vandra , han kunde vingla omkring som en blind från det ena stället till det andra , men det var ett privilegium som Quinn förvägrades .",[0] -> [1] -> [2]
"Snarare än att lära ut vetenskaplig metod som ett separat moment , till exempel , lär sig eleverna vetenskapligt innehåll genom att tillämpa det .","Snarare än att lära ut vetenskaplig metod som ett separat moment , till exempel , sig lär eleverna vetenskapligt innehåll genom att tillämpa det .",[0] -> [1] -> [2]
"Hans förhoppningar hade förstås aldrig varit särskilt höga : de hade aldrig gett honom en riktig present , och ännu mindre en tårta – men att inte alls låtsas om det .","Hans förhoppningar hade förstås aldrig varit särskilt höga : de hade aldrig honom gett en riktig present , och ännu mindre en tårta – men att inte alls låtsas om det .",[0] -> [1] -> [2]
Detta är historien om en anspråkslös familj som gjorde sig ett namn .,Detta är historien om en anspråkslös familj som sig gjorde ett namn .,[0] -> [1] -> [2]
För nån som är så skicklig i förställningskonsten kan det inte ha varit särskilt svårt att skaffa sig en mörkare hudfärg och klä ut sig till arab .,För nån som är så skicklig i förställningskonsten kan det inte ha varit särskilt svårt att sig skaffa en mörkare hudfärg och klä ut sig till arab .,[0] -> [1] -> [2]
Och vad gör det egentligen oss hundägare om intelligensen är klokhet som kommer genom erfarenhet ?,Och vad oss hundägare gör det egentligen om intelligensen är klokhet som kommer genom erfarenhet ?,[0] -> [1] -> [2]
"( Jfr den nya namnlagen i vårt land , som ger hustrun möjlighet att behålla sitt namn vid giftermål . )","( Jfr den nya namnlagen i vårt land , som hustrun ger möjlighet att behålla sitt namn vid giftermål . )",[0] -> [1] -> [2]
Därför har man ännu inte fått känna av de framtida men som de ger soldaterna .,Därför har man ännu inte fått känna av de framtida men som de soldaterna ger .,[0] -> [1] -> [2]
"Då och då skänker oss historien en mellanperiod av frihet och civilisation , och den gör vi mycket väsen av .","Då och då oss skänker historien en mellanperiod av frihet och civilisation , och den gör vi mycket väsen av .",[0] -> [1] -> [2]
' Grunden för vårt system är mycket enkel : att göra motsatsen mot vad vi själva erfor eller lärde oss som barn . ',' Grunden för vårt system är mycket enkel : att göra motsatsen mot vad vi själva oss erfor eller lärde som barn . ',[0] -> [1] -> [2]
"Många familjer tillämpar en ansvars- och arbetsfördelning som bär drag av en tid då mannen var familjens överhuvud och kvinnan betraktades som beroende och beskyddad ; mannen svarar för försörjningen och ger familjen dess ställning , hustrun står för hushåll och barnomsorger .","Många familjer tillämpar en ansvars- och arbetsfördelning som bär drag av en tid då mannen var familjens överhuvud och kvinnan betraktades som beroende och beskyddad ; mannen svarar för försörjningen och familjen ger dess ställning , hustrun står för hushåll och barnomsorger .",[0] -> [1] -> [2]
Det var efter jag hade slutat kursen som jag fick lära mig livets hårda sida .,Det var efter jag hade slutat kursen som jag fick mig lära livets hårda sida .,[0] -> [1] -> [2]
"Den frågan ställer sig många i dag , sedan Statens hyresråd beslutat föreslå ett slopande av regleringen .","Den frågan sig ställer många i dag , sedan Statens hyresråd beslutat föreslå ett slopande av regleringen .",[0] -> [1] -> [2]
"' Vi har givit henne lika rättigheter , vi har emanciperat henne från det ekonomiska oket och från bördan att fostra barn , vi har emanciperat henne från känslan att ' tillhöra ' sin make , att känna honom som sin försörjare och den som bestämmer ; vi har givit henne ett nytt samhälle , vi bröt bojorna som band hennes händer . '","' Vi har givit henne lika rättigheter , vi har emanciperat henne från det ekonomiska oket och från bördan att fostra barn , vi har emanciperat henne från känslan att ' tillhöra ' sin make , att känna honom som sin försörjare och den som bestämmer ; vi har henne givit ett nytt samhälle , vi bröt bojorna som band hennes händer . '",[0] -> [1] -> [2]
Bray hade en känsla av att han måste uppehålla sig någonstans i närheten ; det var svårt att föreställa sig denna epok utan honom .,Bray hade en känsla av att han måste uppehålla sig någonstans i närheten ; det var svårt att sig föreställa denna epok utan honom .,[0] -> [1] -> [2]
Av någon anledning hade Quinn inte väntat sig det och det gjorde honom plötsligt förvirrad .,Av någon anledning hade Quinn inte sig väntat det och det gjorde honom plötsligt förvirrad .,[0] -> [1] -> [2]
Jag förutser ett problem och ber flygvärdinnan servera mig en koscherlunch .,Jag förutser ett problem och ber flygvärdinnan mig servera en koscherlunch .,[0] -> [1] -> [2]
"Det finns visserligen apparatur på de flesta förband , men antingen hinner inte de överarbetande militärläkarna eller också begriper de sig inte på det tekniska .","Det finns visserligen apparatur på de flesta förband , men antingen hinner inte de överarbetande militärläkarna eller också sig begriper de inte på det tekniska .",[0] -> [1] -> [2]
Vad var det jag sa ... jag blir tvungen att lära mig det hela från början igen .,Vad var det jag sa ... jag blir tvungen att mig lära det hela från början igen .,[0] -> [1] -> [2]
Om det så ska kosta oss ytterligare 50000 fall av blodkräfta per år .,Om det så ska oss kosta ytterligare 50000 fall av blodkräfta per år .,[0] -> [1] -> [2]
"De måste också förstå att genomskåda myten om det ' kvinnokvinnliga ' , så att de i stället för rollen som kvinnovarelser tar på sig den krävande rollen som människa .","De måste också förstå att genomskåda myten om det ' kvinnokvinnliga ' , så att de i stället för rollen som kvinnovarelser sig tar på den krävande rollen som människa .",[0] -> [1] -> [2]
Hon burrade upp fjädrarna och gav honom en blick av djup avsmak .,Hon burrade upp fjädrarna och honom gav en blick av djup avsmak .,[0] -> [1] -> [2]
"Den ger makarna möjlighet till sexuell tillfredsställelse , bättre bärgning och barn , och den ger barnen vård och fostran .","Den ger makarna möjlighet till sexuell tillfredsställelse , bättre bärgning och barn , och den barnen ger vård och fostran .",[0] -> [1] -> [2]
"Att på det viset accepteras med en sådan omedelbar , självklar vänlighet av alla kändes nästan som att tvingas att lära sig ett främmande språk genom att plötsligt hamna mitt uppe bland människor som inte kunde tala något annat :","Att på det viset accepteras med en sådan omedelbar , självklar vänlighet av alla kändes nästan som att tvingas att sig lära ett främmande språk genom att plötsligt hamna mitt uppe bland människor som inte kunde tala något annat :",[0] -> [1] -> [2]
Det är som om någon kommer och tar ifrån mig min portfölj och därefter sätter jag mig ned för att förhandla .,Det är som om någon kommer och mig tar ifrån min portfölj och därefter sätter jag mig ned för att förhandla .,[0] -> [1] -> [2]
"Det var ingenting annat än tjuvnad i samband med våldsdåd , kvalificerat mord i stor skala , och de kastade sig blint in i det – vilket ju passar bra för den som ger sig på själva mörkret .","Det var ingenting annat än tjuvnad i samband med våldsdåd , kvalificerat mord i stor skala , och de kastade sig blint in i det – vilket ju passar bra för den som sig ger på själva mörkret .",[0] -> [1] -> [2]
Tv gav familjen en ny samlingspunkt .,Tv familjen gav en ny samlingspunkt .,[0] -> [1] -> [2]
Utom att vara ett band mellan våra hjärtan under de långa tider vi var skilda åt skänkte det oss förmågan att fördra varandras historier och till och med åsikter .,Utom att vara ett band mellan våra hjärtan under de långa tider vi var skilda åt oss skänkte det förmågan att fördra varandras historier och till och med åsikter .,[0] -> [1] -> [2]
"En vanlig och allvarlig invändning mot denna uppmaning till unga människor att gifta sig är , att den bortser från det orimliga i att människor skall lova varann trohet för hela livet , när de kanske inte alls är beredda till det .","En vanlig och allvarlig invändning mot denna uppmaning till unga människor att gifta sig är , att den bortser från det orimliga i att människor skall varann lova trohet för hela livet , när de kanske inte alls är beredda till det .",[0] -> [1] -> [2]
"Han är en hygglig karl , om dom låter honom hållas , han har lärt sig en hel del , och man har gjort vad man har kunnat ...","Han är en hygglig karl , om dom låter honom hållas , han har sig lärt en hel del , och man har gjort vad man har kunnat ...",[0] -> [1] -> [2]
Emellertid finns det många MLA:er med djupt hållna religiösa trosuppfattningar som motsätter sig all ny lagstiftning .,Emellertid finns det många MLA:er med djupt hållna religiösa trosuppfattningar som sig motsätter all ny lagstiftning .,[0] -> [1] -> [2]
Det är nästan den enda spray som egentligen har någon funktion bland alla hundra spraytillbehör bensinstationerna försöker lura på dig .,Det är nästan den enda spray som egentligen har någon funktion bland alla hundra spraytillbehör bensinstationerna försöker dig lura på .,[0] -> [1] -> [2]
"När han svarade på Neils tilltal använde han frikostigt titeln bwana , vilket en vit man rimligen borde vänta sig om han skulle nedlåta sig till något sådant som att stanna för en svart liftare utefter vägen , och när han hade slagit sig ner i bilen bredvid Bray och sydafrikanen , satt han där bland dessa svarta och vita stadsbor lik en igelkott som rullat ihop sig vid beröring .","När han svarade på Neils tilltal använde han frikostigt titeln bwana , vilket en vit man rimligen borde sig vänta om han skulle nedlåta sig till något sådant som att stanna för en svart liftare utefter vägen , och när han hade slagit sig ner i bilen bredvid Bray och sydafrikanen , satt han där bland dessa svarta och vita stadsbor lik en igelkott som rullat ihop sig vid beröring .",[0] -> [1] -> [2]
"I brevet stod det att han hade beviljats ett stipendium , tack vare det arbetsprov han hade skickat in , med ett finansierat andra år om han därefter ville skaffa sig lärarkompetens .","I brevet stod det att han hade beviljats ett stipendium , tack vare det arbetsprov han hade skickat in , med ett finansierat andra år om han därefter ville sig skaffa lärarkompetens .",[0] -> [1] -> [2]
"Där nere fanns det män som han kände , sysslolösa som han , och de avundades honom hans pengar , och trots att han inte var dum nog att avundas dem deras fattigdom fanns det en bit av honom som ångrade allt han hade gjort .","Där nere fanns det män som han kände , sysslolösa som han , och de honom avundades hans pengar , och trots att han inte var dum nog att avundas dem deras fattigdom fanns det en bit av honom som ångrade allt han hade gjort .",[0] -> [1] -> [2]
De är beredda att ge Sverige en fördelaktig uppgörelse om en tullunion för att slippa Sveriges politiska påverkan som fullvärdig medlem .,De är beredda att Sverige ge en fördelaktig uppgörelse om en tullunion för att slippa Sveriges politiska påverkan som fullvärdig medlem .,[0] -> [1] -> [2]
Medan han öppnade porten som ledde in i trapphallen gav han sig själv en sista förmaning .,Medan han öppnade porten som ledde in i trapphallen sig själv gav han en sista förmaning .,[0] -> [1] -> [2]
Men de existerande måtten är ändå användbara när man vill göra sig en bild av olika folks levnadsnivå .,Men de existerande måtten är ändå användbara när man vill sig göra en bild av olika folks levnadsnivå .,[0] -> [1] -> [2]
Det var faktiskt hustrun som sa det -- var det inte du som lärde dem det där ?,Det var faktiskt hustrun som sa det -- var det inte du som dem lärde det där ?,[0] -> [1] -> [2]
