sen_str,swapped_sen_str,leaf_rule
In december 1838 vertrok een Brits leger met Sjah Sjua uit Firuzpur .,In december 1838 een Brits leger met Sjah Sjua vertrok uit Firuzpur .,[0] -> [1] -> [27] -> [28]
"Ook in "" Kuifje "" , "" Overal "" en "" De Bond "" verschenen zijn tekeningen .","Ook in "" Kuifje "" , "" Overal "" en "" De Bond "" zijn tekeningen verschenen .",[0] -> [1] -> [27] -> [28]
"De hele maand mei besteedde hij aan het uitrusten en klaarmaken van zijn leger , waarvoor hij onder andere 30.000 man onder de wapenen liet brengen waarmee de kracht van zijn leger op 75.000 kwam .","De hele maand mei hij besteedde aan het uitrusten en klaarmaken van zijn leger , waarvoor hij onder andere 30.000 man onder de wapenen liet brengen waarmee de kracht van zijn leger op 75.000 kwam .",[0] -> [1] -> [27] -> [28]
"Na de ineenstorting van het westelijke Romeinse Rijk en de uitputting van de goudmijnen in Europa , ging het Byzantijnse Rijk door met het slaan van opvolgers van de solidus ; de nomisma of bezant .","Na de ineenstorting van het westelijke Romeinse Rijk en de uitputting van de goudmijnen in Europa , het Byzantijnse Rijk ging door met het slaan van opvolgers van de solidus ; de nomisma of bezant .",[0] -> [1] -> [27] -> [28]
"Vanaf 1948 speelde Van der Elst een aanzienlijke rol in de herleving van de Vlaamse Beweging en het Vlaams-nationalisme , waarvan hij als publicist , redenaar en als partijvoorzitter van de Volksunie de inhoud mede bepaalde .","Vanaf 1948 Van der Elst speelde een aanzienlijke rol in de herleving van de Vlaamse Beweging en het Vlaams-nationalisme , waarvan hij als publicist , redenaar en als partijvoorzitter van de Volksunie de inhoud mede bepaalde .",[0] -> [1] -> [27] -> [28]
De laatste jaren gaan de hardnekkige geruchten dat Willy Vandersteen betrokken zou zijn geweest bij de culturele collaboratie .,De laatste jaren de hardnekkige geruchten dat Willy Vandersteen betrokken zou zijn geweest bij de culturele collaboratie gaan .,[0] -> [1] -> [27] -> [28]
Na de speech van Thomas viel er een korte stilte .,Na de speech van Thomas een korte stilte viel er .,[0] -> [1] -> [27] -> [28]
"In navolging van de koersontwikkeling voor die aandelen in Wall Street liep de koers van Kon Olie flo 1,40 op tot flo 142,40 .","In navolging van de koersontwikkeling voor die aandelen in Wall Street de koers van Kon Olie liep flo 1,40 op tot flo 142,40 .",[0] -> [1] -> [27] -> [28]
"In de 9e innings bracht Hans Augustinus nog een kleine wijziging in de stand door op een honkslag van Van den Wilk binnen te sprinten , 5-0 .","In de 9e innings Hans Augustinus bracht nog een kleine wijziging in de stand door op een honkslag van Van den Wilk binnen te sprinten , 5-0 .",[0] -> [1] -> [27] -> [28]
Na de optocht komen schutters en bezoekers terug op het feestterrein .,Na de optocht schutters en bezoekers komen terug op het feestterrein .,[0] -> [1] -> [27] -> [28]
"Achter partijkopstuk Karel Van Miert schaarde zich in het begin van de jaren tachtig een generatie zogenaamde ' jonge Turken ' , partijvernieuwers .","Achter partijkopstuk Karel Van Miert een generatie zogenaamde ' jonge Turken ' , partijvernieuwers schaarde zich in het begin van de jaren tachtig .",[0] -> [1] -> [27] -> [28]
Op 17 december 1928 krijgt de hr Vink volmacht om een gebouw aan de Zespenningenstraat nr 30 aan te kopen .,Op 17 december 1928 de hr Vink krijgt volmacht om een gebouw aan de Zespenningenstraat nr 30 aan te kopen .,[0] -> [1] -> [27] -> [28]
Elk jaar schuiven de gewassen een plaats op en komen uiteindelijk na een aantal jaren weer op het zelfde stuk grond .,Elk jaar de gewassen schuiven een plaats op en komen uiteindelijk na een aantal jaren weer op het zelfde stuk grond .,[0] -> [1] -> [27] -> [28]
In het begin van de twintigste eeuw strekte het Aralmeer zich over 450 kilometer uit van zuid-west naar noord-oost en had het een breedte van 290 kilometer .,In het begin van de twintigste eeuw het Aralmeer strekte zich over 450 kilometer uit van zuid-west naar noord-oost en had het een breedte van 290 kilometer .,[0] -> [1] -> [27] -> [28]
In de ochtend lag ik op de dijk aan de zuidoever van de Rijn bij Oosterbeek .,In de ochtend ik lag op de dijk aan de zuidoever van de Rijn bij Oosterbeek .,[0] -> [1] -> [27] -> [28]
Volgens hem verhinderden liberalisme en socialisme het rechtstreekse ingrijpen van God in de geschiedenis .,Volgens hem liberalisme en socialisme verhinderden het rechtstreekse ingrijpen van God in de geschiedenis .,[0] -> [1] -> [27] -> [28]
