sen_str,swapped_sen_str,leaf_rule
"Lè n aprann demontre kalite sa yo nan lavi n depi kounye a toutpandan n ap tann lavi nan monn nouvo a , se aprann n ap aprann devlope yon seri kalite nou pral bezwen demontre pou tout letènite .","Lè n aprann demontre kalite sa yo nan lavi n depi kounye a toutpandan n ap tann lavi nan monn nouvo a , se aprann ap aprann n devlope yon seri kalite nou pral bezwen demontre pou tout letènite .",[0] -> [2]
"Nan premye syèk la , kretyen yo te oblije kite sa yo te posede epi yo te andire anpil difikilte yon fason pou yo te ka chape .","Nan premye syèk la , te oblije kite kretyen yo sa yo te posede epi yo te andire anpil difikilte yon fason pou yo te ka chape .",[0] -> [2]
Poukisa Jezi te sèvi ak mo 'dèt' la alòske nan yon lòt okazyon li te sèvi ak mo 'peche' a ?,Poukisa te sèvi Jezi ak mo 'dèt' la alòske nan yon lòt okazyon li te sèvi ak mo 'peche' a ?,[0] -> [2]
"Sepandan , kretyen yo rekonèt se sèl Wayòm Bondye a ki ka rezoud pwoblèm lèzòm yo e ki ka garanti vrè jistis la .","Sepandan , kretyen yo rekonèt se sèl Wayòm Bondye a ki ka rezoud pwoblèm lèzòm yo e ka garanti ki vrè jistis la .",[0] -> [2]
"Kidonk , yon ansyen dwe pran tan pou l chèche vin zanmi frè li vle bay fòmasyon pou vin gen privilèj nan kongregasyon an e l dwe fè l konnen kongregasyon an bezwen l .","Kidonk , yon ansyen dwe pran tan pou l chèche vin zanmi frè li vle bay fòmasyon pou vin gen privilèj nan kongregasyon an e dwe fè l l konnen kongregasyon an bezwen l .",[0] -> [2]
"SAN DIEGO ( AP ) — Plis pase 20,000 Ikrenyen ki te jwenn pèmisyon pou yo rete sou teritwa ameriken an pou yon ane , apre yo te kouri kite peyi yo akoz envazyon Larisi te lanse lakay yo , yo ap fè fas gwo pwoblèm akoz Pwogram Pawòl imanitè ki ekpire pou yo .","SAN DIEGO ( AP ) — Plis pase 20,000 Ikrenyen te jwenn ki pèmisyon pou yo rete sou teritwa ameriken an pou yon ane , apre yo te kouri kite peyi yo akoz envazyon Larisi te lanse lakay yo , yo ap fè fas gwo pwoblèm akoz Pwogram Pawòl imanitè ki ekpire pou yo .",[0] -> [2]
Se pa ti tann n ap tann moman kote tout moun pral soumèt yo anba direksyon plen lanmou Jewova ap bay la !,Se pa ti tann n ap tann moman kote pral soumèt tout moun yo anba direksyon plen lanmou Jewova ap bay la !,[0] -> [2]
"Petèt Lik te ba l kèk èd medikal ann amoni ak sa Jezi te di a : ' Se pa moun ki an sante ki bezwen doktè , men se moun ki malad ki bezwen doktè . '","Petèt te ba Lik l kèk èd medikal ann amoni ak sa Jezi te di a : ' Se pa moun ki an sante ki bezwen doktè , men se moun ki malad ki bezwen doktè . '",[0] -> [2]
Se pa ti apwopriye pou n konsidere ranson an kòm pi gwo prèv ki montre jan Bondye ap toujou renmen nou !,Se pa ti apwopriye pou n konsidere ranson an kòm pi gwo prèv ki montre jan ap toujou renmen Bondye nou !,[0] -> [2]
"Se pa ti rekonesan nou ta dwe montre anvè Jezi dèske , grasa lanmò li , li peye pri ki te nesesè pou libere lèzòm nan e konsa l ouvri chemen pou lèzòm viv pou toutan nan monn nouvo Bondye pwomet la !","Se ta dwe montre pa ti rekonesan nou anvè Jezi dèske , grasa lanmò li , li peye pri ki te nesesè pou libere lèzòm nan e konsa l ouvri chemen pou lèzòm viv pou toutan nan monn nouvo Bondye pwomet la !",[0] -> [2]
Se bonjan sousi l te gen pou lòt moun ki te pouse l fè sa .,Se bonjan sousi l te gen pou lòt moun te pouse ki l fè sa .,[0] -> [2]
"Oswa , nou kapab fè referans ak premye demann ki nan priyè a pou n montre moun yo non Bondye , yon non ki dwe vin sen .","Oswa , nou kapab fè referans ak premye demann ki nan priyè a pou n montre moun yo non Bondye , yon non dwe vin ki sen .",[0] -> [2]
Fòmasyon sa a jèn yo kòmanse jwenn nan ap ede yo kenbe je yo fikse sou objektif espirityèl lè yo rive nan fen adolesans yo kote gen anpil bagay ki pral vin distrè yo .,Fòmasyon sa a jèn yo kòmanse jwenn nan ap ede yo kenbe je yo fikse sou objektif espirityèl lè yo rive nan fen adolesans yo kote gen anpil bagay pral vin ki distrè yo .,[0] -> [2]
"Nan yon sans , Jewova ka met tèt li nan plas lòt moun e l kreye nou ak kapasite sa a .","Nan yon sans , ka met tèt Jewova li nan plas lòt moun e l kreye nou ak kapasite sa a .",[0] -> [2]
"An reyalite , nou dwe respekte tout moun Jewova bay otorite .","An reyalite , dwe respekte tout nou moun Jewova bay otorite .",[0] -> [2]
"Nan ka sa a , ki sa nou chak nou ta dwe fè kit nou jèn kit nou granmoun , kit nou an sante kit nou pa an sante ?","Nan ka sa a , ki sa nou ta dwe fè nou chak kit nou jèn kit nou granmoun , kit nou an sante kit nou pa an sante ?",[0] -> [2]
"Advèsè nou an , Dyab la , ap sikile tankou yon lyon k ap gwonde , l ap chèche devore yon moun .","Advèsè nou an , Dyab la , ap sikile tankou yon lyon ap gwonde k , l ap chèche devore yon moun .",[0] -> [2]
"Pandan l Orèch , li te di David pawòl nou jwenn nan tèks pou jounen an pou ede l ' vin gen plis konfyans nan Jewova ' .","Pandan l Orèch , te di David li pawòl nou jwenn nan tèks pou jounen an pou ede l ' vin gen plis konfyans nan Jewova ' .",[0] -> [2]
Ki jan Abraram te fè vin zanmi Bondye ?,Ki jan te fè Abraram vin zanmi Bondye ?,[0] -> [2]
"Byenke pozisyon l te pran an te met lavi l an danje , li te demontre lafwa nan kapasite Jewova genyen pou l delivre ni li menm ni fanmi l .","Byenke pozisyon l te pran an te met lavi l an danje , te demontre lafwa nan li kapasite Jewova genyen pou l delivre ni li menm ni fanmi l .",[0] -> [2]
"Jewova avè m , se li k ap ede m .","Jewova avè m , se k ap ede li m .",[0] -> [2]
"Pa bliye Jezi te fè disip li yo sonje pou yo pa plede ap bay tèt yo pwoblèm pou manje ak rad , men pou yo kontinye chèche Wayòm nan an premye .","Pa bliye te fè Jezi disip li yo sonje pou yo pa plede ap bay tèt yo pwoblèm pou manje ak rad , men pou yo kontinye chèche Wayòm nan an premye .",[0] -> [2]
"Kèlkeswa kantite tan nou genyen depi n ap sèvi Jewova , nou chak ka mande tèt nou : ' Èske gen kèk domèn kote m ta dwe imite Jezi plis toujou yon fason pou m kontinye pwogrese nan domèn espirityèl ? '","Kèlkeswa kantite tan nou genyen depi ap sèvi n Jewova , nou chak ka mande tèt nou : ' Èske gen kèk domèn kote m ta dwe imite Jezi plis toujou yon fason pou m kontinye pwogrese nan domèn espirityèl ? '",[0] -> [2]
"Piske l te vle vin wa , li te vin gen ' yon charyo ak plizyè cheval , e li te gen 50 gason pou kouri devan l ' .","Piske te vle vin l wa , li te vin gen ' yon charyo ak plizyè cheval , e li te gen 50 gason pou kouri devan l ' .",[0] -> [2]
