sen_str,swapped_sen_str,leaf_rule
Професор Георгиев чете встъпителната си лекция .,Професор Георгиев встъпителната си лекция чете .,[0] -> [12] -> [13] -> [15]
Тя изисква с още по-голяма сила разширяване на основата на бъдещото управление .,Тя разширяване на основата на бъдещото управление изисква с още по-голяма сила .,[0] -> [12] -> [13] -> [15]
"Фирмите се оплакаха на посланиците си , а те повдигнаха въпроса пред ръководството на банката в Люксембург .","Фирмите се оплакаха на посланиците си , а те въпроса повдигнаха пред ръководството на банката в Люксембург .",[0] -> [12] -> [13] -> [15]
Собственици на земи 5 дни блокират военния полигон Ново село край Сливен .,Собственици на земи 5 дни военния полигон Ново село край Сливен блокират .,[0] -> [12] -> [13] -> [15]
""" Мобилтел "" има открито поле и това не е честно , каза Мънъри .",""" Мобилтел "" открито поле има и това не е честно , каза Мънъри .",[0] -> [12] -> [13] -> [15]
Този процес се нарича вторична оценка .,Този процес се вторична оценка нарича .,[0] -> [12] -> [13] -> [15]
"МВР уволни 4 дребни риби заради "" Филчевгейт ""","МВР 4 дребни риби уволни заради "" Филчевгейт """,[0] -> [12] -> [13] -> [15]
Дотогава той все още ще се води кореспондент на БНР в Скопие .,Дотогава той все още ще се кореспондент на БНР в Скопие води .,[0] -> [12] -> [13] -> [15]
"САЩ вероятно скоро няма да признаят публично завоя в политиката си , ако той заплаши новия демократично избран президент на Югославия Воислав Кощуница .","САЩ вероятно скоро няма да признаят публично завоя в политиката си , ако той новия демократично избран президент на Югославия Воислав Кощуница заплаши .",[0] -> [12] -> [13] -> [15]
"Нещата могат много бързо да тръгнат в преговори , но трябва сръбските власти да подпишат споразумението .","Нещата могат много бързо да тръгнат в преговори , но трябва сръбските власти да споразумението подпишат .",[0] -> [12] -> [13] -> [15]
Бивш фабрикант печели процес срещу ДС,Бивш фабрикант процес срещу ДС печели,[0] -> [12] -> [13] -> [15]
"Възприемат себе си като безпомощни и неефективни , защото приемат , че другите имат контрол над случващото се с тях .","Възприемат себе си като безпомощни и неефективни , защото приемат , че другите контрол над случващото се с тях имат .",[0] -> [12] -> [13] -> [15]
