sen_str,swapped_sen_str,leaf_rule
Artista ang nagluto ng pagkain .,Artista ang ng pagkain nagluto .,[0] -> [2]
May mga bukal na mainit ang tubig !,mga bukal na mainit ang tubig May !,[0] -> [2]
Inamoy nga ng ale -ng katabi niya ang bulaklak .,ng ale -ng katabi niya Inamoy nga ang bulaklak .,[0] -> [2]
Bumili ng bangka ang mangingisda .,ng bangka Bumili ang mangingisda .,[0] -> [2]
Pero may isa -ng tao -ng sumakay na bukod - tangi .,Pero isa -ng tao -ng sumakay na bukod - tangi may .,[0] -> [2]
Marami ang pumupunta sa Tiwi Hot Springs dahil nakagagaling daw ng sakit ng kalamnan ang maglublob sa mainit nito -ng tubig .,Marami ang pumupunta sa Tiwi Hot Springs dahil ng sakit ng kalamnan nakagagaling daw ang maglublob sa mainit nito -ng tubig .,[0] -> [2]
Ang Pilipinas ay binubuo ng marami -ng isla .,Ang Pilipinas ay ng marami -ng isla binubuo .,[0] -> [2]
May ale -ng mamamalengke na may dala -ng bayong .,May ale -ng mamamalengke na dala -ng bayong may .,[0] -> [2]
Nakakita ka na ba ng talon ?,ng talon Nakakita ka na ba ?,[0] -> [2]
Iyan ang bahay .,ang bahay Iyan .,[0] -> [2]
Tumanggap ang Rosa ng sulat para sa bata sa kaniyang sarili .,ng sulat Tumanggap ang Rosa para sa bata sa kaniyang sarili .,[0] -> [2]
Nagluto ng pagkain ang nanay .,ng pagkain Nagluto ang nanay .,[0] -> [2]
Isa tayo sa mga bansa -ng may pinakamahaba -ng baybayin .,Isa tayo sa mga bansa -ng pinakamahaba -ng baybayin may .,[0] -> [2]
"Nang malapit na kami sa plasa , may inilabas naman siya -ng makulay na bulaklak .","Nang malapit na kami sa plasa , inilabas -ng makulay na bulaklak may naman siya .",[0] -> [2]
Paulit-ulit niya ito -ng ginawa at wala ni isa -ng bola -ng nahulog !,Paulit-ulit niya ito -ng ginawa at ni isa -ng bola -ng nahulog wala !,[0] -> [2]
