sen_str,swapped_sen_str,leaf_rule
@user1 @user2 Ancora più brutta perché non ho fatto un metro di sterrato e nessuna spiegazione su il motivo di il cedimento,@user1 @user2 Ancora più brutta perché non ho un metro di sterrato fatto e nessuna spiegazione su il motivo di il cedimento,[0] -> [1] -> [2] -> [3]
Inserisci il tuo indirizzo e-mail e la password in la sezione in la parte superiore di la pagina e clicca su accedi .,il tuo indirizzo e-mail e la password Inserisci in la sezione in la parte superiore di la pagina e clicca su accedi .,[0] -> [1] -> [2] -> [3]
Con l' approvazione di questo emendamento si terrebbe conto di il fatto che in le regioni settentrionali di l' Unione può fare molto freddo .,Con l' approvazione di questo emendamento si conto terrebbe di il fatto che in le regioni settentrionali di l' Unione può fare molto freddo .,[0] -> [1] -> [2] -> [3]
"Il posto fisso , che monotonia ( Mario #Monti ) . Se tutto il resto fosse garantito , avrebbe pure ragione . Ma così non è . #matrix #monotonia","Il posto fisso , che monotonia ( Mario #Monti ) . Se tutto il resto fosse garantito , ragione avrebbe pure . Ma così non è . #matrix #monotonia",[0] -> [1] -> [2] -> [3]
Nomina un quotidiano francese .,un quotidiano francese Nomina .,[0] -> [1] -> [2] -> [3]
"La Comédie Humaine rimaneva inconclusa a il momento di la sua morte - Balzac aveva intenzione di includer vi numerosi altri libri , molti di i quali non iniziò neppure a scrivere .","La Comédie Humaine rimaneva inconclusa a il momento di la sua morte - Balzac aveva intenzione di numerosi altri libri , molti di i quali non iniziò neppure a scrivere includer vi .",[0] -> [1] -> [2] -> [3]
"Una commissione esamina e sottopone poi a un continuo tirocinio i giudici , perlopiù pescati tra le tante associazioni di volontariato , con un unico imprescindibile requisito : la residenza su il territorio dove devono giudicare .","Una commissione esamina e i giudici , perlopiù pescati tra le tante associazioni di volontariato , con un unico imprescindibile requisito : la residenza su il territorio dove devono giudicare sottopone poi a un continuo tirocinio .",[0] -> [1] -> [2] -> [3]
"Di chi ha l' orgoglio di essere quello che è , senza finzioni .","Di chi l' orgoglio di essere quello che è , senza finzioni ha .",[0] -> [1] -> [2] -> [3]
"Per incoraggiare la partecipazione , la banca europea per la ricostruzione e lo sviluppo ( Ebrd ) potrebbe investire in società accanto a investitori esteri e locali , come ha fatto in Europa centrale .","Per la partecipazione incoraggiare , la banca europea per la ricostruzione e lo sviluppo ( Ebrd ) potrebbe investire in società accanto a investitori esteri e locali , come ha fatto in Europa centrale .",[0] -> [1] -> [2] -> [3]
"La Moulinex ha una struttura di controllo estremamente complessa , la cui gestione è ulteriormente complicata da le differenze tra quote azionarie e diritti di voto .","La Moulinex una struttura di controllo estremamente complessa , la cui gestione è ulteriormente complicata da le differenze tra quote azionarie e diritti di voto ha .",[0] -> [1] -> [2] -> [3]
"Per rivolger si a i destinatari interessati , ANA ha usato un insieme di parole chiave che si rivolgeva a gli amanti di i viaggi e di la cultura giapponese , sviluppando poi contenuti creativi adatti a catturare l' attenzione di i destinatari .","Per rivolger si a i destinatari interessati , ANA ha un insieme di parole chiave che si rivolgeva a gli amanti di i viaggi e di la cultura giapponese , sviluppando poi contenuti creativi adatti a catturare l' attenzione di i destinatari usato .",[0] -> [1] -> [2] -> [3]
"il Governo Monti ha dichiarato di voler dare una svolta a la politica italiana . Preso da troppo entusiasmo , ha svoltato di 360° ...","il Governo Monti ha dichiarato di voler una svolta a la politica italiana . dare Preso da troppo entusiasmo , ha svoltato di 360° ...",[0] -> [1] -> [2] -> [3]
@user1 @user2 #Grillo è bravissimo come contestatore di la partitocrazia . Ma per governare l' Italia non basta un bravo comico .,@user1 @user2 #Grillo è bravissimo come contestatore di la partitocrazia . Ma per governare l' Italia non un bravo comico basta .,[0] -> [1] -> [2] -> [3]
Tale comunicazione include le informazioni relative a la base giuridica di ciascuna misura .,Tale comunicazione le informazioni relative a la base giuridica di ciascuna misura include .,[0] -> [1] -> [2] -> [3]
È fatto obbligo a chiunque spetti di osservar lo e di far lo osservare .,È obbligo a chiunque spetti di osservar lo e di far lo osservare fatto .,[0] -> [1] -> [2] -> [3]
"Ama la casa , il lavoro , la musica , la letteratura edificante e idilliaca , la buona conversazione con gli amici , che incontra con una certa regolarità anche a il caffè .","la casa , il lavoro , la musica , la letteratura edificante e idilliaca , la buona conversazione con gli amici , che incontra con una certa regolarità anche a il caffè Ama .",[0] -> [1] -> [2] -> [3]
"Thomas Rymer , per esempio , condannò Shakespeare per la fusione di comico e tragico .","Thomas Rymer , per esempio , Shakespeare condannò per la fusione di comico e tragico .",[0] -> [1] -> [2] -> [3]
RT @user : Oggi è la classica giornata uggiosa di fine ottobre utile solo a conciliare il sonno #soledovesei ?,RT @user : Oggi è la classica giornata uggiosa di fine ottobre utile solo a il sonno conciliare #soledovesei ?,[0] -> [1] -> [2] -> [3]
