sen_str,swapped_sen_str,leaf_rule
Ga ke a kgona go tshwarelela ka gore o ne a taboga ka lebelo thata .,Ga a kgona ke go tshwarelela ka gore o ne a taboga ka lebelo thata .,[0]
O ne a ka be a itirile moriri mme ka lebaka lengwe o ne a se ka ke ka letsatsi leo .,O ne a ka be itirile a moriri mme ka lebaka lengwe o ne a se ka ke ka letsatsi leo .,[0]
Ke akanya gore pula e a na .,Ke akanya gore e a na pula .,[0]
Peter le Mary ba ne ba tlamparelana mme ba tswa mo phaposing .,Peter le Mary ba ne ba tlamparelana mme tswa ba mo phaposing .,[0]
A Iguazu ke naga e kgolo kgotsa ke e nnye ?,A ke naga Iguazu e kgolo kgotsa ke e nnye ?,[0]
A o batla go tsamaya ?,A batla o go tsamaya ?,[0]
O ne a leka go tlogela go goga le go nwa .,O ne leka a go tlogela go goga le go nwa .,[0]
Ga ke a kgona go tshwarelela ka gore o ne a taboga ka lebelo thata .,Ga ke a kgona go tshwarelela ka gore o ne taboga a ka lebelo thata .,[0]
O ne a dira gore monna wa gagwe a tlhatswe koloi .,O ne a dira gore a tlhatswe monna wa gagwe koloi .,[0]
O akanya gore o ka tla leng ?,O akanya gore ka tla o leng ?,[0]
O ne a ka be a itirile moriri mme ka lebaka lengwe o ne a se ka ke ka letsatsi leo .,O ne a ka be a itirile moriri mme ka lebaka lengwe o ne se ka ke a ka letsatsi leo .,[0]
O ne a dira gore monna wa gagwe a tlhatswe koloi .,O ne dira a gore monna wa gagwe a tlhatswe koloi .,[0]
Ga ba na kakanyo epe gore e kwadilwe ke mang .,Ga na ba kakanyo epe gore e kwadilwe ke mang .,[0]
