sen_str,swapped_sen_str,leaf_rule
Como eran as súas clases ?,as súas clases Como eran ?,[0] -> [18]
Cales son as principais dificultades técnicas de a guitarra ?,as principais dificultades técnicas de a guitarra ? Cales son,[0] -> [18]
Ese é un de os maiores problemas .,un de os maiores problemas . Ese é,[0] -> [18]
Cal é o panorama actual ?,o panorama actual Cal é ?,[0] -> [18]
A reacción nacional ante os sucesos de Kansas demostrou o profundamente dividido que estaba o país .,A reacción nacional ante os sucesos de Kansas demostrou o profundamente dividido o país que estaba .,[0] -> [18]
A familiaridade é unha de elas .,A unha de elas . familiaridade é,[0] -> [18]
"A partir de estes e coma se de un exercicio ou de unha proposta de A gramática de a fantasía , de o Obradoiro Literario ' Gianni Rodari ' se tratase , o vilalbés constrúe os relatos que nos levan a o mundo de o cómic , que o autor coñece ben por ser unha de as súas grandes paixóns , para nos presentar un superheroe que xa non exerce de tal , humanizando a Spiderman aínda máis de o que o fixo o seu creador Stan Lee ; un vampiro en paro ou un rotulista que está chantado en a realidade de o país e que , sen estridencias , nos mostra o que somos .","A partir de estes e coma se de un exercicio ou de unha proposta de A gramática de a fantasía , de o Obradoiro Literario ' Gianni Rodari ' se tratase , o vilalbés constrúe os relatos que nos levan a o mundo de o cómic , que o autor coñece ben por ser unha de as súas grandes paixóns , para nos presentar un superheroe que xa non exerce de tal , humanizando a Spiderman aínda máis de o que o fixo o seu creador Stan Lee ; un vampiro en paro ou un rotulista que está chantado en a realidade de o país e que , sen estridencias , nos mostra que o somos .",[0] -> [18]
1975 é a seguinte etapa de o Quixote en galego .,a seguinte etapa de o Quixote en galego 1975 é .,[0] -> [18]
Cal é a mellor época para a guitarra en os eidos de o repertorio e de a técnica ?,a mellor época para a guitarra en os eidos de o repertorio e de a técnica Cal é ?,[0] -> [18]
"Van quentando o ambiente , e chamando a os seus aliados para que lles axuden a poñer lume en as denuncias , que normalmente son mentiras ( onde están as armas terroríficas de Sadan ? ) .","Van quentando o ambiente , e chamando a os seus aliados para que lles axuden a poñer lume en as denuncias , que normalmente son mentiras ( as armas terroríficas de Sadan ? onde están ) .",[0] -> [18]
"Non embargante , non hai que ler un estudo para saber como está a profesión .","Non embargante , non hai que ler un estudo para saber a profesión como está .",[0] -> [18]
"Agora , o destinatario de os avisos de Citroën é o delegado de o Estado en o Consorcio de a Zona Franca .","Agora , o o delegado de o Estado en o Consorcio de a Zona Franca destinatario de os avisos de Citroën é .",[0] -> [18]
"Teñen que saber que non había ningún plano serio para facer lle fronte a o chapapote en as rías , o único eran os plásticos para defender as bateas e dirixir o fuel a as zonas de sacrificio internas , que non se puxeron as barreiras prometidas , que as quixeron poñer as romperon os propios técnicos de SASEMAR .","Teñen que saber que non había ningún plano serio para facer lle fronte a o chapapote en as rías , o os plásticos para defender as bateas e dirixir o fuel a as zonas de sacrificio internas único eran , que non se puxeron as barreiras prometidas , que as quixeron poñer as romperon os propios técnicos de SASEMAR .",[0] -> [18]
"A película máis premiada foi , por outra parte , a de Eastwood , unha obra que non está a a altura de as anteriores de o mesmo director .","A a de Eastwood , película máis premiada foi , por outra parte , unha obra que non está a a altura de as anteriores de o mesmo director .",[0] -> [18]
"Benvido sexa este recordatorio de que en a Galiza non houbo guerra , o que aquí verdadeiramente houbo foi unha feroz purga social de non afectos a o ditador .","este recordatorio de que en a Galiza non houbo guerra Benvido sexa , o que aquí verdadeiramente houbo foi unha feroz purga social de non afectos a o ditador .",[0] -> [18]
"Mercedes continuará en o exilio francés a sua traxectoria en a resistencia contra a ocupación nazi , actividade por la que de novo será apresada e conducida a o inferno que foi Ravensbruck .","Mercedes continuará en o exilio francés a sua traxectoria en a resistencia contra a ocupación nazi , actividade por la que de novo será apresada e conducida a o inferno Ravensbruck que foi .",[0] -> [18]
Entre as consultas que lle fixeron a Mariano Navas [ presidente de o ente Público Portos de o Estado ] estaba esta posibilidade e en consecuencia respondeu a os distintos implicados con consultas en o mesmo sentido .,Entre as esta posibilidade consultas que lle fixeron a Mariano Navas [ presidente de o ente Público Portos de o Estado ] estaba e en consecuencia respondeu a os distintos implicados con consultas en o mesmo sentido .,[0] -> [18]
"Fosen cales fosen as regras , as pelexas a miúdo tiñan como resultado a morte de un de os sementais .","Fosen as regras cales fosen , as pelexas a miúdo tiñan como resultado a morte de un de os sementais .",[0] -> [18]
"Toca agora , partindo de este traballo , elaborar un texto articulado quen de se apresentar en o Parlamento galego e de se confrontar con o que propoñan _ se tal for a súa vontade _ as demais forzas políticas actuantes en a Galiza .","Toca agora , partindo de este traballo , elaborar un texto articulado quen de se apresentar en o Parlamento galego e de se confrontar con o que propoñan _ se a súa vontade tal for _ as demais forzas políticas actuantes en a Galiza .",[0] -> [18]
