sen_str,swapped_sen_str,leaf_rule
cha kle ko glike .,cha kle glike ko .,[0] -> [2]
ba be irongchia tkenga .,ba be tkenga irongchia .,[0] -> [2]
cha me cha nienua unie .,cha me unie cha nienua .,[0] -> [2]
cha koi manandu .,cha manandu koi .,[0] -> [2]
che kle koi huke chi ute di .,che kle huke koi chi ute di .,[0] -> [2]
che kle u dodade .,che kle dodade u .,[0] -> [2]
enusuli kada kle Inocentio hong tkunga dwa Rio Lui .,enusuli kada kle Inocentio tkunga hong dwa Rio Lui .,[0] -> [2]
chebi me gna cho gute .,chebi me gna gute cho .,[0] -> [2]
che be bli hinane .,che be hinane bli .,[0] -> [2]
despues cha kle bligda ne gute .,despues cha kle gute bligda ne .,[0] -> [2]
cha kle daba tke dui ke .,cha kle tke daba dui ke .,[0] -> [2]
cha chebi kiro mananu .,cha chebi mananu kiro .,[0] -> [2]
cha kle koi gute .,cha kle gute koi .,[0] -> [2]
cha kle ua glikenga .,cha kle glikenga ua .,[0] -> [2]
kle nga lite .,kle lite nga .,[0] -> [2]
"nengke cha be cha geruia trake , cha toidu mine aini , cha chiu mine aini .","nengke cha be trake cha geruia , cha toidu mine aini , cha chiu mine aini .",[0] -> [2]
ba be budachia gda ite tkenga .,ba be tkenga budachia gda ite .,[0] -> [2]
cha kle bu tke .,cha kle tke bu .,[0] -> [2]
cha kle die dodade ...,cha kle dodade die ...,[0] -> [2]
che kle samla gai .,che kle gai samla .,[0] -> [2]
me kle bligda kete cha ke .,me kle kete bligda cha ke .,[0] -> [2]
de ai cha kle bligda tke hania tke bla tke i tke doia ske .,de ai cha kle tke bligda hania tke bla tke i tke doia ske .,[0] -> [2]
cha kle na mne padi giti .,cha kle mne na padi giti .,[0] -> [2]
cha kle die dodade .,cha kle dodade die .,[0] -> [2]
cha kle bli hinane .,cha kle hinane bli .,[0] -> [2]
che mung dole Wami ole .,che dole mung Wami ole .,[0] -> [2]
nengke che kle geru ai batenga .,nengke che kle batenga geru ai .,[0] -> [2]
cha kle koi lie .,cha kle lie koi .,[0] -> [2]
apa ke gire samla gutadale .,apa ke gire gutadale samla .,[0] -> [2]
cha kle koi mne ngania .,cha kle mne koi ngania .,[0] -> [2]
che kle gigata hue .,che kle hue gigata .,[0] -> [2]
muinga kle kiro manane .,muinga kle manane kiro .,[0] -> [2]
kle koi mne .,kle mne koi .,[0] -> [2]
cha kle koi lie chi dike .,cha kle lie koi chi dike .,[0] -> [2]
cha kle koi hunga kedaru .,cha kle hunga koi kedaru .,[0] -> [2]
Wami mung dole che ole .,Wami dole mung che ole .,[0] -> [2]
despues cha kle bu tke tengkle .,despues cha kle tke bu tengkle .,[0] -> [2]
che doia kle che skienga .,che doia kle skienga che .,[0] -> [2]
