sen_str,swapped_sen_str,leaf_rule
In mun leat álggage heajut go dát .,In leat álggage heajut mun go dát .,[0] -> [1] -> [15] -> [16] -> [17] -> [21]
"Vuoi , doai leahppi čeahpimusat dáppe !","Vuoi , leahppi čeahpimusat doai dáppe !",[0] -> [1] -> [15] -> [16] -> [17] -> [21]
"Muoraid bukte internáhttii herggiiguin , ja dát lei lassesisaboahtu máŋgga smávvadálolažžii .","Muoraid bukte internáhttii herggiiguin , ja lei lassesisaboahtu dát máŋgga smávvadálolažžii .",[0] -> [1] -> [15] -> [16] -> [17] -> [21]
"Son lea njuoskan buot , mii lea fuones ášši .","Son lea njuoskan buot , lea fuones ášši mii .",[0] -> [1] -> [15] -> [16] -> [17] -> [21]
"Jagis 2005 Sámediggi álggahii Divvuma , mii lei prošeakta ja bargojoavku ráhkadit sámegielaid sátnedivvunprográmmaid .","Jagis 2005 Sámediggi álggahii Divvuma , lei prošeakta mii ja bargojoavku ráhkadit sámegielaid sátnedivvunprográmmaid .",[0] -> [1] -> [15] -> [16] -> [17] -> [21]
Mii liggiimet garrasit biissiin mii lei áidna liggenvejolašvuohta klássalanjas .,Mii liggiimet garrasit biissiin lei áidna liggenvejolašvuohta mii klássalanjas .,[0] -> [1] -> [15] -> [16] -> [17] -> [21]
Ja lea dat nuppiide sámiidenai hávski gullat sámi dili birra .,Ja lea nuppiide sámiidenai hávski dat gullat sámi dili birra .,[0] -> [1] -> [15] -> [16] -> [17] -> [21]
"Moai čájehetne Fávdnii , guhte lea buoremus bivdoalmmái .","Moai čájehetne Fávdnii , lea buoremus bivdoalmmái guhte .",[0] -> [1] -> [15] -> [16] -> [17] -> [21]
Amma duot lei Niillasa guollebiila ?,Amma lei Niillasa guollebiila duot ?,[0] -> [1] -> [15] -> [16] -> [17] -> [21]
"Go lagat galgá mearridit sámiid rievtti iešmearrideapmái , de dat lea miellagiddevaš go álgoálbmogiid iešmearridanriekti galgá hábmejuvvot eará stáhtain .","Go lagat galgá mearridit sámiid rievtti iešmearrideapmái , de lea miellagiddevaš dat go álgoálbmogiid iešmearridanriekti galgá hábmejuvvot eará stáhtain .",[0] -> [1] -> [15] -> [16] -> [17] -> [21]
"Jagi 2005 Sámediggi álggahii Divvuma , mii lei prošeakta ja bargojoavku ráhkadit sámegielaid sátnedivvunprográmmaid .","Jagi 2005 Sámediggi álggahii Divvuma , lei prošeakta mii ja bargojoavku ráhkadit sámegielaid sátnedivvunprográmmaid .",[0] -> [1] -> [15] -> [16] -> [17] -> [21]
"Ale cáme beatnagat , ii dat leat sivalaš .","Ale cáme beatnagat , ii leat sivalaš dat .",[0] -> [1] -> [15] -> [16] -> [17] -> [21]
"Jos dat ii leat vejolaš , de mii fertet mannat .","Jos ii leat vejolaš dat , de mii fertet mannat .",[0] -> [1] -> [15] -> [16] -> [17] -> [21]
"Niillas lea máŋga jagi bargan sámi áššiiguin , ja Álttá-Guovdageainnu riiddus son lei okta nealgudeddjiin Stuoradikki olggobealde .","Niillas lea máŋga jagi bargan sámi áššiiguin , ja Álttá-Guovdageainnu riiddus lei okta nealgudeddjiin son Stuoradikki olggobealde .",[0] -> [1] -> [15] -> [16] -> [17] -> [21]
De farao gohccái ja fuomášii ahte dat lei niehku .,De farao gohccái ja fuomášii ahte lei niehku dat .,[0] -> [1] -> [15] -> [16] -> [17] -> [21]
