sen_str,swapped_sen_str,leaf_rule
Pärast akna raiumist Euroopasse ehk Peterburi rajamist Nevanlinna kohale 1703. aastal andis ta oma kaupmeestele korralduse kaubelda ainult Peterburis .,Pärast akna raiumist Euroopasse ehk Peterburi rajamist Nevanlinna kohale 1703. aastal korralduse kaubelda ainult Peterburis andis ta oma kaupmeestele .,[0] -> [10] -> [11] -> [12] -> [30] -> [32] -> [36]
"On teada , et selle meloodia saatel kaitsesid tšetšeenid oma vabadust 13.-14. sajandil tatari-mongoli hordide eest .","On teada , et selle meloodia saatel oma vabadust kaitsesid tšetšeenid 13.-14. sajandil tatari-mongoli hordide eest .",[0] -> [10] -> [11] -> [12] -> [30] -> [32] -> [36]
Esimest korda taasiseseisvunud Eestis kuulutab Eesti jahimeeste selts täna Võrus välja üleriigilise jahirahu .,Esimest korda taasiseseisvunud Eestis üleriigilise jahirahu kuulutab Eesti jahimeeste selts täna Võrus välja .,[0] -> [10] -> [11] -> [12] -> [30] -> [32] -> [36]
"Enne tankide ilmumist laskesektoritesse viskab põrand meeskonda mõne minuti vältel 10 cm kõrgusele , et imiteerida kaartule tuld rünnatavatele positisioonidele .","Enne tankide ilmumist laskesektoritesse meeskonda viskab põrand mõne minuti vältel 10 cm kõrgusele , et imiteerida kaartule tuld rünnatavatele positisioonidele .",[0] -> [10] -> [11] -> [12] -> [30] -> [32] -> [36]
"Palgatööd otsivatest keskeri- ja kõrgharidusega töötutest otsis 2001. a. vaid 26,7 % haridustasemele vastavat tööd , 73,3 % oli nõus ka madalamat haridustaset nõudva tööga .","Palgatööd otsivatest keskeri- ja kõrgharidusega töötutest haridustasemele vastavat tööd otsis 2001. a. vaid 26,7 % , 73,3 % oli nõus ka madalamat haridustaset nõudva tööga .",[0] -> [10] -> [11] -> [12] -> [30] -> [32] -> [36]
1970. aastate alguses tabasid Sahelit Põhja-Etioopiani rängad põuad .,1970. aastate alguses Sahelit tabasid Põhja-Etioopiani rängad põuad .,[0] -> [10] -> [11] -> [12] -> [30] -> [32] -> [36]
Kümme aastat tagasi lõpetas Hilj ülikoolis tehnoloogiaõpingud .,Kümme aastat tagasi tehnoloogiaõpingud lõpetas Hilj ülikoolis .,[0] -> [10] -> [11] -> [12] -> [30] -> [32] -> [36]
"Haiguste vastu võitlemiseks alustas Singapur aastal 1992 haigete regulaarset jälgimist - patsientide informatsioon , kliinilised sümptomid , silmahaiguste diagnoosid ning raviinfo salvestati andmebaasi .","Haiguste vastu võitlemiseks haigete regulaarset jälgimist alustas Singapur aastal 1992 - patsientide informatsioon , kliinilised sümptomid , silmahaiguste diagnoosid ning raviinfo salvestati andmebaasi .",[0] -> [10] -> [11] -> [12] -> [30] -> [32] -> [36]
Järgmisel hommikul lõi julgeolekumaja velsker verevermeis keha nähes imestusest käsi kokku : “ Mille eest küll niimoodi ... ”,Järgmisel hommikul käsi lõi julgeolekumaja velsker verevermeis keha nähes imestusest kokku : “ Mille eest küll niimoodi ... ”,[0] -> [10] -> [11] -> [12] -> [30] -> [32] -> [36]
Mõnes riigis maksavad vanemad õpetajatele täiendavat tasu või ümbrikupalka ja tasuvad n-ö eksamilt läbisaamise maksu .,Mõnes riigis täiendavat tasu või ümbrikupalka maksavad vanemad õpetajatele ja tasuvad n-ö eksamilt läbisaamise maksu .,[0] -> [10] -> [11] -> [12] -> [30] -> [32] -> [36]
"Nüüd , 2000. aasta veebruaris loeb 73-aastane Olav Sööt Tartumaal Rõngus pahuralt leheuudiseid , kus Vene välisministeerium paneb talle külge natsidega koostöö tegija sildi .","Nüüd , 2000. aasta veebruaris leheuudiseid , kus Vene välisministeerium paneb talle külge natsidega koostöö tegija sildi loeb 73-aastane Olav Sööt Tartumaal Rõngus pahuralt .",[0] -> [10] -> [11] -> [12] -> [30] -> [32] -> [36]
"Päev hiljem , reede õhtul pidasid Tallinna Põhja politseiosakonna inspektorid suure vaevaga kinni 1997. aasta universaalkerega tumesinise Ford Mondeo .","Päev hiljem , reede õhtul 1997. aasta universaalkerega tumesinise Ford Mondeo pidasid Tallinna Põhja politseiosakonna inspektorid suure vaevaga kinni .",[0] -> [10] -> [11] -> [12] -> [30] -> [32] -> [36]
"Detsembri alul katkestas perekond Sposatoga kõik suhted ja ütles kategoorilise "" ei "" ka esitatud abieluettepanekule .","Detsembri alul kõik suhted katkestas perekond Sposatoga ja ütles kategoorilise "" ei "" ka esitatud abieluettepanekule .",[0] -> [10] -> [11] -> [12] -> [30] -> [32] -> [36]
"Mullu aprillis tapsid venelased siin ühes välikohvikus kunagise tuntud laulja Igor Beloziri , kes , tõsi , oli selleks ajaks juba maha käinud , naisest lahku läinud ja jooma kukkunud .","Mullu aprillis kunagise tuntud laulja Igor Beloziri , kes , tõsi , oli selleks ajaks juba maha käinud , naisest lahku läinud ja jooma kukkunud tapsid venelased siin ühes välikohvikus .",[0] -> [10] -> [11] -> [12] -> [30] -> [32] -> [36]
"Sinu odekolonniga määrisin ma haiget kohta selle pärast , et odekolonn on koera hammustuse vastu kõige parem rohi ja oma odekolonni mul polegi , sest ma kasutan kogu aeg sinu odekolonne !","Sinu odekolonniga haiget kohta määrisin ma selle pärast , et odekolonn on koera hammustuse vastu kõige parem rohi ja oma odekolonni mul polegi , sest ma kasutan kogu aeg sinu odekolonne !",[0] -> [10] -> [11] -> [12] -> [30] -> [32] -> [36]
Antud juhul ma ei usu et tegu oli kurja ennustajaga kuna kirjeldad teda kui rõõmsameelset ja lõpus soovis ta Sinule siiski head .,Antud juhul ma ei usu et tegu oli kurja ennustajaga kuna kirjeldad teda kui rõõmsameelset ja lõpus head soovis ta Sinule siiski .,[0] -> [10] -> [11] -> [12] -> [30] -> [32] -> [36]
