sen_str,swapped_sen_str,leaf_rule
"Bønna får da alt det han trenger , og mere til , og det håper jeg du kan forklare barnevernet , Else-Beth !","Bønna får da alt det han trenger , og mere til , og det håper jeg du kan barnevernet forklare , Else-Beth !",[0] -> [1]
Vil forby 3000 ansatte i Bodø å snuse på jobb,Vil 3000 ansatte i Bodø forby å snuse på jobb,[0] -> [1]
"Innslagspunktet er skarve 470000 kroner , hvilket vil si at det ikke er folk som Stein Erik Hagen , men tvert imot den økonomiske middelklasse som betaler brorparten av de 12 fattige milliardene formuesskatten innbringer statskassen .","Innslagspunktet er skarve 470000 kroner , hvilket vil si at det ikke er folk som Stein Erik Hagen , men tvert imot den økonomiske middelklasse som betaler brorparten av de 12 fattige milliardene formuesskatten statskassen innbringer .",[0] -> [1]
Forrige fredags reportasje i A-magasinet om Gaute ( 12 ) ga oss et innblikk i situasjonen for dem som kjenner denne strålingen direkte på kroppen - de menneskelige strålebarometrene .,Forrige fredags reportasje i A-magasinet om Gaute ( 12 ) oss ga et innblikk i situasjonen for dem som kjenner denne strålingen direkte på kroppen - de menneskelige strålebarometrene .,[0] -> [1]
Disse forhandlingene vil vise oss alle om Stoltenberg II tar klimakrisen på alvor .,Disse forhandlingene vil oss alle vise om Stoltenberg II tar klimakrisen på alvor .,[0] -> [1]
"Han verket etter å skrive leserinnlegg , men lot det være .","Han verket etter å skrive leserinnlegg , men det lot være .",[0] -> [1]
De gjør jobben med å gi spillet en atmosfære av b-filmkvalitet som er uhyre passende .,De gjør jobben med å spillet gi en atmosfære av b-filmkvalitet som er uhyre passende .,[0] -> [1]
"I den forbindelse vil jeg gjerne spørre statsministeren om han også er enig i at det ikke i seg selv er påstander fremført i stortingssalen fra enkeltrepresentanter som bør være det avgjørende for en statsråds vurdering av sin posisjon , men at det er påstander som er klarlagt gjennom votering , som er det alvorlige , og som etter vår parlamentariske skikk og bruk tvinger en statsråd til å gå av .","I den forbindelse vil jeg gjerne statsministeren spørre om han også er enig i at det ikke i seg selv er påstander fremført i stortingssalen fra enkeltrepresentanter som bør være det avgjørende for en statsråds vurdering av sin posisjon , men at det er påstander som er klarlagt gjennom votering , som er det alvorlige , og som etter vår parlamentariske skikk og bruk tvinger en statsråd til å gå av .",[0] -> [1]
- Men det gir deg jo flere muligheter .,- Men det deg gir jo flere muligheter .,[0] -> [1]
Nå skal vi gi dem kompetanse i en stor båt .,Nå skal vi dem gi kompetanse i en stor båt .,[0] -> [1]
Regjeringen vil ha flere undervisningstimer i grunnskolen og flere lærere som kan gi elevene bedre oppfølging .,Regjeringen vil ha flere undervisningstimer i grunnskolen og flere lærere som kan elevene gi bedre oppfølging .,[0] -> [1]
Tsjernobyl ga oss frykten for radioaktiv stråling og selvlysende sau .,Tsjernobyl oss ga frykten for radioaktiv stråling og selvlysende sau .,[0] -> [1]
Staveland mener han har lært seg lettere å bli begeistret .,Staveland mener han har seg lært lettere å bli begeistret .,[0] -> [1]
"Arbeiderklassen må på sin side innse verdien av ærlig arbeid , tilegne seg et minstemål av manerer og lære seg navnet på et par kjente komponister .","Arbeiderklassen må på sin side innse verdien av ærlig arbeid , tilegne seg et minstemål av manerer og seg lære navnet på et par kjente komponister .",[0] -> [1]
"Alt var fryd og gammen , og de nybakte foreldrene forkynte , på parmiddager , at de lærte barnet regler og grensesetting .","Alt var fryd og gammen , og de nybakte foreldrene forkynte , på parmiddager , at de barnet lærte regler og grensesetting .",[0] -> [1]
"- Selv om det var en risiko for å bli eksponert , gjorde det ikke Justin noe å gå ut med meg på klubber , familiesammenkomster og høyt profilerte begivenheter .","- Selv om det var en risiko for å bli eksponert , Justin gjorde det ikke noe å gå ut med meg på klubber , familiesammenkomster og høyt profilerte begivenheter .",[0] -> [1]
Thorbjørn Jagland uttalte selv så sent som i april 1998 at Stortinget ikke må pålegge Naturkraft å bygge gasskraftverk med det som kan bli en gammeldags teknologi .,Thorbjørn Jagland uttalte selv så sent som i april 1998 at Stortinget ikke må Naturkraft pålegge å bygge gasskraftverk med det som kan bli en gammeldags teknologi .,[0] -> [1]
"Et velkjent eksempel er Asia-krisen i 1998 , da USA fortalte IMF-ledelsen hvor skapet skulle stå .","Et velkjent eksempel er Asia-krisen i 1998 , da USA IMF-ledelsen fortalte hvor skapet skulle stå .",[0] -> [1]
"Med dette teaterstykket prøver vi å gi jentene et ansikt , sier Kristensen videre .","Med dette teaterstykket prøver vi å jentene gi et ansikt , sier Kristensen videre .",[0] -> [1]
Tommy Sharif sikret seg vinnerbudet på « Diamanten » på Holmenkollen-tårnet da nettauksjonen ble avsluttet søndag .,Tommy Sharif seg sikret vinnerbudet på « Diamanten » på Holmenkollen-tårnet da nettauksjonen ble avsluttet søndag .,[0] -> [1]
