sen_str,swapped_sen_str,leaf_rule
"ιος νι σεμουν κ[νου]μανι κακουν αδδ[α]κετ αινι μανκης , βα[ς] ιοι βεκος με βερε[τ] α̣τ τιη κε τιττετικμ[ε]νος ειτου .","ιος νι σεμουν κ[νου]μανι αδδ[α]κετ κακουν αινι μανκης , βα[ς] ιοι βεκος με βερε[τ] α̣τ τιη κε τιττετικμ[ε]νος ειτου .",[0] -> [2]
"[ιος σεμ]ον ρεκ̣τεον̣ [κακου]ν αδακε , ατε[τικμενο]ς ατ τ[ι] αδει[του .","[ιος σεμ]ον ρεκ̣τεον̣ αδακε [κακου]ν , ατε[τικμενο]ς ατ τ[ι] αδει[του .",[0] -> [2]
"❧ ιος νι σ[εμουν κνου]μανε κακουν [αδακετ αι]νι κορου ουε̣[βας? , με ζεμ]ελωσι κε δεως̣ [κε τιε] κε τιτετικμ[ενος ειτου]","❧ ιος νι σ[εμουν κνου]μανε [αδακετ κακουν αι]νι κορου ουε̣[βας? , με ζεμ]ελωσι κε δεως̣ [κε τιε] κε τιτετικμ[ενος ειτου]",[0] -> [2]
ιος σεμου[ν κ]νουμ̣ανει κακ̣ο̣υ[ν α]δδακετ τιττετικμενος ατ Τιε αδειτου .,ιος σεμου[ν κ]νουμ̣ανει α]δδακετ κακ̣ο̣υ[ν τιττετικμενος ατ Τιε αδειτου .,[0] -> [2]
"ιος νι [σ]εμον κν[ου]μανη κακον αβ̣β̣ε̣ρετ ατ νουκτον μρος σας , ιος κε βρειτ περβεδαν , τιη τιττετικμενος ειτου .","ιος νι [σ]εμον κν[ου]μανη αβ̣β̣ε̣ρετ κακον ατ νουκτον μρος σας , ιος κε βρειτ περβεδαν , τιη τιττετικμενος ειτου .",[0] -> [2]
"[ιος σεμουν] [κνουμ]ανε κακουν αδδακετ , ⟨τ⟩ε̣τ̣τετικμενος ειτο[υ] .","[ιος σεμουν] [κνουμ]ανε αδδακετ κακουν , ⟨τ⟩ε̣τ̣τετικμενος ειτο[υ] .",[0] -> [2]
"ιος νι σεμ[ουν κνου]μανει κακουν αδακετ , τ̣ιτετικμενος αας κνουμ̣[---]","ιος νι σεμ[ουν κνου]μανει αδακετ κακουν , τ̣ιτετικμενος αας κνουμ̣[---]",[0] -> [2]
"ιος σα τι σκελεδριαι κακουν δακετ , ατετικμενος ατ τι αδειτου .","ιος σα τι σκελεδριαι δακετ κακουν , ατετικμενος ατ τι αδειτου .",[0] -> [2]
"[ι]ος σας του σκερεδ̣ρ̣ιας κακουν δακετ , [τ]ε̣ιττετικμενος α̣τ̣ τ̣ι̣ε ειτου .","[ι]ος σας του σκερεδ̣ρ̣ιας δακετ κακουν , [τ]ε̣ιττετικμενος α̣τ̣ τ̣ι̣ε ειτου .",[0] -> [2]
"ιος νι σαι κακουν αδδακεμ μανκαι , ας ανανκαι οι παντα κενα ⟨ι⟩ννου .","ιος νι σαι αδδακεμ κακουν μανκαι , ας ανανκαι οι παντα κενα ⟨ι⟩ννου .",[0] -> [2]
