sen_str,swapped_sen_str,leaf_rule
"Комияс ми уджавнытӧ кужам , сӧмын , гашкӧ , шойччынысӧ ог .","Комияс уджавнытӧ кужам ми , сӧмын , гашкӧ , шойччынысӧ ог .",[0] -> [1] -> [2] -> [4]
"Веськыда кӧ сёрнитны , ог лӧсяв морткӧд , коді би ни ва вермӧ скӧрмыны , a тані ачым сэтшӧмкодьнас лои ...","Веськыда кӧ сёрнитны , ог лӧсяв морткӧд , би ни ва вермӧ коді скӧрмыны , a тані ачым сэтшӧмкодьнас лои ...",[0] -> [1] -> [2] -> [4]
"— Неужели тэ веритан , мый збыльысь морт петалас ? — юалі ме вольпасьӧс лӧсьӧдігмоз .","— Неужели веритан тэ , мый збыльысь морт петалас ? — юалі ме вольпасьӧс лӧсьӧдігмоз .",[0] -> [1] -> [2] -> [4]
"Мортлы пыр овлӧ долыд , кор сійӧ выльысь воӧ важ тӧдсаинӧ , коді паметяд чужтӧ приятнӧй казьтылӧм .","Мортлы пыр овлӧ долыд , кор сійӧ выльысь воӧ важ тӧдсаинӧ , паметяд чужтӧ коді приятнӧй казьтылӧм .",[0] -> [1] -> [2] -> [4]
И ме кӧсъя сіе видлооны сы вӧсна вот .,И кӧсъя ме сіе видлооны сы вӧсна вот .,[0] -> [1] -> [2] -> [4]
"Оо , эні ме кӧсъя мунны аспирантураа велэдчыны .","Оо , эні кӧсъя ме мунны аспирантураа велэдчыны .",[0] -> [1] -> [2] -> [4]
"А меддёля вокныс сыа кӧр вӧтлэ , а вокъясыс , видед , водьын мунэныс аргышен .","А кӧр вӧтлэ меддёля вокныс сыа , а вокъясыс , видед , водьын мунэныс аргышен .",[0] -> [1] -> [2] -> [4]
"Тэнэ сыа интересуйтэ сэтшем восточнэй культураыс , да ?","Тэнэ интересуйтэ сыа сэтшем восточнэй культураыс , да ?",[0] -> [1] -> [2] -> [4]
"Одсӧ чинтытӧг , шоферыс машинасӧ веськӧдіс ӧти татшӧм переулокӧ , коді вӧлі зэв крутӧя кежӧ .","Одсӧ чинтытӧг , шоферыс машинасӧ веськӧдіс ӧти татшӧм переулокӧ , вӧлі зэв крутӧя кежӧ коді .",[0] -> [1] -> [2] -> [4]
"Тайӧ жӧ книгаас ми висьталам сӧмын нёль самӧй обыкновеннӧй боевӧй случай йылысь , кодъяс коркӧ , гражданскӧй война лунъясын , вӧвліны фронт вылын Климент Ефремовичкӧд .","Тайӧ жӧ книгаас висьталам ми сӧмын нёль самӧй обыкновеннӧй боевӧй случай йылысь , кодъяс коркӧ , гражданскӧй война лунъясын , вӧвліны фронт вылын Климент Ефремовичкӧд .",[0] -> [1] -> [2] -> [4]
"Ооо , ме любита ветлооны быдлаті .","Ооо , любита ме ветлооны быдлаті .",[0] -> [1] -> [2] -> [4]
Мый нэ ме ещё любита ?,Мый нэ ещё любита ме ?,[0] -> [1] -> [2] -> [4]
"И мый вӧсна получитіс сійӧ орденъяссӧ , кодъяс сылӧн дзирдалӧны морӧс вылас , кор первомайскӧй парад дырйи сійӧ петас аслас вӧв вылын Московскӧй Кремльса Спасскӧй башня важ воротаысь ?","И мый вӧсна получитіс сійӧ орденъяссӧ , сылӧн дзирдалӧны кодъяс морӧс вылас , кор первомайскӧй парад дырйи сійӧ петас аслас вӧв вылын Московскӧй Кремльса Спасскӧй башня важ воротаысь ?",[0] -> [1] -> [2] -> [4]
— Мый тэ вӧчан ?,— Мый вӧчан тэ ?,[0] -> [1] -> [2] -> [4]
"Роч кыв отсӧгӧн ми кокниа гӧгӧрвоам ӧта-мӧднымӧс , и юраным оз волы , мый аслыспӧлӧслунным вермас кыпӧдны мукӧдъясысь вылӧджык либӧ уськӧдны мукӧдъясысь улӧ .","Роч кыв отсӧгӧн кокниа гӧгӧрвоам ми ӧта-мӧднымӧс , и юраным оз волы , мый аслыспӧлӧслунным вермас кыпӧдны мукӧдъясысь вылӧджык либӧ уськӧдны мукӧдъясысь улӧ .",[0] -> [1] -> [2] -> [4]
"А ачым думайта , мый грӧзитӧ кӧ енэжыс гыма зэрӧн , сідз-тадз ставыс оз помась .","А думайта ачым , мый грӧзитӧ кӧ енэжыс гыма зэрӧн , сідз-тадз ставыс оз помась .",[0] -> [1] -> [2] -> [4]
"A ачым аддза : мамныс кодьӧсь найӧ , И мекӧд ӧти кывйӧ воӧ сикт .","A аддза ачым : мамныс кодьӧсь найӧ , И мекӧд ӧти кывйӧ воӧ сикт .",[0] -> [1] -> [2] -> [4]
"Но , позе висьтооны , мый ме комиысь да рочысь ӧтдор сёрнита английскеен бурджыка , ся неуна корейскей кылэн да немецкеен .","Но , позе висьтооны , мый комиысь да рочысь ӧтдор сёрнита ме английскеен бурджыка , ся неуна корейскей кылэн да немецкеен .",[0] -> [1] -> [2] -> [4]
Кыдзи дона олӧмӧс ті босьтад ?,Кыдзи дона олӧмӧс босьтад ті ?,[0] -> [1] -> [2] -> [4]
Мый вылӧ тэ видзӧдан ?,Мый вылӧ видзӧдан тэ ?,[0] -> [1] -> [2] -> [4]
"И со сійӧ ружӧктӧмӧн шлопкӧбтӧ - пуктӧ турунсӧ зорӧд вылӧ да сэсся видзӧдӧ ас гӧгӧрыс , быттьӧ кӧсйӧ шуны : со пӧ ӧд ми кутшӧмӧсь !","И со ружӧктӧмӧн шлопкӧбтӧ сійӧ - пуктӧ турунсӧ зорӧд вылӧ да сэсся видзӧдӧ ас гӧгӧрыс , быттьӧ кӧсйӧ шуны : со пӧ ӧд ми кутшӧмӧсь !",[0] -> [1] -> [2] -> [4]
"Кӧсъян кӧ , оз кӧ ло дыш тэныд лыддьынысӧ , ме висьтала тэныд , коръясӧ тэа-меа окыштчылім .","Кӧсъян кӧ , оз кӧ ло дыш тэныд лыддьынысӧ , висьтала ме тэныд , коръясӧ тэа-меа окыштчылім .",[0] -> [1] -> [2] -> [4]
"И вот найӧ шыбласьӧны нин канаваӧ , кыссьӧны турун пӧвстті , старайтчӧны воӧдчыны кыдз позьӧ матӧджык .","И вот шыбласьӧны найӧ нин канаваӧ , кыссьӧны турун пӧвстті , старайтчӧны воӧдчыны кыдз позьӧ матӧджык .",[0] -> [1] -> [2] -> [4]
