sen_str,swapped_sen_str,leaf_rule
"Ayrıca , mülteci ve göçmenler için yapılacak harcamaların bazı kanunlardan istisna tutulması için Bakanlar Kurulu'na yetki verildi .","Ayrıca , mülteci ve göçmenler için yapılacak harcamaların bazı kanunlardan istisna tutulması için yetki verildi Bakanlar Kurulu'na .",[0] -> [1] -> [11]
"Fenerbahçe , Ümit Özat'tan sonra Siirtspor'lu Ceyhun'u da iki yıllığına renklerine bağladı .","Fenerbahçe , Ümit Özat'tan sonra Siirtspor'lu Ceyhun'u da iki yıllığına bağladı renklerine .",[0] -> [1] -> [11]
Kızları kendi başına bırakırsan ya davulcuya ya da zurnacıya giderler .,Kızları bırakırsan kendi başına ya davulcuya ya da zurnacıya giderler .,[0] -> [1] -> [11]
Bardağı masanın üstüne koydu .,Bardağı koydu masanın üstüne .,[0] -> [1] -> [11]
"Kıran Bey , şimdi bacaklarına dolak sarmış , siyah poturlu , keçe külahlı , göğsünde fişeklikler ve elinde mavzer , tığ gibi bir delikanlıydı .","Kıran Bey , şimdi dolak sarmış bacaklarına , siyah poturlu , keçe külahlı , göğsünde fişeklikler ve elinde mavzer , tığ gibi bir delikanlıydı .",[0] -> [1] -> [11]
"1916'da başlayan Arap İsyanı , başta savaşın ilk iki yılında Orta Doğu cephesinde üstünlük kuran Osmanlı aleyhine döndürmüştür .","1916'da başlayan Arap İsyanı , döndürmüştür başta savaşın ilk iki yılında Orta Doğu cephesinde üstünlük kuran Osmanlı aleyhine .",[0] -> [1] -> [11]
Şuursuz bir acele ile mahmuzlarını atının karnına vurdu .,Şuursuz bir acele ile mahmuzlarını vurdu atının karnına .,[0] -> [1] -> [11]
Memleketten mektup mektup üstüne para istemiyorlardı o sıralarda .,Memleketten para istemiyorlardı mektup mektup üstüne o sıralarda .,[0] -> [1] -> [11]
"Çünkü anlattığı şeyler , bir dindarın anlattıklarına benzemiyor .","Çünkü anlattığı şeyler , benzemiyor bir dindarın anlattıklarına .",[0] -> [1] -> [11]
Bir gece damda uyurken rüyasına bir prens girmiş .,Bir gece damda uyurken bir prens girmiş rüyasına .,[0] -> [1] -> [11]
Gün boyu başka bir şey yeme imkanı olmayacağından Şura'nın haşlanmış geyik eti ve dün gece sobada kızarttığı ekmeklere talep fazla .,Gün boyu başka bir şey yeme imkanı olmayacağından talep fazla Şura'nın haşlanmış geyik eti ve dün gece sobada kızarttığı ekmeklere .,[0] -> [1] -> [11]
Onların karşısında ilk elde çekilmeyi şanına yediremedi .,Onların karşısında ilk elde çekilmeyi yediremedi şanına .,[0] -> [1] -> [11]
Bir tencere yağı önüne koyup mıncık mıncık yoğuruyordu .,Bir tencere yağı koyup önüne mıncık mıncık yoğuruyordu .,[0] -> [1] -> [11]
Borsada yönün yukarı dönmesi durumunda likit enstrümanlarda bekleyen paranın hisse senedine kayacağı söylenebilir .,Borsada yönün yukarı dönmesi durumunda likit enstrümanlarda bekleyen paranın kayacağı hisse senedine söylenebilir .,[0] -> [1] -> [11]
Çalışanların masalarına dini nesneler koyması serbest mi ?,Çalışanların dini nesneler koyması masalarına serbest mi ?,[0] -> [1] -> [11]
Bir diğer çarpıcı nokta da hemen hemen her kurumda olduğu bilinen torpil uygulamasının Güzel Sanatlar Fakültelerine öğrenci alımında bile söz konusu olması .,Bir diğer çarpıcı nokta da hemen hemen her kurumda olduğu bilinen torpil uygulamasının öğrenci alımında Güzel Sanatlar Fakültelerine bile söz konusu olması .,[0] -> [1] -> [11]
