sen_str,swapped_sen_str,leaf_rule
To ne bismo mogli bez povjerenja u mrežu Caritasa u BiH koja nam predlaže projekte .,To ne bismo mogli bez povjerenja u mrežu Caritasa u BiH nam predlaže koja projekte .,[0] -> [1] -> [2] -> [3]
"Kurti kaže kako će pregovori , koji će početi nakon izbora i uspostave novih institucija , biti u većoj mjeri vezani uz planove Beograda o mogućoj akcesiji u EU .","Kurti kaže kako će pregovori , će početi koji nakon izbora i uspostave novih institucija , biti u većoj mjeri vezani uz planove Beograda o mogućoj akcesiji u EU .",[0] -> [1] -> [2] -> [3]
""" Nitko neće glasovati zbog plakata ili video spota , već zbog udruge s ugledom koja se dokazala kroz rad .",""" Nitko neće glasovati zbog plakata ili video spota , već zbog udruge s ugledom se dokazala koja kroz rad .",[0] -> [1] -> [2] -> [3]
"Četvrti je Lenovo sa 10,3 % svjetskih isporuka , dok je na petom mjestu Asus koji drži 5,4 % tržišta .","Četvrti je Lenovo sa 10,3 % svjetskih isporuka , dok je na petom mjestu Asus drži koji 5,4 % tržišta .",[0] -> [1] -> [2] -> [3]
"No oligarsi koji su tada stasali , dodaje , danas su svršena stvar .","No oligarsi su tada stasali koji , dodaje , danas su svršena stvar .",[0] -> [1] -> [2] -> [3]
"Srbijanski ministar unutarnjih poslova Dragan Jočić i njegov bugarski kolega Rumen Petkov , koji je boravio u posjetu Srbiji , potpisali su u ponedjeljak ( 12. studenog ) sporazum o suradnji na području nadzora granica .","Srbijanski ministar unutarnjih poslova Dragan Jočić i njegov bugarski kolega Rumen Petkov , je boravio koji u posjetu Srbiji , potpisali su u ponedjeljak ( 12. studenog ) sporazum o suradnji na području nadzora granica .",[0] -> [1] -> [2] -> [3]
U protekle dvije godine ponovno je pojačana dominacija fondova koji posluju u okviru nekoliko bankarskih grupa i u prednosti su već zbog prodajnih kanala koje im nudi okrilje banke .,U protekle dvije godine ponovno je pojačana dominacija fondova posluju koji u okviru nekoliko bankarskih grupa i u prednosti su već zbog prodajnih kanala koje im nudi okrilje banke .,[0] -> [1] -> [2] -> [3]
"Našem sustavu još uvijek nedostaju mehanizmi nadzora monopolističkih cijena "" , kaže Stojan Stamenković , koji vodi tim analitičara .","Našem sustavu još uvijek nedostaju mehanizmi nadzora monopolističkih cijena "" , kaže Stojan Stamenković , vodi koji tim analitičara .",[0] -> [1] -> [2] -> [3]
"Poplave , koje se smatraju najtežim koje su ikad pogodile zemlju , dogodile su se koncem lipnja .","Poplave , koje se smatraju najtežim su ikad pogodile koje zemlju , dogodile su se koncem lipnja .",[0] -> [1] -> [2] -> [3]
Meni se čini da je to važno .,Meni se čini da je važno to .,[0] -> [1] -> [2] -> [3]
Imat ćemo ljude u sjedištima stranaka koji će izvještavati i dojavljivati rezultate .,Imat ćemo ljude u sjedištima stranaka će izvještavati koji i dojavljivati rezultate .,[0] -> [1] -> [2] -> [3]
"Parlament je sedam puta pokušavao izabrati predsjednika , ali nije uspijevao pronaći kandidata koji bi dobio većinu glasova .","Parlament je sedam puta pokušavao izabrati predsjednika , ali nije uspijevao pronaći kandidata bi dobio koji većinu glasova .",[0] -> [1] -> [2] -> [3]
"Sastanak je ugovorio i prisustvovao mu tadašnji tajni agent Aleksej Petrov , koji je kasnije postao savjetnik bivšeg šefa Državne agencije za državnu sigurnost ( DANS ) , a na tom je mjestu ostao do prošle godine , kada je završio u zatvoru u sklopu velike policijske operacije protiv mafije , nazvane "" Hobotnica "" , nevezane uz događaje oko ostavke Petkova .","Sastanak je ugovorio i prisustvovao mu tadašnji tajni agent Aleksej Petrov , je kasnije postao koji savjetnik bivšeg šefa Državne agencije za državnu sigurnost ( DANS ) , a na tom je mjestu ostao do prošle godine , kada je završio u zatvoru u sklopu velike policijske operacije protiv mafije , nazvane "" Hobotnica "" , nevezane uz događaje oko ostavke Petkova .",[0] -> [1] -> [2] -> [3]
""" "" Potrebna nam je ovakva strategija , jer je nužno uspostaviti okvir unutar kojeg ćemo se svi upoznati s promjenama koje nam predstoje u narednom razdoblju .",""" "" Potrebna nam je ovakva strategija , jer je nužno uspostaviti okvir unutar kojeg ćemo se svi upoznati s promjenama nam predstoje koje u narednom razdoblju .",[0] -> [1] -> [2] -> [3]
