sen_str,swapped_sen_str,leaf_rule
"Vão ser três gerações diferentes , mas com muita competitividade para brigar por esse título "" , declarou Fittipaldi , que vai participar de as 24 Horas de Daytona por a oitava vez .","Vão ser três gerações diferentes , mas com muita competitividade para brigar por esse título "" , Fittipaldi , que vai participar de as 24 Horas de Daytona por a oitava vez declarou .",[0] -> [1] -> [23]
"Não podemos ter piorado tanto de uma sessão para outra "" , falou o brasileiro .","Não podemos ter piorado tanto de uma sessão para outra "" , o brasileiro falou .",[0] -> [1] -> [23]
""" Fizemos um apelo para que os senadores estivessem aqui hoje e amanhã para isso "" , disse Sarney .",""" Fizemos um apelo para que os senadores estivessem aqui hoje e amanhã para isso "" , Sarney disse .",[0] -> [1] -> [23]
"É também um prazer trabalhar com a Williams de o ponto de vista técnico e comercial "" , disse Symonds .","É também um prazer trabalhar com a Williams de o ponto de vista técnico e comercial "" , Symonds disse .",[0] -> [1] -> [23]
"Eles conheceram nossos projetos e foi uma satisfação receber a comitiva de a Fifa aqui em Cuiabá "" , avaliou o governador .","Eles conheceram nossos projetos e foi uma satisfação receber a comitiva de a Fifa aqui em Cuiabá "" , o governador avaliou .",[0] -> [1] -> [23]
"Outro ataque com carro - bomba ocorreu em Taji , 20 quilômetros a o norte de a capital , matando quatro pessoas e ferindo 20 em as primeiras horas de a manhã , afirmou a polícia .","Outro ataque com carro - bomba ocorreu em Taji , 20 quilômetros a o norte de a capital , matando quatro pessoas e ferindo 20 em as primeiras horas de a manhã , a polícia afirmou .",[0] -> [1] -> [23]
"Estamos conscientes de o grande objetivo de buscar o melhor resultado , para que possa consolidar o título em o Brasileiro "" , declarou o piloto .","Estamos conscientes de o grande objetivo de buscar o melhor resultado , para que possa consolidar o título em o Brasileiro "" , o piloto declarou .",[0] -> [1] -> [23]
"« Penso que é possível recuar ainda mais em o tempo » , diz o astrofísico .","« Penso que é possível recuar ainda mais em o tempo » , o astrofísico diz .",[0] -> [1] -> [23]
""" Uma alimentação com excesso de gordura de origem animal e de açúcar pode desencadear ou piorar problemas como a dermatite seborreica , a caspa "" , afirma Luciano Barsanti , médico tricologista -- especialista em cabelos -- e diretor - médico de o Instituto de o Cabelo .",""" Uma alimentação com excesso de gordura de origem animal e de açúcar pode desencadear ou piorar problemas como a dermatite seborreica , a caspa "" , Luciano Barsanti , médico tricologista -- especialista em cabelos -- e diretor - médico de o Instituto de o Cabelo afirma .",[0] -> [1] -> [23]
""" Para todos nós que estava ali dentro foi um susto enorme , que é uma coisa que a gente nunca viu "" , afirmou outro funcionário .",""" Para todos nós que estava ali dentro foi um susto enorme , que é uma coisa que a gente nunca viu "" , outro funcionário afirmou .",[0] -> [1] -> [23]
""" Não foi nem o Reino Unido nem meu país natal , a Austrália , que decidiu me proteger de a perseguição , mas uma valente nação independente latino - americana "" , disse o ativista , de 41 anos .",""" Não foi nem o Reino Unido nem meu país natal , a Austrália , que decidiu me proteger de a perseguição , mas uma valente nação independente latino - americana "" , o ativista , de 41 anos disse .",[0] -> [1] -> [23]
"Não troco essa casa por uma de alvenaria "" , diz a moradora .","Não troco essa casa por uma de alvenaria "" , a moradora diz .",[0] -> [1] -> [23]
"Recentemente recebi algumas propostas e estou analisando junto com meu empresário "" , comentou ele a o site Grande Área .","Recentemente recebi algumas propostas e estou analisando junto com meu empresário "" , ele comentou a o site Grande Área .",[0] -> [1] -> [23]
"O avião em que o presidente de a Argentina , Carlos Menem , viajava em o último dia 30 de dezembro para Anillaco , sua cidade natal , iria ser atacado por um míssil , disse ontem o jornal de Buenos Aires « Ambito Financiero » .","O avião em que o presidente de a Argentina , Carlos Menem , viajava em o último dia 30 de dezembro para Anillaco , sua cidade natal , iria ser atacado por um míssil , o jornal de Buenos Aires « Ambito Financiero » disse ontem .",[0] -> [1] -> [23]
"Vamos ver se há possibilidade de reverter essa decisão em o mínimo temerária ¿ , disse o desembargador .","Vamos ver se há possibilidade de reverter essa decisão em o mínimo temerária ¿ , o desembargador disse .",[0] -> [1] -> [23]
"O jornalista australiano , que se refugiou em a embaixada para evitar ser extraditado a a Suécia , que o requer para uma investigação sobre crimes sexuais , se encontra "" em um espaço reduzido "" em a legação diplomática , lembrou a embaixadora .","O jornalista australiano , que se refugiou em a embaixada para evitar ser extraditado a a Suécia , que o requer para uma investigação sobre crimes sexuais , se encontra "" em um espaço reduzido "" em a legação diplomática , a embaixadora lembrou .",[0] -> [1] -> [23]
""" Essas exigências por si só mostram que há algo errado e que precisa ser mudado "" , finalizou o empresário a o lembrar que a regularização fundiária feita por o município foi somente junto a a comunidade carente .",""" Essas exigências por si só mostram que há algo errado e que precisa ser mudado "" , o empresário finalizou a o lembrar que a regularização fundiária feita por o município foi somente junto a a comunidade carente .",[0] -> [1] -> [23]
"Melhor procurá - lo em locais com bastante verde "" , assegurou o diretor .","Melhor procurá - lo em locais com bastante verde "" , o diretor assegurou .",[0] -> [1] -> [23]
"O MP não pode ser Ministério ' Privado ' "" , afirmou o parlamentar a o pontuar que o MPE não precisa ser provocado para agir de ofício .","O MP não pode ser Ministério ' Privado ' "" , o parlamentar afirmou a o pontuar que o MPE não precisa ser provocado para agir de ofício .",[0] -> [1] -> [23]
""" Partiu tranquilamente , como ele teria desejado "" , disse a família em nota .",""" Partiu tranquilamente , como ele teria desejado "" , a família disse em nota .",[0] -> [1] -> [23]
""" Tem cratera engolindo a Spipe Calarge e o dinheiro de o nosso povo , de novo "" , disse o prefeito .",""" Tem cratera engolindo a Spipe Calarge e o dinheiro de o nosso povo , de novo "" , o prefeito disse .",[0] -> [1] -> [23]
""" Por meio de conversas intimistas , espero proporcionar um maior conhecimento sobre essa figura transcendente "" , acrescentou Scorsese .",""" Por meio de conversas intimistas , espero proporcionar um maior conhecimento sobre essa figura transcendente "" , Scorsese acrescentou .",[0] -> [1] -> [23]
"Nada está excluído » , afirmou Montoro Filho .","Nada está excluído » , Montoro Filho afirmou .",[0] -> [1] -> [23]
""" Sabemos que para chegar é difícil , mas para manter é mais difícil ainda "" disse Rech .",""" Sabemos que para chegar é difícil , mas para manter é mais difícil ainda "" Rech disse .",[0] -> [1] -> [23]
"Foi ainda major , em vida de o Infante D. Henrique , aventou a hipótese de António Abreu ter descoberto a Austrália , cem anos antes de a chegada de os neerlandeses .","Foi ainda major , em vida de o Infante D. Henrique , a hipótese de António Abreu ter descoberto a Austrália , cem anos antes de a chegada de os neerlandeses aventou .",[0] -> [1] -> [23]
"Estou andando para frente "" , explicou o treinador .","Estou andando para frente "" , o treinador explicou .",[0] -> [1] -> [23]
"Em 35 anos , os danos causados ultrapassam dois mil milhões de pesetas ( 2400 milhões de contos ) , diz o relatório .","Em 35 anos , os danos causados ultrapassam dois mil milhões de pesetas ( 2400 milhões de contos ) , o relatório diz .",[0] -> [1] -> [23]
"Dow Chemical , que deve publicar nesta quinta - feira seus resultados trimestrais , lança "" um plano de reestruturação destinado a acelerar as reduções de custos e avançar em a transformação de a empresa diante de um crescimento macroeconômico que permanece lento "" , destaca o grupo .","Dow Chemical , que deve publicar nesta quinta - feira seus resultados trimestrais , lança "" um plano de reestruturação destinado a acelerar as reduções de custos e avançar em a transformação de a empresa diante de um crescimento macroeconômico que permanece lento "" , o grupo destaca .",[0] -> [1] -> [23]
"É uma situação absurda » , disse Taylor , 49 .","É uma situação absurda » , Taylor , 49 disse .",[0] -> [1] -> [23]
""" Essas quedas generalizadas em os preços de as carnes bovina podem estar relacionadas a as intensas chuvas que têm ocorrido em a região , melhorando sobremaneira as condições de as pastagens "" , analisa o pesquisador de a IPC Anhanguera - Uniderp , José Francisco de os Reis Neto .",""" Essas quedas generalizadas em os preços de as carnes bovina podem estar relacionadas a as intensas chuvas que têm ocorrido em a região , melhorando sobremaneira as condições de as pastagens "" , o pesquisador de a IPC Anhanguera - Uniderp , José Francisco de os Reis Neto analisa .",[0] -> [1] -> [23]
""" Ainda que excluídas as revisões de custos , os resultados de a PDG foram mais fracos que o esperado "" , assinalou a equipe de o Itaú BBA .",""" Ainda que excluídas as revisões de custos , os resultados de a PDG foram mais fracos que o esperado "" , a equipe de o Itaú BBA assinalou .",[0] -> [1] -> [23]
"Entramos em contato com o responsável por a agência e ele comentou que nada havia sido levado "" , explicou o GM .","Entramos em contato com o responsável por a agência e ele comentou que nada havia sido levado "" , o GM explicou .",[0] -> [1] -> [23]
"A queda foi a mais intensa desde dezembro de 2010 , quando ficou em -3,0 % , informou nesta terça - feira o Instituto Brasileiro de Geografia e Estatística ( IBGE ) .","A queda foi a mais intensa desde dezembro de 2010 , quando ficou em -3,0 % , o Instituto Brasileiro de Geografia e Estatística ( IBGE ) informou nesta terça - feira .",[0] -> [1] -> [23]
"« Não restam dúvidas que é o corpo de ele e que está morto » , garantiu um de os jornalistas em esse grupo , o americano Nate Thayer , correspondente de a « Far Eastern Economic Review » e o estrangeiro que melhor conheceu a história de o fundador de os Khmer Vermelhos .","« Não restam dúvidas que é o corpo de ele e que está morto » , um de os jornalistas em esse grupo , o americano Nate Thayer , correspondente de a « Far Eastern Economic Review » e o estrangeiro que melhor conheceu a história de o fundador de os Khmer Vermelhos garantiu .",[0] -> [1] -> [23]
"Segundo ele , o carinho sentido em as ruas e a festa durante a carreata que reuniu mais de 1000 veículos já denunciava o desfecho positivo , "" Estou muito feliz por o resultado , mas principalmente por o carinho recebido por a população quatiense "" , disse Bruno emocionado .","Segundo ele , o carinho sentido em as ruas e a festa durante a carreata que reuniu mais de 1000 veículos já denunciava o desfecho positivo , "" Estou muito feliz por o resultado , mas principalmente por o carinho recebido por a população quatiense "" , Bruno emocionado disse .",[0] -> [1] -> [23]
"Para entrar em ação , a tropa de ciclistas está esperando apenas que aconteça o cerimonial de inauguração , diz Santini .","Para entrar em ação , a tropa de ciclistas está esperando apenas que aconteça o cerimonial de inauguração , Santini diz .",[0] -> [1] -> [23]
"Consegui fazer isso , agora espero que as portas se abram para a ginástica de o Brasil "" , apontou o campeão , em entrevista em os estúdios de o Terra em Londres .","Consegui fazer isso , agora espero que as portas se abram para a ginástica de o Brasil "" , o campeão apontou , em entrevista em os estúdios de o Terra em Londres .",[0] -> [1] -> [23]
"Deu tudo certo "" , comemorou Fogacinha , que a os 21 anos é o mais jovem piloto de o grid .","Deu tudo certo "" , Fogacinha , que a os 21 anos é o mais jovem piloto de o grid comemorou .",[0] -> [1] -> [23]
""" Nós vamos ver em a justiça quem tem razão "" , concluiu o presidente .",""" Nós vamos ver em a justiça quem tem razão "" , o presidente concluiu .",[0] -> [1] -> [23]
""" Nós tivemos um estúdio em a França que se dedicou inteiramente em certificar que o modo multiplayer ficasse sólido e fosse capaz de entregar novas interações a o título "" , disse Ducharme .",""" Nós tivemos um estúdio em a França que se dedicou inteiramente em certificar que o modo multiplayer ficasse sólido e fosse capaz de entregar novas interações a o título "" , Ducharme disse .",[0] -> [1] -> [23]
Para recomendar Phil Markowitz bastam os testemunhos discográficos de_ as suas cumplicidades com Chet Baker .,Para recomendar Phil Markowitz os testemunhos discográficos de_ as suas cumplicidades com Chet Baker bastam .,[0] -> [1] -> [23]
