sen_str,swapped_sen_str,leaf_rule
ഒരു വിമാനത്തിൽ പൈലറ്ർ ഉം ട്രെയിനർ ഉം അല്ലെങ്കിൽ ട്രെയിനർ ഉം വിദ്യാർത്ഥി ഉം മറ്റൊരു വിമാനത്തിൽ ട്രെയിനർ ഉം വിദ്യാർത്ഥി ഉം ഉണ്ട് എന്ന് ആണ് കുരുതുന്നത് എന്ന് മിയാമി പൊലീസ് വക്താവ് പ്രതികരിച്ചു .,ഒരു വിമാനത്തിൽ പൈലറ്ർ ഉം ട്രെയിനർ ഉം അല്ലെങ്കിൽ ട്രെയിനർ ഉം വിദ്യാർത്ഥി ഉം മറ്റൊരു വിമാനത്തിൽ ട്രെയിനർ ഉം വിദ്യാർത്ഥി ഉം ഉണ്ട് എന്ന് ആണ് കുരുതുന്നത് എന്ന് പ്രതികരിച്ചു മിയാമി പൊലീസ് വക്താവ് .,[0] -> [2] -> [3]
നിർമാണം കഴിഞ്ഞ് 18 വർഷം കഴിഞ്ഞിട്ട് ഉം സംരക്ഷണഭിത്തി നിർമിയ്ക്കാത്തതിൽ പ്രതിഷേധം ശക്തം ആണ് .,നിർമാണം കഴിഞ്ഞ് 18 വർഷം കഴിഞ്ഞിട്ട് ഉം നിർമിയ്ക്കാത്തതിൽ സംരക്ഷണഭിത്തി പ്രതിഷേധം ശക്തം ആണ് .,[0] -> [2] -> [3]
ധിരുബായി അമ്പാനി മരിച്ചപ്പോൾ ഉണ്ടായ കുടുംബ വഴക്കിനെ തുടർന്ന് മുകേഷ് അമ്പാനിക്ക് സഹോദരന് നൽകണ്ട വന്ന കമ്പനി ആണ് റിലയൻസ് കമ്യൂണിക്കേഷൻസ് .,ധിരുബായി അമ്പാനി മരിച്ചപ്പോൾ ഉണ്ടായ കുടുംബ വഴക്കിനെ തുടർന്ന് മുകേഷ് അമ്പാനിക്ക് നൽകണ്ട വന്ന സഹോദരന് കമ്പനി ആണ് റിലയൻസ് കമ്യൂണിക്കേഷൻസ് .,[0] -> [2] -> [3]
എന്തായാലും ഈ വർഷം ചിത്രം മാറും എന്ന ഉറച്ച വിശ്വാസത്തിൽ ആണ് ശ്രീലങ്ക .,എന്തായാലും മാറും ഈ വർഷം ചിത്രം എന്ന ഉറച്ച വിശ്വാസത്തിൽ ആണ് ശ്രീലങ്ക .,[0] -> [2] -> [3]
പിന്നീട് രാമൻ പിള്ളയ്ക്ക് വക്കാലത്ത് നൽകുകയായിരുന്നു .,പിന്നീട് പിള്ളയ്ക്ക് വക്കാലത്ത് നൽകുകയായിരുന്നു രാമൻ .,[0] -> [2] -> [3]
ചൈനീസ് പ്രസിഡന്റ് ഷി ജിൻപിങ് ബംഗ്ലാദേശ് സന്ദർശിക്കുന്നതിനിടെയ് ആണ് രാജ്യത്തിന് ഇത്ര ഉം തുകയുടെ വായ്പ കരാർ പ്രഖ്യാപിച്ചിരിക്കുന്നത് .,ചൈനീസ് പ്രസിഡന്റ് ഷി ജിൻപിങ് ബംഗ്ലാദേശ് സന്ദർശിക്കുന്നതിനിടെയ് ആണ് രാജ്യത്തിന് ഇത്ര ഉം പ്രഖ്യാപിച്ചിരിക്കുന്നത് തുകയുടെ വായ്പ കരാർ .,[0] -> [2] -> [3]
"നിങ്ങൾ എന്ത് ഉപയോഗിക്കുന്നു എന്നത് കണക്കിലെടുക്കാതെ , നിങ്ങൾ ട്രാക്ക് ചെയ്യേണ്ട ചില ഇനങ്ങൾ ഉണ്ട് :","നിങ്ങൾ എന്ത് ഉപയോഗിക്കുന്നു എന്നത് കണക്കിലെടുക്കാതെ , ട്രാക്ക് ചെയ്യേണ്ട ചില ഇനങ്ങൾ നിങ്ങൾ ഉണ്ട് :",[0] -> [2] -> [3]
മേരി വെങ്കലം ഉം പീറ്റർ വെള്ളി ഉം ജെയിൻ സ്വർണം ഉം നേടി .,മേരി വെങ്കലം ഉം പീറ്റർ വെള്ളി ഉം സ്വർണം ഉം നേടി ജെയിൻ .,[0] -> [2] -> [3]
ഇനിയും ഈ പ്രഹസനം അവസാനിപ്പിക്കാനുള്ള കാലം ആയിട്ടില്ല എന്ന് തോന്നുന്നെങ്കിൽ ദയവ് ചെയ്ത് പ്രബുദ്ധരായ മലയാളികൾ എന്ന് ഊറ്റം കൊള്ളരുത് .,ഇനിയും ഈ പ്രഹസനം ആയിട്ടില്ല അവസാനിപ്പിക്കാനുള്ള കാലം എന്ന് തോന്നുന്നെങ്കിൽ ദയവ് ചെയ്ത് പ്രബുദ്ധരായ മലയാളികൾ എന്ന് ഊറ്റം കൊള്ളരുത് .,[0] -> [2] -> [3]
നിങ്ങൾക്ക് എപ്പോൾ വരാൻ കഴിയും എന്ന് നിങ്ങൾ കരുതുന്നു ?,നിങ്ങൾക്ക് എപ്പോൾ വരാൻ കഴിയും എന്ന് കരുതുന്നു നിങ്ങൾ ?,[0] -> [2] -> [3]
