sen_str,swapped_sen_str,leaf_rule
Elengedhetetlen a nemzetközi bizalmat erősítő makrogazdasági környezet megteremtése .,Elengedhetetlen erősítő a nemzetközi bizalmat makrogazdasági környezet megteremtése .,[0] -> [1] -> [11]
"A cég helyzetét a növekvő konkurencián kívül rontotta , hogy a kiskereskedelmi üzletek eladását szolgáló előprivatizáció keretében több boltját elvonták , ingatlanvagyonának 86 százalékát így két nagyméretű — 6 ezer négyzetméter körüli — raktár tette ki .","A cég helyzetét a növekvő konkurencián kívül rontotta , hogy szolgáló a kiskereskedelmi üzletek eladását előprivatizáció keretében több boltját elvonták , ingatlanvagyonának 86 százalékát így két nagyméretű — 6 ezer négyzetméter körüli — raktár tette ki .",[0] -> [1] -> [11]
"Szerdán azt közöltük , hogy az LRI igazgatója , Kovács Péter megbízásából készített , napokban elkészült szakértői jelentés megállapítja : annak ellenére , hogy a kanadai CCC többször sürgette a terminál átadását szentesítő szerződés , az "" Értesítés a Végső Befejezésről "" című okmány aláírását , a cég korábbi , felmentett igazgatója , Erdei Tamás ezt megtagadta .","Szerdán azt közöltük , hogy az LRI igazgatója , Kovács Péter megbízásából készített , napokban elkészült szakértői jelentés megállapítja : annak ellenére , hogy a kanadai CCC többször sürgette szentesítő a terminál átadását szerződés , az "" Értesítés a Végső Befejezésről "" című okmány aláírását , a cég korábbi , felmentett igazgatója , Erdei Tamás ezt megtagadta .",[0] -> [1] -> [11]
"Ezért mindössze egy 25 oldalas , 11 összefoglaló táblát tartalmazó dokumentum készült , azt küldték szét múlt szombaton a képviselőknek .","Ezért mindössze egy 25 oldalas , tartalmazó 11 összefoglaló táblát dokumentum készült , azt küldték szét múlt szombaton a képviselőknek .",[0] -> [1] -> [11]
"Végül ez év elején a társaság vezérigazgatója is felmondott , így a ma már csak néhány alkalmazottat foglalkoztató cég ügyeit várhatóan a végelszámolásra kiszemelt Budapest Holding Első Hazai Vagyonkezelő Rt. zárja le .","Végül ez év elején a társaság vezérigazgatója is felmondott , így a ma már foglalkoztató csak néhány alkalmazottat cég ügyeit várhatóan a végelszámolásra kiszemelt Budapest Holding Első Hazai Vagyonkezelő Rt. zárja le .",[0] -> [1] -> [11]
"A nyomozást azt követően rendelték el , hogy a közelmúltban egy holttestet leltek a tokiói repülőtér közelében fekvő egyik szállodában .","A nyomozást követően azt rendelték el , hogy a közelmúltban egy holttestet leltek a tokiói repülőtér közelében fekvő egyik szállodában .",[0] -> [1] -> [11]
"Az elmúlt nyolc hónapban , amelyből összesen hatot kényszerűségből szabadságon töltött a parlamenti ellenzék , megváltozott itthon a hatalommegosztás 1990-ben kialakított rendszere : az e héten audienciát tartó kormányfő gyakorlatilag kivonta magát az Országgyűlés ellenőrzése alól .","Az elmúlt nyolc hónapban , amelyből összesen hatot kényszerűségből szabadságon töltött a parlamenti ellenzék , megváltozott itthon a hatalommegosztás 1990-ben kialakított rendszere : az e héten tartó audienciát kormányfő gyakorlatilag kivonta magát az Országgyűlés ellenőrzése alól .",[0] -> [1] -> [11]
"Szenvedélyes vitáktól lesz tehát hangos ősszel a képviselőház , hiszen a stabilitást hangsúlyozó , a kormányprogramban 2000-re ígért adó- és egészségügyireformlépéseket elodázó , mindenféle karakterisztikus változást nélkülöző büdzsé mögé egyelőre még a kormánykoalíciós pártokat sem sikerült felsorakoztatni .","Szenvedélyes vitáktól lesz tehát hangos ősszel a képviselőház , hiszen hangsúlyozó a stabilitást , a kormányprogramban 2000-re ígért adó- és egészségügyireformlépéseket elodázó , mindenféle karakterisztikus változást nélkülöző büdzsé mögé egyelőre még a kormánykoalíciós pártokat sem sikerült felsorakoztatni .",[0] -> [1] -> [11]
"Az előadás első felében a Cosi fan tutte I. felvonása hangzik fel , ezt követően pedig a Cigánybáró I. felvonása .","Az előadás első felében a Cosi fan tutte I. felvonása hangzik fel , követően ezt pedig a Cigánybáró I. felvonása .",[0] -> [1] -> [11]
"A szavak kiürülésének egyik oka a civil társadalom szótárának állapota , mely ahhoz ugyan erős volt , hogy antidemokratikus viszonyok között fenntartsa a demokrácia reményét , de arra már gyengének bizonyult , hogy a demokratikus viszonyok formáinak megteremtését követően kikövetelje a formák tartalommal való telítését .","A szavak kiürülésének egyik oka a civil társadalom szótárának állapota , mely ahhoz ugyan erős volt , hogy antidemokratikus viszonyok között fenntartsa a demokrácia reményét , de arra már gyengének bizonyult , hogy követően a demokratikus viszonyok formáinak megteremtését kikövetelje a formák tartalommal való telítését .",[0] -> [1] -> [11]
