sen_str,swapped_sen_str,leaf_rule
"Vaikų ir paauglių psichiatrė , psichoterapeutė Roma Šerkšnienė seminaruose apie vaikų pyktį pabrėžia , kad pyktis reiškia , jog vaikas jau yra pasiekęs tam tikrą brandos laipsnį , nes tam , kad pyktų , jis turi tikėti tam tikrais dalykais ir pasitikėti tam tikrais žmonėmis .","Vaikų ir paauglių psichiatrė , psichoterapeutė Roma Šerkšnienė seminaruose apie vaikų pyktį pabrėžia , kad pyktis reiškia , jog jau yra pasiekęs vaikas tam tikrą brandos laipsnį , nes tam , kad pyktų , jis turi tikėti tam tikrais dalykais ir pasitikėti tam tikrais žmonėmis .",[0] -> [1] -> [2] -> [4]
"Juodo tunelio gale paaugliai prievartauja „ pyrdą “ – garsas tai sustiprėja , tai vėl nutolsta , matyt , jie sodų keliukais suka ratus apie ežerą .","Juodo tunelio gale prievartauja paaugliai „ pyrdą “ – garsas tai sustiprėja , tai vėl nutolsta , matyt , jie sodų keliukais suka ratus apie ežerą .",[0] -> [1] -> [2] -> [4]
"Siekdama užsibrėžto strateginio tikslo , Inspekcija vykdo Duomenų apsaugos valdymo programą .","Siekdama užsibrėžto strateginio tikslo , vykdo Inspekcija Duomenų apsaugos valdymo programą .",[0] -> [1] -> [2] -> [4]
6 . Komitetas vykdo šias funkcijas :,6 . vykdo Komitetas šias funkcijas :,[0] -> [1] -> [2] -> [4]
"7 . Tarnyba ne vėliau kaip per 5 darbo dienas nuo visų Taisyklių 6 punkte nurodytų dokumentų gavimo dienos įrašo asmenį į Pašto paslaugos teikėjų sąrašą , kuris skelbiamas Tarnybos interneto svetainėje , ir praneša asmeniui , pateikusiam Pranešimą .","7 . ne vėliau kaip per 5 darbo dienas nuo visų Taisyklių 6 punkte nurodytų dokumentų gavimo dienos įrašo Tarnyba asmenį į Pašto paslaugos teikėjų sąrašą , kuris skelbiamas Tarnybos interneto svetainėje , ir praneša asmeniui , pateikusiam Pranešimą .",[0] -> [1] -> [2] -> [4]
"Tokių nukritusiame lėktuve , kuris gruodžio 25 dieną pražudė 92 žmones , buvo trys .","Tokių nukritusiame lėktuve , gruodžio 25 dieną pražudė kuris 92 žmones , buvo trys .",[0] -> [1] -> [2] -> [4]
"3 ) įmonė turi galimybę daryti lemiamą poveikį kitai įmonei dėl sutarčių , sudarytų su šia įmone , arba dėl šios įmonės steigimo dokumentų nuostatų ;","3 ) turi įmonė galimybę daryti lemiamą poveikį kitai įmonei dėl sutarčių , sudarytų su šia įmone , arba dėl šios įmonės steigimo dokumentų nuostatų ;",[0] -> [1] -> [2] -> [4]
"Policija tvirtina , kad protestuotojai mėtė įvairius daiktus ir bandė prasibrauti pro tvorą , juosiančią parlamento rūmus , pranešė BBC .","Policija tvirtina , kad mėtė protestuotojai įvairius daiktus ir bandė prasibrauti pro tvorą , juosiančią parlamento rūmus , pranešė BBC .",[0] -> [1] -> [2] -> [4]
"„ Tie , kurie pas jus vadinami kairiaisiais , pas mus vadinami dešiniaisiais .","„ Tie , pas jus vadinami kurie kairiaisiais , pas mus vadinami dešiniaisiais .",[0] -> [1] -> [2] -> [4]
"Kitaip jis visada generuos įtampą ir trintį , ne tik prieštaraujančią sveikam protui , bet ir žalingą Lietuvos valstybės interesui ..","Kitaip visada generuos jis įtampą ir trintį , ne tik prieštaraujančią sveikam protui , bet ir žalingą Lietuvos valstybės interesui ..",[0] -> [1] -> [2] -> [4]
