sen_str,swapped_sen_str,leaf_rule
"Византияға қауіп төндірді , Түрік қағанатымен соғыс жүргізді .","Византияға қауіп төндірді , Түрік қағанатымен жүргізді соғыс .",[0] -> [1]
Сондай-ақ Қазақстан Иранға астық жеткізіп тұруға мүдделі .,Сондай-ақ Қазақстан Иранға жеткізіп астық тұруға мүдделі .,[0] -> [1]
"Жылқы бағып жүріп , қалың беріп , қатын алдым .","Жылқы бағып жүріп , қалың беріп , алдым қатын .",[0] -> [1]
Енді осы негізде саяси жүйені біртіндеп демократияландыруды бастады .,Енді осы негізде біртіндеп демократияландыруды саяси жүйені бастады .,[0] -> [1]
"Ғашық адамға Құранның аяты қасиетті емес , жарының сөзі қасиетті , жарынан басқа адамның сөзін не қылсын Шолпан !","Ғашық адамға Құранның аяты қасиетті емес , жарының сөзі қасиетті , не қылсын жарынан басқа адамның сөзін Шолпан !",[0] -> [1]
Төстік бір күні ауылдың арасында отырған тарғақты садақпен тартып қалады .,Төстік бір күні садақпен тартып ауылдың арасында отырған тарғақты қалады .,[0] -> [1]
Қазақстанда жергілікті полиция қызметі өз жұмысын бастады .,Қазақстанда жергілікті полиция қызметі бастады өз жұмысын .,[0] -> [1]
"Қожа етті жемей , табаққа шапанының жеңін малып : - Же , шапаным , же ! - деп , отыра береді .","Қожа етті жемей , табаққа малып шапанының жеңін : - Же , шапаным , же ! - деп , отыра береді .",[0] -> [1]
Әр адамның білім алуға құқығы бар .,Әр адамның алуға білім құқығы бар .,[0] -> [1]
Мен әмиянімді жоғалтып алдым .,Мен жоғалтып әмиянімді алдым .,[0] -> [1]
Барлық сегіз топтың жеңімпаздары мен екінші орын алған командалар 1 / 8 финалға шығады .,Барлық сегіз топтың жеңімпаздары мен алған екінші орын командалар 1 / 8 финалға шығады .,[0] -> [1]
Біз кестеге сай жұмыс жасаймыз .,Біз кестеге жасаймыз сай жұмыс .,[0] -> [1]
"Турасын ойлағанда , балаңа қатын әперме , енші берме , барыңды салсаң да , орыстың ғылымын үйрет !","Турасын ойлағанда , балаңа әперме қатын , енші берме , барыңды салсаң да , орыстың ғылымын үйрет !",[0] -> [1]
"Сондықтан да мұнда біз бәрін мұқият зерттеп , ақылға салып көруіміз керек .","Сондықтан да мұнда біз мұқият зерттеп бәрін , ақылға салып көруіміз керек .",[0] -> [1]
Әрі ырым көрді .,Әрі көрді ырым .,[0] -> [1]
"Пірәдар болды , әулиеге ат айтты , қорасанға қой айтты : « Жасаған ау , бала бере гөр ! » – деді .","Пірәдар болды , әулиеге айтты ат , қорасанға қой айтты : « Жасаған ау , бала бере гөр ! » – деді .",[0] -> [1]
"- Құрметті Президент мырза , мен Сізді Қытайда көргеніме қуанышты мын .","- Құрметті Президент мырза , мен Қытайда көргеніме Сізді қуанышты мын .",[0] -> [1]
Дауыстарды санау басталғаннан кейін сайлаушылар ( таңдаушылар ) тізімдеріне өзгерістер енгізуге тыйым салынады .,Дауыстарды санау басталғаннан кейін сайлаушылар ( таңдаушылар ) тізімдеріне енгізуге өзгерістер тыйым салынады .,[0] -> [1]
"1901 ж. ағылшындар Иран мұнайын шығаруға рұқсат алып , 1909 ж. бірлескен ағылшын - парсы мұнай компаниясы құрылды .","1901 ж. ағылшындар Иран мұнайын шығаруға алып рұқсат , 1909 ж. бірлескен ағылшын - парсы мұнай компаниясы құрылды .",[0] -> [1]
8 қаңтар — Қазақстандық сиқыршы Руслан Иванченков бес сағат үздіксіз сиқыр көрсетіп Гиннестің рекордтар кітабына енді .,8 қаңтар — Қазақстандық сиқыршы Руслан Иванченков бес сағат көрсетіп үздіксіз сиқыр Гиннестің рекордтар кітабына енді .,[0] -> [1]
— Мені қашан шығарасыз ? — деп тағы сұрады .,— қашан шығарасыз Мені ? — деп тағы сұрады .,[0] -> [1]
"Маусым – шілде айларында гүлдеп , тамызда жеміс береді .","Маусым – шілде айларында гүлдеп , тамызда береді жеміс .",[0] -> [1]
— Бәйбішені атып кетті .,— атып Бәйбішені кетті .,[0] -> [1]
- Барлық аталған мәселелер бойынша Президент нақты тапсырмалар берді .,- Барлық аталған мәселелер бойынша Президент берді нақты тапсырмалар .,[0] -> [1]
Және бұл жерде демократиялық желеуді алға тартудың реті келмейді .,Және бұл жерде алға тартудың демократиялық желеуді реті келмейді .,[0] -> [1]
Мен Малайзияның әр азаматына осы кітапты оқып шығуды ұсынғым келеді .,Мен Малайзияның әр азаматына оқып осы кітапты шығуды ұсынғым келеді .,[0] -> [1]
"Немере етін жеп , сүйегін қалдырады .","Немере етін жеп , қалдырады сүйегін .",[0] -> [1]
"Қане , осыны дауысқа саламын .","Қане , дауысқа саламын осыны .",[0] -> [1]
- XXI ғасырда біздің Конституциямызды жаңаша оқу қажет .,- XXI ғасырда жаңаша оқу біздің Конституциямызды қажет .,[0] -> [1]
"Пірәдар болды , әулиеге ат айтты , қорасанға қой айтты : « Жасаған ау , бала бере гөр ! » – деді .","Пірәдар болды , әулиеге ат айтты , қорасанға қой айтты : « Жасаған ау , бере бала гөр ! » – деді .",[0] -> [1]
1980 – 1990 ж. болған Иран — Ирак соғысы ел экономикасына өте ауыр ( 700 млрд. АҚШ долларынан астам ) зардаптар әкелді .,1980 – 1990 ж. болған Иран — Ирак соғысы ел экономикасына әкелді өте ауыр ( 700 млрд. АҚШ долларынан астам ) зардаптар .,[0] -> [1]
"Мектеп түлектері қазақ , орыс және ағылшын тілдерін білуге тиіс .","Мектеп түлектері білуге қазақ , орыс және ағылшын тілдерін тиіс .",[0] -> [1]
- Бас прокуратураның және Бас прокурордың жұмысын қолдаймын .,- қолдаймын Бас прокуратураның және Бас прокурордың жұмысын .,[0] -> [1]
"14 ғасырдан кейін қолжазба көркемдеу , қабырғаға сурет салу дамыды .","14 ғасырдан кейін қолжазба көркемдеу , қабырғаға салу сурет дамыды .",[0] -> [1]
Жаңа үкімет халықтың қысымымен 1919 ж. ағылшын - парсы шартын жойылды деп жариялады .,Жаңа үкімет халықтың қысымымен 1919 ж. жойылды ағылшын - парсы шартын деп жариялады .,[0] -> [1]
Сіздің ұйым ерекше өркениетті миссияны жүзеге асырады .,Сіздің ұйым жүзеге асырады ерекше өркениетті миссияны .,[0] -> [1]
"Балалардың бәрі , некелі немесе некесіз туған , бірдей әлеуметтік қорғауды пайдаланады .","Балалардың бәрі , некелі немесе некесіз туған , пайдаланады бірдей әлеуметтік қорғауды .",[0] -> [1]
Үй иесі : - Сіздің бұ не қылғаныңыз ? Шапан ет жейтін бе еді ? - дейді .,Үй иесі : - Сіздің бұ не қылғаныңыз ? Шапан жейтін ет бе еді ? - дейді .,[0] -> [1]
Айгүл қолымен көздерін жауып отыр .,Айгүл қолымен жауып көздерін отыр .,[0] -> [1]
Мен полицияны шақырамын .,Мен шақырамын полицияны .,[0] -> [1]
Барлық адам осы Декларацияның ережелерін бұзатын кемсітуден және кемсітуге арандатушылықтың барлық түрінен тең қорғалуға құқылы .,Барлық адам бұзатын осы Декларацияның ережелерін кемсітуден және кемсітуге арандатушылықтың барлық түрінен тең қорғалуға құқылы .,[0] -> [1]
"Сасани әулеті дәуірінде ( 3 — 7 ғасырлар ) қалаларды қорған ішіне жүйелі жоба бойынша салу қанат жайды ( мыс. , Нишапур қаласы шахмат жүйесімен салынған ) .","Сасани әулеті дәуірінде ( 3 — 7 ғасырлар ) қалаларды қорған ішіне жүйелі жоба бойынша салу жайды қанат ( мыс. , Нишапур қаласы шахмат жүйесімен салынған ) .",[0] -> [1]
"Өтінемін , менің бөлмемді жинаңыз .","Өтінемін , жинаңыз менің бөлмемді .",[0] -> [1]
Мемлекет басшысы министрлікке бірқатар нақты тапсырмалар жүктеді .,Мемлекет басшысы министрлікке жүктеді бірқатар нақты тапсырмалар .,[0] -> [1]
Ешкімді де азаматтығынан немесе азаматтығын өзгерту құқығынан еріксіз айыруға болмайды .,Ешкімді де азаматтығынан немесе өзгерту азаматтығын құқығынан еріксіз айыруға болмайды .,[0] -> [1]
Алматы қаласына елбасының келуі көптеген мәселелерге жаңаша қарауға септігін тигізді .,Алматы қаласына елбасының келуі көптеген мәселелерге жаңаша қарауға тигізді септігін .,[0] -> [1]
"Алтынай малын сауады , өгізді көздейді , байлайды , отынын тереді , отын жағады , суын әкеледі , күл шығарады , тамағын істейді , киімін өзі тігеді , үйін жияды , сыпырады , қорасын тазалайды .","Алтынай малын сауады , өгізді көздейді , байлайды , отынын тереді , отын жағады , суын әкеледі , күл шығарады , тамағын істейді , киімін өзі тігеді , жияды үйін , сыпырады , қорасын тазалайды .",[0] -> [1]
"Балаларды оқытқан да жақсы , бірақ құлшылық қыларлық қана , түркі танырлық қана таза оқытса болады .","Балаларды оқытқан да жақсы , бірақ таза оқытса құлшылық қыларлық қана , түркі танырлық қана болады .",[0] -> [1]
Біз осы дәстүрді қастерлеп сақтаймыз және нығайтамыз .,Біз қастерлеп осы дәстүрді сақтаймыз және нығайтамыз .,[0] -> [1]
- Сізді Гонконгте құшақ жая қарсы алу біз үшін үлкен құрмет .,- Гонконгте құшақ жая қарсы алу Сізді біз үшін үлкен құрмет .,[0] -> [1]
Құрылыстың аумағы 488 шаршы метрді құрайды .,Құрылыстың аумағы құрайды 488 шаршы метрді .,[0] -> [1]
Австрия Қазақстанның басты сауда серіктестері арасында жетінші орын алады .,Австрия Қазақстанның басты сауда серіктестері арасында алады жетінші орын .,[0] -> [1]
- Қазақстан өзінің Грузиямен байланысында нақты экономикалық мүдделерді көздейді .,- Қазақстан өзінің Грузиямен байланысында көздейді нақты экономикалық мүдделерді .,[0] -> [1]
"Және де кейбір қазақтар ағайынымен араздасқанда : “ Сенің осы зорлығыңа көнгенше , баламды солдатқа беріп , басыма шаш , аузыма мұрт қойып кетпесем бе ! ” деуші еді .","Және де кейбір қазақтар ағайынымен араздасқанда : “ Сенің осы зорлығыңа көнгенше , солдатқа беріп баламды , басыма шаш , аузыма мұрт қойып кетпесем бе ! ” деуші еді .",[0] -> [1]
Айгүл оны ақырын тыңдайды .,Айгүл ақырын тыңдайды оны .,[0] -> [1]
""" Сені таптым ! "" деп күледі .",""" таптым Сені ! "" деп күледі .",[0] -> [1]
Бұл кісі сені жақсы көреді .,Бұл кісі жақсы көреді сені .,[0] -> [1]
Бір мезгілде әлгі торғай жансыз тастай ағып түсті топ етіп .,Бір мезгілде әлгі торғай жансыз тастай ағып түсті етіп топ .,[0] -> [1]
Біз әрдайым қарым-қатынасымыздың серпінін қанағаттанарлық сезіммен айқындаймыз .,Біз қанағаттанарлық сезіммен айқындаймыз әрдайым қарым-қатынасымыздың серпінін .,[0] -> [1]
"Бразилия өз жерінде чемпионатты екі рет өткізген бесінші ел болды ( Мексика , Италия , Франция және Германиядан кейін ) .","Бразилия өз жерінде екі рет өткізген чемпионатты бесінші ел болды ( Мексика , Италия , Франция және Германиядан кейін ) .",[0] -> [1]
"Ол талай қызды алып қашқан , талайды тастаған , қатын алу , тастау оған тымақ ауыстырып кигенмен бір есеп .","Ол талай қызды алып қашқан , тастаған талайды , қатын алу , тастау оған тымақ ауыстырып кигенмен бір есеп .",[0] -> [1]
Нұрсұлтан Назарбаев сондай-ақ облыстың Қан құю орталығында болды .,Нұрсұлтан Назарбаев сондай-ақ облыстың құю Қан орталығында болды .,[0] -> [1]
Не қылса да сөзді ұқтырса болады оларға .,Не қылса да ұқтырса сөзді болады оларға .,[0] -> [1]
"Әрбіреудің тілін өнерін білген кісі соныменен бірдейлік дағуасына кіреді , аса арсыздана жалынбайды .","Әрбіреудің тілін білген өнерін кісі соныменен бірдейлік дағуасына кіреді , аса арсыздана жалынбайды .",[0] -> [1]
"1932 жылы ауылшаруашылық авиациясының базасы құрылып , бұл Шымкент әуежайының негізін қалады .","1932 жылы ауылшаруашылық авиациясының базасы құрылып , бұл қалады Шымкент әуежайының негізін .",[0] -> [1]
Нақ мұндайды мен әлемнің ешбір жерінен көрген емеспін .,Нақ мен әлемнің ешбір жерінен көрген емеспін мұндайды .,[0] -> [1]
Компания сондай-ақ жүк вагондарын жинау жөніндегі өндірісті жолға қою ниетінде .,Компания сондай-ақ жолға қою жүк вагондарын жинау жөніндегі өндірісті ниетінде .,[0] -> [1]
"Олар екеуі де көңілді үйге қарай келе жатыр , бір нәрсе жеп , су ішетін уақыт болды !","Олар екеуі де көңілді үйге қарай келе жатыр , бір нәрсе жеп , ішетін су уақыт болды !",[0] -> [1]
