sen_str,swapped_sen_str,leaf_rule
似乎 我哋 呢度 未 諮詢 夠 足夠 嘅 法律 意見 。,似乎 呢度 未 諮詢 我哋 夠 足夠 嘅 法律 意見 。,[0] -> [1]
係 監誓員 秘書長 呢 ， 係 冇 處理 到 佢哋 嘅 宣誓 。,係 ， 係 監誓員 秘書長 呢 冇 處理 到 佢哋 嘅 宣誓 。,[0] -> [1]
我 姓 湯 ， 不過 啲 人 成 條 街 都 唔 知道 我 姓 湯 ， 冇 人 知道 我 叫 咩 名 嘅 。,我 姓 湯 ， 不過 成 條 街 都 唔 知道 啲 人 我 姓 湯 ， 冇 人 知道 我 叫 咩 名 嘅 。,[0] -> [1]
即係 你 有 咩 可能 ， 一 個 候選人 ， 佢 嘅 國籍 尚未 確定 ， 我哋 就 開展 成 個 程序 ？,即係 你 有 咩 可能 ， 一 個 候選人 ， 佢 嘅 國籍 尚未 確定 ， 就 開展 我哋 成 個 程序 ？,[0] -> [1]
不過 我 想 知 你 嘅 決定 係 建基於 你 認為 有關 議員 是否 應該 正式 宣誓 之後 做 ， 定 話 唔 做 ？,不過 我 想 知 係 你 嘅 決定 建基於 你 認為 有關 議員 是否 應該 正式 宣誓 之後 做 ， 定 話 唔 做 ？,[0] -> [1]
我 唔 係 嗰 種 性格 ， 我 係 中意 响 出面 玩 嘅 性格 。 唔 中意 响 屋企 做 家務 呀 ， 帶 細路仔 嗰 種 性格 。,我 唔 係 嗰 種 性格 ， 係 中意 响 出面 玩 嘅 性格 我 。 唔 中意 响 屋企 做 家務 呀 ， 帶 細路仔 嗰 種 性格 。,[0] -> [1]
梅艷芳 喺度 唱 過 ， 羅文 喺度 唱 過 ， 呀 ， 尹光 又 喺度 唱 過 。 幾多 明星 喺度 唱 過 呀 。,梅艷芳 喺度 唱 過 ， 喺度 唱 羅文 過 ， 呀 ， 尹光 又 喺度 唱 過 。 幾多 明星 喺度 唱 過 呀 。,[0] -> [1]
就 佢 暫時 未 收 到 手 ， 下馬 ？,就 暫時 未 收 佢 到 手 ， 下馬 ？,[0] -> [1]
噉 ， 終於 有 個 朋友 呢 ， 佢 介紹 我 去 酒樓 夜總會 唱歌 。,噉 ， 終於 有 個 朋友 呢 ， 介紹 佢 我 去 酒樓 夜總會 唱歌 。,[0] -> [1]
正正 因為 噉 ， 我哋 對 自己 嘅 要求 所以 先至 要 更加 高 。,正正 因為 噉 ， 所以 先至 要 更加 高 我哋 對 自己 嘅 要求 。,[0] -> [1]
