sen_str,swapped_sen_str,leaf_rule
Domstolen har en relativt stor makt .,Domstolen en relativt stor makt har .,[0] -> [1] -> [2] -> [3] -> [4]
Det finns många olika sätt att familjepolitiskt lösa detta delade ansvar .,Det finns många olika sätt att familjepolitiskt detta delade ansvar lösa .,[0] -> [1] -> [2] -> [3] -> [4]
Jag har i minnet när jag säger detta att Jacques Maritain en gång karakteriserade nittonhundratalets europeiska antisemitism som ett försök att göra sig kvitt kristendomens moraliska börda .,Jag har i minnet när jag säger detta att Jacques Maritain en gång nittonhundratalets europeiska antisemitism karakteriserade som ett försök att göra sig kvitt kristendomens moraliska börda .,[0] -> [1] -> [2] -> [3] -> [4]
"Man får passa det noga vid skötningarna , så att det inte ramlar ner och slår sig .","Man får passa det noga vid skötningarna , så att det inte ramlar ner och sig slår .",[0] -> [1] -> [2] -> [3] -> [4]
Hennes vänstra arm liknade skyltfönstret hos Tiffanys .,Hennes vänstra arm skyltfönstret hos Tiffanys liknade .,[0] -> [1] -> [2] -> [3] -> [4]
"Våningssängen gjorde det klart att Clelia inte hade några barn , att den stod där i ett rum som inte var ett barnrum verkade säga något som annars kunde glömmas bort .","Våningssängen gjorde det klart att Clelia inte hade några barn , att den stod där i ett rum som inte var ett barnrum verkade något som annars kunde glömmas bort säga .",[0] -> [1] -> [2] -> [3] -> [4]
"Han satt och bevakade sina domäner av cigaretter , pipor och cigarrer","Han satt och sina domäner av cigaretter , pipor och cigarrer bevakade",[0] -> [1] -> [2] -> [3] -> [4]
"Jag tänkte just laga lite lunch åt mig , sa han och reste sig .","Jag tänkte just laga lite lunch åt mig , sa han och sig reste .",[0] -> [1] -> [2] -> [3] -> [4]
Men låt oss på samma gång lösa de övriga problemen på annat sätt .,Men oss låt på samma gång lösa de övriga problemen på annat sätt .,[0] -> [1] -> [2] -> [3] -> [4]
När hon åt sina scones blev det kvar ett snigelspår av sot längs hennes överläpp .,När hon sina scones åt blev det kvar ett snigelspår av sot längs hennes överläpp .,[0] -> [1] -> [2] -> [3] -> [4]
Statens oförmåga att ' bygga bort ' bostadsköerna har starkt kritiserats .,Statens oförmåga att ' bostadsköerna bygga bort ' har starkt kritiserats .,[0] -> [1] -> [2] -> [3] -> [4]
"Sällan har väl barn i något samhälle blivit så lite diciplinerade och auktoritetsbundna , så fria och obundna samtidigt som man lagt ned så mycket tid och möda på att ge dem en bra uppfostran .","Sällan har väl barn i något samhälle blivit så lite diciplinerade och auktoritetsbundna , så fria och obundna samtidigt som man så mycket tid och möda lagt ned på att ge dem en bra uppfostran .",[0] -> [1] -> [2] -> [3] -> [4]
"Det skulle säkert underlätta mycket att ha ett speciellt ställe där han kunde nedteckna sina tankar , sina iakttagelser och sina frågor .","Det skulle säkert underlätta mycket att ett speciellt ställe där han kunde nedteckna sina tankar , sina iakttagelser och sina frågor ha .",[0] -> [1] -> [2] -> [3] -> [4]
"Jag har en liten teori som ni , mina unga herrar som far dit ut , måste hjälpa mig att bevisa .","Jag en liten teori som ni , mina unga herrar som far dit ut , måste hjälpa mig att bevisa har .",[0] -> [1] -> [2] -> [3] -> [4]
Jag delade förmodligen inte hans inställning -- han hoppades verkligen att jag inte gjorde det -- men han var inte längre intresserad av ytligt umgänge :,Jag hans inställning delade förmodligen inte -- han hoppades verkligen att jag inte gjorde det -- men han var inte längre intresserad av ytligt umgänge :,[0] -> [1] -> [2] -> [3] -> [4]
"Hon mötte härnäst den regerande mästaren och toppseedade Sara Errani , men blev besegrad .","Hon den regerande mästaren och toppseedade Sara Errani mötte härnäst , men blev besegrad .",[0] -> [1] -> [2] -> [3] -> [4]
"Och mamma , det är en person vars dag består av bäddning , städning , inköp , dra barnvagn på promenad , matlagning , tvättning , diskning , ta på och av barn , leka med barn , huta åt barn osv .","Och mamma , det är en person vars dag består av bäddning , städning , inköp , barnvagn dra på promenad , matlagning , tvättning , diskning , ta på och av barn , leka med barn , huta åt barn osv .",[0] -> [1] -> [2] -> [3] -> [4]
