sen_str,swapped_sen_str,leaf_rule
Áddjá lea čeahppi muitalit ságaid .,Áddjá lea čeahppi ságaid muitalit .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
"Juos gorreválggain lea dárbbašlaš deavdit gáibádusa , man mielde lahtuid ja sadjásašlahtuid gaskkas galget leat sihke nissonat ja dievddut , de galgá beare uhccán ovddastuvvon sohkabeali evttohasaid loktet badjeliidda dan listtas , mii lea ožžon uhcimus jienaid daid listtaid gaskkas mat galget ovddastuvvot .","Juos gorreválggain lea dárbbašlaš gáibádusa , man mielde lahtuid ja sadjásašlahtuid gaskkas galget leat sihke nissonat ja dievddut deavdit , de galgá beare uhccán ovddastuvvon sohkabeali evttohasaid loktet badjeliidda dan listtas , mii lea ožžon uhcimus jienaid daid listtaid gaskkas mat galget ovddastuvvot .",[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Lea hávski oažžut reivve .,Lea hávski reivve oažžut .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Ii leat vuogas geavahit hálduiváldima dálá fásta opmodagaide .,Ii leat vuogas hálduiváldima geavahit dálá fásta opmodagaide .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Danne lea váttis čohkket barggu buot surggiide oktanaga .,Danne lea váttis barggu čohkket buot surggiide oktanaga .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
"Jagi 2005 Sámediggi álggahii Divvuma , mii lei prošeakta ja bargojoavku ráhkadit sámegielaid sátnedivvunprográmmaid .","Jagi 2005 Sámediggi álggahii Divvuma , mii lei prošeakta ja bargojoavku sámegielaid sátnedivvunprográmmaid ráhkadit .",[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
"Go skuvlaáigodat guhkiduvvui ja sierra skuvlaviesut huksejuvvojedje , de lei vejolaš lágidit guhkesbasiid ja ruovttumátkki .","Go skuvlaáigodat guhkiduvvui ja sierra skuvlaviesut huksejuvvojedje , de lei vejolaš guhkesbasiid ja ruovttumátkki lágidit .",[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Gean vuorru lea dál bálkestit birccu ?,Gean vuorru lea dál birccu bálkestit ?,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Ii lean dábálaš váldit mánáid mielde rohkosvissui .,Ii lean dábálaš mánáid váldit mielde rohkosvissui .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
"Prošeavtta váldoulbmil lea ovddidit máhtu mii váldá ovdan gažaldagaid kultuvrra , birrasa , ealáhusaid ja hálddašeami birra .","Prošeavtta váldoulbmil lea máhtu mii váldá ovdan gažaldagaid kultuvrra , birrasa , ealáhusaid ja hálddašeami birra ovddidit .",[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Mu mielas lea suohtas oahppat sámegiela .,Mu mielas lea suohtas sámegiela oahppat .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Dološ olbmot ledje hui čeahpit dulkot nieguid .,Dološ olbmot ledje hui čeahpit nieguid dulkot .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
E-boasta lea hui álkes ja jođánis vuohki sáddet reivviid birra máilmmi .,E-boasta lea hui álkes ja jođánis vuohki reivviid sáddet birra máilmmi .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Leatgo geavaheaddjis váttisvuođat buktit áššiid ovdan ?,Leatgo geavaheaddjis váttisvuođat áššiid buktit ovdan ?,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Ulbmil lea čuovvulit sámilága áigumušaid ja vuoigatvuođaid sámegiela viidásut geavaheamis .,Ulbmil lea sámilága áigumušaid ja vuoigatvuođaid čuovvulit sámegiela viidásut geavaheamis .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Bargolávdegotti bargu : Álgobargu lei čielggadit min mandáhta .,Bargolávdegotti bargu : Álgobargu lei min mandáhta čielggadit .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
"Giellakantuvrras ii leat formála váldi álggahit gielladoaimmaid etáhtain , muhto veahkehit .","Giellakantuvrras ii leat formála váldi gielladoaimmaid álggahit etáhtain , muhto veahkehit .",[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Mánáin lea vuoigatvuohta oažžut dearvvašvuođaiskkadeami .,Mánáin lea vuoigatvuohta dearvvašvuođaiskkadeami oažžut .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Nystø mielas leaba soai Lene Hanseniin rievttes olbmot ovddastit sámi álbmoga dáhtu Tromssa ohcamušas .,Nystø mielas leaba soai Lene Hanseniin rievttes olbmot sámi álbmoga dáhtu ovddastit Tromssa ohcamušas .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
"Stivrra lahttu , gii eaktodáhtus dahje sahtedohko lea dagahan Finnmárkkuopmodahkii manahusa luohttámušdoaimma čađahettiin , lea geatnegas buhttet manahusa .","Stivrra lahttu , gii eaktodáhtus dahje sahtedohko lea dagahan Finnmárkkuopmodahkii manahusa luohttámušdoaimma čađahettiin , lea geatnegas manahusa buhttet .",[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Eará guovddáš ulbmil prošeavttain lea fuomášahttit dan máhttodárbbu maid riikkaidgaskasaš ja sisriikkalaš birasulbmilat bohciidahttet .,Eará guovddáš ulbmil prošeavttain lea dan máhttodárbbu maid riikkaidgaskasaš ja sisriikkalaš birasulbmilat bohciidahttet fuomášahttit .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Munnje lei lossat lohkat girjji eŋgelasgillii .,Munnje lei lossat girjji lohkat eŋgelasgillii .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
"Jagis 2005 Sámediggi álggahii Divvuma , mii lei prošeakta ja bargojoavku ráhkadit sámegielaid sátnedivvunprográmmaid .","Jagis 2005 Sámediggi álggahii Divvuma , mii lei prošeakta ja bargojoavku sámegielaid sátnedivvunprográmmaid ráhkadit .",[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Lea dárbu nannet doaimmaid mat ovddidit sámi dutkama .,Lea dárbu doaimmaid mat ovddidit sámi dutkama nannet .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Lea erenoamáš dehálaš movttiidahttit sámegielat doaktáriid bargat gielddain .,Lea erenoamáš dehálaš sámegielat doaktáriid movttiidahttit bargat gielddain .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Dál lea váttis dadjat juste beaivvi goas váttisvuođat čoavdašuvvet .,Dál lea váttis beaivvi dadjat juste goas váttisvuođat čoavdašuvvet .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Giellatekno bargá elektrovnnalaš sátnegirjjiiguin : mii laktit sátnegirjji grammatihkalaš analysii vai lea vejolaš oažžut sihke grammatihkalaš analysa ja jorgalusa maiddái sojahuvvon sániide .,Giellatekno bargá elektrovnnalaš sátnegirjjiiguin : mii laktit sátnegirjji grammatihkalaš analysii vai lea vejolaš sihke grammatihkalaš analysa ja jorgalusa oažžut maiddái sojahuvvon sániide .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Gittabivdosiin ii leat lohpi bivdit deanu eambbo go beallái .,Gittabivdosiin ii leat lohpi deanu bivdit eambbo go beallái .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Lea ártet go it gallet fulkkiid .,Lea ártet go it fulkkiid gallet .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Dárbbašlaš lea dikšut jávrriid ovdal_go lea ekonomalaččat veara bivdit .,Dárbbašlaš lea jávrriid dikšut ovdal_go lea ekonomalaččat veara bivdit .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Sin bargun lei váldit fáŋgan Gonagasa .,Sin bargun lei Gonagasa váldit fáŋgan .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Ulbmil lea ovddidit guovddáža eamiálbmotdutkamiid guovddážin .,Ulbmil lea guovddáža eamiálbmotdutkamiid guovddážin ovddidit .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Muhtumin lea deaŧalaš čállit journála dalán .,Muhtumin lea deaŧalaš journála čállit dalán .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Ii galgga leat vejolaš addit nuppi áššebeallái viidát vuoigatvuođaid dahje geatnegasvuođaid go alddis leat .,Ii galgga leat vejolaš viidát vuoigatvuođaid dahje geatnegasvuođaid addit nuppi áššebeallái go alddis leat .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
Dálolaš lei garas barggahit iežas reaŋgga .,Dálolaš lei garas iežas reaŋgga barggahit .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
"Danne_go mii orrut tunealla lahka , de lea álki isidii vuodjit tunealla go manná girdišilljui .","Danne_go mii orrut tunealla lahka , de lea álki isidii tunealla vuodjit go manná girdišilljui .",[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
"Ii lean šat nu álki vuovdit ránuid , nu ahte soađi maŋŋil máŋggas heite ránuid gođđimis .","Ii lean šat nu álki ránuid vuovdit , nu ahte soađi maŋŋil máŋggas heite ránuid gođđimis .",[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
1912:s čállá Finnmárkku skuvlladirektevra : &#34; Olbmot leat leamaš dilssit buktit bierggu máksun mánáideaset dikšumis .,1912:s čállá Finnmárkku skuvlladirektevra : &#34; Olbmot leat leamaš dilssit bierggu máksun buktit mánáideaset dikšumis .,[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
"Deaŧalaš lea sihkkarastit eamiálbmogiid ovddastusa dákkár čállingottis , dadjá Keskitalo .","Deaŧalaš lea eamiálbmogiid ovddastusa sihkkarastit dákkár čállingottis , dadjá Keskitalo .",[0] -> [1] -> [11] -> [12] -> [13] -> [14] -> [16]
