sen_str,swapped_sen_str,leaf_rule
"Аҳәынҭқар аашьаҩцәа ҳәа иҟаз зегьы ааизиган , инаганы ҿыц иҟарҵаз аҩны иҩнеиҵеит , шаҟаҩы рҭахыз амаҵуцәагьы нарыҭаны .","Аҳәынҭқар аашьаҩцәа ҳәа иҟаз зегьы ааизиган , инаганы ҿыц иҟарҵаз аҩны иҩнеиҵеит , нарыҭаны шаҟаҩы рҭахыз амаҵуцәагьы .",[0] -> [1]
"– Угәы ҿыҕьуазар , уца , ацха ҟаҵала ма даҽа фатәык еизгала , аӡынра амла уакырц уҭахымзар .","– Угәы ҿыҕьуазар , уца , ацха ҟаҵала ма даҽа фатәык еизгала , аӡынра уакырц амла уҭахымзар .",[0] -> [1]
Аҽны Мкан аҧсшьара имазар Леонид имашьына дақәтәаны ихарацәамкәа иани иаби ахьынхо ақыҭахь далацалоит .,Аҽны аҧсшьара имазар Мкан Леонид имашьына дақәтәаны ихарацәамкәа иани иаби ахьынхо ақыҭахь далацалоит .,[0] -> [1]
"– Амилициахь аҭел ҳасроуп , – иҳәеит уаанӡа рацәак ҿызымҭцәоз Николаи .","– Амилициахь ҳасроуп аҭел , – иҳәеит уаанӡа рацәак ҿызымҭцәоз Николаи .",[0] -> [1]
"– Уаангылишь , уаангылишь ! – аҳәеит Ажә , иахьтәаз ажаҳәара иааҟәыҵны .","– Уаангылишь , уаангылишь ! – аҳәеит Ажә , иахьтәаз иааҟәыҵны ажаҳәара .",[0] -> [1]
"Иури иаб есышьыжьымҭан аусурахь данцоз диҳәон атапанча сзаага ҳәа , ашҭаҿы ихәмаруаз ахәыҷқәа зегьы акака рыман иара ида .","Иури есышьыжьымҭан аусурахь данцоз диҳәон иаб атапанча сзаага ҳәа , ашҭаҿы ихәмаруаз ахәыҷқәа зегьы акака рыман иара ида .",[0] -> [1]
"Арҭ аашьаҩцәа амаҵуцәа рыман , аха раҧхьаӡа ианеизырга , зназы маҷк рхы иацхраауашәа иҟан .","Арҭ аашьаҩцәа амаҵуцәа рыман , аха раҧхьаӡа ианеизырга , зназы маҷк иацхраауашәа рхы иҟан .",[0] -> [1]
"Уеизгьы шьҭа сара истәуп , исцәызгозеи , џьара ашәак нахҳәааны исфап ҳәа иаахәыцит .","Уеизгьы шьҭа истәуп сара , исцәызгозеи , џьара ашәак нахҳәааны исфап ҳәа иаахәыцит .",[0] -> [1]
"Георги иаара аамҭа анахыҧаӡа , Лиудмила аҭел дасит , аха ҿимҭит .","Георги иаара аамҭа анахыҧаӡа , Лиудмила дасит аҭел , аха ҿимҭит .",[0] -> [1]
"Иҳаиҕьӡам ! – ҿаанаҭит Ала , Ажә иаҳәаз агәы иахәаны .","Иҳаиҕьӡам ! – ҿаанаҭит Ала , Ажә иаҳәаз иахәаны агәы .",[0] -> [1]
