sen_str,swapped_sen_str,leaf_rule
Bazarda mivə var amma yaxçı dəyil .,Bazarda var mivə amma yaxçı dəyil .,[0]
"Əyər uşaq biz evə getməmış yatsa , yetişincə gərək onu oyandırax .","Əyər biz evə getməmış yatsa uşaq , yetişincə gərək onu oyandırax .",[0]
Deniz yoldaşının pişirdigi qəzadan ikki boşqab yedi .,Deniz pişirdigi yoldaşının qəzadan ikki boşqab yedi .,[0]
Pəs kitabxanada kılar harda iydi ?,Pəs harda kitabxanada kılar iydi ?,[0]
Evdə çörək var ?,Evdə var çörək ?,[0]
Deyəsən Ayşə Hakanın məşq yazmasına kömək eləmişimiş .,Deyəsən Ayşə məşq yazmasına Hakanın kömək eləmişimiş .,[0]
Evin qabağında üç maşınlıq park yeri var .,Evin qabağında var üç maşınlıq park yeri .,[0]
Söbh kitabı Deniz Ayhana verdi ?,Söbh kitabı Ayhana verdi Deniz ?,[0]
Deyəsən Ayşə Hakanın məşq yazmasına kömək eləmişimiş .,Deyəsən Hakanın məşq yazmasına kömək eləmişimiş Ayşə .,[0]
Maşın aldı amma qardaşı fəqət çərx aldı .,Maşın aldı amma fəqət çərx aldı qardaşı .,[0]
Söbh Deniz kitabı Ayhana verdi ?,Söbh kitabı Ayhana verdi Deniz ?,[0]
Fikr elirəm ki uşaq tez yatacax .,Fikr elirəm ki tez yatacax uşaq .,[0]
O maşın aldı amma qardaşı fəqət çərx aldı .,O maşın aldı amma fəqət çərx aldı qardaşı .,[0]
"Gecəni qalan qonax qapını çalmışdı , amma ev sahab sil - süpür elirdi və resturandan sifariş verən qəza hələ gələcəgidi .","Gecəni qalan qonax qapını çalmışdı , amma ev sahab sil - süpür elirdi və hələ gələcəgidi resturandan sifariş verən qəza .",[0]
"Gecəni qalan qonax qapını çalmışdı , amma ev sahab sil - süpür elirdi və resturandan sifariş verən qəza hələ gələcəgidi .","Gecəni qalan qonax qapını çalmışdı , amma sil - süpür elirdi ev sahab və resturandan sifariş verən qəza hələ gələcəgidi .",[0]
Olar Kimin yazdığını bilmirlər .,Olar yazdığını Kimin bilmirlər .,[0]
"Əyər uşaq biz evə getməmış yatsa , yetişincə gərək onu oyandırax .","Əyər uşaq evə getməmış biz yatsa , yetişincə gərək onu oyandırax .",[0]
Anasının kitab oxuması Denizin yuxlamasını rahatlaşdırır .,Anasının kitab oxuması yuxlamasını Denizin rahatlaşdırır .,[0]
"Mizin üstündə çox kitab var , kitabxanda yox .","Mizin üstündə var çox kitab , kitabxanda yox .",[0]
Söbh Deniz kitabı Ayhana verdi ?,Söbh kitabı Ayhana verdi Deniz ?,[0]
"Böyük evdəki uşağın tükləri sarıdır , kiçik evdə kinin ki qəhveyidir .","Böyük evdəki uşağın tükləri sarıdır , qəhveyidir kiçik evdə kinin ki .",[0]
Deniz babasının ona kitab oxumasını istəyir .,Deniz ona kitab oxumasını babasının istəyir .,[0]
Fikr elirəm yağış yağır .,Fikr elirəm yağır yağış .,[0]
Evdə çörək var ?,Evdə var çörək ?,[0]
"Sudə üç saatdır afisdə dəyil , Ayşə də evdə dəyilmiş .","Sudə üç saatdır afisdə dəyil , evdə Ayşə də dəyilmiş .",[0]
Söbh kitabı Deniz Ayhana verdi ?,Söbh kitabı Ayhana verdi Deniz ?,[0]
Kiçik pəncərəli evlərdə kifayət qədər işıq yoxdur .,Kiçik pəncərəli evlərdə yoxdur kifayət qədər işıq .,[0]
Həll eləməyə təlaş elədigimiz məsələ kitabxanada beş dənə kitaba da yer olmamasıdır .,Həll eləməyə təlaş elədigimiz məsələ kitabxanada beş dənə kitaba da olmamasıdır yer .,[0]
