sen_str,swapped_sen_str,leaf_rule
Tashrif davomida elchi Samarqand tarixiga bagʻishlangan “ Afrosiyob ” muzeyini ham borib koʻrdi .,Tashrif davomida Samarqand tarixiga bagʻishlangan “ Afrosiyob ” muzeyini ham borib elchi koʻrdi .,[0] -> [2]
Taʼlimning birinchi yili talabalar oʻzbek tilini oʻrganadi va kasb - hunar taʼlimi dasturida yoʻnalish oladi .,Taʼlimning birinchi yili oʻzbek tilini oʻrganadi talabalar va kasb - hunar taʼlimi dasturida yoʻnalish oladi .,[0] -> [2]
"Ubay aka bizning qoʻshnimiz , baquvvat , yelkalari keng , ovozi qattiq kishi edi .","Ubay aka bizning qoʻshnimiz , baquvvat keng , yelkalari , ovozi qattiq kishi edi .",[0] -> [2]
"Islom Karimov fermerlarning qishloq xoʻjaligidan qanday foyda koʻrayotgani , yurtimizdagi yangilanishlar qishloq ahli hayoti va tafakkurida qanday aks etayotgani bilan qiziqdi .","Islom Karimov qishloq xoʻjaligidan qanday foyda koʻrayotgani fermerlarning , yurtimizdagi yangilanishlar qishloq ahli hayoti va tafakkurida qanday aks etayotgani bilan qiziqdi .",[0] -> [2]
Bugungi kunda ommaviy axborot vositalarisiz insonlar hayotini tasavvur qilib boʻlmaydi va ularda axborot va soʻz erkinligi taʼminlanmoqda .,Bugungi kunda ommaviy axborot vositalarisiz insonlar hayotini tasavvur qilib boʻlmaydi va ularda taʼminlanmoqda axborot va soʻz erkinligi .,[0] -> [2]
"Yomgʻirlar , asosan , qisqa muddatli boʻlib , momaqaldiroq boʻladi va shiddatli shamol esadi .","Yomgʻirlar , asosan , qisqa muddatli boʻlib , boʻladi momaqaldiroq va shiddatli shamol esadi .",[0] -> [2]
Uyda non bormi ?,Uyda bormi non ?,[0] -> [2]
Kolumbiyada maktab avtobusi 200 metr balandlikdan quladi .,Kolumbiyada 200 metr balandlikdan quladi maktab avtobusi .,[0] -> [2]
Bepoyon bu ummon uzra dolgʻali tun choʻkmoqda .,Bepoyon bu ummon uzra choʻkmoqda dolgʻali tun .,[0] -> [2]
Sohibqiron tigʻi yetmagan joylarni Navoiy shu tilda zabt etgan .,Sohibqiron tigʻi yetmagan joylarni shu tilda zabt etgan Navoiy .,[0] -> [2]
"Yoʻq , muhabbat moʻjiza emas , buyuk qoʻrquvdir .","Yoʻq , moʻjiza muhabbat emas , buyuk qoʻrquvdir .",[0] -> [2]
Toshkentda dzyudo boʻyicha Gran-pri musobaqasi boʻlib oʻtmoqda .,Toshkentda boʻlib oʻtmoqda dzyudo boʻyicha Gran-pri musobaqasi .,[0] -> [2]
