sen_str,swapped_sen_str,leaf_rule
सीटू अध्यक्ष एम. के. पंढे ने कहा कि कर्मचारियों ने अपनी माँग के समर्थन में देश भर में स्थानीय प्रशासन और रीजनल प्रोविडेंट फंड कमिश्नरों को ज्ञापन सौंपा है ।,सीटू अध्यक्ष एम. के. पंढे ने कि कर्मचारियों ने अपनी माँग के समर्थन में देश भर में स्थानीय प्रशासन और रीजनल प्रोविडेंट फंड कमिश्नरों को ज्ञापन सौंपा है कहा ।,[0] -> [1]
ऐन लोकसभा चुनाव से पहले शरद पवार का साथ छोड़ने वाले पूर्व लोकसभा अध्यक्ष पीए संगमा ने बुधवार को कहा कि वे राष्ट्रवादी कांग्रेस पार्टी ( एनसीपी ) में लौट रहे हैं ।,ऐन लोकसभा चुनाव से पहले शरद पवार का साथ छोड़ने वाले पूर्व लोकसभा अध्यक्ष पीए संगमा ने बुधवार को कि वे राष्ट्रवादी कांग्रेस पार्टी ( एनसीपी ) में लौट रहे हैं कहा ।,[0] -> [1]
वेटिकन ने अब अधिकृत रूप से कहा है कि पोप का निधन सेप्टिक और हार्ट अटैक से हुआ ।,वेटिकन ने अब अधिकृत रूप से कि पोप का निधन सेप्टिक और हार्ट अटैक से हुआ कहा है ।,[0] -> [1]
एक वरिष्ठ पुलिस अधिकारी ने बताया कि इन आठ युवकों ने बंदूक की नोंक पर इन लड़कियों के साथ बलात्कार किया ।,एक वरिष्ठ पुलिस अधिकारी ने कि इन आठ युवकों ने बंदूक की नोंक पर इन लड़कियों के साथ बलात्कार किया बताया ।,[0] -> [1]
साउथ इंडियन फिशरमैन सोसाइटी फेडरेशन के अध्यक्ष विवेकानंदन ने बताया कि मछुआरों ने उनसे कहा है कि समुद्र की गहराई में खासी कमी आई है ।,साउथ इंडियन फिशरमैन सोसाइटी फेडरेशन के अध्यक्ष विवेकानंदन ने कि मछुआरों ने उनसे कहा है कि समुद्र की गहराई में खासी कमी आई है बताया ।,[0] -> [1]
जिला मजिस्ट्रेट ने बताया कि रिहा किए गए व्यापारियों का उत्तरी त्रिपुरा के सरकारी अस्पताल में इलाज कराया जा रहा है ।,जिला मजिस्ट्रेट ने कि रिहा किए गए व्यापारियों का उत्तरी त्रिपुरा के सरकारी अस्पताल में इलाज कराया जा रहा है बताया ।,[0] -> [1]
ऐसा संभव नहीं होने पर उन्होंने आयोग से माँग की थी कि उनकी पार्टी को ही असली जनता दल मान लिया जाए ।,ऐसा संभव नहीं होने पर उन्होंने आयोग से माँग कि उनकी पार्टी को ही असली जनता दल मान लिया जाए की थी ।,[0] -> [1]
पूछने पर कुछ ग्रामीणों ने तो यहां तक कहा कि जनस्वास्थ्य केंद्र और ब्लॉकों के कर्मचारी मरीजों को मुफ्त में बांटने के लिए आईं दवाओं को बेचकर पैसे खड़े कर लेते हैं ।,पूछने पर कुछ ग्रामीणों ने तो यहां तक कि जनस्वास्थ्य केंद्र और ब्लॉकों के कर्मचारी मरीजों को मुफ्त में बांटने के लिए आईं दवाओं को बेचकर पैसे खड़े कर लेते हैं कहा ।,[0] -> [1]
राजद के राष्ट्रीय प्रवक्ता शिवानंद तिवारी का नाम लिए बिना सुभाष ने लालू की इस बात के लिए आलोचना की कि चुनाव चिन्ह उनके आवास पर भेजा गया ।,राजद के राष्ट्रीय प्रवक्ता शिवानंद तिवारी का नाम लिए बिना सुभाष ने लालू की इस बात के लिए आलोचना कि चुनाव चिन्ह उनके आवास पर भेजा गया की ।,[0] -> [1]
"जानकारों का कहना है कि तिब्बत के पठार की भौगोलिक संरचना को देख कर यह पक्के तौर पर नहीं कहा जा सकता है कि पारछू का खतरा अब खत्म हो गया है , क्योंकि इस क्षेत्र में चट्टानें लगातार खिसकती रहती हैं ।","जानकारों का कहना है कि तिब्बत के पठार की भौगोलिक संरचना को देख कर यह पक्के तौर पर नहीं कि पारछू का खतरा अब खत्म हो गया है , क्योंकि इस क्षेत्र में चट्टानें लगातार खिसकती रहती हैं कहा जा सकता है ।",[0] -> [1]
इन विज्ञापनों में दावा किया गया है कि सुप्रीम कोर्ट ने अखिल भारतीय स्तर पर परीक्षा आयोजित कराने की अनुमति दे दी है ।,इन विज्ञापनों में दावा कि सुप्रीम कोर्ट ने अखिल भारतीय स्तर पर परीक्षा आयोजित कराने की अनुमति दे दी है किया गया है ।,[0] -> [1]
"मंजू प्रकाश ने कहा कि बैंक की पासबुक , राशन कार्ड और अन्य परिस्थितिजन्य साक्ष्यों को देखते हुए लगता है कि गायक उदित नारायण की रंजना से शादी हुई थी ।","मंजू प्रकाश ने कि बैंक की पासबुक , राशन कार्ड और अन्य परिस्थितिजन्य साक्ष्यों को देखते हुए लगता है कि गायक उदित नारायण की रंजना से शादी हुई थी कहा ।",[0] -> [1]
