sen_str,swapped_sen_str,leaf_rule
Jest pan gejem ?,Jest gejem pan ?,[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6] -> [22]
"Wiem , że według wielu osób odniesienie do kwoty nie jest prawdziwym rozwiązaniem , ale muszę powiedzieć , że niestety nie znaleziono jeszcze bardziej skutecznego rozwiązania administracyjnego .","Wiem , że według wielu osób nie jest prawdziwym rozwiązaniem odniesienie do kwoty , ale muszę powiedzieć , że niestety nie znaleziono jeszcze bardziej skutecznego rozwiązania administracyjnego .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6] -> [22]
"Czy wybór między czołowymi producentami nart jest istotny dla wyniku , czy to tylko kwestia pieniędzy ?","Czy jest istotny wybór między czołowymi producentami nart dla wyniku , czy to tylko kwestia pieniędzy ?",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6] -> [22]
"Nie jest dla nikogo tajemnicą , że stan kultury klezmerskiej w krajach Europy Środkowo - Wschodniej jest dramatyczny .","Nie jest dla nikogo tajemnicą , że jest dramatyczny stan kultury klezmerskiej w krajach Europy Środkowo - Wschodniej .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6] -> [22]
"Przeważający odsetek ankietowanych uważa , iż do rozwoju polskiej gospodarki w większym stopniu przyczyniają się firmy prywatne niż państwowe ( odpowiednio 45 % i 17 % ) oraz że są one bardziej elastyczne i lepiej przystosowują się do potrzeb rynku ( 73 % wobec 8 % ) .","Przeważający odsetek ankietowanych uważa , iż do rozwoju polskiej gospodarki w większym stopniu przyczyniają się firmy prywatne niż państwowe ( odpowiednio 45 % i 17 % ) oraz że są bardziej elastyczne one i lepiej przystosowują się do potrzeb rynku ( 73 % wobec 8 % ) .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6] -> [22]
Tak więc rachunki dla działalności rolniczej są zasadniczo podobne do rachunków gospodarstw rolnych ( rachunek produkcji i rachunek tworzenia dochodów ) .,Tak więc są zasadniczo podobne rachunki dla działalności rolniczej do rachunków gospodarstw rolnych ( rachunek produkcji i rachunek tworzenia dochodów ) .,[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6] -> [22]
- Czy polscy kierowcy zawodowi rzeczywiście są profesjonalistami ?,- Czy rzeczywiście są profesjonalistami polscy kierowcy zawodowi ?,[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6] -> [22]
"Niestety , blokada jest ogromna .","Niestety , jest ogromna blokada .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6] -> [22]
Czym Ukraińcy są najbardziej zawiedzieni ?,Czym są najbardziej zawiedzieni Ukraińcy ?,[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6] -> [22]
"Dotyczy to także tolerancji , która była kryptonimem różnych poglądów - bronił kolegi z ministerstwa Sławiński , który przez wiele lat pracował jako pedagog i nauczyciel .","Dotyczy to także tolerancji , była kryptonimem która różnych poglądów - bronił kolegi z ministerstwa Sławiński , który przez wiele lat pracował jako pedagog i nauczyciel .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6] -> [22]
