sen_str,swapped_sen_str,leaf_rule
"Tartu Ülikooli esimeses füüsika ( ma ei tea , mis aine , vana klassivend rääkis , ehk füüsikaline maailmapilt ? ) loengus küsiti , et kes teist panid keskkoolis füüsika tunnis tähele -> mõned arglikud käed .","Tartu Ülikooli esimeses füüsika ( ma ei tea , mis aine , vana klassivend rääkis , ehk füüsikaline maailmapilt ? ) loengus küsiti , et teist panid kes keskkoolis füüsika tunnis tähele -> mõned arglikud käed .",[0] -> [1] -> [27] -> [31] -> [32] -> [36]
"Selle maski juures peaks kõige tähtsam asi olema klapp , mis surve all olevast õhutorust iga sissehingamise korral haigele vajaliku portsu õhku annab .","Selle maski juures peaks kõige tähtsam asi olema klapp , surve all olevast õhutorust iga sissehingamise korral haigele vajaliku portsu õhku annab mis .",[0] -> [1] -> [27] -> [31] -> [32] -> [36]
""" Tean Eestit just briljantse ja kuulsa astronoomi Ernst Öpiku kaudu , "" ütleb Havaii ülikooli astronoom David Jewitt , kes möödunud aastal avaldas ajakirjas Nature artikli meid taevast ähvardavatest ohtudest .",""" Tean Eestit just briljantse ja kuulsa astronoomi Ernst Öpiku kaudu , "" ütleb Havaii ülikooli astronoom David Jewitt , möödunud aastal avaldas kes ajakirjas Nature artikli meid taevast ähvardavatest ohtudest .",[0] -> [1] -> [27] -> [31] -> [32] -> [36]
"Eestlased jäävad kahjuks ikka konservatiivseks , ei aita ka üliaktiivne koorijuht Anneli Pilpak , kes pingiridade vahel dirigeerides gospelkoorile emotsionaalselt kaasa elab .","Eestlased jäävad kahjuks ikka konservatiivseks , ei aita ka üliaktiivne koorijuht Anneli Pilpak , pingiridade vahel dirigeerides gospelkoorile emotsionaalselt kaasa elab kes .",[0] -> [1] -> [27] -> [31] -> [32] -> [36]
"Ütleb , et on töötanud Jüri Uluotsa juhtnööride põhjal , kes neile kursustel agraarõigust luges .","Ütleb , et on töötanud Jüri Uluotsa juhtnööride põhjal , neile kursustel agraarõigust luges kes .",[0] -> [1] -> [27] -> [31] -> [32] -> [36]
"Miski ei võistle eheda raba hõnguga , kus segunevad sookailu mõrkjas lõhn , murakate pehme , vaevuaimatav aroom , niiske sambla värske hõng ning müstilised mahlakad laukaaurud , mis reetliku salalikkusega meeltesse imbuvad .","Miski ei võistle eheda raba hõnguga , kus segunevad sookailu mõrkjas lõhn , murakate pehme , vaevuaimatav aroom , niiske sambla värske hõng ning müstilised mahlakad laukaaurud , reetliku salalikkusega meeltesse imbuvad mis .",[0] -> [1] -> [27] -> [31] -> [32] -> [36]
"Ema oli ainuke , kes hommikul meid üles suutis ajada .","Ema oli ainuke , hommikul meid üles suutis kes ajada .",[0] -> [1] -> [27] -> [31] -> [32] -> [36]
"Vaid 10 % nendest , kes 2000. a töötasid ja olid oma töökohale asunud viimase 12 kuu jooksul , leidsid töö ajalehekuulutuse kaudu .","Vaid 10 % nendest , 2000. a töötasid kes ja olid oma töökohale asunud viimase 12 kuu jooksul , leidsid töö ajalehekuulutuse kaudu .",[0] -> [1] -> [27] -> [31] -> [32] -> [36]
"Paraku on enamik informatsioonist , mis meie peades liigub , meedia poolt vahendatud .","Paraku on enamik informatsioonist , meie peades liigub mis , meedia poolt vahendatud .",[0] -> [1] -> [27] -> [31] -> [32] -> [36]
"Sestpeale ei mõistagi neid , kes koduaias sortidega tegelevad .","Sestpeale ei mõistagi neid , koduaias sortidega tegelevad kes .",[0] -> [1] -> [27] -> [31] -> [32] -> [36]
"see on mingi kivi või metallitükike , mis kosmoses lendab ja maale liiga lähedale jõuab .","see on mingi kivi või metallitükike , kosmoses lendab mis ja maale liiga lähedale jõuab .",[0] -> [1] -> [27] -> [31] -> [32] -> [36]
"Kaotab see , kes enne lõppu end lõdvaks laseb .","Kaotab see , enne lõppu end lõdvaks laseb kes .",[0] -> [1] -> [27] -> [31] -> [32] -> [36]
"Ühesõnaga , jook neile , kes oma raha eest ( umbes 300 krooni pudel ) tahavad võimalikult palju maitset saada .","Ühesõnaga , jook neile , oma raha eest ( umbes 300 krooni pudel ) tahavad kes võimalikult palju maitset saada .",[0] -> [1] -> [27] -> [31] -> [32] -> [36]
"“ Kui on rahu , on kõik lustimäng , ” arvab naine , kes 1941-42 erakordselt külmal talvel raudratastega traktorite kolonnis Luugast Tsherepovetsi rändas .","“ Kui on rahu , on kõik lustimäng , ” arvab naine , 1941-42 erakordselt külmal talvel raudratastega traktorite kolonnis Luugast Tsherepovetsi rändas kes .",[0] -> [1] -> [27] -> [31] -> [32] -> [36]
