sen_str,swapped_sen_str,leaf_rule
dus die zijn naar Sint Nyk gegaan,dus zijn naar Sint Nyk gegaan die,[0] -> [8] -> [9]
foar welke plant he je echt in soad muoite dwaan moatten,foar welke plant he echt in soad muoite dwaan je moatten,[0] -> [8] -> [9]
en op in keunstniverheidskoalle moatte je faak in byfak kiezen,en op in keunstniverheidskoalle moatte faak in byfak kiezen je,[0] -> [8] -> [9]
het men dat ôfstjitten en is men helemaal oergongen,het men dat ôfstjitten en is helemaal oergongen men,[0] -> [8] -> [9]
in jier letter moast Vermaning foar de rjochtbank ferskine foar it ferfalskjen fan stiennen,in jier letter moast foar de rjochtbank ferskine Vermaning foar it ferfalskjen fan stiennen,[0] -> [8] -> [9]
en ik bin ek even by dy distributie west eh dy we opset ha,en ik bin ek even by dy distributie west eh dy opset we ha,[0] -> [8] -> [9]
en dêrfoar hew ik eh derfoar koazen om by artsen sûnder grinzen te wurkjen,en dêrfoar hew eh derfoar koazen ik om by artsen sûnder grinzen te wurkjen,[0] -> [8] -> [9]
en mei Ann Mannen dy't yn oktober de V N yn New York tasprutsen hat,en mei Ann Mannen yn oktober de V N yn New York tasprutsen dy't hat,[0] -> [8] -> [9]
grepen en eh toen is Zia-ul-Haq oan de macht kaam,grepen en eh toen is oan de macht kaam Zia-ul-Haq,[0] -> [8] -> [9]
droge mond krijgen dus ik ha sein,droge mond krijgen dus ha sein ik,[0] -> [8] -> [9]
wêze en je toch noch jong fiele,wêze en toch noch jong fiele je,[0] -> [8] -> [9]
en hy hie de stroopwafel ek noch klear stean dus eh,en hie de stroopwafel ek noch klear stean hy dus eh,[0] -> [8] -> [9]
no eh dy moties dy moasten der wol trochkomme want oars koe it hielendal net,no eh dy moties moasten der wol trochkomme dy want oars koe it hielendal net,[0] -> [8] -> [9]
eh myn hele leven hat yn dat teken stien,eh hat yn dat teken stien myn hele leven,[0] -> [8] -> [9]
het men dat ôfstjitten en is men helemaal oergongen,het dat ôfstjitten men en is men helemaal oergongen,[0] -> [8] -> [9]
heiligen van de laatste dagen soenen jo sizze kinne,heiligen van de laatste dagen soenen sizze jo kinne,[0] -> [8] -> [9]
mar mei inoarren koenen se dy scheper net betelje,mar mei inoarren koenen dy scheper net betelje se,[0] -> [8] -> [9]
dêr kinne we in hele hoop oer sizze mar,dêr kinne in hele hoop oer sizze we mar,[0] -> [8] -> [9]
foar de earste kategory hat Riek van Dyk fan de Ljouwerter Reddingsbrigade in kursus watergewenning jûn,foar de earste kategory hat in kursus watergewenning jûn Riek van Dyk fan de Ljouwerter Reddingsbrigade,[0] -> [8] -> [9]
eh dat is eh opjûn ek eh troch eh Muiden Chemie,eh is eh opjûn dat ek eh troch eh Muiden Chemie,[0] -> [8] -> [9]
takommend jier april sil Margreeth de Boer ôfskie nimme fan Ljouwert,takommend jier april sil ôfskie nimme Margreeth de Boer fan Ljouwert,[0] -> [8] -> [9]
en wat wie dan it earste onderwerp ast dy herinnerje kinst,en wat wie dan it earste onderwerp ast herinnerje dy kinst,[0] -> [8] -> [9]
Marten fan Kammen dy sil strak noch prate mei ingenieur Vlieger,Marten fan Kammen sil strak noch prate dy mei ingenieur Vlieger,[0] -> [8] -> [9]
hin ast dan mei mekoar yn de bus sitst is it toch eh,hin dan mei mekoar yn de bus sitst ast is it toch eh,[0] -> [8] -> [9]
mar se soenen hun iene sit hâlde kinne neffens dizze prognoze,mar soenen hun iene sit hâlde se kinne neffens dizze prognoze,[0] -> [8] -> [9]
is dat puur eh tsjerkhistoarje wat je besjen wolle,is dat puur eh tsjerkhistoarje wat besjen je wolle,[0] -> [8] -> [9]
en toen is hy yn eh tolve maaie op âlde maaie fiif en fjirtich yn eh yn Grou kaam,en toen is yn eh tolve maaie op âlde maaie fiif en fjirtich yn eh yn Grou kaam hy,[0] -> [8] -> [9]
ûnderskied te meitsjen wie je fertrouwe kinne en wie net,ûnderskied te meitsjen wie fertrouwe je kinne en wie net,[0] -> [8] -> [9]
dat is dat de burgers fan dit lân no even sjugge,dat is dat no even sjugge de burgers fan dit lân,[0] -> [8] -> [9]
en as je filmje dan moatte je ek in onderwerp ha,en as je filmje dan moatte ek in onderwerp ha je,[0] -> [8] -> [9]
en as byfak hat er oan it Semitysk instituut yn Kampen ek Arabysk leard,en as byfak hat oan it Semitysk instituut yn Kampen ek Arabysk leard er,[0] -> [8] -> [9]
en eh dat mei natuerlik noait gean ten koste fan alles,en eh mei natuerlik noait gean dat ten koste fan alles,[0] -> [8] -> [9]
want dan kinne se bijvoorbeeld opscholen noemen se dat,want dan kinne bijvoorbeeld opscholen se noemen se dat,[0] -> [8] -> [9]
mar se ha yn elk gefal in goed leven hân,mar ha yn elk gefal in goed leven hân se,[0] -> [8] -> [9]
mar ja dan moet er wol bliuwe op it staatssecretariaat wêr't er no sit,mar ja dan moet wol bliuwe er op it staatssecretariaat wêr't er no sit,[0] -> [8] -> [9]
toen bin ik fuort by in triatlonferiening gien,toen bin fuort by in triatlonferiening gien ik,[0] -> [8] -> [9]
wat it eh ferhaal yn de Volkskrant mar dat sil vast en seker noch wol even komme,wat it eh ferhaal yn de Volkskrant mar sil vast en seker noch wol even komme dat,[0] -> [8] -> [9]
en ik bin ek even by dy distributie west eh dy we opset ha,en bin ek even by dy distributie west ik eh dy we opset ha,[0] -> [8] -> [9]
