sen_str,swapped_sen_str,leaf_rule
Эһиги бу сири билэҕит,Эһиги билэҕит бу сири,[0] -> [2] -> [4]
Кини яблоконы аһыыр,Кини аһыыр яблоконы,[0] -> [2] -> [4]
Петя оҕолорго ол кинигэттэн араас үчүгэй кэпсээннэри ааҕан биэрбит,Петя оҕолорго ааҕан ол кинигэттэн араас үчүгэй кэпсээннэри биэрбит,[0] -> [2] -> [4]
Быраас ыалдьар дьону уочаратынан ыҥырар,Быраас уочаратынан ыҥырар ыалдьар дьону,[0] -> [2] -> [4]
Эн ханнык наскыны таптыыгын ?,Эн таптыыгын ханнык наскыны ?,[0] -> [2] -> [4]
Кини туораҕы уонна араас үөннэри эмиэ сиир,Кини эмиэ сиир туораҕы уонна араас үөннэри,[0] -> [2] -> [4]
Икки оҕо кинигэни былдьаспыттар,Икки оҕо былдьаспыттар кинигэни,[0] -> [2] -> [4]
Саша аҕатыгар суругу ыытта,Саша аҕатыгар ыытта суругу,[0] -> [2] -> [4]
Эн ынаҕы ыыгын дуо ?,Эн ыыгын ынаҕы дуо ?,[0] -> [2] -> [4]
Кини кыра оҕолору көрөр,Кини көрөр кыра оҕолору,[0] -> [2] -> [4]
"Кыһын биһиги ичигэс таҥаһы кэтэбит , оччоҕо тоҥмоппут","Кыһын биһиги кэтэбит ичигэс таҥаһы , оччоҕо тоҥмоппут",[0] -> [2] -> [4]
Дьонум миигин утарбыттара,Дьонум утарбыттара миигин,[0] -> [2] -> [4]
Ийэм ууну буочукаттан ылар,Ийэм ылар ууну буочукаттан,[0] -> [2] -> [4]
Бөрө саһыл балыгын былдьаан сиэн кэбиспит уонна ыйыппыт,Бөрө саһыл былдьаан балыгын сиэн кэбиспит уонна ыйыппыт,[0] -> [2] -> [4]
Эн тыс этэрбэһи кэтэҕин дуо ?,Эн кэтэҕин тыс этэрбэһи дуо ?,[0] -> [2] -> [4]
Бастаан кини кылааска ааны уонна форточканы аһар,Бастаан кини аһар кылааска ааны уонна форточканы,[0] -> [2] -> [4]
Кыра балык үөнү сиир,Кыра балык сиир үөнү,[0] -> [2] -> [4]
Бу куоска ууну иһэр,Бу куоска иһэр ууну,[0] -> [2] -> [4]
Эһэм тыс этэрбэһи кэтэр,Эһэм кэтэр тыс этэрбэһи,[0] -> [2] -> [4]
Кэскил сону ылла дуо ?,Кэскил ылла сону дуо ?,[0] -> [2] -> [4]
Туруйа баҕаны уонна күлгэрини сиир,Туруйа сиир баҕаны уонна күлгэрини,[0] -> [2] -> [4]
"Хотой , мохсоҕол , кыырт араас көтөрдөрү сииллэр","Хотой , мохсоҕол , кыырт сииллэр араас көтөрдөрү",[0] -> [2] -> [4]
Эн бөрөнү көрөҕүн дуо ?,Эн көрөҕүн бөрөнү дуо ?,[0] -> [2] -> [4]
Айаана иһити ханна туруорар ?,Айаана ханна туруорар иһити ?,[0] -> [2] -> [4]
Мин бүгүн биир куһу өлөрдүм,Мин бүгүн өлөрдүм биир куһу,[0] -> [2] -> [4]
Кини куукунаҕа бастаан билиидэни отунна,Кини куукунаҕа бастаан отунна билиидэни,[0] -> [2] -> [4]
Эһэм ити сону кэтэр,Эһэм кэтэр ити сону,[0] -> [2] -> [4]
Мин икки куһу өлөрдүм,Мин өлөрдүм икки куһу,[0] -> [2] -> [4]
Кини хас ынаҕы ыыр ?,Кини ыыр хас ынаҕы ?,[0] -> [2] -> [4]
Онтон ыла бу оҕолор кинигэни былдьаспат буолбуттар,Онтон ыла бу оҕолор былдьаспат кинигэни буолбуттар,[0] -> [2] -> [4]
Миша кинигэни атыыласта,Миша атыыласта кинигэни,[0] -> [2] -> [4]
"Кини ыалдьар киһини көрөр , истэр уонна киниэхэ эми суруйар","Кини көрөр ыалдьар киһини , истэр уонна киниэхэ эми суруйар",[0] -> [2] -> [4]
Ол ыт куосканы таптыыр,Ол ыт таптыыр куосканы,[0] -> [2] -> [4]
Аҕата төһө хамнаһы өлөрөр ?,Аҕата өлөрөр төһө хамнаһы ?,[0] -> [2] -> [4]
"Кини чулкуну , наскыны эмиэ кэппэт , этэрбэһи кэтэр","Кини эмиэ кэппэт чулкуну , наскыны , этэрбэһи кэтэр",[0] -> [2] -> [4]
