sen_str,swapped_sen_str,leaf_rule
тикыʼ пуд <b_p> яхамʼ <s_p> таркахаю -та нямна <s_p> ӈохолырць <s_p> мадав <s_p>,тикыʼ пуд <b_p> таркахаю -та нямна <s_p> ӈохолырць <s_p> мадав яхамʼ <s_p> <s_p>,[0]
ӈохолырць <s_p> яхамʼ <s_p> пулʼ ӈыламна мадав <s_p>,ӈохолырць <s_p> пулʼ ӈыламна мадав яхамʼ <s_p> <s_p>,[0]
пулʼ серʼ яхамʼ нябиʼ няʼ мадав <b_p>,пулʼ серʼ нябиʼ няʼ мадав яхамʼ <b_p>,[0]
тарканда пыямʼ мадаˮмахада -ниʼ <b_p> ӈаниʼ ӈохолё нэкал-ӈав <s_p> яхамʼ мадав <b_p>,тарканда пыямʼ мадаˮмахада -ниʼ <b_p> ӈаниʼ ӈохолё нэкал-ӈав <s_p> мадав яхамʼ <b_p>,[0]
маханяӈэюмʼ таркам -да ӈохолё мада таслав <b_p>,маханяӈэюмʼ таркам -да мада ӈохолё таслав <b_p>,[0]
тикахад <s_p> махаʼнякуʼ мэхэя тамна тяхаʼ яда нэкал-ӈав <s_p>,тикахад <s_p> тамна тяхаʼ яда нэкал-ӈав махаʼнякуʼ мэхэя <s_p>,[0]
яха таркамʼ <b_p> тарканда пыяʼ няюʼ мада таславаˮ <b_p>,яха таркамʼ <b_p> таславаˮ тарканда пыяʼ няюʼ мада <b_p>,[0]
тамна тяхаˮ ялъявʼ <b_p> ядваниʼ серʼ <s_p> пулмʼ манэˮ-ӈадмʼ <b_p>,тамна тяхаˮ ялъявʼ <b_p> ядваниʼ серʼ <s_p> манэˮ-ӈадмʼ пулмʼ <b_p>,[0]
таркаʼ пыям мадаˮмахада -ни <b_p> ӈаниʼ ӈохолырць яхаʼ няби таркамʼ мадав <b_p>,таркаʼ пыям мадаˮмахада -ни <b_p> ӈаниʼ яхаʼ няби таркамʼ мадав ӈохолырць <b_p>,[0]
яʼ <m_l>тирʼ ниʼ танаˮмахада -наˮ пирця <b_p> махалэй саблюй харадмʼ манэˮ-ӈаваˮ <s_p>,яʼ <m_l>тирʼ ниʼ танаˮмахада -наˮ манэˮ-ӈаваˮ пирця <b_p> махалэй саблюй харадмʼ <s_p>,[0]
нерни няна <s_p> пирця махалэйта -на харадмʼ манэˮ-ӈадмʼ <b_p>,нерни няна <s_p> манэˮ-ӈадмʼ пирця махалэйта -на харадмʼ <b_p>,[0]
пулʼ ӈыламна ӈохолё хаяваˮ <b_p>,пулʼ ӈыламна хаяваˮ ӈохолё <b_p>,[0]
таркаʼ пыям мадаˮмахада -ни <b_p> ӈаниʼ ӈохолырць яхаʼ няби таркамʼ мадав <b_p>,таркаʼ пыям мадаˮмахада -ни <b_p> ӈаниʼ ӈохолырць мадав яхаʼ няби таркамʼ <b_p>,[0]
тадтикахад сятанякубтаʼ мэхэя <b_p> тамна тяхаʼ ялъявʼ <s_p>,тадтикахад тамна тяхаʼ ялъявʼ сятанякубтаʼ мэхэя <b_p> <s_p>,[0]
нерни няна <s_p> пирця харадмʼ манэˮ-ӈадмʼ <b_p>,нерни няна <s_p> манэˮ-ӈадмʼ пирця харадмʼ <b_p>,[0]
тадтикахад ӈаниʼ ялъяваˮ <b_p> нерниʼ няна пямʼ манэˮ-ӈадмʼ <b_p>,тадтикахад ӈаниʼ ялъяваˮ <b_p> нерниʼ няна манэˮ-ӈадмʼ пямʼ <b_p>,[0]
тикыʼ пуд <b_p> яхамʼ <s_p> таркахаю -та нямна <s_p> ӈохолырць <s_p> мадав <s_p>,тикыʼ пуд <b_p> яхамʼ <s_p> таркахаю -та нямна <s_p> мадав ӈохолырць <s_p> <s_p>,[0]
яхаʼ хэвхана ӈаномʼ манэˮ-ӈаваˮ <s_p>,яхаʼ хэвхана манэˮ-ӈаваˮ ӈаномʼ <s_p>,[0]
пулʼ ӈэсондʼ таремʼ таславаˮ <s_p> пулʼ ӈыламна <b_p> ӈохолё хэсь тара <s_p>,пулʼ ӈэсондʼ таремʼ таславаˮ <s_p> пулʼ ӈыламна <b_p> хэсь ӈохолё тара <s_p>,[0]
лабята <s_p> яхамʼ тяханяюʼ мадаваˮ <b_p>,лабята <s_p> тяханяюʼ мадаваˮ яхамʼ <b_p>,[0]
нерниʼ няна <s_p> пирця харадмʼ манэˮ-ӈадмʼ <b_p>,нерниʼ няна <s_p> манэˮ-ӈадмʼ пирця харадмʼ <b_p>,[0]
