sen_str,swapped_sen_str,leaf_rule
"Dans cette même perspective et pour accélérer la diffusion de les connaissances dans le pays , les pouvoirs publics ivoiriens ont introduit dans les années 70 la télévision éducative dans l' enseignement primaire .","Dans cette même perspective et pour la diffusion de les connaissances dans le pays accélérer , les pouvoirs publics ivoiriens ont introduit dans les années 70 la télévision éducative dans l' enseignement primaire .",[0] -> [8] -> [9]
"Pour rappel , lors de l' offensive de l' OTAN contre la Libye , Vladimir Poutine a qualifié la résolution onusienne de déficiente et imparfaite .","Pour rappel , de l' offensive de l' OTAN contre la Libye lors , Vladimir Poutine a qualifié la résolution onusienne de déficiente et imparfaite .",[0] -> [8] -> [9]
"« El Aâyoune s' est transformée en une ville fantôme ... les rues ont été désertées par les habitants autochtones qui craignent d' être lynchés par les colons épaulés par l' armée ... c' est un nettoyage ethnique contre tous ceux qui portent l' habit traditionnel sahraoui , boubou , melhfa ( voile ) ou turban .","« El Aâyoune s' est transformée en une ville fantôme ... les rues ont été désertées par les habitants autochtones qui craignent d' être lynchés par les colons épaulés par l' armée ... c' est un nettoyage ethnique contre tous ceux qui l' habit traditionnel sahraoui , boubou , melhfa ( voile ) ou turban portent .",[0] -> [8] -> [9]
"Il rationalise la manière dont les cas d' OVNI sont décrits et analysés , en partie dans l' espoir de rendre les témoignages moins ridicules à les yeux de ses supérieurs .","Il la manière dont les cas d' OVNI sont décrits et analysés rationalise , en partie dans l' espoir de rendre les témoignages moins ridicules à les yeux de ses supérieurs .",[0] -> [8] -> [9]
"Le marteau à réflexes est utilisé aussi pour rechercher les réponses idio-musculaires et dans la percussion thoracique ou abdominale , lors de l' examen physique général .","Le marteau à réflexes est utilisé aussi pour les réponses idio-musculaires rechercher et dans la percussion thoracique ou abdominale , lors de l' examen physique général .",[0] -> [8] -> [9]
"Elle a , en commun avec d' autres Églises , un Service protestant de mission ( le Défap ) , qui entretient le lien de solidarité et de mission commune avec d' autres Églises , notamment l' Église réformée de France et des Églises réformées africaines et océaniennes , principalement issues de l' ancienne Société de les missions évangéliques de Paris .","Elle , un Service protestant de mission ( le Défap ) , qui entretient le lien de solidarité et de mission commune avec d' autres Églises , notamment l' Église réformée de France et des Églises réformées africaines et océaniennes , principalement issues de l' ancienne Société de les missions évangéliques de Paris a , en commun avec d' autres Églises .",[0] -> [8] -> [9]
"Il peut même créer en parallèle texte et musique , voire les arranger .","Il peut même texte et musique créer en parallèle , voire les arranger .",[0] -> [8] -> [9]
"Les phases de distribution précoce ( et , avec les demi-vies t½ précisées ci-dessus ) reflètent vraisemblablement une absorption rapide dans l' os et une excrétion par voie rénale .","Les phases de distribution précoce ( et , avec les demi-vies t½ précisées ci-dessus ) une absorption rapide dans l' os et une excrétion par voie rénale reflètent vraisemblablement .",[0] -> [8] -> [9]
"À le cinquième siècle avant J.-C. , la cité-état grecque d' Athènes , qui dépendait de l' importation de grain de Scythie , maintenait des alliances primordiales avec des villes qui contrôlaient les détroits , comme la colonie mégarienne de Byzance .","À le cinquième siècle avant J.-C. , la cité-état grecque d' Athènes , qui dépendait de l' importation de grain de Scythie , des alliances primordiales avec des villes qui contrôlaient les détroits , comme la colonie mégarienne de Byzance maintenait .",[0] -> [8] -> [9]
"Autrefois , pour marquer un sel ( voir la note ci-dessous ) ou zone de pacage ( terrain octroyé par la communauté à le profit d' un particulier ) on signalait cet espace à l' aide d' une borne centrale appelée austarria ( pierre de cendre ) .","Autrefois , pour marquer un sel ( voir la note ci-dessous ) ou zone de pacage ( terrain octroyé par la communauté à le profit d' un particulier ) on cet espace signalait à l' aide d' une borne centrale appelée austarria ( pierre de cendre ) .",[0] -> [8] -> [9]
"Cela est peut-être dû à le fait que je viens d' un pays - d' où provient également le représentant de le Conseil - où l'on prend les empreintes digitales de nos enfants lorsqu' ils atteignent l' âge de dix ans , en vue de leur donner leur première carte d' identité .","Cela est peut-être dû à le fait que je viens d' un pays - d' où provient également le représentant de le Conseil - où l'on prend les empreintes digitales de nos enfants lorsqu' ils atteignent l' âge de dix ans , en vue de leur leur première carte d' identité donner .",[0] -> [8] -> [9]
"En conséquence , la Commission pense qu' elle devrait donner des éclaircissements sur deux idées très strictes et claires à le Parlement .","En conséquence , la Commission pense qu' elle devrait des éclaircissements donner sur deux idées très strictes et claires à le Parlement .",[0] -> [8] -> [9]
"La communauté de l' agglomération d' Annecy ( ou C2A ) est une structure intercommunale française qui associe les communes de l' agglomération d' Annecy , dans le département alpin de Haute-Savoie , dans la partie septentrionale de le quart sud-est de la France .","La communauté de l' agglomération d' Annecy ( ou C2A ) est une structure intercommunale française qui les communes de l' agglomération d' Annecy , dans le département alpin de Haute-Savoie , dans la partie septentrionale de le quart sud-est de la France associe .",[0] -> [8] -> [9]
"Après plusieurs mois , la Chine met une sourdine à ses objections et le ministère français de les Affaires étrangères lève son veto .","Après plusieurs mois , la Chine met une sourdine à ses objections et le ministère français de les Affaires étrangères son veto lève .",[0] -> [8] -> [9]
