sen_str,swapped_sen_str,leaf_rule
Quelle est la plus grande variété de cactus ?,la plus grande variété de cactus Quelle est ?,[0] -> [14] -> [20]
Quelles sont les conséquences ?,les conséquences Quelles sont ?,[0] -> [14] -> [20]
Qu' est -ce que la maladie de la vache folle ?,-ce Qu' est que la maladie de la vache folle ?,[0] -> [14] -> [20]
Qu' est -ce que l' humidité relative ?,-ce Qu' est que l' humidité relative ?,[0] -> [14] -> [20]
Quelle est l' intention de la Commission pour supprimer à court terme ces obstacles commerciaux ?,l' intention de la Commission Quelle est pour supprimer à court terme ces obstacles commerciaux ?,[0] -> [14] -> [20]
Quel était le véritable nom de W. C. Fields ?,le véritable nom de W. C. Fields Quel était ?,[0] -> [14] -> [20]
Quelle était la cause de la mort de Bob Marley ?,la cause de la mort de Bob Marley Quelle était ?,[0] -> [14] -> [20]
Quel est le nom de le navire de William Penn ?,le nom de le navire de William Penn Quel est ?,[0] -> [14] -> [20]
Quel était le nom de le frère de Sherlock Holmes ?,le nom de le frère de Sherlock Holmes Quel était ?,[0] -> [14] -> [20]
Qu' est -ce qu' Aclasta ?,-ce Qu' est qu' Aclasta ?,[0] -> [14] -> [20]
Que sont les quaaludes ?,les quaaludes Que sont ?,[0] -> [14] -> [20]
Quelle est la ville la plus populeuse de le Canada ?,la ville la plus populeuse de le Canada Quelle est ?,[0] -> [14] -> [20]
De quelle profondeur est le lac Crater ?,De quelle le lac Crater profondeur est ?,[0] -> [14] -> [20]
Qu' est -ce que le cholestérol ?,-ce Qu' est que le cholestérol ?,[0] -> [14] -> [20]
Quelles sont ses vraies intentions ?,ses vraies intentions Quelles sont ?,[0] -> [14] -> [20]
Qu' est -ce qui est tenu pour avoir été le désastre financier le plus coûteux que l' industrie de l' assurance ait jamais connu ?,-ce Qu' est qui est tenu pour avoir été le désastre financier le plus coûteux que l' industrie de l' assurance ait jamais connu ?,[0] -> [14] -> [20]
Qu' est -ce que l' équité familiale ?,-ce Qu' est que l' équité familiale ?,[0] -> [14] -> [20]
Quel État américain est le plus grand producteur de maïs ?,Quel le plus grand producteur de maïs État américain est ?,[0] -> [14] -> [20]
Quelle est la chaleur de le centre de la Terre ?,la chaleur de le centre de la Terre Quelle est ?,[0] -> [14] -> [20]
Quelle est la température moyenne de le corps ?,la température moyenne de le corps Quelle est ?,[0] -> [14] -> [20]
