sen_str,swapped_sen_str,leaf_rule
"கிட்டத்தட்ட இரண்டரை மணி நேரம் அந்த ராணுவ அதிகாரிகள் அனைவரும் அமெரிக்க அதிகாரிகளின் கட்டுப்பாட்டில் வைக்கப் பட்ட் இருந்தத் ஆகவ் உம் , தூதரகத்த் உடன் ஓ , அமெரிக்க ராணுவ அதிகாரிகள் உடன் ஓ பேசுவதற்கு அவர்களுக்கு அனுமதி வழங்கப்படவ் இல்லை எனவ் உம் அந்தச் செய்தி கூறுகிறது .","கிட்டத்தட்ட இரண்டரை மணி நேரம் அமெரிக்க அதிகாரிகளின் கட்டுப்பாட்டில் வைக்கப் அந்த ராணுவ அதிகாரிகள் அனைவரும் பட்ட் இருந்தத் ஆகவ் உம் , தூதரகத்த் உடன் ஓ , அமெரிக்க ராணுவ அதிகாரிகள் உடன் ஓ பேசுவதற்கு அவர்களுக்கு அனுமதி வழங்கப்படவ் இல்லை எனவ் உம் அந்தச் செய்தி கூறுகிறது .",[0] -> [1]
2000 பேர் காயமடைந்த் உள்ளனர் என்று ஐநா அறிக்கை தெரிவித்த் உள்ளது .,2000 பேர் காயமடைந்த் உள்ளனர் என்று தெரிவித்த் ஐநா அறிக்கை உள்ளது .,[0] -> [1]
ஊருக்கு கிழக்கே கடல் இருக்கிறது .,ஊருக்கு கிழக்கே இருக்கிறது கடல் .,[0] -> [1]
எனினும் இதை ஆப்கானிஸ்தானில் உள்ள இந்திய தூதரகம் மறுத்த் உள்ளது .,எனினும் இதை மறுத்த் ஆப்கானிஸ்தானில் உள்ள இந்திய தூதரகம் உள்ளது .,[0] -> [1]
"கிட்டத்தட்ட இரண்டரை மணி நேரம் அந்த ராணுவ அதிகாரிகள் அனைவரும் அமெரிக்க அதிகாரிகளின் கட்டுப்பாட்டில் வைக்கப் பட்ட் இருந்தத் ஆகவ் உம் , தூதரகத்த் உடன் ஓ , அமெரிக்க ராணுவ அதிகாரிகள் உடன் ஓ பேசுவதற்கு அவர்களுக்கு அனுமதி வழங்கப்படவ் இல்லை எனவ் உம் அந்தச் செய்தி கூறுகிறது .","கிட்டத்தட்ட இரண்டரை மணி நேரம் அந்த ராணுவ அதிகாரிகள் அனைவரும் அமெரிக்க அதிகாரிகளின் கட்டுப்பாட்டில் வைக்கப் பட்ட் இருந்தத் ஆகவ் உம் , தூதரகத்த் உடன் ஓ , அமெரிக்க ராணுவ அதிகாரிகள் உடன் ஓ பேசுவதற்கு அவர்களுக்கு அனுமதி வழங்கப்படவ் இல்லை எனவ் உம் கூறுகிறது அந்தச் செய்தி .",[0] -> [1]
"ஆசிய நாடுகளில் , ஜப்பான் , தென்கொரியா , சிங்கப்பூர் ஆகிய மூன்று நாடுகள் மட்டுமே முதல் 20 இடங்களுக்க் உள் உள்ளன .","ஆசிய நாடுகளில் , முதல் 20 இடங்களுக்க் உள் உள்ளன ஜப்பான் , தென்கொரியா , சிங்கப்பூர் ஆகிய மூன்று நாடுகள் மட்டுமே .",[0] -> [1]
விமான ஊழியர் இடம் ராணுவ அதிகாரிகள் உள் ஒருவர் சர்ச்சைக்குரிய கருத்தைத் தெரிவித்ததற்க் ஆகவ் ஏ அவர்கள் அனைவரும் இறக்கி விடப் பட்டத் ஆகக் கூறப் படுகிறது .,விமான ஊழியர் இடம் சர்ச்சைக்குரிய கருத்தைத் தெரிவித்ததற்க் ராணுவ அதிகாரிகள் உள் ஒருவர் ஆகவ் ஏ அவர்கள் அனைவரும் இறக்கி விடப் பட்டத் ஆகக் கூறப் படுகிறது .,[0] -> [1]
"ஆசியா , ஆப்பிரிக்கா , லத்தீன் அமெரிக்க பிராந்தியங்களுக்கு நடைபெறும் தேர்தலில் ஒரே ஒரு நாடு மட்டுமே போட்டியிடுவதால் அந்தந்த நாடுகள் வெற்றி பெறுவது உறுதியாகி விட்டது .","ஆசியா , ஆப்பிரிக்கா , லத்தீன் அமெரிக்க பிராந்தியங்களுக்கு நடைபெறும் தேர்தலில் போட்டியிடுவதால் ஒரே ஒரு நாடு மட்டுமே அந்தந்த நாடுகள் வெற்றி பெறுவது உறுதியாகி விட்டது .",[0] -> [1]
"ஆனால் , இந்த வரிசையில் சென்னை அருகே அமைக்க ப்பட உள்ள கிரீன் பீல்டு விமான நிலையத்துக்கு பாதிப்பு ஏற்படும் வகையில் அதிமுக பொதுச் செயலாளர் ஜெயலலிதா , பா.ம.க. நிறுவனர் ராமதாஸ் ஆகியோர் போராட்ட அறிவிப்பை வெளியிட்ட் உள்ளனர் .","ஆனால் , இந்த வரிசையில் சென்னை அருகே அமைக்க ப்பட உள்ள கிரீன் பீல்டு விமான நிலையத்துக்கு பாதிப்பு ஏற்படும் வகையில் போராட்ட அறிவிப்பை வெளியிட்ட் அதிமுக பொதுச் செயலாளர் ஜெயலலிதா , பா.ம.க. நிறுவனர் ராமதாஸ் ஆகியோர் உள்ளனர் .",[0] -> [1]
குமார் வேலை செய்யாமல் இருக்கிறான் .,குமார் செய்யாமல் வேலை இருக்கிறான் .,[0] -> [1]
முதல்வர் கருணாநிதிக்கு கொலை மிரட்டல் விடுத்து இ-மெயில் அனுப்பப் பட்டது தொடர்பாக சென்னை மாநகர மத்தியக் குற்றப் பிரிவு போலீஸார் விசாரணை மேற்கொண்டு வருகின்றனர் .,முதல்வர் கருணாநிதிக்கு கொலை மிரட்டல் விடுத்து இ-மெயில் அனுப்பப் பட்டது தொடர்பாக விசாரணை மேற்கொண்டு சென்னை மாநகர மத்தியக் குற்றப் பிரிவு போலீஸார் வருகின்றனர் .,[0] -> [1]
மேலும் வடக்கு மற்றும் கிழக்குப் பகுதியில் தமிழர்களுக்க் ஆக 50 ஆயிரம் வீடுகளை கட்டிக் கொடுப்பத் ஆகவ் உம் இந்தியா அறிவித்த் உள்ளது .,மேலும் வடக்கு மற்றும் கிழக்குப் பகுதியில் தமிழர்களுக்க் ஆக 50 ஆயிரம் வீடுகளை கட்டிக் கொடுப்பத் ஆகவ் உம் அறிவித்த் இந்தியா உள்ளது .,[0] -> [1]
அந்த வீட்டு பக்கம் ஒரு ஆலமரம் இருக்கிறது .,அந்த வீட்டு பக்கம் இருக்கிறது ஒரு ஆலமரம் .,[0] -> [1]
அங்கு நிறைய வீடுகள் இருக்கின்றன .,அங்கு இருக்கின்றன நிறைய வீடுகள் .,[0] -> [1]
"ஜெர்மனி வெற்றி பெற்றால் ஜி-4 நாடுகள் ( இந்தியா , பிரேஸில் , ஜப்பான் , ஜெர்மனி ) அனைத்தும் பாதுகாப்புக் கவுன்சிலில் இடம்பெற்று விட்டன என்ற பெருமை கிடைக்கும் .","ஜெர்மனி வெற்றி பெற்றால் பாதுகாப்புக் கவுன்சிலில் இடம்பெற்று ஜி-4 நாடுகள் ( இந்தியா , பிரேஸில் , ஜப்பான் , ஜெர்மனி ) அனைத்தும் விட்டன என்ற பெருமை கிடைக்கும் .",[0] -> [1]
நாளை கடை உண்டு .,நாளை உண்டு கடை .,[0] -> [1]
ஐக்கிய நாடுகள் பாதுகாப்புக் கவுன்சில் சீர்திருத்தம் கொண்டு வர ப்பட வேண்டும் என்று இந்தியா தொடர்ந்து வலியுறுத்தி வருகிறது .,ஐக்கிய நாடுகள் பாதுகாப்புக் கவுன்சில் சீர்திருத்தம் கொண்டு வர ப்பட வேண்டும் என்று தொடர்ந்து வலியுறுத்தி இந்தியா வருகிறது .,[0] -> [1]
இந்த வீட்டில் ஒரு வேலைக்காரி உண்டு .,இந்த வீட்டில் உண்டு ஒரு வேலைக்காரி .,[0] -> [1]
பின்னர் எடியூரப்பா அரசு மீது நம்பிக்கை வாக்கு கோரும் ஒருவரித் தீர்மானம் கொண்டுவரப் பட்டு குரல் வாக்கெடுப்புக்கு விடப் பட்டது .,பின்னர் கொண்டுவரப் எடியூரப்பா அரசு மீது நம்பிக்கை வாக்கு கோரும் ஒருவரித் தீர்மானம் பட்டு குரல் வாக்கெடுப்புக்கு விடப் பட்டது .,[0] -> [1]
