sen_str,swapped_sen_str,leaf_rule
"Кыһын биһиги ичигэс таҥаһы кэтэбит , оччоҕо тоҥмоппут","Кыһын ичигэс таҥаһы кэтэбит биһиги , оччоҕо тоҥмоппут",[0] -> [1]
"Баһаалыста , бары туруҥ","Баһаалыста , туруҥ бары",[0] -> [1]
"Арай биирдэ өйдөммүтэ , кутуруга ойбоҥҥо хам тоҥон хаалбыт","Арай биирдэ өйдөммүтэ , ойбоҥҥо хам тоҥон кутуруга хаалбыт",[0] -> [1]
Уонна кини ханна барарый ?,Уонна ханна барарый кини ?,[0] -> [1]
Манна оҕолор олороллор,Манна олороллор оҕолор,[0] -> [1]
Огурсуга ким уу кутта ?,Огурсуга уу кутта ким ?,[0] -> [1]
Хойут бары аһыыллар уонна утуйаллар,Хойут аһыыллар бары уонна утуйаллар,[0] -> [1]
Онно кыһын сүөһү аһыыр,Онно кыһын аһыыр сүөһү,[0] -> [1]
"Айаана , эн аах","Айаана , аах эн",[0] -> [1]
"Кэскил , эн тур уонна аах","Кэскил , тур эн уонна аах",[0] -> [1]
Оччоҕо эн халлаантан сууллубутуҥ дуо ?,Оччоҕо халлаантан сууллубутуҥ эн дуо ?,[0] -> [1]
Бу оскуолаҕа ким үөрэнэр ?,Бу оскуолаҕа үөрэнэр ким ?,[0] -> [1]
Ити хотууру мин ылыаҕым,Ити хотууру ылыаҕым мин,[0] -> [1]
Ити ууга ким сөтүөлээтэ ?,Ити ууга сөтүөлээтэ ким ?,[0] -> [1]
Олоппосторго дьоннор олороллор,Олоппосторго олороллор дьоннор,[0] -> [1]
Ити суораты эн сиэ,Ити суораты сиэ эн,[0] -> [1]
Утуйар таҥаһы биһиги арыт таһырдьа ыйыыбыт,Утуйар таҥаһы арыт таһырдьа ыйыыбыт биһиги,[0] -> [1]
Быйыл кинилэр үчүгэйдик бултаатылар,Быйыл үчүгэйдик бултаатылар кинилэр,[0] -> [1]
Үүтү биһиги ынахтан ылабыт,Үүтү ынахтан ылабыт биһиги,[0] -> [1]
Бөрөнү уонна эһэни дьон эмиэ бултууллар,Бөрөнү уонна эһэни эмиэ бултууллар дьон,[0] -> [1]
"Кырдьык , миэхэ күөгүрээпийэ олус туһалаабыта","Кырдьык , миэхэ олус туһалаабыта күөгүрээпийэ",[0] -> [1]
"Хоту дойдуга үс ый күн көрбөт , сайын үс ый киирбэт","Хоту дойдуга үс ый көрбөт күн , сайын үс ый киирбэт",[0] -> [1]
Дьокуускайга хаар түһэр,Дьокуускайга түһэр хаар,[0] -> [1]
Ити быраас кимий эмтиирий ?,Ити быраас эмтиирий кимий ?,[0] -> [1]
Сарсын мин эмиэ мастерскойга үлэлиэҕим,Сарсын эмиэ мастерскойга үлэлиэҕим мин,[0] -> [1]
Бастаан кини кылааска ааны уонна форточканы аһар,Бастаан кылааска ааны уонна форточканы аһар кини,[0] -> [1]
"Мин кулгааҕым ыалдьыбат , баһым ыалдьар","Мин кулгааҕым ыалдьыбат , ыалдьар баһым",[0] -> [1]
"Бу уолаттар мас кэрдиэхтэрэ , эн сүөһү маныаҕыҥ","Бу уолаттар мас кэрдиэхтэрэ , сүөһү маныаҕыҥ эн",[0] -> [1]
Ойуурга өссө тэллэй үүнэр,Ойуурга өссө үүнэр тэллэй,[0] -> [1]
"Аа , Кэскил кэллэ !","Аа , кэллэ Кэскил !",[0] -> [1]
Ити аты бостуук ылыаҕа,Ити аты ылыаҕа бостуук,[0] -> [1]
Ол солуону ыйыстыбыт моҕой,Ол ыйыстыбыт солуону моҕой,[0] -> [1]
Онон кини тугу гынар ?,Онон тугу гынар кини ?,[0] -> [1]
"Эһээ , эн кэпсээ !","Эһээ , кэпсээ эн !",[0] -> [1]
Уонна кини тугу гынарый ?,Уонна тугу гынарый кини ?,[0] -> [1]
"Онуоха кини симиктик эрээри , оттомноохтук хат көрдөстө","Онуоха симиктик эрээри , оттомноохтук хат көрдөстө кини",[0] -> [1]
Дьэдьэни оҕолор олус таптыыллар,Дьэдьэни олус таптыыллар оҕолор,[0] -> [1]
Онно киһи тугу эттэ ?,Онно тугу эттэ киһи ?,[0] -> [1]
"Кылааска биир остуол , үс олоппос турар","Кылааска турар биир остуол , үс олоппос",[0] -> [2] -> [3]
Куоракка убайым уонна эдьиийим бииргэ үөрэнэллэр,Куоракка бииргэ үөрэнэллэр убайым уонна эдьиийим,[0] -> [2] -> [3]
Хоту элбэх хаар түһэр,Хоту түһэр элбэх хаар,[0] -> [2] -> [3]
Бу хоско үс киһи утуйабыт,Бу хоско утуйабыт үс киһи,[0] -> [2] -> [3]
Биир паартаҕа икки киһи олорор,Биир паартаҕа олорор икки киһи,[0] -> [2] -> [3]
Кылааска элбэх паарта турар,Кылааска турар элбэх паарта,[0] -> [2] -> [3]
Ууга кыра суол киирэр,Ууга киирэр кыра суол,[0] -> [2] -> [3]
Биир улахан ыраас хоско кыра остуоллар тураллар,Биир улахан ыраас хоско тураллар кыра остуоллар,[0] -> [2] -> [3]
Киэһээҥи оскуолаҕа улахан дьон үөрэнэллэр,Киэһээҥи оскуолаҕа үөрэнэллэр улахан дьон,[0] -> [2] -> [3]
Утуйар хоско биир улахан дьааһык турар,Утуйар хоско турар биир улахан дьааһык,[0] -> [2] -> [3]
Ууга элбэх кус устар,Ууга устар элбэх кус,[0] -> [2] -> [3]
Бу оскуолаҕа элбэх киһи үөрэнэр,Бу оскуолаҕа үөрэнэр элбэх киһи,[0] -> [2] -> [3]
Муннукка икки ыскаап турар,Муннукка турар икки ыскаап,[0] -> [2] -> [3]
