sen_str,swapped_sen_str,leaf_rule
Ta clashtyn mie ec eh .,clashtyn mie Ta ec eh .,[0]
T' eh goaill aaght ayns shen car y touree .,eh T' goaill aaght ayns shen car y touree .,[0]
Ta blass ny Baarle ec eh .,blass ny Baarle Ta ec eh .,[0]
Haink eh dy valley .,eh Haink dy valley .,[0]
Hug eh jeih-varel er mee .,eh Hug jeih-varel er mee .,[0]
Ta 'n vea ec eh ro villish da eh son shen .,'n vea ec eh Ta ro villish da eh son shen .,[0]
"As cha row enney ec mish er eh : agh dy beagh eh er ny hoilshaghey da Israel , shen y fa haink mish bashtey lesh ushtey .","As cha row enney ec mish er eh : agh dy eh beagh er ny hoilshaghey da Israel , shen y fa haink mish bashtey lesh ushtey .",[0]
Dennee eh ayns yn chree ec eh eh .,eh Dennee ayns yn chree ec eh eh .,[0]
"Myr shen , ghow Perick toshiaght shirrey raad thie elley , as ren eh markiagh trooid straidyn nagh row eh er n' akin rieau roie .","Myr shen , ghow Perick toshiaght shirrey raad thie elley , as ren eh markiagh trooid straidyn nagh eh row er n' akin rieau roie .",[0]
Foddee oo fakin y boghtynid liorish cummey yn straid .,oo Foddee fakin y boghtynid liorish cummey yn straid .,[0]
Ta 'n fliaghey er n' eayraghey yn aer .,'n fliaghey Ta er n' eayraghey yn aer .,[0]
Huitt eh er e ghlioonyn .,eh Huitt er e ghlioonyn .,[0]
As hraast ee ee hene ny sniessey da lhiattee Ealish myr v' ee loayrt .,As ee hraast ee hene ny sniessey da lhiattee Ealish myr v' ee loayrt .,[0]
T' eh ny Chreestee coar .,eh T' ny Chreestee coar .,[0]
"As chroym eh sheese reesht , as scrieu eh er y laare .","As chroym eh sheese reesht , as eh scrieu er y laare .",[0]
Hug eh seose da yn noid .,eh Hug seose da yn noid .,[0]
Ren eh kialg er mee .,eh Ren kialg er mee .,[0]
T' ou cur oltooan da mee lesh lheid y voghtynid shen !,ou T' cur oltooan da mee lesh lheid y voghtynid shen !,[0]
Ta loaghtey braew ec eh .,loaghtey braew Ta ec eh .,[0]
T' eh er n' ghoaill fraue .,eh T' er n' ghoaill fraue .,[0]
"Rish shey laa nee shiu chaglym eh , agh er y chiaghtoo laa ta 'n doonaght , cha bee veg jeh eh ry gheddyn .","Rish shey laa shiu nee chaglym eh , agh er y chiaghtoo laa ta 'n doonaght , cha bee veg jeh eh ry gheddyn .",[0]
Hie eh stiagh tra v' eh currit er bun .,eh Hie stiagh tra v' eh currit er bun .,[0]
T' eh lane dy chreeaght .,eh T' lane dy chreeaght .,[0]
T' eh oayllagh rish cabbil .,eh T' oayllagh rish cabbil .,[0]
T' eh dy my akin .,eh T' dy my akin .,[0]
"Share lesh mee , foddee , yn aght so-chredjue ta saaseyn as ymmyrkey Tohru jannoo assee da eh beggan er veggan , gyn y skeeal çheet dy ve moralagh dree .","yn aght so-chredjue ta saaseyn as ymmyrkey Tohru jannoo assee da eh beggan er veggan , gyn y skeeal çheet dy ve moralagh dree Share lesh mee , foddee , .",[0]
"As hug ad dagh dooinney e chliwe er e chryss , as hug David myrgeddin er e chliwe : as hie seose marish David mysh kiare cheead dooinney ; as duirree daa cheead marish y stoo .","As hug ad dagh dooinney e chliwe er e chryss , as David hug myrgeddin er e chliwe : as hie seose marish David mysh kiare cheead dooinney ; as duirree daa cheead marish y stoo .",[0]
T' eh eeit ec yn troo .,eh T' eeit ec yn troo .,[0]
T' eh freayll yn argid .,eh T' freayll yn argid .,[0]
"As dooyrt eh rish e inneen , Cur uss arrym da dt' ayr as dty voir ayns yn leigh , ad ta nish dt' ayr as dty voir , dy voddym goo mie y chlashtyn jeh oo .","As dooyrt eh rish e inneen , uss Cur arrym da dt' ayr as dty voir ayns yn leigh , ad ta nish dt' ayr as dty voir , dy voddym goo mie y chlashtyn jeh oo .",[0]
Yinnagh ish cur ee erash lesh ee dy bieau !,ish Yinnagh cur ee erash lesh ee dy bieau !,[0]
T' eh ny share na Juan .,eh T' ny share na Juan .,[0]
T' eh ny lhooberey .,eh T' ny lhooberey .,[0]
Dreggyr eh dy bioyr .,eh Dreggyr dy bioyr .,[0]
"She Giense Geuree yn scoill v' ayns eh yn oie shen – sorçh dy yiense lesh daunsyn ayns yn çhamyr-lheihltys , braghtanyn-pronnag mooie er close y scoill as casino ayns yn çhamyr C.F. , as v' eh goll er cummal dy hroggal argid son y Halley Spoyrt noa .","She Giense Geuree yn scoill v' ayns eh yn oie shen – sorçh dy yiense lesh daunsyn ayns yn çhamyr-lheihltys , braghtanyn-pronnag mooie er close y scoill as casino ayns yn çhamyr C.F. , as eh v' goll er cummal dy hroggal argid son y Halley Spoyrt noa .",[0]
T' eh ny ghooinney mooar ec adsyn .,eh T' ny ghooinney mooar ec adsyn .,[0]
Ta shin credjal shen ny ta cosoylagh .,shin Ta credjal shen ny ta cosoylagh .,[0]
T' eh ro-churrit da eh .,eh T' ro-churrit da eh .,[0]
Lhig eh y ven ec eh .,eh Lhig y ven ec eh .,[0]
Ta 'n chiass er n' ghearaghey y bainney .,'n chiass Ta er n' ghearaghey y bainney .,[0]
Huitt eiraght veg er eh .,eiraght veg Huitt er eh .,[0]
Hoie eh sheese reesht .,eh Hoie sheese reesht .,[0]
Strooys dy row aggle er ad nagh jinnagh sleih elley toiggal eh . ’,Strooys dy row aggle er ad nagh sleih elley jinnagh toiggal eh . ’,[0]
T' eh kercheenagh .,eh T' kercheenagh .,[0]
Vel brishey ec oo ?,brishey Vel ec oo ?,[0]
Vel tooilley ec oo ?,tooilley Vel ec oo ?,[0]
