sen_str,swapped_sen_str,leaf_rule
"On pleše , svira flautu i uživa u svemu što Mu u određenom trenutku padne na pamet .","On pleše , svira flautu i uživa u svemu što u određenom trenutku padne Mu na pamet .",[0] -> [16] -> [17] -> [21] -> [22]
Ti si toliko bijesan da ti samo otrov i uvrede izlaze iz usta .,Ti si toliko bijesan da samo otrov i uvrede izlaze ti iz usta .,[0] -> [16] -> [17] -> [21] -> [22]
Stoga je važno izbjegavati loše navike koje nam odvlače toliko potreban noćni mir .,Stoga je važno izbjegavati loše navike koje odvlače nam toliko potreban noćni mir .,[0] -> [16] -> [17] -> [21] -> [22]
Zuber je navela nekoliko koristi za radnika ako mu poslodavac uplaćuje 500 kuna mjesečno u 3. stup .,Zuber je navela nekoliko koristi za radnika ako poslodavac uplaćuje mu 500 kuna mjesečno u 3. stup .,[0] -> [16] -> [17] -> [21] -> [22]
"Dosad je zaštitarska djelatnost potpuno i nepravedno zaobiđena u ostvarenju prava koja joj Zakonom pripadaju , ali ih mora očito sama izboriti jer ni državne institucije , a niti poslodavci ne vide potrebu zaštititi zaštitare .","Dosad je zaštitarska djelatnost potpuno i nepravedno zaobiđena u ostvarenju prava koja Zakonom pripadaju joj , ali ih mora očito sama izboriti jer ni državne institucije , a niti poslodavci ne vide potrebu zaštititi zaštitare .",[0] -> [16] -> [17] -> [21] -> [22]
"Izučavanju alternativnih metoda liječenja Diana Mihok posvetila se kad je shvatila da joj klasična medicina ne može dati odgovore na sva pitanja o uzrocima bolesti : Medicina je previše subspecijalizirana , čak toliko da se izgubio čovjek kao cjelina .","Izučavanju alternativnih metoda liječenja Diana Mihok posvetila se kad je shvatila da klasična medicina ne može joj dati odgovore na sva pitanja o uzrocima bolesti : Medicina je previše subspecijalizirana , čak toliko da se izgubio čovjek kao cjelina .",[0] -> [16] -> [17] -> [21] -> [22]
"Nagrađene su i somalska liječnica dr. Hawa Abdi , koja vodi kamp s 90000 izbjeglica u blizini glavnog grada Mogadishua , Katie Spotz , najmlađa osoba koja je sama preveslala Atlantik , i Constance McMillen , tinejdžerica iz američke savezne države Mississippi , koja je tužila školu jer joj nije dopustila da joj pratnja na maturalnoj zabavi bude njezina lezbijska partnerica .","Nagrađene su i somalska liječnica dr. Hawa Abdi , koja vodi kamp s 90000 izbjeglica u blizini glavnog grada Mogadishua , Katie Spotz , najmlađa osoba koja je sama preveslala Atlantik , i Constance McMillen , tinejdžerica iz američke savezne države Mississippi , koja je tužila školu jer joj nije dopustila da pratnja na maturalnoj zabavi bude njezina lezbijska partnerica joj .",[0] -> [16] -> [17] -> [21] -> [22]
"Osim toga , izolirane skupine ljudi otkrile su da im mjere štednje ne donose ništa dobro godinu i pol dana nakon što su usvojene "" , rekao je Marcos .","Osim toga , izolirane skupine ljudi otkrile su da mjere štednje ne donose im ništa dobro godinu i pol dana nakon što su usvojene "" , rekao je Marcos .",[0] -> [16] -> [17] -> [21] -> [22]
"U tamnoplavom blejzeru i majici na prugice , Salma je nakon slijetanja u Los Angeles djelovala elegantno i zadovoljno te joj ovakva , dnevna i opuštena moda itekako bolje pristaje nego fatalne haljine koje odijeva za crvene tepihe .","U tamnoplavom blejzeru i majici na prugice , Salma je nakon slijetanja u Los Angeles djelovala elegantno i zadovoljno te ovakva , dnevna i opuštena moda itekako bolje pristaje joj nego fatalne haljine koje odijeva za crvene tepihe .",[0] -> [16] -> [17] -> [21] -> [22]
"Pederi vode mačka veterinaru , drže ga za vrat dok mu veterinar zabija injekciju u tjelešce , bez pogovora plaćaju sto pedeset kuna i ne žale se što su na pregled morali čekati dva sata okruženi velikim psima , malim psima , mačkama i papigama .","Pederi vode mačka veterinaru , drže ga za vrat dok veterinar zabija mu injekciju u tjelešce , bez pogovora plaćaju sto pedeset kuna i ne žale se što su na pregled morali čekati dva sata okruženi velikim psima , malim psima , mačkama i papigama .",[0] -> [16] -> [17] -> [21] -> [22]
"Mislim da nas dvojica imamo neke sličnosti , obojica smo usamljenici i zato mi se ovaj spot učinio kao dobra ideja .","Mislim da nas dvojica imamo neke sličnosti , obojica smo usamljenici i zato se ovaj spot učinio mi kao dobra ideja .",[0] -> [16] -> [17] -> [21] -> [22]
"Naime , u Udruzi smatraju da je njima to zemljište mnogo potrebnije i da postoji mnogo zaslužnijih ljudi od Bienenfelda kojima je moglo pripasti .","Naime , u Udruzi smatraju da je to zemljište mnogo potrebnije njima i da postoji mnogo zaslužnijih ljudi od Bienenfelda kojima je moglo pripasti .",[0] -> [16] -> [17] -> [21] -> [22]
Možemo samo zamisliti kako se osjećao Alonso dok je gledao kako mu naslov izmiče iz ruku .,Možemo samo zamisliti kako se osjećao Alonso dok je gledao kako naslov izmiče mu iz ruku .,[0] -> [16] -> [17] -> [21] -> [22]
"Gubitak smisla često predstavlja dio patnje koji dolazi s fizičkim gubitkom , ali se isto tako može dogoditi ljudima koji su dobili sve što im svijet može ponuditi , koji su uspjeli u očima svijeta i odjednom shvatili da su njihov uspjeh ili vlasništvo isprazni i ne ispunjavaju ih .","Gubitak smisla često predstavlja dio patnje koji dolazi s fizičkim gubitkom , ali se isto tako može dogoditi ljudima koji su dobili sve što svijet može im ponuditi , koji su uspjeli u očima svijeta i odjednom shvatili da su njihov uspjeh ili vlasništvo isprazni i ne ispunjavaju ih .",[0] -> [16] -> [17] -> [21] -> [22]
Ono što nam se kod CoH-a posebno sviđa je totalna nepredvidivost razvoja bitke .,Ono što se kod CoH-a posebno sviđa nam je totalna nepredvidivost razvoja bitke .,[0] -> [16] -> [17] -> [21] -> [22]
