sen_str,swapped_sen_str,leaf_rule
Na sastancima koje je imao sa tročlanim predsedništvom BiH i drugim visokim zvaničnicima u Sarajevu sa Bajdenom su bili visoki predstavnik EU za spoljnu politiku i bezbednost Havijer Solana i visoki predstavnik i specijalni predstavnik EU Valentin Inzko .,Na sastancima je imao koje sa tročlanim predsedništvom BiH i drugim visokim zvaničnicima u Sarajevu sa Bajdenom su bili visoki predstavnik EU za spoljnu politiku i bezbednost Havijer Solana i visoki predstavnik i specijalni predstavnik EU Valentin Inzko .,[0] -> [1] -> [5]
"Kipar je podeljen od turske vojne invazije 1974. godine , koja je usledila posle vojnog udara kiparskih Grka koji je podržala Atina , a koji je imao za cilj ujedinjenje ostrva sa Grčkom .","Kipar je podeljen od turske vojne invazije 1974. godine , koja je usledila posle vojnog udara kiparskih Grka je podržala koji Atina , a koji je imao za cilj ujedinjenje ostrva sa Grčkom .",[0] -> [1] -> [5]
"Za razliku od Poaroa , koji predstavlja višu klasu koju štiti , Marlou ne predstavlja nikoga - on je autsajder i buntovnik , jer se ne suprotstavlja tek zločincu , već i samom društvu koje zločin proizvodi svojom pohlepom i pokvarenošću .","Za razliku od Poaroa , koji predstavlja višu klasu štiti koju , Marlou ne predstavlja nikoga - on je autsajder i buntovnik , jer se ne suprotstavlja tek zločincu , već i samom društvu koje zločin proizvodi svojom pohlepom i pokvarenošću .",[0] -> [1] -> [5]
"Kao po pravilu , brzo bih se našao na teritoriji koju sam prepoznavao , ne kao izvrsno izgrađen literarni svet , već kao paralelno odživljeni život sam .","Kao po pravilu , brzo bih se našao na teritoriji sam prepoznavao koju , ne kao izvrsno izgrađen literarni svet , već kao paralelno odživljeni život sam .",[0] -> [1] -> [5]
"Iako usvajanje amandmana u parlamentu predstavlja značajan doprinos napretku koji je Turska postigla na putu ka ostvarivanju standarda EU , najmanje još 20 članova ustava mora biti izmenjeno da bi se dokument uskladio sa propisima EU .","Iako usvajanje amandmana u parlamentu predstavlja značajan doprinos napretku je Turska postigla koji na putu ka ostvarivanju standarda EU , najmanje još 20 članova ustava mora biti izmenjeno da bi se dokument uskladio sa propisima EU .",[0] -> [1] -> [5]
"Na politizaciju upozorava i Saša Janković , iza kog je nekoliko godina teških političkih bitaka koje je vodio sa položaja visokog državnog službenika .","Na politizaciju upozorava i Saša Janković , iza kog je nekoliko godina teških političkih bitaka je vodio koje sa položaja visokog državnog službenika .",[0] -> [1] -> [5]
"Ulazak u ta dva zapadna "" kluba "" znači pripadnost oblasti ekonomskog prosperiteta i političke slobode koju obezbeđuju institucionalne i vojne veze između zemalja članica .","Ulazak u ta dva zapadna "" kluba "" znači pripadnost oblasti ekonomskog prosperiteta i političke slobode obezbeđuju koju institucionalne i vojne veze između zemalja članica .",[0] -> [1] -> [5]
"Pored ukidanja "" azilskog zakona "" iz ranih osamdesetih godina -- koji je u to vreme usvojila novoizabrana socijalistička vlada -- među drugim reformama su eliminisanje glasačkih listića povezanih sa strankama na studentskim izborima ; promene u izboru rektora kako bi se smanjio uticaj studentskih grupa povezanih sa strankama ; obavezano registrovanje studenata svakog semestra ; ograničavanje vremena potrebnog za sticanje diplome ; procena i potvrda studija ; objavljivanje udžbenika i skripti na internetu i uspostavljanje spojene škole za postdiplomske studije .","Pored ukidanja "" azilskog zakona "" iz ranih osamdesetih godina -- je u to vreme usvojila koji novoizabrana socijalistička vlada -- među drugim reformama su eliminisanje glasačkih listića povezanih sa strankama na studentskim izborima ; promene u izboru rektora kako bi se smanjio uticaj studentskih grupa povezanih sa strankama ; obavezano registrovanje studenata svakog semestra ; ograničavanje vremena potrebnog za sticanje diplome ; procena i potvrda studija ; objavljivanje udžbenika i skripti na internetu i uspostavljanje spojene škole za postdiplomske studije .",[0] -> [1] -> [5]
"' Nezavisno Kosovo ' je delo NATO-a , koji je stvorio tu državu i dodelio sebi vrhovnu i apsolutnu vlast u njoj "" , rekli su intelektualci u saopštenju koje je pročitao pisac Matija Bećković .","' Nezavisno Kosovo ' je delo NATO-a , koji je stvorio tu državu i dodelio sebi vrhovnu i apsolutnu vlast u njoj "" , rekli su intelektualci u saopštenju je pročitao koje pisac Matija Bećković .",[0] -> [1] -> [5]
"Nimalo čudno , jer nema sumnje da mnoge građane odavno iritira svakodnevno suočavanje s lavinom medijskih „ vesti ” o vilama , jahtama , skupocenim automobilima i raskošnom životu „ biznismena ” , estradnih „ zvezda ” , „ dama ” nedefinisanih profesija , likova bez zaposlenja i zanimanja , pa i političara za čiju se imovinu i novac koji rasipaju može reći da je , najblaže , nejasnog porekla .","Nimalo čudno , jer nema sumnje da mnoge građane odavno iritira svakodnevno suočavanje s lavinom medijskih „ vesti ” o vilama , jahtama , skupocenim automobilima i raskošnom životu „ biznismena ” , estradnih „ zvezda ” , „ dama ” nedefinisanih profesija , likova bez zaposlenja i zanimanja , pa i političara za čiju se imovinu i novac rasipaju koji može reći da je , najblaže , nejasnog porekla .",[0] -> [1] -> [5]
