sen_str,swapped_sen_str,leaf_rule
"Odlocitev , ki so jo sodniki sprejeli ze prejsnji mesec , za zdaj se ni pravnoveljavna , kajti generalovi odvetniki so napovedali , da bodo vlozili priziv na cilsko vrhovno sodisce .","Odlocitev , ki so sodniki sprejeli jo ze prejsnji mesec , za zdaj se ni pravnoveljavna , kajti generalovi odvetniki so napovedali , da bodo vlozili priziv na cilsko vrhovno sodisce .",[0] -> [1] -> [2] -> [3] -> [5]
"Nasel ga je policist , ki ga je odpeljal v bolnisnico Hafen , tam pa so ga razglasili za mrtvega .","Nasel ga je policist , ki je odpeljal ga v bolnisnico Hafen , tam pa so ga razglasili za mrtvega .",[0] -> [1] -> [2] -> [3] -> [5]
"Povedati vam moram to , da mnoga podjetja ze sama skrbijo za to , da bi odstranjevala svoje odpadke , ki jih zelo dobro poznajo in da imajo mnoga podjetja ze odprte investicije v tem smislu in ne bi bilo prav , da bi jim taksna dikcija , kot jo predlagatelj predlaga , to onemogocila ali pa , da bi jih privedla v dvom , ce to sploh lahko pocnejo ali ne .","Povedati vam moram to , da mnoga podjetja ze sama skrbijo za to , da bi odstranjevala svoje odpadke , ki jih zelo dobro poznajo in da imajo mnoga podjetja ze odprte investicije v tem smislu in ne bi bilo prav , da bi jim taksna dikcija , kot jo predlagatelj predlaga , onemogocila to ali pa , da bi jih privedla v dvom , ce to sploh lahko pocnejo ali ne .",[0] -> [1] -> [2] -> [3] -> [5]
"Nacelo preglednosti , ki ga uvajamo v javno upravo , nam narekuje , da za stranke pomembna obvestila objavljamo tako , da so jim cim lazje dostopna .","Nacelo preglednosti , ki uvajamo ga v javno upravo , nam narekuje , da za stranke pomembna obvestila objavljamo tako , da so jim cim lazje dostopna .",[0] -> [1] -> [2] -> [3] -> [5]
"Saj veste , da imajo tablete le prehoden ucinek , sami pa potrebujete nekaj , kar vas bo pozivilo za dalj casa .","Saj veste , da imajo tablete le prehoden ucinek , sami pa potrebujete nekaj , kar bo pozivilo vas za dalj casa .",[0] -> [1] -> [2] -> [3] -> [5]
"Kunze , perzijski vodnik , ki jih je spremljal skoraj vso pot od Benetk , se je odpravil proti konju , se prej pa je s pogledom osinil Marca .","Kunze , perzijski vodnik , ki je spremljal jih skoraj vso pot od Benetk , se je odpravil proti konju , se prej pa je s pogledom osinil Marca .",[0] -> [1] -> [2] -> [3] -> [5]
"To je sekira mucenika svetega Olafa , orozje , ki ga je ubilo v bitki pri Stiklestadu leta 1030 .","To je sekira mucenika svetega Olafa , orozje , ki je ubilo ga v bitki pri Stiklestadu leta 1030 .",[0] -> [1] -> [2] -> [3] -> [5]
"Prepoznati pa bi se morali ne samo politiki , ampak predvsem prebivalci Slovenije ; ne le tisti , ki jim je drzava izpolnila pricakovanja , ampak tudi oni , ki ji marsikaj ocitajo ; ne le Slovenci , ampak tudi tistih deset odstotkov , ki to niso .","Prepoznati pa bi se morali ne samo politiki , ampak predvsem prebivalci Slovenije ; ne le tisti , ki jim je drzava izpolnila pricakovanja , ampak tudi oni , ki ji ocitajo marsikaj ; ne le Slovenci , ampak tudi tistih deset odstotkov , ki to niso .",[0] -> [1] -> [2] -> [3] -> [5]
"To je bila za nas velika novica , kajti domnevali smo bili , da nam duhovna nacela ne morejo nic koristiti , ce na slepo ne zaverujemo v marsikaj , kar se nam je zdelo tezko verjetno .","To je bila za nas velika novica , kajti domnevali smo bili , da nam duhovna nacela ne morejo nic koristiti , ce na slepo ne zaverujemo v marsikaj , kar se je zdelo nam tezko verjetno .",[0] -> [1] -> [2] -> [3] -> [5]
""" Tistega vecera sem prevec popil , zgodilo se je mesec dni po tem , ko sem izvedel , da me zena vara .",""" Tistega vecera sem prevec popil , zgodilo se je mesec dni po tem , ko sem izvedel , da zena vara me .",[0] -> [1] -> [2] -> [3] -> [5]
