sen_str,swapped_sen_str,leaf_rule
cha cheisuli cha nienua kwia toi iani cha kle nga kada kle Ugachia giti .,cha cheisuli cha nienua kwia toi iani kle cha nga kada kle Ugachia giti .,[0]
honinke ba be hoke chke chi nangka ke .,honinke be hoke ba chke chi nangka ke .,[0]
hong kweri aling hong ske tengkle aling ba be hoke iani .,hong kweri aling hong ske tengkle aling be hoke ba iani .,[0]
chui iake aini hong me hoke Rio Lui .,chui iake aini me hoke hong Rio Lui .,[0]
despues cha kle bu tke tengkle .,despues kle bu tke cha tengkle .,[0]
swili che be dion gute .,swili be dion gute che .,[0]
mejor enusuli chiu .,mejor chiu enusuli .,[0]
kle koi boda hoke .,kle hoke koi boda .,[0]
chi nangka ba be tkenga .,chi nangka be tkenga ba .,[0]
cha soli cha chebi koi gweda .,cha soli koi gweda cha chebi .,[0]
"ama gitire che kle gwichuke samlale , che kle gwichuke die gute , ama gitire che kle gwichuke ese .","ama gitire kle gwichuke che samlale , che kle gwichuke die gute , ama gitire che kle gwichuke ese .",[0]
ama hula chiu .,ama chiu hula .,[0]
"koi lie , koi hoke eru , koi gute .","koi lie , hoke koi eru , koi gute .",[0]
"nengke cha be cha geruia trake , cha toidu mine aini , cha chiu mine aini .","nengke cha be cha geruia trake , toidu cha mine aini , cha chiu mine aini .",[0]
chi tira tengkle ba be hoke .,chi tira tengkle be hoke ba .,[0]
do chia cha kle lie .,do chia kle lie cha .,[0]
"nengke cha be cha geruia trake , cha toidu mine aini , cha chiu mine aini .","nengke be cha geruia trake cha , cha toidu mine aini , cha chiu mine aini .",[0]
ama che chku cheke ai tengkle .,ama chku che cheke ai tengkle .,[0]
ama che cheku aini .,ama cheku che aini .,[0]
eni cha nienunga cha cheisuli kle toi eni .,eni kle toi cha nienunga cha cheisuli eni .,[0]
"chui be chkenga cha chebi be kiro manane nengke , ama kike , hoke nga ske sukekre .","chui be chkenga be kiro manane cha chebi nengke , ama kike , hoke nga ske sukekre .",[0]
nengke che kle geru ai batenga .,nengke kle geru ai batenga che .,[0]
"cha kle koi huke ulita , cha kle koi mne , cha kle tke hia ke .","cha kle koi huke ulita , cha kle koi mne , kle tke cha hia ke .",[0]
ai enusuli chui beku daba ole ulita .,ai chui beku enusuli daba ole ulita .,[0]
de ai cha kle bligda tke hania tke bla tke i tke doia ske .,de ai kle bligda tke cha hania tke bla tke i tke doia ske .,[0]
ama che cheku aini .,ama cheku che aini .,[0]
despues cha chiuni cha chebi waninke aini .,despues chiuni cha cha chebi waninke aini .,[0]
ama gitire nengke daba salebli bate ulita kle chie .,ama gitire nengke kle chie daba salebli bate ulita .,[0]
ama cha chekebale .,ama chekebale cha .,[0]
chi iani ke ba be hoke .,chi iani ke be hoke ba .,[0]
despues cha kle ko huke ngasuke .,despues kle ko huke cha ngasuke .,[0]
"cha chebi ho cha hue , cha chebi cha du nienugda waninke .","cha chebi ho cha hue , cha du cha chebi nienugda waninke .",[0]
ama gitire tiene che kiro che daba hokeda bagedale .,ama gitire tiene bagedale che kiro che daba hokeda .,[0]
che chkenga hula chiu .,che chkenga chiu hula .,[0]
nga aini che kle hoke aini hoke ble ke .,nga aini kle hoke che aini hoke ble ke .,[0]
"ama gitire che kle gwichuke samlale , che kle gwichuke die gute , ama gitire che kle gwichuke ese .","ama gitire che kle gwichuke samlale , kle gwichuke che die gute , ama gitire che kle gwichuke ese .",[0]
despues cha kle ikino gwagate .,despues kle ikino gwagate cha .,[0]
"cha kle koi huke ulita , cha kle koi mne , cha kle tke hia ke .","cha kle koi huke ulita , kle koi mne cha , cha kle tke hia ke .",[0]
enusuli gerudu swilitai Flore : che hoke nengke nipero gai .,enusuli gerudu swilitai Flore : hoke nengke nipero gai che .,[0]
nengke cha kle toi eni .,nengke kle toi cha eni .,[0]
ama gitire tiene che kiro che daba hokeda bagedale .,ama gitire tiene che kiro hokeda che daba bagedale .,[0]
ama cha kle gute kirogwa ole .,ama kle gute cha kirogwa ole .,[0]
"ama gitire che kle gwichuke samlale , che kle gwichuke die gute , ama gitire che kle gwichuke ese .","ama gitire che kle gwichuke samlale , che kle gwichuke die gute , ama gitire kle gwichuke che ese .",[0]
i cha tambien kle hoke .,i tambien kle hoke cha .,[0]
"nengke cha be cha geruia trake , cha toidu mine aini , cha chiu mine aini .","nengke cha be cha geruia trake , cha toidu mine aini , chiu cha mine aini .",[0]
"cha okadu , cha ho unaske .","cha okadu , ho cha unaske .",[0]
despues cha kle ikino gwagate .,despues kle ikino gwagate cha .,[0]
apa ke ba be budachia tkenga .,apa ke be budachia tkenga ba .,[0]
despues cha kle bligda ne gute .,despues kle bligda ne gute cha .,[0]
"ku be skienda gwa baka , che gna toi dwa .","ku be skienda gwa baka , gna toi che dwa .",[0]
ula chku che chkenga .,ula chku chkenga che .,[0]
ama cha kle gute kiro ole .,ama kle gute cha kiro ole .,[0]
despues cha kle gde skie .,despues kle gde skie cha .,[0]
