sen_str,swapped_sen_str,leaf_rule
Dili kaya sa ako -ng lawas nga kana -ng mainitan ko kay malipong man ko .,Dili sa ako -ng lawas nga kana -ng mainitan ko kay malipong man ko kaya .,[0] -> [2]
Mamalit sila ug sinina .,ug sinina Mamalit sila .,[0] -> [2]
Karon wala pa koy tulganan .,Karon tulganan wala pa koy .,[0] -> [2]
Nagsabot mi sa amo -ng mga plano .,sa amo -ng mga plano Nagsabot mi .,[0] -> [2]
"Gi-hold gud mi tulo ka oras , gipangayoan gyud mi -g kwarta .","Gi-hold gud mi tulo ka oras , -g kwarta gipangayoan gyud mi .",[0] -> [2]
Nakamedalya siya -g bronse .,-g bronse Nakamedalya siya .,[0] -> [2]
Daghan kuno nawad-an ug trabaho karon sa Manila .,Daghan kuno ug trabaho nawad-an karon sa Manila .,[0] -> [2]
May kaislahan sa dagat .,sa dagat May kaislahan .,[0] -> [2]
Sa klase siya magtuon sa leksyon .,Sa klase siya sa leksyon magtuon .,[0] -> [2]
Pagkahuman nilabay siya sa kato -ng tawo nga namupu ug bayabas .,Pagkahuman nilabay siya sa kato -ng tawo nga ug bayabas namupu .,[0] -> [2]
Ayaw pagpataka -g sulti .,Ayaw -g sulti pagpataka .,[0] -> [2]
"Karon -g adlawa , nakakita siya -g bag-o -ng higala sa tunghaan .","Karon -g adlawa , -g bag-o -ng higala nakakita siya sa tunghaan .",[0] -> [2]
Ipalit tika ug libro .,ug libro Ipalit tika .,[0] -> [2]
Amo -ng tabangan ron ug himo-an ug travel document .,Amo -ng tabangan ron ug ug travel document himo-an .,[0] -> [2]
Wala na jud koy kwarta .,kwarta Wala na jud koy .,[0] -> [2]
Adunay libro sa lamesa .,libro Adunay sa lamesa .,[0] -> [2]
Unsa may trabaho sa imo -ng bana ?,trabaho sa imo -ng bana Unsa may ?,[0] -> [2]
Ang iro niambak sa bintana .,Ang iro sa bintana niambak .,[0] -> [2]
Gipinturahan sa silingan ni Peter ang koral og pula .,sa silingan Gipinturahan ni Peter ang koral og pula .,[0] -> [2]
Pagkahuman nilabay siya sa kato -ng tawo nga namupu ug bayabas .,Pagkahuman sa kato -ng tawo nga namupu ug bayabas . nilabay siya,[0] -> [2]
Tua sa luyo sa simbahan .,sa simbahan Tua sa luyo .,[0] -> [2]
Kinahanglan may buhaton si Tom .,Kinahanglan buhaton may si Tom .,[0] -> [2]
May sundang siya .,sundang May siya .,[0] -> [2]
Ang bata ug ang iro nagtan-aw sa baki .,Ang bata ug ang iro sa baki nagtan-aw .,[0] -> [2]
Nagtahi siya sa inyo -ng pantalon ganina .,sa inyo -ng pantalon Nagtahi siya ganina .,[0] -> [2]
Gisulayan niya nga mohunong ug panigarilyo ug tagay .,Gisulayan niya nga mohunong ug ug tagay panigarilyo .,[0] -> [2]
Nakalimtan ni Nanay Dionesia nga mokaon ug moinom ug tubig .,Nakalimtan ni Nanay Dionesia nga mokaon ug ug tubig moinom .,[0] -> [2]
Di lagi ko ganahan sa ako -ng ugangan .,Di lagi ko sa ako -ng ugangan ganahan .,[0] -> [2]
Dili ko ganahan og kemistri .,Dili ko og kemistri ganahan .,[0] -> [2]
Unsay imo -ng gusto ?,imo -ng gusto Unsay ?,[0] -> [2]
Wala siyay katulganan .,katulganan Wala siyay .,[0] -> [2]
Limpyohan sa katabang ang kuwarto para sa mga bisita .,sa katabang Limpyohan ang kuwarto para sa mga bisita .,[0] -> [2]
Gitawag si Ben sa iya -ng amigo kay may bisita kini .,Gitawag si Ben sa iya -ng amigo kay bisita may kini .,[0] -> [2]
Tigdala man siya diri ug mga TNT .,ug mga TNT Tigdala man siya diri .,[0] -> [2]
Gisulayan niya nga mohunong ug panigarilyo ug tagay .,Gisulayan niya nga ug panigarilyo ug tagay mohunong .,[0] -> [2]
Paingon siya sa balay ni Inday .,sa balay ni Inday Paingon siya .,[0] -> [2]
Nasudlan ug tubig ang iya -ng baga .,ug tubig Nasudlan ang iya -ng baga .,[0] -> [2]
Wala kamiy lingkoranan sa kwarto .,lingkoranan Wala kamiy sa kwarto .,[0] -> [2]
"Sa buntag , nikaon siya sa pamahaw ug nibasa siya sa peryodiko .","Sa buntag , sa pamahaw nikaon siya ug nibasa siya sa peryodiko .",[0] -> [2]
Magtigom ka -g kwarta .,-g kwarta Magtigom ka .,[0] -> [2]
Aduna siyay plano nga magparty sa ila -ng balay .,plano nga magparty sa ila -ng balay Aduna siyay .,[0] -> [2]
Dira ka magsakay ug mga ferry .,Dira ka ug mga ferry magsakay .,[0] -> [2]
Gitawag si Ben sa iya -ng amigo kay may bisita kini .,sa iya -ng amigo Gitawag si Ben kay may bisita kini .,[0] -> [2]
Dili ko gusto ni -ng lenggwahea .,Dili ko ni -ng lenggwahea gusto .,[0] -> [2]
Ako ra man nagbuhi ana -ng tulo ka bata .,Ako ra man ana -ng tulo ka bata nagbuhi .,[0] -> [2]
"Hapit na man diay Pasko , ingon pa sa mga tiguwang .","Hapit na man diay Pasko , sa mga tiguwang ingon pa .",[0] -> [2]
Pakitaa ko sa iyaha -ng litrato be !,sa iyaha -ng litrato Pakitaa ko be !,[0] -> [2]
Nagsulat ang bata -ng babae ug sulat para sa iya -ng amigo .,ug sulat Nagsulat ang bata -ng babae para sa iya -ng amigo .,[0] -> [2]
Gimaotan ko sa babayi .,sa babayi Gimaotan ko .,[0] -> [2]
"Sa buntag , nikaon siya sa pamahaw ug nibasa siya sa peryodiko .","Sa buntag , nikaon siya sa pamahaw ug sa peryodiko nibasa siya .",[0] -> [2]
Namaotan ko sa babayi .,sa babayi Namaotan ko .,[0] -> [2]
Kinahanglan ko moadto sa kasilyas .,Kinahanglan ko sa kasilyas moadto .,[0] -> [2]
Duna miy iro .,iro Duna miy .,[0] -> [2]
