sen_str,swapped_sen_str,leaf_rule
Жалал-Абад облусуна дем берүүчү гранттардын эсебинен 24 млн сом жумшалды .,Жалал-Абад облусуна 24 млн сом жумшалды дем берүүчү гранттардын эсебинен .,[0] -> [2]
Ош шаарында “ Түштүк авангард ” сүрөт көргөзмөсү ачылды .,Ош шаарында ачылды “ Түштүк авангард ” сүрөт көргөзмөсү .,[0] -> [2]
"Кыргызстанда эт , сүт жана жумуртка өндүрүүнүн көлөмү көбөйдү .","Кыргызстанда көбөйдү эт , сүт жана жумуртка өндүрүүнүн көлөмү .",[0] -> [2]
Кыргызстанда жыл башынан бери өнөр жай өндүрүшүнүн көлөмү 195 млрд сомду түздү .,Кыргызстанда жыл башынан бери 195 млрд сомду түздү өнөр жай өндүрүшүнүн көлөмү .,[0] -> [2]
"Жыл башынан бери Ысык-Көл облусуна 13 миңге жакын "" акылдуу эсептегич "" орнотулду .","Жыл башынан бери Ысык-Көл облусуна орнотулду 13 миңге жакын "" акылдуу эсептегич "" .",[0] -> [2]
Бишкекте 1- сентябрдан тарта 44 мектепте сабак саат 7 : 30да башталат .,Бишкекте 1- сентябрдан тарта 44 мектепте саат 7 : 30да башталат сабак .,[0] -> [2]
Ошто айрым коомдук транспорттордун кыймылы убактылуу өзгөртүлөт .,Ошто убактылуу өзгөртүлөт айрым коомдук транспорттордун кыймылы .,[0] -> [2]
Нарында чыгарылган ата мекендик мотоциклдер сатыла баштады .,Нарында сатыла баштады чыгарылган ата мекендик мотоциклдер .,[0] -> [2]
Алкоголсуз суусундуктарга акциздин ставкасы 1 сомго чейин азайтылды .,Алкоголсуз суусундуктарга 1 сомго чейин азайтылды акциздин ставкасы .,[0] -> [2]
Нарын облусунун бардык аймактарында ишембиликтер өтүүдө .,Нарын облусунун бардык аймактарында өтүүдө ишембиликтер .,[0] -> [2]
Чоң-Алайдагы Памирден келген этникалык кыргыздарга жардам берилди .,Чоң-Алайдагы Памирден келген этникалык кыргыздарга берилди жардам .,[0] -> [2]
Бишкекте 16 жаштагы Айсулуу изделүүдө .,Бишкекте изделүүдө 16 жаштагы Айсулуу .,[0] -> [2]
"Анан мен торду алып , сардина кармап келейин .","Анан торду алып , сардина кармап келейин мен .",[0] -> [2]
""" Каракол "" мамлекеттик жаратылыш паркынын мекчиктештирилип кеткен 120 га аянты кайтарылды .",""" Каракол "" мамлекеттик жаратылыш паркынын мекчиктештирилип кеткен кайтарылды 120 га аянты .",[0] -> [2]
"Ошондой болсо да , экөө тең күнүгө чалдын тору бардай түр көрсөтүшчү .","Ошондой болсо да , тең күнүгө чалдын тору бардай түр көрсөтүшчү экөө .",[0] -> [2]
"Ал машина сатып алган , бирок агасынын велосипеди гана болгон .","Ал машина сатып алган , бирок велосипеди гана болгон агасынын .",[0] -> [2]
"Түнөп калчу конок эшикти такылдатыптыр , бирок үйдүн ээси дагы эле үйдү жыйнап жаткан , ал эми ал ресторандан буюртма берген тамак келмек болчу .","Түнөп калчу конок эшикти такылдатыптыр , бирок үйдүн ээси дагы эле үйдү жыйнап жаткан , ал эми келмек ал ресторандан буюртма берген тамак болчу .",[0] -> [2]
Кыргызстандан Афганистанга 120 тонна гуманитардык жардам жерткирилди .,Кыргызстандан жерткирилди Афганистанга 120 тонна гуманитардык жардам .,[0] -> [2]
"Бишкек Ош унаа жолундагы кырсыктан эки киши каза таап , бешөө жаракат алды .","Бишкек Ош унаа жолундагы кырсыктан каза таап эки киши , бешөө жаракат алды .",[0] -> [2]
"Кыргызстанда дыйкан- фермерлерге 3 ,79 млрд сом жеңилдетилген насыя берилди .","Кыргызстанда дыйкан- фермерлерге берилди 3 ,79 млрд сом жеңилдетилген насыя .",[0] -> [2]
Кыргызстанга Казакстандан тоок этин мыйзамсыз алып кирүү аракети токтотулду .,Кыргызстанга токтотулду Казакстандан тоок этин мыйзамсыз алып кирүү аракети .,[0] -> [2]
"Кыргызстанда орточо айлык акы 35 ,6 миң сомдон ашты .","Кыргызстанда 35 ,6 миң сомдон ашты орточо айлык акы .",[0] -> [2]
"Чүй облусуна дем берүүчү гранттардын эсебинен 30 ,6 млн сом жумшалды .","Чүй облусуна дем берүүчү гранттардын эсебинен жумшалды 30 ,6 млн сом .",[0] -> [2]
Кыргызстанда ишкер аялдардын саны өсүүдө .,Кыргызстанда өсүүдө ишкер аялдардын саны .,[0] -> [2]
9- октябрга карата күтүлгөн аба ырайы .,9- октябрга карата ырайы күтүлгөн аба .,[0] -> [2]
"Жалал-Абад облусуна дем берүүчү гранттардын эсебинен 87 ,2 млн сом бөлүндү .","Жалал-Абад облусуна 87 ,2 млн сом бөлүндү дем берүүчү гранттардын эсебинен .",[0] -> [2]
"Кыргызстанда күн сууктап , тоолуу аймактарда кар жаайт .","Кыргызстанда күн сууктап , тоолуу аймактарда жаайт кар .",[0] -> [2]
Чолпон-Атада 175 орундуу бала бакча оңдоп - түзөөдөн кийин пайдаланууга берилди .,Чолпон-Атада оңдоп 175 орундуу бала бакча - түзөөдөн кийин пайдаланууга берилди .,[0] -> [2]
Жалал-Абад шаарынын айрым көчөлөрүндө электр жарыгы өчүрүлөт .,Жалал-Абад шаарынын айрым көчөлөрүндө өчүрүлөт электр жарыгы .,[0] -> [2]
Кыргызстанда жумушсуздардын саны азайды .,Кыргызстанда жумушсуздардын азайды саны .,[0] -> [2]
"Токтогул суу сактагычында суунун көлөмү дээрлик 11 ,6 млрд куб метрди түздү .","Токтогул суу сактагычында дээрлик 11 ,6 млрд куб метрди түздү суунун көлөмү .",[0] -> [2]
Кыргызстанда негизги айыл чарба өсүмдүктөрүн оруп - жыйноо темпи жогорулады .,Кыргызстанда жогорулады негизги айыл чарба өсүмдүктөрүн оруп - жыйноо темпи .,[0] -> [2]
"Кыргызстанда 1 ,8 млн баш ийри мүйүздүү мал каттоодон өткөн .","Кыргызстанда каттоодон өткөн 1 ,8 млн баш ийри мүйүздүү мал .",[0] -> [2]
КРде депозиттердин саны экинчи ай катары менен кыскарууда .,КРде экинчи ай катары менен кыскарууда депозиттердин саны .,[0] -> [2]
Жалал-Абадда массалык ишембилик өттү .,Жалал-Абадда өттү массалык ишембилик .,[0] -> [2]
"Бирок чыдабаска чара жок , Иңкамал - апай аны атайы отургузган .","Бирок чыдабаска чара жок , аны атайы отургузган Иңкамал - апай .",[0] -> [2]
Кызыл-Кыяда УКМКнын шаардык бөлүмүнүн жаңы имараты пайдаланууга берилди .,Кызыл-Кыяда пайдаланууга берилди УКМКнын шаардык бөлүмүнүн жаңы имараты .,[0] -> [2]
"Макул , анда китеп текчесинде гилер кайда эле ?","Макул , анда кайда китеп текчесинде гилер эле ?",[0] -> [2]
"Жарым жылда Талас облусу жалпы 403 ,5 млн сомго каржыланды .","Жарым жылда жалпы 403 ,5 млн сомго каржыланды Талас облусу .",[0] -> [2]
"Кайыкты өзүм деле айдай алам , торду Роджелио салат .","Кайыкты айдай алам өзүм деле , торду Роджелио салат .",[0] -> [2]
Ысык-Көлдүн Темир айылында сел өтүүчү каналды казуу иштери башталды .,Ысык-Көлдүн Темир айылында башталды сел өтүүчү каналды казуу иштери .,[0] -> [2]
Токтогул суу сактагычында суунун көлөмү дээрлик 13 млрд куб метрди түздү .,Токтогул суу сактагычында дээрлик 13 млрд куб метрди түздү суунун көлөмү .,[0] -> [2]
Бишкек мэриясында өзгөчө кырдаалдарга даярдык талкууланды .,Бишкек мэриясында талкууланды өзгөчө кырдаалдарга даярдык .,[0] -> [2]
Бишкекте Көз карандысыз сертификациялоо жана валидациялоо борбору ачылды .,Бишкекте ачылды Көз карандысыз сертификациялоо жана валидациялоо борбору .,[0] -> [2]
Бүгүн Барскоон – Учтурфан – Аксу унаа жолунда “ Бедел ” өткөрүү пункту ачылат .,Бүгүн Барскоон – Учтурфан – Аксу унаа жолунда “ ачылат Бедел ” өткөрүү пункту .,[0] -> [2]
"Кыргызстанда дыйкан-фермерлерге 3 ,9 млрд сом жеңилдетилген насыя берилди .","Кыргызстанда дыйкан-фермерлерге берилди 3 ,9 млрд сом жеңилдетилген насыя .",[0] -> [2]
Рубль түшүп жатат – 3 - октябрга карата валюталар курсу .,Рубль түшүп жатат – 3 - октябрга карата курсу валюталар .,[0] -> [2]
7 - октябрда Бишкектин айрым жерлеринде суу болбойт .,7 - октябрда Бишкектин айрым жерлеринде болбойт суу .,[0] -> [2]
Кыргызстанда 17- сентябрда жалпы ишембилик өтөт .,Кыргызстанда 17- сентябрда өтөт жалпы ишембилик .,[0] -> [2]
Бишкекте “ Эң мыкты кыргыз тили жана адабияты кабинети ” сынагы өттү .,Бишкекте “ өттү Эң мыкты кыргыз тили жана адабияты кабинети ” сынагы .,[0] -> [2]
Эртең Бишкектин бир бөлүгүндө суу өчүрүлөт .,Эртең Бишкектин бир бөлүгүндө өчүрүлөт суу .,[0] -> [2]
Кыргызстанда майыптыгы бар жарандардын укуктарын коргоо маселелери талкууланды .,Кыргызстанда талкууланды майыптыгы бар жарандардын укуктарын коргоо маселелери .,[0] -> [2]
