sen_str,swapped_sen_str,leaf_rule
i'ngwi kʉku ko' pera kanikʉya ʉngusi =ri,i'ngwi kʉku ko' kanikʉya pera ʉngusi =ri,[0] -> [1] -> [2] -> [3]
"eymi kinki keywʉ , bechʉ keywʉ , ʉya nʉkin isʉya neki na' neyka ni .","eymi kinki keywʉ , nʉkin isʉya bechʉ keywʉ , ʉya neki na' neyka ni .",[0] -> [1] -> [2] -> [3]
eyma zamʉ =ri ( eh ) tenʉ za'ki nuga ni .,eyma zamʉ =ri za'ki ( eh ) tenʉ nuga ni .,[0] -> [1] -> [2] -> [3]
"kwa eyma =ri awʉn neki ga' ʉngawʉn ( nu nu ) nuge' =ri , nʉgu neki gu' nʉnkwa aya =gwi","kwa eyma =ri awʉn neki ga' ʉngawʉn ( nu nu ) nuge' =ri , gu' nʉgu neki nʉnkwa aya =gwi",[0] -> [1] -> [2] -> [3]
andi ( eh ) gringu =ri zizi awʉ'ʉ a'zʉna ni awga nʉn =di,andi ( eh ) gringu =ri a'zʉna zizi awʉ'ʉ ni awga nʉn =di,[0] -> [1] -> [2] -> [3]
ʉwe' =ri ikʉ arwaku =se' eymi =gwi zʉ'ʉn ʉw ni .,ʉwe' =ri ikʉ arwaku =se' ʉw eymi =gwi zʉ'ʉn ni .,[0] -> [1] -> [2] -> [3]
ikʉ =se' =ri ka'a sari zʉ'ʉn zweyn pana gunanʉn =di .,ikʉ =se' =ri sari ka'a zʉ'ʉn zweyn pana gunanʉn =di .,[0] -> [1] -> [2] -> [3]
"( mhm ) gʉmʉsinʉ =ri goru tosiwa a'zanʉn nuk =ʉkin =di ,","( mhm ) gʉmʉsinʉ =ri tosiwa goru a'zanʉn nuk =ʉkin =di ,",[0] -> [1] -> [2] -> [3]
"ʉndi eyma keywʉ za'ka cho'siwa ni ,","ʉndi eyma keywʉ cho'siwa za'ka ni ,",[0] -> [1] -> [2] -> [3]
"in'gwi =ri Bunekʉn , Gunekʉn , Seynekʉn awi =ri Mʉnekʉn , ma'keywa abugʉmʉ kʉnʉna awga ni .","in'gwi =ri kʉnʉna Bunekʉn , Gunekʉn , Seynekʉn awi =ri Mʉnekʉn , ma'keywa abugʉmʉ awga ni .",[0] -> [1] -> [2] -> [3]
iwa ikʉ =ri yow mikʉnari kukwa ni zʉ'ʉn,iwa ikʉ =ri mikʉnari yow kukwa ni zʉ'ʉn,[0] -> [1] -> [2] -> [3]
ikʉ =se' =ri tenʉ =ri azariga ni .,ikʉ =se' =ri azariga tenʉ =ri ni .,[0] -> [1] -> [2] -> [3]
"gʉmʉsinʉ =ri kʉtʉ anʉkagaka awkwa ni ,","gʉmʉsinʉ =ri anʉkagaka kʉtʉ awkwa ni ,",[0] -> [1] -> [2] -> [3]
ey ʉndi geyna neki ʉnkʉɉokwa uwa neki me'zanʉndi,ey ʉndi ʉnkʉɉokwa geyna neki uwa neki me'zanʉndi,[0] -> [1] -> [2] -> [3]
eyma =ri ɉwa a'kʉkumu' nʉnna ni,eyma =ri a'kʉkumu' ɉwa nʉnna ni,[0] -> [1] -> [2] -> [3]
"eyma =ri tenʉ ɉwa'kumʉya ni , ikʉ =se' =ri .","eyma =ri ɉwa'kumʉya tenʉ ni , ikʉ =se' =ri .",[0] -> [1] -> [2] -> [3]
"iwa kogwi , awga ni , awga =ɉina =ri , ikʉ =gwi zʉ'ʉn gunanʉn =di .","iwa awga ni , awga kogwi , =ɉina =ri , ikʉ =gwi zʉ'ʉn gunanʉn =di .",[0] -> [1] -> [2] -> [3]
"ikʉ =se' =ri mʉkʉ =ri ʉnɉú ʉnkʉcho' nʉn =di ,.","ikʉ =se' =ri ʉnɉú mʉkʉ =ri ʉnkʉcho' nʉn =di ,.",[0] -> [1] -> [2] -> [3]
ʉndi =ri ikʉ =ri eri emi mʉkʉ ʉnkʉcho'sʉy =a'ba' diwʉn eri niwikawa gu na' nʉnno,ʉndi =ri ikʉ =ri eri emi ʉnkʉcho'sʉy mʉkʉ =a'ba' diwʉn eri niwikawa gu na' nʉnno,[0] -> [1] -> [2] -> [3]
( go ) niwi gowna ni .,( go ) gowna niwi ni .,[0] -> [1] -> [2] -> [3]
inʉ =ki zamʉ aney a'kusʉya isa awa =gwi,inʉ =ki aney a'kusʉya zamʉ isa awa =gwi,[0] -> [1] -> [2] -> [3]
in'gwi gwati ma'keywa abugʉmʉ kʉnʉna kwana awga ni .,in'gwi gwati kʉnʉna ma'keywa abugʉmʉ kwana awga ni .,[0] -> [1] -> [2] -> [3]
a =se' gunti a =zey a =zey ɉwa kʉsi .,a =se' gunti kʉsi a =zey a =zey ɉwa .,[0] -> [1] -> [5]
ka'a eyma ingumʉn zayʉn anikʉya na'me' .,ka'a eyma anikʉya ingumʉn zayʉn na'me' .,[0] -> [1] -> [5]
"tutu =se' , inʉ winʉaw , awkw =a'ba' ,","tutu =se' , winʉaw inʉ , awkw =a'ba' ,",[0] -> [1] -> [5]
"ʉya =ri ey inʉ ʉnkʉtakʉn ,","ʉya =ri ʉnkʉtakʉn ey inʉ ,",[0] -> [1] -> [5]
