sen_str,swapped_sen_str,leaf_rule
अद्भिः एव अपः प्रोक्षति प्रोक्षिताः स्थ प्रोक्षिताः स्थ इति त्रिस्,अद्भिः एव प्रोक्षति अपः प्रोक्षिताः स्थ प्रोक्षिताः स्थ इति त्रिस्,[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6]
नवम् स्थालीपाकम् श्रपयित्वा आज्यभागौ इष्ट्वा आज्य आहुती जुहोति शत आयुधाय शत वीर्याय शत ऊतये अभिमातिषाहे शतम् यः नः शरदः इन्द्रः नेषत् अति दुरितानि विश्वा स्वाहा ये चत्वारः पथयः देव यानाः अन्तरा द्यावापृथिवी वियन्ति तेषाम् यः अ ज्यानिम् अजीजिम् आवहात् तस्मै नः देवाः परिधत्त इह सर्वे स्वाहा इति,नवम् स्थालीपाकम् श्रपयित्वा आज्यभागौ इष्ट्वा जुहोति आज्य आहुती शत आयुधाय शत वीर्याय शत ऊतये अभिमातिषाहे शतम् यः नः शरदः इन्द्रः नेषत् अति दुरितानि विश्वा स्वाहा ये चत्वारः पथयः देव यानाः अन्तरा द्यावापृथिवी वियन्ति तेषाम् यः अ ज्यानिम् अजीजिम् आवहात् तस्मै नः देवाः परिधत्त इह सर्वे स्वाहा इति,[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6]
प्रातर् अग्निम् गिरौ अरगराटेषु दिवस्पृथिव्याः इति दधि मधु आशयति,प्रातर् अग्निम् गिरौ अरगराटेषु दिवस्पृथिव्याः इति आशयति दधि मधु,[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6]
शेषम् कृत्वा अवस्थाप्य आहवनीयम् उरु विष्णो विक्रमस्व इति आहवनीये स्रुवेण आहुतिम् जुहोति,शेषम् कृत्वा अवस्थाप्य आहवनीयम् उरु विष्णो विक्रमस्व इति आहवनीये स्रुवेण जुहोति आहुतिम्,[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6]
अशना पिपासे एव एषा यजमानस्य संप्रख्याय वाश्यति इति ताम् तृणम् अपि आदयेत् सूयवसात् भगवती इति एतया ऋचा,अशना पिपासे एव एषा यजमानस्य संप्रख्याय वाश्यति इति ताम् आदयेत् तृणम् अपि सूयवसात् भगवती इति एतया ऋचा,[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6]
अथ गाः आयतीः प्रतीक्षते एताः आचरन्ति मधुमत् दुहानाः प्रजावतीः यशसः विश्व रूपाः बह्वीः भवन्तीः उपजायमानाः इह वः इन्द्रः रमयतु गावः इति महेन्द्रः इति वा यदि महेन्द्र याजी भवति,अथ प्रतीक्षते गाः आयतीः एताः आचरन्ति मधुमत् दुहानाः प्रजावतीः यशसः विश्व रूपाः बह्वीः भवन्तीः उपजायमानाः इह वः इन्द्रः रमयतु गावः इति महेन्द्रः इति वा यदि महेन्द्र याजी भवति,[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6]
आपः स्वराजः इति मरीचीः गृहीत्वा गृहीत्वा अञ्जलिना सर्वासु संसृजति,आपः स्वराजः इति गृहीत्वा मरीचीः गृहीत्वा अञ्जलिना सर्वासु संसृजति,[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6]
सम् अन्याः यन्ति इन्धनम् प्रयुञ्जानः न पिपासया म्रियते,सम् अन्याः यन्ति प्रयुञ्जानः इन्धनम् न पिपासया म्रियते,[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6]
इदम् उग्राय इति अन्वक्तान् अक्षान् विदेवनाय अध्वर्यवे प्रयच्छति,इदम् उग्राय इति विदेवनाय अध्वर्यवे प्रयच्छति अन्वक्तान् अक्षान्,[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6]
शम् अद्भ्यः शम् ओषधीभ्यः इति अवशिष्टाः अनु पृष्ठम् निनीय दक्षिणेन नाभिम् प्राच् अग्रम् बर्हिः निदधाति ओषधे त्रायस्व एनम् इति,शम् अद्भ्यः शम् ओषधीभ्यः इति अनु पृष्ठम् निनीय अवशिष्टाः दक्षिणेन नाभिम् प्राच् अग्रम् बर्हिः निदधाति ओषधे त्रायस्व एनम् इति,[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6]
अग्नेः जनित्रम् असि इति अधिमन्थनम् शकलम् निदधाति वृषणौ स्थः इति प्राञ्चौ दर्भौ,अग्नेः जनित्रम् असि इति निदधाति अधिमन्थनम् शकलम् वृषणौ स्थः इति प्राञ्चौ दर्भौ,[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6]
ब्रह्म जज्ञानम् भवाशर्वौ इति आसन्नम् अरण्ये पर्वतम् यजते,ब्रह्म जज्ञानम् भवाशर्वौ इति अरण्ये यजते आसन्नम् पर्वतम्,[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6]
दिवे स्वाहा इमम् यवम् इति चतुरः उद पात्रे संपातान् आनयति द्वौ पृथिव्याम्,दिवे स्वाहा इमम् यवम् इति उद पात्रे आनयति चतुरः संपातान् द्वौ पृथिव्याम्,[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6]
चात्वाले पत्नी अपः अवमृशति आपः देवीः शुद्धायुवः इति,चात्वाले पत्नी अवमृशति अपः आपः देवीः शुद्धायुवः इति,[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [6]
