sen_str,swapped_sen_str,leaf_rule
Sala 1940'ê dest bi nivîsandina helbestên kurdî dike .,Sala 1940'ê bi nivîsandina helbestên kurdî dike dest .,[0] -> [1] -> [2] -> [3] -> [4]
"Xwe gihandi bû wê derê , mifte di nav kilîtê de gerandi bû û hew .","Xwe gihandi bû wê derê , di nav kilîtê de gerandi bû mifte û hew .",[0] -> [1] -> [2] -> [3] -> [4]
Dema Komara Tirkiyê ava dibe dewlet biryarekê distîne ku sirûdeke neteweyî were çêkirin .,Dema Komara Tirkiyê ava dibe dewlet distîne biryarekê ku sirûdeke neteweyî were çêkirin .,[0] -> [1] -> [2] -> [3] -> [4]
Zêdetirîn du sed mîlyon stêrk nava dîskê de cih digire .,Zêdetirîn du sed mîlyon stêrk nava dîskê de digire cih .,[0] -> [1] -> [2] -> [3] -> [4]
Dema ku gundiyek an jî kesekî xerîb nebaşî bikira ceza dikir û bera nav bîra maran dida .,Dema ku gundiyek an jî kesekî xerîb bikira nebaşî ceza dikir û bera nav bîra maran dida .,[0] -> [1] -> [2] -> [3] -> [4]
"Bi şer Yemen , Sûdan û Felestîn vekirin û sala 1174 dest danî ser Şam , Mûsil û Helebê .","Bi şer vekirin Yemen , Sûdan û Felestîn û sala 1174 dest danî ser Şam , Mûsil û Helebê .",[0] -> [1] -> [2] -> [3] -> [4]
Di hejmara yekem de şanenava di kovarê de cih girt .,Di hejmara yekem de şanenava di kovarê de girt cih .,[0] -> [1] -> [2] -> [3] -> [4]
Dixwest tiştekî bibêje ; lê zimanê wê ne digeriya .,Dixwest bibêje tiştekî ; lê zimanê wê ne digeriya .,[0] -> [1] -> [2] -> [3] -> [4]
"Di heman salê de , ji bo lîsansa bilind li Zanîngeha Mêrsînê Fakulteya Fen - Edebiyatê di Beşa Felsefeyê de cî girt , lê xwendina xwe nebir serî .","Di heman salê de , ji bo lîsansa bilind li Zanîngeha Mêrsînê Fakulteya Fen - Edebiyatê di Beşa Felsefeyê de girt cî , lê xwendina xwe nebir serî .",[0] -> [1] -> [2] -> [3] -> [4]
Di destê wê ê rastê de kibrîteke şewitî û di destê wê ê çepê de elbika kibrîtê hebû .,Di destê wê ê rastê de şewitî kibrîteke û di destê wê ê çepê de elbika kibrîtê hebû .,[0] -> [1] -> [2] -> [3] -> [4]
