sen_str,swapped_sen_str,leaf_rule
નાનામાં નાની ભૂલ પણ તમને મોંઘી પડી શકે છે .,નાનામાં નાની ભૂલ પણ મોંઘી પડી તમને શકે છે .,[0] -> [2]
થોડીવાર સુધી તે આકાશ તરફ તાકી રહ્યો .,થોડીવાર સુધી આકાશ તરફ તાકી તે રહ્યો .,[0] -> [2]
શું તારે જવું છે ?,શું જવું તારે છે ?,[0] -> [2]
""" હા ! “ મેં નાનકડા રાજકુમારને કહ્યું .",""" હા ! “ નાનકડા રાજકુમારને કહ્યું મેં .",[0] -> [2]
"ચૂંટણી પહેલા ભાજપે શિવસેના સાથે સત્તા વહેંચવા નું વચન આપ્યું હતું , પરંતું જો હવે ભાજપ પોતા નું વચનથી પાછળ હટી રહી છે .","ચૂંટણી પહેલા શિવસેના સાથે સત્તા વહેંચવા નું વચન આપ્યું ભાજપે હતું , પરંતું જો હવે ભાજપ પોતા નું વચનથી પાછળ હટી રહી છે .",[0] -> [2]
શું ઇગુઆઝુ એક મોટો કે નાનો દેશ છે ?,શું એક મોટો કે નાનો દેશ ઇગુઆઝુ છે ?,[0] -> [2]
""" હા , મને ખબર છે … . “",""" હા , ખબર મને છે … . “",[0] -> [2]
"“ હવે તું જતો રહે “ , નાનકડા રાજકુમારે કહ્યું .","“ હવે તું જતો રહે “ , કહ્યું નાનકડા રાજકુમારે .",[0] -> [2]
"વધુમાં , યહોવાહ આપણને તજશે નહિ એ પણ યાદ રાખવું કેવું ઉત્તેજન આપનારું છે !","વધુમાં , આપણને તજશે યહોવાહ નહિ એ પણ યાદ રાખવું કેવું ઉત્તેજન આપનારું છે !",[0] -> [2]
અને નાનકડો રાજકુમાર શિયાળને મળવા પાછો ગયો .,અને શિયાળને મળવા પાછો ગયો નાનકડો રાજકુમાર .,[0] -> [2]
ત્યાં તમે અહીં એક ઉદાહરણ જોઈ શકો છો કે આ નીચે એક રોટેશનલ પાર્ટ ડિઝાઇન છે જે OPITZ પાર્ટ વર્ગીકરણ અને કોડિંગ સિસ્ટમ નો ફોર્મ કોડ નક્કી કરે છે .,ત્યાં તમે અહીં એક ઉદાહરણ જોઈ શકો છો કે આ નીચે એક રોટેશનલ પાર્ટ ડિઝાઇન છે OPITZ પાર્ટ વર્ગીકરણ અને કોડિંગ સિસ્ટમ નો ફોર્મ કોડ નક્કી કરે જે છે .,[0] -> [2]
એમના દીવા સળગાવીને એ સૂઈ જાય પછી આવે ચીન અને સાઈબિરિયા ના દીવા સળગાવનારા .,એમના દીવા સળગાવીને સૂઈ એ જાય પછી આવે ચીન અને સાઈબિરિયા ના દીવા સળગાવનારા .,[0] -> [2]
અને હવે એ ગીત ગાય છે .,અને હવે ગીત ગાય એ છે .,[0] -> [2]
ત્યાં તમે અહીં એક ઉદાહરણ જોઈ શકો છો કે આ નીચે એક રોટેશનલ પાર્ટ ડિઝાઇન છે જે OPITZ પાર્ટ વર્ગીકરણ અને કોડિંગ સિસ્ટમ નો ફોર્મ કોડ નક્કી કરે છે .,ત્યાં અહીં એક ઉદાહરણ જોઈ તમે શકો છો કે આ નીચે એક રોટેશનલ પાર્ટ ડિઝાઇન છે જે OPITZ પાર્ટ વર્ગીકરણ અને કોડિંગ સિસ્ટમ નો ફોર્મ કોડ નક્કી કરે છે .,[0] -> [2]
પરંતુ આ છે કોણ ?,પરંતુ છે કોણ આ ?,[0] -> [2]
પ્રથમ ટેસ્ટ ના બીજા દાવમાં ભારતીય ટીમ ફક્ત 36 રનમાં આઉટ થઈ ગઈ હતી જે ટેસ્ટ ક્રિકેટમાં તે નો અત્યાર સુધીનો સૌથી ઓછો સ્કોર છે .,પ્રથમ ટેસ્ટ ના બીજા દાવમાં ફક્ત 36 રનમાં આઉટ થઈ ભારતીય ટીમ ગઈ હતી જે ટેસ્ટ ક્રિકેટમાં તે નો અત્યાર સુધીનો સૌથી ઓછો સ્કોર છે .,[0] -> [2]
હાલ વંદે ભારત એક્સપ્રેસ દિલ્હીથી વારાણસી વચ્ચે દોડી રહી છે .,હાલ દિલ્હીથી વારાણસી વચ્ચે દોડી વંદે ભારત એક્સપ્રેસ રહી છે .,[0] -> [2]
"તું એ કામ કરત , તો એ ના થાત .","તું એ કામ કરત , તો ના થાત એ .",[0] -> [2]
એ આવશે એમ મને ના લાગ્યું .,એ આવશે એમ ના લાગ્યું મને .,[0] -> [2]
"ઉત્તરપ્રદેશ / ઉન્નાવ અકસ્માત મામલે CBIએ ચાર્જશીટ દાખલ કરી , કુલદીપ સેંગર સહિત કોઈ પર _ _ આરોપ નહીં","ઉત્તરપ્રદેશ / ઉન્નાવ અકસ્માત મામલે ચાર્જશીટ દાખલ કરી CBIએ , કુલદીપ સેંગર સહિત કોઈ પર _ _ આરોપ નહીં",[0] -> [2]
પોલીસ પૂછપરછ ના બીજા દિવસે ' દિલ બેચારા ' ની એક્ટ્રેસ સંજનાએ છોડ્યું મુંબઈ,પોલીસ પૂછપરછ ના બીજા દિવસે છોડ્યું ' દિલ બેચારા ' ની એક્ટ્રેસ સંજનાએ મુંબઈ,[0] -> [2]
મને લાગે છે કે વરસાદ વરસી રહ્યો છે .,મને લાગે છે કે વરસી વરસાદ રહ્યો છે .,[0] -> [2]
"જ્યાંપણ એને કામ મળશે , એ જશે .","જ્યાંપણ એને કામ મળશે , જશે એ .",[0] -> [2]
પુણેમાં પુર અને _ _ કારણે _ _ સંખ્યા 7એ પહોંચી .,પુણેમાં પુર અને _ _ કારણે 7એ પહોંચી _ _ સંખ્યા .,[0] -> [2]
"જોકે , સ્થાનિકો અને પરિવારજનોએ પોલીસકર્મી ઉપર આરોપ લગાવ્યો છે .","જોકે , પોલીસકર્મી ઉપર આરોપ લગાવ્યો સ્થાનિકો અને પરિવારજનોએ છે .",[0] -> [2]
આશા પર દુનિયા ટકી છે .,આશા પર ટકી દુનિયા છે .,[0] -> [2]
"એમને જોઈને નાનકડો રાજકુમાર ખડખડાટ હસ્યો : “ તમારા આ બોઆબ -- જંગલી તોતીંગ ઝાડ -- તો કોબીજ જેવા લાગે છે . ""","એમને જોઈને નાનકડો રાજકુમાર ખડખડાટ હસ્યો : “ કોબીજ જેવા લાગે તમારા આ બોઆબ -- જંગલી તોતીંગ ઝાડ -- તો છે . """,[0] -> [2]
ફિલ્મમાં લાંબા સમય પછી સલમાન અને કેટરિના સાથે નજરે ચડ્યા .,ફિલ્મમાં લાંબા સમય પછી સાથે નજરે ચડ્યા સલમાન અને કેટરિના .,[0] -> [2]
પછી તે પણ ખૂબ સસ્તી છે.,પછી ખૂબ સસ્તી તે પણ છે.,[0] -> [2]
એ નાનકડા રાજકુમાર ના ગ્રહ પર ફૂલો ખૂબ જ સરળ અને સાદાં હતાં .,એ નાનકડા રાજકુમાર ના ગ્રહ પર ખૂબ જ સરળ ફૂલો અને સાદાં હતાં .,[0] -> [2]
"એ જ રીતે , તે અન્ય કોઇ ઉત્પાદન સાથે છે.","એ જ રીતે , અન્ય કોઇ ઉત્પાદન તે સાથે છે.",[0] -> [2]
_ _ કાર્યાલય પ્રધાનમંત્રીએ રાષ્ટ્રીય મતદાતા દિવસ નિમિત્તે શુભેચ્છા પાઠવી પ્રધાનમંત્રી શ્રી નરેન્દ્ર મોદીએ આજે રાષ્ટ્રીય મતદાતા દિવસ નિમિત્તે લોકોને શુભેચ્છા પાઠવી હતી .,_ _ કાર્યાલય રાષ્ટ્રીય મતદાતા દિવસ નિમિત્તે શુભેચ્છા પાઠવી પ્રધાનમંત્રીએ પ્રધાનમંત્રી શ્રી નરેન્દ્ર મોદીએ આજે રાષ્ટ્રીય મતદાતા દિવસ નિમિત્તે લોકોને શુભેચ્છા પાઠવી હતી .,[0] -> [2]
એ જે પુસ્તક એને લીધી તે મોંઘી છે .,એ જે પુસ્તક લીધી એને તે મોંઘી છે .,[0] -> [2]
એટલે જ ઈસુએ ફરીથી લોકોને ઉત્પત્તિ ના પુસ્તકમાં જણાવેલો નિયમ યાદ દેવડાવ્યો .,એટલે જ ફરીથી લોકોને ઉત્પત્તિ ના પુસ્તકમાં જણાવેલો નિયમ યાદ દેવડાવ્યો ઈસુએ .,[0] -> [2]
એક અઠવાડિયામાં સતત કેસો વધી રહ્યા છે .,એક અઠવાડિયામાં સતત વધી કેસો રહ્યા છે .,[0] -> [2]
મારી તબિયત ખરાબ હોવાથી હું ઘરે રહ્યો .,મારી તબિયત ખરાબ હોવાથી ઘરે રહ્યો હું .,[0] -> [2]
""" એમ ? “ રાજકુમારે કહ્યું .",""" એમ ? “ કહ્યું રાજકુમારે .",[0] -> [2]
"""મરાયો , મરાયો"" , તેઓ બોલ્યા .","""મરાયો , મરાયો"" , બોલ્યા તેઓ .",[0] -> [2]
એટલે એ અદબ વાળીને ઉભો રહ્યો .,એટલે અદબ વાળીને ઉભો એ રહ્યો .,[0] -> [2]
નાનકડો રાજકુમાર હસ્યો .,નાનકડો હસ્યો રાજકુમાર .,[0] -> [2]
"( યશાયાહ ૬૫: ૧૩ , ૧૪. માત્થી ૨૪: ૪૫ - ૪૭ ) પણ તે ફક્ત આપણા જ્ઞાન ની તરસ જ છીપાવતા નથી .","( યશાયાહ ૬૫: ૧૩ , ૧૪. માત્થી ૨૪: ૪૫ - ૪૭ ) પણ ફક્ત આપણા જ્ઞાન ની તરસ જ છીપાવતા તે નથી .",[0] -> [2]
"એમને જોઈને નાનકડો રાજકુમાર ખડખડાટ હસ્યો : “ તમારા આ બોઆબ -- જંગલી તોતીંગ ઝાડ -- તો કોબીજ જેવા લાગે છે . ""","એમને જોઈને ખડખડાટ હસ્યો નાનકડો રાજકુમાર : “ તમારા આ બોઆબ -- જંગલી તોતીંગ ઝાડ -- તો કોબીજ જેવા લાગે છે . """,[0] -> [2]
