sen_str,swapped_sen_str,leaf_rule
"Fòk m di nou , m gen 2 gran frè ak yon ti sè bò manman epi plizyè gran sè ak yon ti frè bò papa ...","Fòk m nou di , m gen 2 gran frè ak yon ti sè bò manman epi plizyè gran sè ak yon ti frè bò papa ...",[0] -> [4]
"An jeneral , peche sa yo pa konn grav epi yo ban nou opòtinite pou n montre jan n renmen frè ak sè nou yo toutbon epi n dispoze padone yo menm jan Bondye demontre mizèrikòd anvè nou lè l padone nou .","An jeneral , peche sa yo pa konn grav epi yo nou ban opòtinite pou n montre jan n renmen frè ak sè nou yo toutbon epi n dispoze padone yo menm jan Bondye demontre mizèrikòd anvè nou lè l padone nou .",[0] -> [4]
"Antanke Papa ki gen lanmou , ni nan domèn fizik ni nan domèn espirityèl , Jewova ' ban nou tout bagay an kantite pou nou ka jwi yo ' .","Antanke Papa ki gen lanmou , ni nan domèn fizik ni nan domèn espirityèl , Jewova ' nou ban tout bagay an kantite pou nou ka jwi yo ' .",[0] -> [4]
"Fòk m di nou , m gen 2 gran frè ak yon ti sè bò manman epi plizyè gran sè ak yon ti frè bò papa ...","Fòk m nou di , m gen 2 gran frè ak yon ti sè bò manman epi plizyè gran sè ak yon ti frè bò papa ...",[0] -> [4]
Bib la ban nou asirans Bondye ap ban nou plis lafwa lè ' nou mande l selon volonte l ' .,Bib la ban nou asirans Bondye ap nou ban plis lafwa lè ' nou mande l selon volonte l ' .,[0] -> [4]
Sa fè nou wè jis nan ki pwen bagay yo pa t ap bon ditou si linivè t ap fonksyone san yon Bondye ki gen lanmou .,Sa nou fè wè jis nan ki pwen bagay yo pa t ap bon ditou si linivè t ap fonksyone san yon Bondye ki gen lanmou .,[0] -> [4]
Yon fyète konsa ka lakòz nou vin gen rankin e l ka lakòz nou rejte yon konsèy yo ban nou olye n aksepte l avèk imilite .,Yon fyète konsa ka nou lakòz vin gen rankin e l ka lakòz nou rejte yon konsèy yo ban nou olye n aksepte l avèk imilite .,[0] -> [4]
"Toutpandan n ap imite l , konsyans nou ap pale avè n , l ap ban nou asirans n ap fè sa ki bon an .","Toutpandan n ap imite l , konsyans nou ap pale avè n , l ap nou ban asirans n ap fè sa ki bon an .",[0] -> [4]
"Manowa te ' sipliye Jewova ' , li di : ' Gen yon sèvitè w [ zanj lan ] , ou menm vrè Dye a , ou fèk sot voye vin pale ak nou , tanpri , voye l kote nou ankò pou li ka di nou sa pou n fè pou timoun ki pral fèt la . '","Manowa te ' sipliye Jewova ' , li di : ' Gen yon sèvitè w [ zanj lan ] , ou menm vrè Dye a , ou fèk sot voye vin pale ak nou , tanpri , voye l kote nou ankò pou li ka nou di sa pou n fè pou timoun ki pral fèt la . '",[0] -> [4]
Sa pèmèt nou gen bonjan inite nan mitan nou antanke yon fanmi entènasyonal frè ak sè .,Sa nou pèmèt gen bonjan inite nan mitan nou antanke yon fanmi entènasyonal frè ak sè .,[0] -> [4]
