sen_str,swapped_sen_str,leaf_rule
Cəvanlara əlçatmaz hədəflərini tərk etdirməliyik .,Cəvanlara tərk etdirməliyik əlçatmaz hədəflərini .,[0]
Mənə abisini verərsən ?,Mənə verərsən abisini ?,[0]
Deniz yoldaşının pişirdigi qəzadan ikki boşqab yedi .,Deniz yoldaşının pişirdigi qəzadan yedi ikki boşqab .,[0]
Deniz anasın görmədi .,Deniz görmədi anasın .,[0]
"Əyər uşaq biz evə getməmış yatsa , yetişincə gərək onu oyandırax .","Əyər uşaq biz evə getməmış yatsa , yetişincə gərək oyandırax onu .",[0]
Denizin yaxçı bir mədrəsədə dərs oxumaması anasını nigəran elirdi .,Denizin yaxçı bir mədrəsədə dərs oxumaması nigəran elirdi anasını .,[0]
Deniz kitabı Ayhana söbh verdi ?,Deniz Ayhana söbh verdi kitabı ?,[0]
O çalışdı kı siqar çekmə və əlkol içməni tərkidə .,O çalışdı kı siqar çekmə və içməni əlkol tərkidə .,[0]
"Moəllim kitabı alıp , mədrəsəyə apardı .","Moəllim alıp , mədrəsəyə apardı kitabı .",[0]
siqar çekmə və əlkol içməni tərkitməyə çalışdı .,siqar çekmə və içməni əlkol tərkitməyə çalışdı .,[0]
Böyük evdə ki uşaq kitab oxur .,Böyük evdə ki uşaq oxur kitab .,[0]
Deniz tətil olduğunu yadınnan cıxardıp kifini götürüb mədrəsəyə getmişdi .,Deniz tətil olduğunu yadınnan cıxardıp götürüb kifini mədrəsəyə getmişdi .,[0]
Deniz babasının ona kitab oxumasını istəyir .,Deniz babasının ona oxumasını kitab istəyir .,[0]
Deniz axşamlar evdə kitab oxur .,Deniz axşamlar evdə oxur kitab .,[0]
Söbh Deniz kitabı Ayhana verdi ?,Söbh Deniz Ayhana verdi kitabı ?,[0]
"Ərim bağda kı uşağ otağının pəncərəsini tez - tez təmizləmişdi , aşpazxananın kını təmizləməmişdi .","Ərim tez - tez təmizləmişdi bağda kı uşağ otağının pəncərəsini , aşpazxananın kını təmizləməmişdi .",[0]
Deniz kitab oxur .,Deniz oxur kitab .,[0]
Bunun abisi çoxtər yaxçıdı . mənə abini verərsən ?,Bunun abisi çoxtər yaxçıdı . mənə verərsən abini ?,[0]
"Alma ağaclar Fərvərdin - Ordibeheşt aylarında gül açır , çarpaz tozlanır .","Alma ağaclar Fərvərdin - Ordibeheşt aylarında açır gül , çarpaz tozlanır .",[0]
"Moəllim kitabı alıp , mədrəsəyə getdi .","Moəllim alıp , mədrəsəyə getdi kitabı .",[0]
O maşın aldı amma qardaşı fəqət çərx aldı .,O maşın aldı amma qardaşı aldı fəqət çərx .,[0]
Söbh Deniz kitabı Ayhana verdi ?,Söbh Deniz Ayhana verdi kitabı ?,[0]
"Gecəni qalan qonax qapını çalmışdı , amma ev sahab sil - süpür elirdi və resturandan sifariş verən qəza hələ gələcəgidi .","Gecəni qalan qonax qapını çalmışdı , amma ev sahab sil - süpür elirdi və resturandan verən sifariş qəza hələ gələcəgidi .",[0]
Deniz düktür olacax .,Deniz olacax düktür .,[0]
Qız yoldaşına namə yazdı .,Qız yoldaşına yazdı namə .,[0]
"Ərim bağda kı uşağ otağının pəncərəsini tez - tez təmizləmişdi , aşpazxananın kını təmizləməmişdi .","Ərim bağda kı uşağ otağının pəncərəsini tez - tez təmizləmişdi , təmizləməmişdi aşpazxananın kını .",[0]
Deniz kitabı evə apardı .,Deniz evə apardı kitabı .,[0]
Anasının kitab oxuması Denizin yuxlamasını rahatlaşdırır .,Anasının oxuması kitab Denizin yuxlamasını rahatlaşdırır .,[0]
"O elə bir kitabdır ki , onu oxuyan bir də dünyaya eyni gözünən baxmaz .","O elə bir kitabdır ki , oxuyan onu bir də dünyaya eyni gözünən baxmaz .",[0]
"Deniz buralara gəlip , boş vəxtində kitab oxuyar iydi .","Deniz buralara gəlip , boş vəxtində oxuyar kitab iydi .",[0]
"Sənə bunu həmişə diyirəm , söbhlər yoldaşıynan telfunda danışanda mənim moridimdə danışma .","Sənə həmişə diyirəm bunu , söbhlər yoldaşıynan telfunda danışanda mənim moridimdə danışma .",[0]
Söbh kitabı Deniz Ayhana verdi ?,Söbh Deniz Ayhana verdi kitabı ?,[0]
Ərinə maşını yudurtdu .,Ərinə yudurtdu maşını .,[0]
"Oxuduxlarını yox , oxuyacaxlarını annadır .","Oxuduxlarını yox , annadır oxuyacaxlarını .",[0]
Deyəsən Ayşə Hakanın məşq yazmasına kömək eləmişimiş .,Deyəsən Ayşə Hakanın yazmasına məşq kömək eləmişimiş .,[0]
"Sam , pəncərəni aç !","Sam , aç pəncərəni !",[0]
Deniz anasın görməyib .,Deniz görməyib anasın .,[0]
"Gecəni qalan qonax qapını çalmışdı , amma ev sahab sil - süpür elirdi və resturandan sifariş verən qəza hələ gələcəgidi .","Gecəni qalan qonax çalmışdı qapını , amma ev sahab sil - süpür elirdi və resturandan sifariş verən qəza hələ gələcəgidi .",[0]
Maşın aldı amma qardaşı fəqət çərx aldı .,Maşın aldı amma qardaşı aldı fəqət çərx .,[0]
Sən əvvəl təmizləməgi qutar da ütüyü hal elərik .,Sən əvvəl təmizləməgi qutar da hal ütüyü elərik .,[0]
Deniz yoldaşına bir dənə kitab aldı .,Deniz yoldaşına aldı bir dənə kitab .,[0]
Deniz kitab oxumaq istəyir .,Deniz oxumaq kitab istəyir .,[0]
O ərinə maşını yudurtdu .,O ərinə yudurtdu maşını .,[0]
Uşaqlara kitab oxumaq təkamulları için əhəmmiyətlidir .,Uşaqlara oxumaq kitab təkamulları için əhəmmiyətlidir .,[0]
Deniz qardaşına kitabı verdi .,Deniz qardaşına verdi kitabı .,[0]
Söbh kitabı Deniz Ayhana verdi ?,Söbh Deniz Ayhana verdi kitabı ?,[0]
Deniz kitab oxumaq istəyir .,Deniz oxumaq kitab istəyir .,[0]
Sən əvvəl təmizləməgi qutar da ütüyü hal elərik .,Sən əvvəl qutar təmizləməgi da ütüyü hal elərik .,[0]
"Deniz düktür olacax , bilmiş ol !","Deniz olacax düktür , bilmiş ol !",[0]
"O Tüklərin cürləməliydi , amma neçə dəlilə görə o gün eləmədi .","O cürləməliydi Tüklərin , amma neçə dəlilə görə o gün eləmədi .",[0]
Ayşə bu kitabı oxumamış dəyil .,Ayşə oxumamış bu kitabı dəyil .,[0]
Denizin heç kitabı yox .,Denizin yox heç kitabı .,[0]
O maşın aldı amma qardaşı fəqət çərx aldı .,O aldı maşın amma qardaşı fəqət çərx aldı .,[0]
Deniz kitab oxuyarakən yuxlur .,Deniz oxuyarakən kitab yuxlur .,[0]
