sen_str,swapped_sen_str,leaf_rule
"Estas tres modificaciones son las mínimas que deben hacer se para evitar que se paralice el funcionamiento de las instituciones cuando la UE tenga 20 ó 25 Estados miembros , cifra que hará muy difícil adoptar decisiones por unanimidad .","Estas tres modificaciones son las mínimas que deben hacer se para evitar que se paralice el funcionamiento de las instituciones cuando la UE 20 ó 25 Estados miembros , cifra que hará muy difícil adoptar decisiones por unanimidad tenga .",[0] -> [12] -> [13]
"La sección Altaveu Frontera de el festival de Música Altaveu de Sant Boi de Llobregat , abre hoy el plazo de presentación de propuestas a cargo de grupos noveles , que finalizará el próximo 2 de mayo .","La sección Altaveu Frontera de el festival de Música Altaveu de Sant Boi de Llobregat , el plazo de presentación de propuestas a cargo de grupos noveles , que finalizará el próximo 2 de mayo abre hoy .",[0] -> [12] -> [13]
La convocatoria continuó creciendo y alcanzó a las 3000 personas aproximadamente en 2008 .,La convocatoria continuó creciendo y a las 3000 personas aproximadamente alcanzó en 2008 .,[0] -> [12] -> [13]
"A la hora de afrontar a el gabinete , poco después de que la fuerza alemanas cruzaran la frontera , Chamberlain le echó la culpa tanto a Alemania como Austria .","A la hora de afrontar a el gabinete , poco después de que la fuerza alemanas la frontera cruzaran , Chamberlain le echó la culpa tanto a Alemania como Austria .",[0] -> [12] -> [13]
"Al igual que Alex Turner , Cook pidió un instrumento musical como regalo de Navidad en 2001 , recibiendo su primera guitarra eléctrica .","Al igual que Alex Turner , Cook pidió un instrumento musical como regalo de Navidad en 2001 , su primera guitarra eléctrica recibiendo .",[0] -> [12] -> [13]
"El forajido Butch Cavendish ( Christopher Lloyd ) le tiende una emboscada a un grupo de Vigilantes de Texas , matando a todos excepto a John Reid ( Klinton Spilsbury ) que es rescatado por su viejo amigo comanche de infancia , Tonto ( Michael Horse ) .","El forajido Butch Cavendish ( Christopher Lloyd ) le una emboscada tiende a un grupo de Vigilantes de Texas , matando a todos excepto a John Reid ( Klinton Spilsbury ) que es rescatado por su viejo amigo comanche de infancia , Tonto ( Michael Horse ) .",[0] -> [12] -> [13]
"El procurador general de la República , Jorge Madrazo , explicó que la víspera concluyó la participación de los especialistas de el FBI y hoy terminaron las excavaciones debido a que no hay indicios de que existan más cadáveres en las propiedades confiscadas .","El procurador general de la República , Jorge Madrazo , explicó que la víspera concluyó la participación de los especialistas de el FBI y hoy terminaron las excavaciones debido a que no indicios de que existan más cadáveres en las propiedades confiscadas hay .",[0] -> [12] -> [13]
"El presidente de la Sectorial de Comunicación de Convergencia Democrática de Cataluña , Santiago Miralles , expresó la necesidad que percibe su partido de que las nuevas tecnologías sea un tema "" obsesivo "" para el Gobierno , que se creen planes estratégicos y que exista un respaldo parlamentario y presupuestario a este tipo de iniciativas .","El presidente de la Sectorial de Comunicación de Convergencia Democrática de Cataluña , Santiago Miralles , la necesidad que percibe su partido de que las nuevas tecnologías sea un tema "" obsesivo "" para el Gobierno , que se creen planes estratégicos y que exista un respaldo parlamentario y presupuestario a este tipo de iniciativas expresó .",[0] -> [12] -> [13]
"Pudiera considerar se un viaje fallido , porque no encuentra su objetivo , pero el azar le conduce a una pequeña comunidad zíngara de la Rumanía rural ( Valaquia ) donde toma contacto con una realidad peculiar , en la que la amistad , la solidaridad , el amor , la pasión y la música no son valores adulterados .","Pudiera considerar se un viaje fallido , porque no su objetivo encuentra , pero el azar le conduce a una pequeña comunidad zíngara de la Rumanía rural ( Valaquia ) donde toma contacto con una realidad peculiar , en la que la amistad , la solidaridad , el amor , la pasión y la música no son valores adulterados .",[0] -> [12] -> [13]
"Raramente hacía dibujos preparatorios , simplemente hacía un bosquejo de las líneas generales de la composición .","Raramente dibujos preparatorios hacía , simplemente hacía un bosquejo de las líneas generales de la composición .",[0] -> [12] -> [13]
"Tras los nombramientos , Sanz reiteró que no piensa convocar elecciones "" porque sería desestabilizar a el club y no es el momento "" , y aseguró : "" En el Madrid nunca ha habido ninguna irregularidad y no ha habido ningún beneficio por parte de ningún directivo "" .","Tras los nombramientos , Sanz reiteró que no piensa convocar elecciones "" porque sería a el club desestabilizar y no es el momento "" , y aseguró : "" En el Madrid nunca ha habido ninguna irregularidad y no ha habido ningún beneficio por parte de ningún directivo "" .",[0] -> [12] -> [13]
"Beatriz Ferrer Salat se prepara para competir , con su mejor caballo , "" Robert Beauvalais "" , en el Concurso de Doma de Aquisgrán ( Alemania ) los días 15 y 16 de julio , como base de entrenamiento para los Juegos antes de poner en cuarentena su monta a primeros de agosto .","Beatriz Ferrer Salat se prepara para competir , con su mejor caballo , "" Robert Beauvalais "" , en el Concurso de Doma de Aquisgrán ( Alemania ) los días 15 y 16 de julio , como base de entrenamiento para los Juegos antes de su monta poner en cuarentena a primeros de agosto .",[0] -> [12] -> [13]
"Un cliente que hace 32 años le confió un piano y cientos de libros , "" ha pagado su valor varias veces "" , bromea .","Un cliente que hace 32 años le un piano y cientos de libros confió , "" ha pagado su valor varias veces "" , bromea .",[0] -> [12] -> [13]
"Zweig empieza relatando su vida , su acceso a el poder en Ginebra , motivado por el hecho de haber escrito su famoso libro de la Institución Religiosa , un libro con el que culmina y cierra la reforma protestante iniciada años antes por Lutero .","Zweig empieza su vida , su acceso a el poder en Ginebra relatando , motivado por el hecho de haber escrito su famoso libro de la Institución Religiosa , un libro con el que culmina y cierra la reforma protestante iniciada años antes por Lutero .",[0] -> [12] -> [13]
""" Lejos de privar a Lázaro González de sus derechos de apelar , hemos tratado de asegurar sus intereses de obtener una revisión en la corte de apelaciones "" , expresó .",""" Lejos de a Lázaro González privar de sus derechos de apelar , hemos tratado de asegurar sus intereses de obtener una revisión en la corte de apelaciones "" , expresó .",[0] -> [12] -> [13]
El sobrino de Manuel Chaves ha recibido varios ' favores ' que le han ayudado a que no pase en la cárcel tres años y medios de cárcel sino que de momento sólo vaya allí a dormir de lunes a jueves .,El sobrino de Manuel Chaves ha recibido varios ' favores ' que le han ayudado a que no tres años y medios de cárcel pase en la cárcel sino que de momento sólo vaya allí a dormir de lunes a jueves .,[0] -> [12] -> [13]
"En ese documento , Bruselas considera que la opción nuclear contribuye a la reducción de emisiones de gases de efecto invernadero y garantiza el suministro energético de la Unión .","En ese documento , Bruselas considera que la opción nuclear contribuye a la reducción de emisiones de gases de efecto invernadero y el suministro energético de la Unión garantiza .",[0] -> [12] -> [13]
""" Acabará entendiendo que Marruecos tiene razón en sus reivindicaciones sobre ambos territorios , como ya ocurrió con el Sahara "" , aventuró .",""" Acabará entendiendo que Marruecos razón tiene en sus reivindicaciones sobre ambos territorios , como ya ocurrió con el Sahara "" , aventuró .",[0] -> [12] -> [13]
En el año 123 corrigió el calendario para hacer calzar las estaciones de el año .,En el año 123 el calendario corrigió para hacer calzar las estaciones de el año .,[0] -> [12] -> [13]
"Si el detonante de el conflicto , como así parece , ha sido esta normativa , parecería lógico que se hubieran facilitado las fórmulas para hacer esa evaluación .","Si el detonante de el conflicto , como así parece , ha sido esta normativa , parecería lógico que se hubieran facilitado las fórmulas para esa evaluación hacer .",[0] -> [12] -> [13]
"Es decir , que renunciara a hablar con HB mientras esta coalición no condene los atentados etarras .","Es decir , que renunciara a hablar con HB mientras esta coalición no los atentados etarras condene .",[0] -> [12] -> [13]
"Le deseamos la mayor suerte a todos los participantes "" .","Le la mayor suerte deseamos a todos los participantes "" .",[0] -> [12] -> [13]
"Un puesto no se cubre por la condición de mujer , y hasta el congreso no se desvelará quién ocupará la secretaría general .","Un puesto no se cubre por la condición de mujer , y hasta el congreso no se desvelará quién la secretaría general ocupará .",[0] -> [12] -> [13]
Avis también pone a disposición de los clientes consejos e información sobre conducción ecológica y eficiente para ayudar a reducir las emisiones .,Avis también pone a disposición de los clientes consejos e información sobre conducción ecológica y eficiente para ayudar a las emisiones reducir .,[0] -> [12] -> [13]
"No encontraba razones para que Fermina Daza no fuera una viuda igual , preparada por la vida para aceptar lo a él tal como era , sin fantasías de culpa por el marido muerto , resuelta a descubrir con él la otra felicidad de ser feliz dos veces , con un amor de uso cotidiano que convirtiera cada instante en un milagro de vivir , y con otro amor de ella sola preservado de todo contagio por la inmunidad de la muerte .","No encontraba razones para que Fermina Daza no fuera una viuda igual , preparada por la vida para aceptar lo a él tal como era , sin fantasías de culpa por el marido muerto , resuelta a descubrir con él la otra felicidad de ser feliz dos veces , con un amor de uso cotidiano que cada instante convirtiera en un milagro de vivir , y con otro amor de ella sola preservado de todo contagio por la inmunidad de la muerte .",[0] -> [12] -> [13]
"Sus primeras medidas fueron despedir a Jim Ross y recontratar a R - Truth y a The Miz , volviendo se heel .","Sus primeras medidas fueron despedir a Jim Ross y a R - Truth y a The Miz recontratar , volviendo se heel .",[0] -> [12] -> [13]
Peralta se preció de recuperar a tiempo el dinero invertido por el arzobispado .,Peralta se preció de el dinero invertido por el arzobispado recuperar a tiempo .,[0] -> [12] -> [13]
"Aunque su masa es aproximadamente un tercio de la de el Sol , su radio equivale a 2,32 veces el radio solar , estando situada en el diagrama de Hertzsprung - Russell por encima de la secuencia principal .","Aunque su masa es aproximadamente un tercio de la de el Sol , su radio el radio solar equivale a 2,32 veces , estando situada en el diagrama de Hertzsprung - Russell por encima de la secuencia principal .",[0] -> [12] -> [13]
"Viviendas , una finca cooperativa de el Duque de Infantado de 1200 hectáreas que van a poner en regadío , solidaridad , un modo de resistir el individualismo salvaje que los invade desde la ciudad y unos políticos que no han olvidado a su pueblo .","Viviendas , una finca cooperativa de el Duque de Infantado de 1200 hectáreas que van a poner en regadío , solidaridad , un modo de el individualismo salvaje que los invade desde la ciudad resistir y unos políticos que no han olvidado a su pueblo .",[0] -> [12] -> [13]
"De aquella breve pero intensa experiencia Antonia extrajo conclusiones importantes , a saber : Que a Rafael le gustaba fumar puros .","De aquella breve pero intensa experiencia Antonia conclusiones importantes , a saber : Que a Rafael le gustaba fumar puros extrajo .",[0] -> [12] -> [13]
"No obstante , dado el aislamiento de los territorios alemanes a el final de la guerra , no llegó a ejercer el cargo y tampoco dispuso de tiempo material para hacer lo porque el gobierno Dönitz apenas si duró unas semanas .","No obstante , dado el aislamiento de los territorios alemanes a el final de la guerra , no llegó a el cargo ejercer y tampoco dispuso de tiempo material para hacer lo porque el gobierno Dönitz apenas si duró unas semanas .",[0] -> [12] -> [13]
"Según proyecciones de Chilevid , comparando el comportamiento de los últimos cuatro años en el año 2000 se debería alcanzar los 600 millones de dólares de exportación .","Según proyecciones de Chilevid , el comportamiento de los últimos cuatro años comparando en el año 2000 se debería alcanzar los 600 millones de dólares de exportación .",[0] -> [12] -> [13]
La incesante presión de el Ejecutivo está teniendo un doble efecto en las filas peneuvistas .,La incesante presión de el Ejecutivo está un doble efecto teniendo en las filas peneuvistas .,[0] -> [12] -> [13]
"Durante este años el grupo realiza diferentes actos , exposiciones , actuaciones , etc , y graba un casete para conmemorar este 50 aniversario .","Durante este años el grupo diferentes actos , exposiciones , actuaciones , etc realiza , y graba un casete para conmemorar este 50 aniversario .",[0] -> [12] -> [13]
"Las noticias de la retirada llegaron como un gran shock para la opinión pública danesa que consideraba Danevirke como algo inexpugnable , y el general de Meza pronto fue destituido de su cargo .","Las noticias de la retirada llegaron como un gran shock para la opinión pública danesa que Danevirke consideraba como algo inexpugnable , y el general de Meza pronto fue destituido de su cargo .",[0] -> [12] -> [13]
