sen_str,swapped_sen_str,leaf_rule
"La presidenta de el Senado , Esperanza Aguirre , representará a España en los funerales por el ex primer ministro japonés Keizo Obuchi , que falleció el 14 de mayo víctima de un derrame cerebral , informó hoy la embajada española en Tokio .","La presidenta de el Senado , Esperanza Aguirre , representará a España en los funerales por el ex primer ministro japonés Keizo Obuchi , que falleció el 14 de mayo víctima de un derrame cerebral , la embajada española en Tokio informó hoy .",[0] -> [1] -> [2] -> [26]
"Él nunca ha hecho realmente una oferta "" , reveló Austin .","Él nunca ha hecho realmente una oferta "" , Austin reveló .",[0] -> [1] -> [2] -> [26]
""" Ha sido un triunfo de todo el equipo y el que necesitábamos para comenzar la fase final con la moral alta "" , destacó el entrenador de los Spurs , Gregg Popovich .",""" Ha sido un triunfo de todo el equipo y el que necesitábamos para comenzar la fase final con la moral alta "" , el entrenador de los Spurs , Gregg Popovich destacó .",[0] -> [1] -> [2] -> [26]
"Con un Palau así somos un equipo más potente "" , explicó el técnico .","Con un Palau así somos un equipo más potente "" , el técnico explicó .",[0] -> [1] -> [2] -> [26]
"Esta ayuda , que será gestionada por la Oficina de Ayuda Humanitaria de la Unión Europea ( ECHO ) , "" permitirá a la Cruz Roja y las Organizaciones no Gubernamentales ( ONG ) poner en marcha , durante los próximos seis meses , programas de asistencia destinados a más de 200.000 desplazados y refugiados "" , precisó la Comisión en un comunicado .","Esta ayuda , que será gestionada por la Oficina de Ayuda Humanitaria de la Unión Europea ( ECHO ) , "" permitirá a la Cruz Roja y las Organizaciones no Gubernamentales ( ONG ) poner en marcha , durante los próximos seis meses , programas de asistencia destinados a más de 200.000 desplazados y refugiados "" , la Comisión precisó en un comunicado .",[0] -> [1] -> [2] -> [26]
""" Somos muy afortunados de tener en casa a el perfecto sucesor de Rod Thorn "" , comentó Granik .",""" Somos muy afortunados de tener en casa a el perfecto sucesor de Rod Thorn "" , Granik comentó .",[0] -> [1] -> [2] -> [26]
"Yo les decía que no me tocaran más y les replicaba , porque quería saber quiénes eran "" , afirma con sorprendente frialdad la mujer , bregada en la lucha por los derechos de los extranjeros a través de la Asociación de Latinoamericanos de el Garraf .","Yo les decía que no me tocaran más y les replicaba , porque quería saber quiénes eran "" , la mujer , bregada en la lucha por los derechos de los extranjeros a través de la Asociación de Latinoamericanos de el Garraf afirma con sorprendente frialdad .",[0] -> [1] -> [2] -> [26]
""" Vendrán toxicómanos de otras partes "" , avisó la diputada Dolores García .",""" Vendrán toxicómanos de otras partes "" , la diputada Dolores García avisó .",[0] -> [1] -> [2] -> [26]
""" Aquí ha habido una mentira que se ha fomentado durante años : se ha hecho creer que los catalanes son Miquel Roca y sus muchachos "" , señala Miquel Sellarés , ex director general de la Policía Autonómica de Cataluña .",""" Aquí ha habido una mentira que se ha fomentado durante años : se ha hecho creer que los catalanes son Miquel Roca y sus muchachos "" , Miquel Sellarés , ex director general de la Policía Autonómica de Cataluña señala .",[0] -> [1] -> [2] -> [26]
""" Me pregunto por qué tenemos miedo a culturas pequeñas , distintas a la nuestra , como pueda ser la de los zíngaros , los kurdos o los tuaregs "" , dijo ayer Gatlif a el presentar su película en Barcelona .",""" Me pregunto por qué tenemos miedo a culturas pequeñas , distintas a la nuestra , como pueda ser la de los zíngaros , los kurdos o los tuaregs "" , Gatlif dijo ayer a el presentar su película en Barcelona .",[0] -> [1] -> [2] -> [26]
""" Cuba rechaza la imposición de conceptos ambiguos que sean fácilmente manipulables para atentar contra los principios de soberanía , integridad territorial y la no interferencia en los asuntos internos de los Estados "" , dijo Núñez Mosquera .",""" Cuba rechaza la imposición de conceptos ambiguos que sean fácilmente manipulables para atentar contra los principios de soberanía , integridad territorial y la no interferencia en los asuntos internos de los Estados "" , Núñez Mosquera dijo .",[0] -> [1] -> [2] -> [26]
""" Fue un lamentable accidente "" , comentó Gerry Hunsicker , gerente general de el equipo .",""" Fue un lamentable accidente "" , Gerry Hunsicker , gerente general de el equipo comentó .",[0] -> [1] -> [2] -> [26]
"Es una persona muy segura de sí misma que confía mucho en mí "" , explicó a Efe Lamela , que este año seguirá entrenando se en las instalaciones ovetenses de San Lázaro , pero ha cambiado su matrícula universitaria y en lugar de estudiar informática en Gijón , lo hará en Oviedo .","Es una persona muy segura de sí misma que confía mucho en mí "" , Lamela , que este año seguirá entrenando se en las instalaciones ovetenses de San Lázaro , pero ha cambiado su matrícula universitaria y en lugar de estudiar informática en Gijón , lo hará en Oviedo explicó a Efe .",[0] -> [1] -> [2] -> [26]
""" Tal vez la gran diferencia de mi actitud con el resto de las personalidades y celebridades es que no sólo hablo de la necesidad de ayudar a los niños sino que lo pongo en práctica en la búsqueda de ingresos para dar la "" , explicó Agassi .",""" Tal vez la gran diferencia de mi actitud con el resto de las personalidades y celebridades es que no sólo hablo de la necesidad de ayudar a los niños sino que lo pongo en práctica en la búsqueda de ingresos para dar la "" , Agassi explicó .",[0] -> [1] -> [2] -> [26]
""" Ellos mismos reconocen implícitamente que el trato no es el mismo y automáticamente incurren en la discriminación "" , añadió el directivo catalán .",""" Ellos mismos reconocen implícitamente que el trato no es el mismo y automáticamente incurren en la discriminación "" , el directivo catalán añadió .",[0] -> [1] -> [2] -> [26]
"En los últimos días , he vivido instantes muy emotivos "" , confesó a Efe Toni .","En los últimos días , he vivido instantes muy emotivos "" , Toni confesó a Efe .",[0] -> [1] -> [2] -> [26]
"Tres polizones ecuatorianos y otro dominicano fueron detenidos a el descender de un barco en el puerto panameño de Colón , aunque pensaban que habían llegado a EEUU , su destino final , informó hoy la Dirección de Migración de Panamá .","Tres polizones ecuatorianos y otro dominicano fueron detenidos a el descender de un barco en el puerto panameño de Colón , aunque pensaban que habían llegado a EEUU , su destino final , la Dirección de Migración de Panamá informó hoy .",[0] -> [1] -> [2] -> [26]
"Córcega , sacudida desde hace años por los atentados nacionalistas , "" está en nuestra República y permanecerá dentro de ella "" , precisó Chirac antes de reconocer que la isla "" sufre deficiencias económicas que deben ser compensadas "" a fin de que los corsos puedan desempeñar "" todo su papel en el espacio nacional , mediterráneo y europeo "" .","Córcega , sacudida desde hace años por los atentados nacionalistas , "" está en nuestra República y permanecerá dentro de ella "" , Chirac precisó antes de reconocer que la isla "" sufre deficiencias económicas que deben ser compensadas "" a fin de que los corsos puedan desempeñar "" todo su papel en el espacio nacional , mediterráneo y europeo "" .",[0] -> [1] -> [2] -> [26]
""" Se habla de lo que ocurre con trabajadores y trabajadoras de las grandes empresas , firmas que como tienen recursos económicos buscan buenos acuerdos para prejubilar y jubilar anticipadamente "" , dijo Méndez , quien señaló que los empleados de las pequeñas y medianas empresas "" son los grandes olvidados "" .",""" Se habla de lo que ocurre con trabajadores y trabajadoras de las grandes empresas , firmas que como tienen recursos económicos buscan buenos acuerdos para prejubilar y jubilar anticipadamente "" , Méndez , quien señaló que los empleados de las pequeñas y medianas empresas "" son los grandes olvidados "" dijo .",[0] -> [1] -> [2] -> [26]
"La destrucción de las minas será asignada a varias empresas privadas , entre ellas el fabricante de productos químicos Asahi Chemical , dijeron las fuentes .","La destrucción de las minas será asignada a varias empresas privadas , entre ellas el fabricante de productos químicos Asahi Chemical , las fuentes dijeron .",[0] -> [1] -> [2] -> [26]
""" Estamos asqueados "" , manifestó Thoko Matsche , líder de la opositora Asamblea Nacional Constituyente ( ANC ) , que organizó la marcha .",""" Estamos asqueados "" , Thoko Matsche , líder de la opositora Asamblea Nacional Constituyente ( ANC ) , que organizó la marcha manifestó .",[0] -> [1] -> [2] -> [26]
"En cuanto a las infraestructuras , se apuesta por la red de carreteras básicas articuladas en torno a la A-49 , que no se desdoblará o se convertirá en autovía por el Norte de el parque de Doñana , aclaró la consejera .","En cuanto a las infraestructuras , se apuesta por la red de carreteras básicas articuladas en torno a la A-49 , que no se desdoblará o se convertirá en autovía por el Norte de el parque de Doñana , la consejera aclaró .",[0] -> [1] -> [2] -> [26]
""" Hoy en día amo a el hockey por encima de cualquier otra cosa "" , dijo asimismo Buré a el Komsomolskaya Pravda .",""" Hoy en día amo a el hockey por encima de cualquier otra cosa "" , Buré dijo asimismo a el Komsomolskaya Pravda .",[0] -> [1] -> [2] -> [26]
"Y eso que la lluvia casi lo estropea todo : "" Cuando hemos llegado por la mañana , el campo estaba inundado por la lluvia y hemos tenido que achicar agua "" , relataba Batlle .","Y eso que la lluvia casi lo estropea todo : "" Cuando hemos llegado por la mañana , el campo estaba inundado por la lluvia y hemos tenido que achicar agua "" , Batlle relataba .",[0] -> [1] -> [2] -> [26]
"Las previsiones son mucho mayores "" , indicó Willoughby .","Las previsiones son mucho mayores "" , Willoughby indicó .",[0] -> [1] -> [2] -> [26]
""" La fuerza no me ha faltado , la salud sí , está muy disminuida "" , dijo Balaguer , quien ha conducido la campaña electoral de su partido sin salir de su residencia o haciendo declaraciones a los periodistas desde el interior de su automóvil en un cementerio a el que los fines de semana acude para visitar la tumba de sus parientes .",""" La fuerza no me ha faltado , la salud sí , está muy disminuida "" , Balaguer , quien ha conducido la campaña electoral de su partido sin salir de su residencia o haciendo declaraciones a los periodistas desde el interior de su automóvil en un cementerio a el que los fines de semana acude para visitar la tumba de sus parientes dijo .",[0] -> [1] -> [2] -> [26]
"Sanitat "" ha aceptado que esa es la realidad "" , advierte Rius .","Sanitat "" ha aceptado que esa es la realidad "" , Rius advierte .",[0] -> [1] -> [2] -> [26]
"Tener calles en buenas condiciones nos garantiza una mejor seguridad ya la vez nos muestra un impacto muy positivo dentro de los barrios y colonias de la ciudad "" , dijo Pastor .","Tener calles en buenas condiciones nos garantiza una mejor seguridad ya la vez nos muestra un impacto muy positivo dentro de los barrios y colonias de la ciudad "" , Pastor dijo .",[0] -> [1] -> [2] -> [26]
""" No veo a ninguno de esos dos países bloqueando hasta el final la directiva "" , comentó el diplomático , quien explicó que las últimas modificaciones introducidas en el borrador han satisfecho ya a otra delegación reticente , Holanda .",""" No veo a ninguno de esos dos países bloqueando hasta el final la directiva "" , el diplomático , quien explicó que las últimas modificaciones introducidas en el borrador han satisfecho ya a otra delegación reticente , Holanda comentó .",[0] -> [1] -> [2] -> [26]
"El canal televisivo brasileño Globo producirá una telenovela en español para los mercados hispanos de EEUU y de los países latinoamericanos , informó hoy la prensa local .","El canal televisivo brasileño Globo producirá una telenovela en español para los mercados hispanos de EEUU y de los países latinoamericanos , la prensa local informó hoy .",[0] -> [1] -> [2] -> [26]
"Hay otros sistemas de control , como la contravigilancia o el contacto telefónico con los agentes "" , afirman los Mossos d'Esquadra .","Hay otros sistemas de control , como la contravigilancia o el contacto telefónico con los agentes "" , los Mossos d'Esquadra afirman .",[0] -> [1] -> [2] -> [26]
""" La U. pasó por encima y Calero evitó catástrofe "" , resumió el diario .",""" La U. pasó por encima y Calero evitó catástrofe "" , el diario resumió .",[0] -> [1] -> [2] -> [26]
""" Los rumores sobre mi inminente boda con Kurnikova fueron una simple bula periodística , pues no nos proponíamos casar nos "" , dijo el "" soltero de oro "" ruso más famoso a otro diario , "" Moskovski Komsomolets "" .",""" Los rumores sobre mi inminente boda con Kurnikova fueron una simple bula periodística , pues no nos proponíamos casar nos "" , el "" soltero de oro "" ruso más famoso dijo a otro diario , "" Moskovski Komsomolets "" .",[0] -> [1] -> [2] -> [26]
""" Todos los equipos lo hacen , y si nosotros no lo hemos podido hacer hasta ahora es por culpa de las lesiones "" , afirmó De el Bosque .",""" Todos los equipos lo hacen , y si nosotros no lo hemos podido hacer hasta ahora es por culpa de las lesiones "" , De el Bosque afirmó .",[0] -> [1] -> [2] -> [26]
"Unas horas antes de que llegaran las autoridades oficiales , los observadores internacionales , entre los que se encontraban representantes diplomáticos de Holanda , Francia , Gran Bretaña , Japón , Guatemala , Cuba , además de Carmelo Angulo , embajador de España en Colombia , las esposas de los ex combatientes saldaban sus últimas deudas en la tienda de el pueblo y se despedían ; - a ver si regresan el año que viene para celebrar el aniversario de este día - , decía la dueña de el ultramarinos .","Unas horas antes de que llegaran las autoridades oficiales , los observadores internacionales , entre los que se encontraban representantes diplomáticos de Holanda , Francia , Gran Bretaña , Japón , Guatemala , Cuba , además de Carmelo Angulo , embajador de España en Colombia , las esposas de los ex combatientes saldaban sus últimas deudas en la tienda de el pueblo y se despedían ; - a ver si regresan el año que viene para celebrar el aniversario de este día - , la dueña de el ultramarinos decía .",[0] -> [1] -> [2] -> [26]
""" Esta estructura de plataforma múltiple no sacrifica la vigorosa competencia entre los mercados y no tiene ninguna de las desventajas de un CLOB "" , explica el informe de el NYSE .",""" Esta estructura de plataforma múltiple no sacrifica la vigorosa competencia entre los mercados y no tiene ninguna de las desventajas de un CLOB "" , el informe de el NYSE explica .",[0] -> [1] -> [2] -> [26]
"Así competir te motiva "" , aseguró el campeón español .","Así competir te motiva "" , el campeón español aseguró .",[0] -> [1] -> [2] -> [26]
""" Está agonizando , pero aún no está muerto . Su estado es muy grave "" , precisó la policía tras liberar a los rehenes .",""" Está agonizando , pero aún no está muerto . Su estado es muy grave "" , la policía precisó tras liberar a los rehenes .",[0] -> [1] -> [2] -> [26]
""" Estoy convencido de que cuando dé comienzo la temporada y nos mentalicemos de que la hora de la verdad ha llegado , todas las piezas de el equipo van a encontrar se en su sitio para que lleguen los triunfos "" , explicó Torre .",""" Estoy convencido de que cuando dé comienzo la temporada y nos mentalicemos de que la hora de la verdad ha llegado , todas las piezas de el equipo van a encontrar se en su sitio para que lleguen los triunfos "" , Torre explicó .",[0] -> [1] -> [2] -> [26]
"Estoy preparado para ganar el Sábado a el Barcelona "" , enfatizó el lateral izquierdo de el Real Madrid .","Estoy preparado para ganar el Sábado a el Barcelona "" , el lateral izquierdo de el Real Madrid enfatizó .",[0] -> [1] -> [2] -> [26]
""" Puede que tengan que desplazar se en autobús y no en automóviles de lujo con chofer "" , señaló Coates .",""" Puede que tengan que desplazar se en autobús y no en automóviles de lujo con chofer "" , Coates señaló .",[0] -> [1] -> [2] -> [26]
""" Será una buena prueba para ver las posibilidades de algunos jugadores y la capacidad de el equipo , sobre todo en el aspecto físico "" , explicó el entrenador de el Espanyol , que considera a el AEK Atenas "" un equipo difícil "" .",""" Será una buena prueba para ver las posibilidades de algunos jugadores y la capacidad de el equipo , sobre todo en el aspecto físico "" , el entrenador de el Espanyol , que considera a el AEK Atenas "" un equipo difícil "" explicó .",[0] -> [1] -> [2] -> [26]
""" El rey y las fuerzas democráticas están dando a Marruecos la única y última oportunidad para salir adelante "" , explica Mohamed A el Gahs , director de el diario socialista Libération .",""" El rey y las fuerzas democráticas están dando a Marruecos la única y última oportunidad para salir adelante "" , Mohamed A el Gahs , director de el diario socialista Libération explica .",[0] -> [1] -> [2] -> [26]
""" Tú piensas solo y decides solo , y por eso viajas a Washington solo "" , dijo el "" halcón "" Sharon a Barak .",""" Tú piensas solo y decides solo , y por eso viajas a Washington solo "" , el "" halcón "" Sharon dijo a Barak .",[0] -> [1] -> [2] -> [26]
""" Los demócratas están más preocupados en la selectividad en el recuento que por la limpieza "" , afirmó Baker .",""" Los demócratas están más preocupados en la selectividad en el recuento que por la limpieza "" , Baker afirmó .",[0] -> [1] -> [2] -> [26]
""" En los links - campos de golf naturales - no me encuentro muy a gusto jugando , porque son campos para jugadoras de fuerza , y hasta ahora no se me han dado bien , pero confío en mantener la buena línea de juego que he mantenido hasta ahora "" , señaló Carriedo .",""" En los links - campos de golf naturales - no me encuentro muy a gusto jugando , porque son campos para jugadoras de fuerza , y hasta ahora no se me han dado bien , pero confío en mantener la buena línea de juego que he mantenido hasta ahora "" , Carriedo señaló .",[0] -> [1] -> [2] -> [26]
""" Es que el cuchillo afectó el corazón de el niño y le provocó la muerte en forma casi instantánea "" , dijo el vocero policial consultado .",""" Es que el cuchillo afectó el corazón de el niño y le provocó la muerte en forma casi instantánea "" , el vocero policial consultado dijo .",[0] -> [1] -> [2] -> [26]
"La OTAN está a favor de que Yugoslavia se integre en la Asociación para la Paz ( ASP ) pero ni está abierta , ni prevista de forma inmediata ninguna negociación para ello , señaló hoy , jueves , un responsable aliado .","La OTAN está a favor de que Yugoslavia se integre en la Asociación para la Paz ( ASP ) pero ni está abierta , ni prevista de forma inmediata ninguna negociación para ello , un responsable aliado señaló hoy , jueves , .",[0] -> [1] -> [2] -> [26]
""" Oscar siempre dijo desde que terminó la pelea contra Trinidad que no la perdió y que en ningún momento dejo de pensar que era el verdadero campeón de el mundo , la mejor demostración la dio en su pelea contra Shane Mosley "" , destacó Solórzano .",""" Oscar siempre dijo desde que terminó la pelea contra Trinidad que no la perdió y que en ningún momento dejo de pensar que era el verdadero campeón de el mundo , la mejor demostración la dio en su pelea contra Shane Mosley "" , Solórzano destacó .",[0] -> [1] -> [2] -> [26]
"La operación para capturar a Castillo por primera vez permitió la colaboración de varios países , para proteger a inmigrantes ilegales que son víctimas de organizaciones criminales , añade la nota .","La operación para capturar a Castillo por primera vez permitió la colaboración de varios países , para proteger a inmigrantes ilegales que son víctimas de organizaciones criminales , la nota añade .",[0] -> [1] -> [2] -> [26]
""" En un escenario de alta competitividad como el actual , nos consideramos un instrumento técnico a el servicio de poderosos operadores , inmersos en una vorágine de fusiones multimedia "" , señaló el presidente de Hispasat .",""" En un escenario de alta competitividad como el actual , nos consideramos un instrumento técnico a el servicio de poderosos operadores , inmersos en una vorágine de fusiones multimedia "" , el presidente de Hispasat señaló .",[0] -> [1] -> [2] -> [26]
"Será un cambio significativo comenzar el diálogo a fondo "" , afirmó el estadista .","Será un cambio significativo comenzar el diálogo a fondo "" , el estadista afirmó .",[0] -> [1] -> [2] -> [26]
""" Cermeño quedó eliminado de las listas y ya te confirmo que otro venezolano , Yober Ortega , disputará la vacante corona interina ante el japonés Kozo Ishii "" , aseveró Mendoza .",""" Cermeño quedó eliminado de las listas y ya te confirmo que otro venezolano , Yober Ortega , disputará la vacante corona interina ante el japonés Kozo Ishii "" , Mendoza aseveró .",[0] -> [1] -> [2] -> [26]
""" Nos dieron unos sandwiches y sacaron diez mantas para todos "" , se quejó una chica , la cual aseguró que casi ninguno de sus compañeros ha podido dormir .",""" Nos dieron unos sandwiches y sacaron diez mantas para todos "" , se una chica , la cual aseguró que casi ninguno de sus compañeros ha podido dormir quejó .",[0] -> [1] -> [2] -> [26]
"Jospin devuelve el 10 por ciento de el dinero que ha quitado a los franceses "" , indicó Alain Madelin , líder de Democracia Liberal .","Jospin devuelve el 10 por ciento de el dinero que ha quitado a los franceses "" , Alain Madelin , líder de Democracia Liberal indicó .",[0] -> [1] -> [2] -> [26]
""" No es como en otras ocasiones en que una empresa estadounidense compra a una mexicana o la absorbe en sus negocios , somos dos empresas que vamos a trabajar juntas "" , indicó Allard .",""" No es como en otras ocasiones en que una empresa estadounidense compra a una mexicana o la absorbe en sus negocios , somos dos empresas que vamos a trabajar juntas "" , Allard indicó .",[0] -> [1] -> [2] -> [26]
"` Queer ' es más bien un fenómeno creativo en el sentido de extraño , excéntrico u oblicuo "" , enfatizó Rivera .","` Queer ' es más bien un fenómeno creativo en el sentido de extraño , excéntrico u oblicuo "" , Rivera enfatizó .",[0] -> [1] -> [2] -> [26]
"Así lo comunicaron a la Bolsa de Comercio de Buenos Aires tres de las empresas que forman parte de CGO , el Grupo Mexicano de Desarrollo ( GMD ) , la Compañía Brasileña de Proyectos y Obras ( CBPO ) , subsidiaria de el grupo brasileño Odebrecht , y la firma argentina Benito Roggio e Hijos , informaron hoy fuentes bursátiles .","Así lo comunicaron a la Bolsa de Comercio de Buenos Aires tres de las empresas que forman parte de CGO , el Grupo Mexicano de Desarrollo ( GMD ) , la Compañía Brasileña de Proyectos y Obras ( CBPO ) , subsidiaria de el grupo brasileño Odebrecht , y la firma argentina Benito Roggio e Hijos , fuentes bursátiles informaron hoy .",[0] -> [1] -> [2] -> [26]
""" Así que somos parientes entonces "" , bromeó Castro con los visitantes españoles .",""" Así que somos parientes entonces "" , Castro bromeó con los visitantes españoles .",[0] -> [1] -> [2] -> [26]
