sen_str,swapped_sen_str,leaf_rule
"Сакам прекрасен сладолед , со три топки , од ванила , јагода и лешник , каков што јаде она дете .","прекрасен сладолед , со три топки , од ванила , јагода и лешник , каков што јаде она дете Сакам .",[0] -> [1] -> [3]
Планирам да си купам нова кола .,нова кола Планирам да си купам .,[0] -> [1] -> [3]
"Сем , отвори го прозорецот !","Сем , прозорецот отвори го !",[0] -> [1] -> [3]
"Таму ја оставивме колата , а овде ќе ја подигнеме .","Таму ја колата оставивме , а овде ќе ја подигнеме .",[0] -> [1] -> [3]
Обожавам помфрит со кечап .,помфрит Обожавам со кечап .,[0] -> [1] -> [3]
Го натера мажот ѝ да ја измие колата .,Го мажот ѝ натера да ја измие колата .,[0] -> [1] -> [3]
"Сум го гледал филмот , но сакам да го гледам пак .","Сум го филмот гледал , но сакам да го гледам пак .",[0] -> [1] -> [3]
"Ја купи го зелениот , ја купи го црвениот - мене ми е сеедно .","Ја зелениот купи го , ја купи го црвениот - мене ми е сеедно .",[0] -> [1] -> [3]
Соседот на Петар ја исфарба оградата црвена .,Соседот на Петар ја оградата исфарба црвена .,[0] -> [1] -> [3]
"Вчера имав слободно време за два играни филма , што ми се нема случено во последниве неколку месеци .","Вчера слободно време за два играни филма имав , што ми се нема случено во последниве неколку месеци .",[0] -> [1] -> [3]
"Оваа година постигна гол на пет натпревари по ред , а тоа му се немаше случено претходно .","Оваа година гол постигна на пет натпревари по ред , а тоа му се немаше случено претходно .",[0] -> [1] -> [3]
"Кај што има чад , има и оган .","Кај што чад има , има и оган .",[0] -> [1] -> [3]
"Бидејќи студеше , облеков јакна .","Бидејќи студеше , јакна облеков .",[0] -> [1] -> [3]
"Мамо , направи ми пица !","Мамо , пица направи ми !",[0] -> [1] -> [3]
Детето ја прескокна клупата .,Детето ја клупата прескокна .,[0] -> [1] -> [3]
"Марија освои злато , а Петар бронза .","Марија злато освои , а Петар бронза .",[0] -> [1] -> [3]
Тие не го забележија возачот покрај расипаниот автомобил или не сакаа да го забележат .,Тие не го возачот забележија покрај расипаниот автомобил или не сакаа да го забележат .,[0] -> [1] -> [3]
Му ја даде ли тетратката на Јован .,Му ја тетратката даде ли на Јован .,[0] -> [1] -> [3]
"Тој купи автомобил , но неговиот брат – само велосипед .","Тој автомобил купи , но неговиот брат – само велосипед .",[0] -> [1] -> [3]
"Да студеше , ќе облечев јакна .","Да студеше , ќе јакна облечев .",[0] -> [1] -> [3]
"Ние ја подготвувавме сцената , а тие ги редеа столчињата .","Ние ја сцената подготвувавме , а тие ги редеа столчињата .",[0] -> [1] -> [3]
"Кај што има чад , има и оган .","Кај што има чад , и оган има .",[0] -> [1] -> [3]
Татко му извади една голема торта .,Татко му една голема торта извади .,[0] -> [1] -> [3]
"Не најавија отсуство , веројатно ќе дојдат .","Не отсуство најавија , веројатно ќе дојдат .",[0] -> [1] -> [3]
Немам пари и не одам во кино .,пари Немам и не одам во кино .,[0] -> [1] -> [3]
"Мери освои бронза , Петар сребро , а Џејн злато .","Мери бронза освои , Петар сребро , а Џејн злато .",[0] -> [1] -> [3]
Било прати ми порака било јави ми се на мобилен .,Било порака прати ми било јави ми се на мобилен .,[0] -> [1] -> [3]
Му плетам џемпер .,Му џемпер плетам .,[0] -> [1] -> [3]
Јас барам такво место каде што би можел да се одморам .,Јас такво место каде што би можел да се одморам барам .,[0] -> [1] -> [3]
Гледавме натпревар и навивавме за Вардар .,натпревар Гледавме и навивавме за Вардар .,[0] -> [1] -> [3]
"Професорот , којшто се пензионира минатата година , напишал нова книга .","Професорот , којшто се пензионира минатата година , нова книга напишал .",[0] -> [1] -> [3]
"Ако немам пари , не одам во кино .","Ако пари немам , не одам во кино .",[0] -> [1] -> [3]
Продадоа скапа роба .,скапа роба Продадоа .,[0] -> [1] -> [3]
Им даде на сите по една паричка .,Им по една паричка даде на сите .,[0] -> [1] -> [3]
"Иако студеше , не облеков јакна .","Иако студеше , не јакна облеков .",[0] -> [1] -> [3]
Тој сака кучиња како и мачки .,Тој кучиња како и мачки сака .,[0] -> [1] -> [3]
"На море минатиот одмор останавме 15 дена , што беше одлично за децата .","На море минатиот одмор 15 дена останавме , што беше одлично за децата .",[0] -> [1] -> [3]
Го решивме проблемот којшто нè мачеше со години .,Го проблемот којшто нè мачеше со години решивме .,[0] -> [1] -> [3]
Сакам сладолед каков што јаде она дете .,сладолед каков што јаде она дете Сакам .,[0] -> [1] -> [3]
Девојката му напиша писмо на својот пријател .,Девојката му писмо напиша на својот пријател .,[0] -> [1] -> [3]
Сакам толкава торта колкава што може да ти собере фрижидерот .,толкава торта колкава Сакам што може да ти собере фрижидерот .,[0] -> [1] -> [3]
