sen_str,swapped_sen_str,leaf_rule
अब त एकरा के हिन्दुस्तान में हिट होखला से केहू रोकिए ना सके ।,अब त एकरा के हिन्दुस्तान में होखला हिट से केहू रोकिए ना सके ।,[0] -> [1]
इटली के नागरिकता शायद आजु ले नइखी छोड़ले ।,इटली के नागरिकता शायद ले आजु नइखी छोड़ले ।,[0] -> [1]
अइसन अइसन बाति सोचे - कहे के पड़ेला जे दोसर केहू सपनो में ना सोच सके ।,अइसन अइसन बाति सोचे - कहे के पड़ेला जे दोसर केहू सपनो में सोच ना सके ।,[0] -> [1]
अब त एकरा के हिन्दुस्तान में हिट होखला से केहू रोकिए ना सके ।,अब एकरा त के हिन्दुस्तान में हिट होखला से केहू रोकिए ना सके ।,[0] -> [1]
"पिया परदेस , देवर घरे लईका , सूतल भसुर के जगाईं कइसे का उहा पोह में पड़ल बिरहिनी परेशान बिया कि पिया नाहीं अइले अबकी फगुनवो में ।","पिया परदेस , देवर घरे लईका , सूतल भसुर के जगाईं कइसे का उहा पोह में पड़ल बिरहिनी परेशान बिया कि नाहीं अइले पिया अबकी फगुनवो में ।",[0] -> [1]
हमार माथा ठनकल ।,हमार ठनकल माथा ।,[0] -> [1]
"आ समाज के नाभि ओकरा भासा , ओकरा परम्परा , ओकरा संस्कार , ओकरा उत्सवन में होला ।","आ समाज के नाभि ओकरा भासा , ओकरा , ओकरा संस्कार , ओकरा उत्सवन में होला परम्परा ।",[0] -> [1]
रंगे से त होली हटे आ किसिम किसिम का रंगे से त जिनिगी बनेले ।,रंगे से त हटे होली आ किसिम किसिम का रंगे से त जिनिगी बनेले ।,[0] -> [1]
आउर कुछ लोग त कानूने बनवावे पर आमादा हो गइल बाड़न ।,आउर कुछ लोग त बनवावे कानूने पर आमादा हो गइल बाड़न ।,[0] -> [1]
हम एह रिपोर्टर से पूछनी कि – तोहरा एहसे का कि बारह बरीस छोट से बिआह करे जात बाड़ी कि बड़ से ?,हम एह रिपोर्टर से पूछनी कि – तोहरा एहसे का कि बारह बरीस छोट से बिआह करे बाड़ी जात कि बड़ से ?,[0] -> [1]
"हमरा एह बात पर सभ विश्वास ना कर पाई , ई हम जानतानी बाकिर हमरा विश्वास में आजुओ कवनो कमी नइखे आइल ।","हमरा एह बात पर सभ विश्वास ना कर पाई , हम जानतानी ई बाकिर हमरा विश्वास में आजुओ कवनो कमी नइखे आइल ।",[0] -> [1]
