sen_str,swapped_sen_str,leaf_rule
"Revêtues d' un lourd furisode protecteur dont seul émerge parfois un pied nu , elles se distinguent par leur silhouette sculpturale , vigoureusement dessinée d' un trait quasi calligraphique , ainsi que par leur expression lointaine et pensive .","Revêtues d' un lourd furisode protecteur seul émerge dont parfois un pied nu , elles se distinguent par leur silhouette sculpturale , vigoureusement dessinée d' un trait quasi calligraphique , ainsi que par leur expression lointaine et pensive .",[0] -> [1] -> [2] -> [3]
"D' autre part , le rôle joué par l' Algérie dans la décolonisation de le continent africain a été mis en évidence par les participants qui ont focalisé sur l' aide dont ont bénéficié les différents mouvements de libération en Afrique de la part de l' Algérie .","D' autre part , le rôle joué par l' Algérie dans la décolonisation de le continent africain a été mis en évidence par les participants qui ont focalisé sur l' aide ont bénéficié dont les différents mouvements de libération en Afrique de la part de l' Algérie .",[0] -> [1] -> [2] -> [3]
La place où se trouve cette statuette est un haut lieu de rendez-vous .,La place se trouve où cette statuette est un haut lieu de rendez-vous .,[0] -> [1] -> [2] -> [3]
"Pour remédier à cela , les Chinois conduisaient d' abord le gaz dans un grand réservoir en bois de forme conique , placé 3 m sous le niveau de le sol , où un autre conduit amenait l' air .","Pour remédier à cela , les Chinois conduisaient d' abord le gaz dans un grand réservoir en bois de forme conique , placé 3 m sous le niveau de le sol , un autre conduit amenait où l' air .",[0] -> [1] -> [2] -> [3]
"Selon lui , « ceci est analogue à la manière dont le crime , dont la définition substantive engendre de telles difficultés , est défini comme une action punie par des sanctions publiques » .","Selon lui , « ceci est analogue à la manière le crime , dont la définition substantive engendre de telles difficultés , est défini dont comme une action punie par des sanctions publiques » .",[0] -> [1] -> [2] -> [3]
"Récompensé par l' Institut de France , il est membre de la Royal Society ( élu le 5 juin 1890 ) et de la Société linnéenne de Londres dont il reçoit la médaille d' or en 1906 .","Récompensé par l' Institut de France , il est membre de la Royal Society ( élu le 5 juin 1890 ) et de la Société linnéenne de Londres il reçoit dont la médaille d' or en 1906 .",[0] -> [1] -> [2] -> [3]
"Dès le Ve siècle , à Chantelle , sur les bords de la Bouble , existaient un château fort et une église dédiée à saint Vincent , dont s' empare Pépin le Bref à le VIIIe siècle .","Dès le Ve siècle , à Chantelle , sur les bords de la Bouble , existaient un château fort et une église dédiée à saint Vincent , s' empare dont Pépin le Bref à le VIIIe siècle .",[0] -> [1] -> [2] -> [3]
Elle est endémique en Australie où on la trouve essentiellement dans les régions rocheuses à le nord-est de le pays Kimberley et partie adjacente de le Territoire de le Nord .,Elle est endémique en Australie on la trouve où essentiellement dans les régions rocheuses à le nord-est de le pays Kimberley et partie adjacente de le Territoire de le Nord .,[0] -> [1] -> [2] -> [3]
"2 . De plus , il ne sera fait aucune distinction fondée sur le statut politique , juridique ou international de le pays ou de le territoire dont une personne est ressortissante , que ce pays ou territoire soit indépendant , sous tutelle , non autonome ou soumis à une limitation quelconque de souveraineté .","2 . De plus , il ne sera fait aucune distinction fondée sur le statut politique , juridique ou international de le pays ou de le territoire une personne est ressortissante dont , que ce pays ou territoire soit indépendant , sous tutelle , non autonome ou soumis à une limitation quelconque de souveraineté .",[0] -> [1] -> [2] -> [3]
"De même , il ne sera infligé aucune peine plus forte que celle qui était applicable à le moment où l' acte délictueux a été commis .","De même , il ne sera infligé aucune peine plus forte que celle qui était applicable à le moment l' acte délictueux a été commis où .",[0] -> [1] -> [2] -> [3]
