sen_str,swapped_sen_str,leaf_rule
പെൺകുട്ടി തന്റെ സുഹൃത്തിന് കത്ത് എഴുതി .,പെൺകുട്ടി തന്റെ സുഹൃത്തിന് എഴുതി കത്ത് .,[0] -> [1]
ടിപി ചന്ദ്രശേഖരൻ വധക്കേസ് പ്രതി കുഞ്ഞനന്തന് നിരന്തരം പരോൾ അനുവദിക്കുന്നതിൽ പ്രതിഷേധം .,ടിപി ചന്ദ്രശേഖരൻ വധക്കേസ് പ്രതി കുഞ്ഞനന്തന് അനുവദിക്കുന്നതിൽ നിരന്തരം പരോൾ പ്രതിഷേധം .,[0] -> [1]
സമൂഹത്തിൽ മാന്യത നിലനിർത്തി പ്രൊഫഷണൽ വൈദഗ്ധ്യത്തോടെ മനസ്സാന്നിധ്യം കൈവിടാതെ ആണ് ഓരോ കൊലപാതകം ഉം നടത്തിയത് .,സമൂഹത്തിൽ മാന്യത നിലനിർത്തി പ്രൊഫഷണൽ വൈദഗ്ധ്യത്തോടെ മനസ്സാന്നിധ്യം കൈവിടാതെ ആണ് നടത്തിയത് ഓരോ കൊലപാതകം ഉം .,[0] -> [1]
കഴിഞ്ഞ വർഷം ജൂലൈ 24 ന് ആണ് കൊളീജിയം ശുപാർശ നൽകുന്നത് .,കഴിഞ്ഞ വർഷം ജൂലൈ 24 ന് ആണ് കൊളീജിയം നൽകുന്നത് ശുപാർശ .,[0] -> [1]
"ഭൂപരിഷ്‌കരണം , വിദ്യാഭ്യാസത്തിന്റെ ഉം ആരോഗ്യ സംരക്ഷണത്തിന്റെ ഉം വ്യാപനം , വികേന്ദ്രീകൃതാസൂത്രണം , പെൻഷൻ പദ്ധതികൾ , പൊതുവിതരണ സമ്പ്രദായം , കുടുംബശ്രീ , ആസൂത്രണ പദ്ധതികൾ എന്നിവ കേരളത്തിലെ ഗ്രാമനഗര പ്രദേശങ്ങളിലെ ദാരിദ്ര്യത്തിന്റെ തോത് കുറക്കുന്നതിൽ ഫലപ്രദമായ പങ്ക് വഹിച്ചിട്ടുണ്ട് .","ഭൂപരിഷ്‌കരണം , വിദ്യാഭ്യാസത്തിന്റെ ഉം ആരോഗ്യ സംരക്ഷണത്തിന്റെ ഉം വ്യാപനം , വികേന്ദ്രീകൃതാസൂത്രണം , പെൻഷൻ പദ്ധതികൾ , പൊതുവിതരണ സമ്പ്രദായം , കുടുംബശ്രീ , ആസൂത്രണ പദ്ധതികൾ എന്നിവ വഹിച്ചിട്ടുണ്ട് കേരളത്തിലെ ഗ്രാമനഗര പ്രദേശങ്ങളിലെ ദാരിദ്ര്യത്തിന്റെ തോത് കുറക്കുന്നതിൽ ഫലപ്രദമായ പങ്ക് .",[0] -> [1]
മനോജിന്റെ മൊഴികളിൽ വൈരുദ്ധ്യം നിറയുന്നു ; വാസുവിനെ കൊന്ന് കെട്ടി തൂകിയത് ആണ് എന്ന നിഗമനത്തിലേക്ക് അന്വേഷണ സംഘം ; ആന വേട്ട കേസില്‍ പിഴവ് പറ്റിയിട്ടില്ലാ എന്ന ഉറച്ച് വനംവകുപ്പിന്റെ നീക്കങ്ങൾ,മനോജിന്റെ മൊഴികളിൽ വൈരുദ്ധ്യം നിറയുന്നു ; കൊന്ന് കെട്ടി തൂകിയത് വാസുവിനെ ആണ് എന്ന നിഗമനത്തിലേക്ക് അന്വേഷണ സംഘം ; ആന വേട്ട കേസില്‍ പിഴവ് പറ്റിയിട്ടില്ലാ എന്ന ഉറച്ച് വനംവകുപ്പിന്റെ നീക്കങ്ങൾ,[0] -> [1]
സമൂഹത്തിൽ മാന്യത നിലനിർത്തി പ്രൊഫഷണൽ വൈദഗ്ധ്യത്തോടെ മനസ്സാന്നിധ്യം കൈവിടാതെ ആണ് ഓരോ കൊലപാതകം ഉം നടത്തിയത് .,സമൂഹത്തിൽ നിലനിർത്തി മാന്യത പ്രൊഫഷണൽ വൈദഗ്ധ്യത്തോടെ മനസ്സാന്നിധ്യം കൈവിടാതെ ആണ് ഓരോ കൊലപാതകം ഉം നടത്തിയത് .,[0] -> [1]
"നിങ്ങളുടെ വാസസ്ഥലത്ത് ആയിരിക്കുമ്പോൾ , നിങ്ങളുടെ വീട്ടിലെ പോളിസിയുടെ ബിസിനസ്സ് ഉപകരണങ്ങളെ മാത്രമേ ഇത് ബാധിക്കുകയുള്ളൂ .","നിങ്ങളുടെ വാസസ്ഥലത്ത് ആയിരിക്കുമ്പോൾ , നിങ്ങളുടെ വീട്ടിലെ മാത്രമേ ഇത് ബാധിക്കുകയുള്ളൂ പോളിസിയുടെ ബിസിനസ്സ് ഉപകരണങ്ങളെ .",[0] -> [1]
അതിനാൽ ഈ തിരഞ്ഞെടുപ്പുഫലം ദൈവ കരങ്ങളിൽ നിന്ന ഉം സ്വീകരിച്ച് പുതിയ സർക്കാരിന് കൂടുതൽ ദൈവകൃപ ലഭിക്കുവാൻ നാം പ്രാർത്ഥിക്കണം .,അതിനാൽ ദൈവ കരങ്ങളിൽ നിന്ന ഉം സ്വീകരിച്ച് ഈ തിരഞ്ഞെടുപ്പുഫലം പുതിയ സർക്കാരിന് കൂടുതൽ ദൈവകൃപ ലഭിക്കുവാൻ നാം പ്രാർത്ഥിക്കണം .,[0] -> [1]
തങ്ങളുടെ പ്ലാറ്റ്‌ഫോമിൽ നിന്ന് വ്യാജവാർത്തകളെ പരമാവധി ഒഴിവാക്കി നിർത്തും എന്ന് ഉം കമ്പനി പറഞ്ഞു .,തങ്ങളുടെ പ്ലാറ്റ്‌ഫോമിൽ നിന്ന് പരമാവധി ഒഴിവാക്കി നിർത്തും വ്യാജവാർത്തകളെ എന്ന് ഉം കമ്പനി പറഞ്ഞു .,[0] -> [1]
