sen_str,swapped_sen_str,leaf_rule
"Tad klausimas , ar iš viso buvo metodologiškai tikslinga imties grupes migrantų tyrimams sudaryti iš asmenų , kurie tik pusę metų buvo išvykę , tai pagrindžiant Lietuvoje nusistovėjusia ir statistikoje naudojama tvarka , juolab kad patys autoriai kritikuoja tokį imties sudarymą .","Tad klausimas , ar iš viso buvo metodologiškai tikslinga imties grupes migrantų tyrimams sudaryti iš asmenų , kurie tik pusę metų buvo išvykę , pagrindžiant tai Lietuvoje nusistovėjusia ir statistikoje naudojama tvarka , juolab kad patys autoriai kritikuoja tokį imties sudarymą .",[0] -> [1] -> [2] -> [3] -> [5]
Nebylus nebūna banalus ir jie ( ir jos ? ) tai žino .,Nebylus nebūna banalus ir jie ( ir jos ? ) žino tai .,[0] -> [1] -> [2] -> [3] -> [5]
"Ši svarbių ir originalių įžvalgų kupina monografija ypatinga tuo , kad pirmą kartą Lietuvos akademiniuose baruose bandoma pateikti išsamią , visa apimančią Lietuvos gerovės valstybės raidos analizę , todėl problemos atskleidimo ir atskirų aspektų detalizavimo lygis yra aukštas , o viso darbo apimtis išties įspūdinga .","Ši svarbių ir originalių įžvalgų kupina monografija ypatinga tuo , kad pirmą kartą Lietuvos akademiniuose baruose bandoma pateikti išsamią , apimančią visa Lietuvos gerovės valstybės raidos analizę , todėl problemos atskleidimo ir atskirų aspektų detalizavimo lygis yra aukštas , o viso darbo apimtis išties įspūdinga .",[0] -> [1] -> [2] -> [3] -> [5]
"Vyriausybė turi suprasti , kad ne mokesčių didinimas popieriuje pajamas surinks , o verslas savo įmokomis tai gali padaryti .","Vyriausybė turi suprasti , kad ne mokesčių didinimas popieriuje pajamas surinks , o verslas savo įmokomis gali padaryti tai .",[0] -> [1] -> [2] -> [3] -> [5]
"„ Inovacija – tai gebėjimas naudojant naujus procesus , produktus ar paslaugas naujas idėjas paversti komerciniais rezultatais , ir tą daryti geriau ir greičiau nei konkurentai “ .","„ Inovacija – tai gebėjimas naudojant naujus procesus , produktus ar paslaugas naujas idėjas paversti komerciniais rezultatais , ir daryti tą geriau ir greičiau nei konkurentai “ .",[0] -> [1] -> [2] -> [3] -> [5]
"Man neįdomu , kuris tai padarė , prieš tai kambarį radote sutvarkytą , tad dabar abiem teks tai sutvarkyti . “","Man neįdomu , kuris padarė tai , prieš tai kambarį radote sutvarkytą , tad dabar abiem teks tai sutvarkyti . “",[0] -> [1] -> [2] -> [3] -> [5]
"Ekologiški mėsos , pieno produktai , daržovės , uogos , grūdai , medus turi tai patvirtinančius sertifikatus .","Ekologiški mėsos , pieno produktai , daržovės , uogos , grūdai , medus turi patvirtinančius tai sertifikatus .",[0] -> [1] -> [2] -> [3] -> [5]
"Įprasta situacija : mama randa ant stalo paliktą krūvą saldainių popieriukų ir vaikų klausia , kas tai padarė ?","Įprasta situacija : mama randa ant stalo paliktą krūvą saldainių popieriukų ir vaikų klausia , kas padarė tai ?",[0] -> [1] -> [2] -> [3] -> [5]
"Paraišką suteikti kandidatės statusą šių metų vasarį padavė Juodkalnija , jos prašymas svarstomas , o Albanija ketina tai padaryti jau šį mėnesį .","Paraišką suteikti kandidatės statusą šių metų vasarį padavė Juodkalnija , jos prašymas svarstomas , o Albanija ketina padaryti tai jau šį mėnesį .",[0] -> [1] -> [2] -> [3] -> [5]
"Dar blogiau , jei užsimojame tai padaryti pačios , be niekieno pagalbos , per savaitgalį ir taip tobulai , tarsi svečiai rinktųsi ne kalėdoti , o ieškoti dulkių ant palangių .","Dar blogiau , jei užsimojame padaryti tai pačios , be niekieno pagalbos , per savaitgalį ir taip tobulai , tarsi svečiai rinktųsi ne kalėdoti , o ieškoti dulkių ant palangių .",[0] -> [1] -> [2] -> [3] -> [5]
