sen_str,swapped_sen_str,leaf_rule
Karaniwan ito sa mga bukal na malapit sa maiinit na bato sa ilalim ng lupa .,ito Karaniwan sa mga bukal na malapit sa maiinit na bato sa ilalim ng lupa .,[0] -> [8]
Mabuti sana ang ani .,ang ani Mabuti sana .,[0] -> [8]
Napakaano nila ?,nila Napakaano ?,[0] -> [8]
Malapit sa babae ang bata .,ang bata Malapit sa babae .,[0] -> [8]
Puti -ng - puti ang mukha niya at kulay asul ang kulot niya -ng buhok .,Puti -ng - puti ang mukha niya at ang kulot niya -ng buhok kulay asul .,[0] -> [8]
Kapaki-pakinabang pa ang bawat isa .,ang bawat isa Kapaki-pakinabang pa .,[0] -> [8]
Pula rin ang ilong niya .,ang ilong niya Pula rin .,[0] -> [8]
May mga bukal na mainit ang tubig !,May mga bukal na ang tubig mainit !,[0] -> [8]
"Nang malapit na kami sa plasa , may inilabas naman siya -ng makulay na bulaklak .","Nang kami malapit na sa plasa , may inilabas naman siya -ng makulay na bulaklak .",[0] -> [8]
Mabuti ang panahon .,ang panahon Mabuti .,[0] -> [8]
Napakahalaga ng Maria Cristina Falls sa Mindanao .,ng Maria Cristina Falls Napakahalaga sa Mindanao .,[0] -> [8]
Bagong - bago ang bahay .,Bagong - ang bahay bago .,[0] -> [8]
Bago ang bahay .,ang bahay Bago .,[0] -> [8]
Tila ang bango ng bulaklak dahil napapikit siya at napangiti .,Tila ang ng bulaklak bango dahil napapikit siya at napangiti .,[0] -> [8]
Napakataas nila .,nila Napakataas .,[0] -> [8]
Mabuti kaya ang ani ?,ang ani Mabuti kaya ?,[0] -> [8]
Pagod ang bata .,ang bata Pagod .,[0] -> [8]
Interesante ang diyaryong binasa ng lalaki .,ang diyaryong binasa ng lalaki Interesante .,[0] -> [8]
Matamis ang kendi .,ang kendi Matamis .,[0] -> [8]
Maganda ang babae .,ang babae Maganda .,[0] -> [8]
Mabuti ba ang ani ?,ang ani Mabuti ba ?,[0] -> [8]
"Nabuo ang lawa -ng ito dahil sa isa -ng pagsabog ng bulkan , ilan -ng daan -ng taon na ang nakaraan .","Nabuo ang lawa -ng ito dahil sa isa -ng pagsabog ng bulkan , ilan -ng daan -ng ang nakaraan taon na .",[0] -> [8]
Pambihira talaga ang mga anyong - tubig sa Pilipinas !,ang mga anyong - tubig sa Pilipinas Pambihira talaga !,[0] -> [8]
Malapit sa Maynila ang Pasay City .,ang Pasay City Malapit sa Maynila .,[0] -> [8]
Malapit kay Maria si Juan .,si Juan Malapit kay Maria .,[0] -> [8]
Napakalaki ng sapatos niya -ng pula !,ng sapatos niya -ng pula Napakalaki !,[0] -> [8]
Kakaiba talaga ang araw na ito !,ang araw na ito Kakaiba talaga !,[0] -> [8]
Matalino ang lalaking bumasa ng diyaryo .,ang lalaking bumasa ng diyaryo Matalino .,[0] -> [8]
Puti -ng - puti ang mukha niya at kulay asul ang kulot niya -ng buhok .,Puti -ng - ang mukha niya puti at kulay asul ang kulot niya -ng buhok .,[0] -> [8]
Komika si Linda .,si Linda Komika .,[0] -> [8]
