sen_str,swapped_sen_str,leaf_rule
ଏଥର ଫିଲ୍ମରେ ଟାଇଗରଙ୍କ ସହ ବାପା ଜ୍ୟାକି ଶ୍ରଫ ମଧ୍ୟ ନଜର ଆସିବେ ।,ଏଥର ଫିଲ୍ମରେ ଟାଇଗରଙ୍କ ସହ ବାପା ଜ୍ୟାକି ଶ୍ରଫ ମଧ୍ୟ ଆସିବେ ନଜର ।,[0] -> [1]
ସ୍ଥାନୀୟ କୋର୍ଟ ସେମାନଙ୍କ ଜାମିନ ନାମଞ୍ଜୁର କରିବାଫଳରେ ସେମାନଙ୍କୁ ଜେଲ ହାଜତକୁ ପଠାଇଦିଆଯାଇଛି ।,ସ୍ଥାନୀୟ କୋର୍ଟ ସେମାନଙ୍କ ଜାମିନ ନାମଞ୍ଜୁର କରିବାଫଳରେ ସେମାନଙ୍କୁ ପଠାଇଦିଆଯାଇଛି ଜେଲ ହାଜତକୁ ।,[0] -> [1]
ସାଧାରଣ ସଭାରେ ମୁଁ ଯାହା କହିଲି ମୋଦି ତାକୁ ସତ ଭାବିବା ଅନୁଚିତ ।,ସାଧାରଣ ସଭାରେ ମୁଁ କହିଲି ଯାହା ମୋଦି ତାକୁ ସତ ଭାବିବା ଅନୁଚିତ ।,[0] -> [1]
ଖବର ପାଇ ପୁଲିସ ଘଟଣାସ୍ଥଳରେ ପହଞ୍ଚି ମୃତଦେହ ଜବତ କରି ଘଟଣାର ତଦନ୍ତ ଚଳାଇଛି ।,ଖବର ପାଇ ପୁଲିସ ଘଟଣାସ୍ଥଳରେ ପହଞ୍ଚି ମୃତଦେହ ଜବତ କରି ଚଳାଇଛି ଘଟଣାର ତଦନ୍ତ ।,[0] -> [1]
ଏହି ପ୍ରସଙ୍ଗକୁ ନେଇ ଉଭୟ ଉଭୟଙ୍କୁ କଟାକ୍ଷ କରୁଛନ୍ତି ।,ଏହି ପ୍ରସଙ୍ଗକୁ ନେଇ ଉଭୟ ଉଭୟଙ୍କୁ କରୁଛନ୍ତି କଟାକ୍ଷ ।,[0] -> [1]
ତାଙ୍କ ମୃତ୍ୟୁ ଖବର ଜଣାପଡିବା ପରେ ପ୍ରଧାନମନ୍ତ୍ରୀ ନରେନ୍ଦ୍ର ମୋଦି ଟ୍ୱିଟ କରି ଶୋକବ୍ୟକ୍ତ କରିଛନ୍ତି ।,ତାଙ୍କ ମୃତ୍ୟୁ ଖବର ଜଣାପଡିବା ପରେ ପ୍ରଧାନମନ୍ତ୍ରୀ ନରେନ୍ଦ୍ର ମୋଦି ଟ୍ୱିଟ କରି କରିଛନ୍ତି ଶୋକବ୍ୟକ୍ତ ।,[0] -> [1]
କିନ୍ତୁ କୁଟିଳତା ବା ଅବିଶ୍ବସ୍ତତାକୁ ମଧ୍ଯ ସେ ଘୂଣା କରେ ।,କିନ୍ତୁ ମଧ୍ଯ ସେ ଘୂଣା କରେ କୁଟିଳତା ବା ଅବିଶ୍ବସ୍ତତାକୁ ।,[0] -> [1]
ବଜ୍ରପାତର ଅନେକ କାରଣ ରହିଛି ।,ବଜ୍ରପାତର ରହିଛି ଅନେକ କାରଣ ।,[0] -> [1]
ପ୍ରଶ୍ନ : ମୁଁ ଅନ୍ୟମାନଙ୍କ ସାଙ୍ଗରେ ମିଳାମିଶା କରିପାରିବି କି ?,ପ୍ରଶ୍ନ : ମୁଁ କରିପାରିବି ଅନ୍ୟମାନଙ୍କ ସାଙ୍ଗରେ ମିଳାମିଶା କି ?,[0] -> [1]
ରିପୋର୍ଟ ଲେଖା ହେବା ପର୍ଯ୍ୟନ୍ତ ଏନେଇ ଅଧିକ ଖବର ହସ୍ତଗତ ହୋଇପାରିନାହିଁ ।,ରିପୋର୍ଟ ଲେଖା ହେବା ପର୍ଯ୍ୟନ୍ତ ଅଧିକ ଖବର ହସ୍ତଗତ ହୋଇପାରିନାହିଁ ଏନେଇ ।,[0] -> [1]
ଆସନ୍ତା ନିର୍ବାଚନରେ ବିଜେପି ଓ ଶିବସେନା ମହାରାଷ୍ଟ୍ରରେ ଏକାଠି ଲଢିବାକୁ ନିଷ୍ପତ୍ତି ନେଇଛନ୍ତି ।,ଆସନ୍ତା ନିର୍ବାଚନରେ ବିଜେପି ଓ ଶିବସେନା ମହାରାଷ୍ଟ୍ରରେ ଏକାଠି ନିଷ୍ପତ୍ତି ନେଇଛନ୍ତି ଲଢିବାକୁ ।,[0] -> [1]
ତେବେ ଏକଥା ଆମେ କହୁନାହୁଁ ।,ତେବେ ଆମେ କହୁନାହୁଁ ଏକଥା ।,[0] -> [1]
