sen_str,swapped_sen_str,leaf_rule
"Hùng giật mình : "" Nhưng đó là nhà ông thuê cơ mà ? "" .","Hùng giật mình : "" Nhưng đó là nhà thuê ông cơ mà ? "" .",[0]
"Tiền là công cụ đem lại hạnh phúc , chúng ta cũng phải có phần tích lũy để dành cho tương lai .","Tiền là công cụ đem lại hạnh phúc , cũng phải có chúng ta phần tích lũy để dành cho tương lai .",[0]
"Rồi thư của Người đến : "" cơ hội giải phóng đã đến rồi .","Rồi đến thư của Người : "" cơ hội giải phóng đã đến rồi .",[0]
""" Anh thử gợi ý cho cô ấy nhé ? "" , Thắng hỏi .",""" Anh thử gợi ý cho cô ấy nhé ? "" , hỏi Thắng .",[0]
"Mà chồng có được như người thường đâu , ông này bị tật hai chân .","Mà có được chồng như người thường đâu , ông này bị tật hai chân .",[0]
""" bộ GD - ĐT VN đã tăng cường hai giáo viên sang đây dạy tiếng Việt .",""" đã tăng cường bộ GD - ĐT VN hai giáo viên sang đây dạy tiếng Việt .",[0]
"Năm 1960 , sau phong trào đồng khởi , địch càng tăng cường ruồng bố , tình hình cách mạng càng thêm cam go .","Năm 1960 , sau phong trào đồng khởi , địch càng tăng cường ruồng bố , càng thêm tình hình cách mạng cam go .",[0]
"Cái tên Nguyễn Quang Trung mình đặt cho nó là cũng mong nó khỏe mạnh , giỏi giang như tướng quân Tây Sơn năm nào .","Cái tên Nguyễn Quang Trung đặt mình cho nó là cũng mong nó khỏe mạnh , giỏi giang như tướng quân Tây Sơn năm nào .",[0]
"Nơi đây , chúng tôi nghe những cư dân sống về đêm nhắc đến một biệt danh m . "" khùng "" đầy sự ngang tàng ...","Nơi đây , nghe chúng tôi những cư dân sống về đêm nhắc đến một biệt danh m . "" khùng "" đầy sự ngang tàng ...",[0]
Cục Thủy lợi LBKT bộ Nông nghiệp & Phát triển Nông thôn RBKT dự báo khu vực tây nguyên và Nam bộ có khả năng sẽ thiếu nước ngọt và bị nước mặn xâm nhập trên diện rộng vì từ nay đến tháng 5 - 2004 tổng lượng mưa tại các tỉnh trong khu vực sẽ thiếu hụt so với trung bình nhiều năm cùng thời kỳ .,Cục Thủy lợi LBKT bộ Nông nghiệp & Phát triển Nông thôn RBKT dự báo khu vực tây nguyên và Nam bộ có khả năng sẽ thiếu nước ngọt và bị nước mặn xâm nhập trên diện rộng vì từ nay đến tháng 5 - 2004 sẽ thiếu hụt tổng lượng mưa tại các tỉnh trong khu vực so với trung bình nhiều năm cùng thời kỳ .,[0]
"Và cũng chính vì nỗi đau này , anh đã quyết định đi kiện báo Pháp Luật TP .HCM để đòi lại danh dự cho mình .","Và cũng chính vì nỗi đau này , đã quyết định anh đi kiện báo Pháp Luật TP .HCM để đòi lại danh dự cho mình .",[0]
