sen_str,swapped_sen_str,leaf_rule
आणि जेम्स झाडा जवळ काय करत आहे ?,आणि झाडा जवळ काय करत जेम्स आहे ?,[0] -> [1] -> [2]
भावा ची रक्तबंबाळ झालेली मांडी पाहून बहिणी चे डोळे भरून आले .,भावा ची रक्तबंबाळ झालेली मांडी पाहून भरून बहिणी चे डोळे आले .,[0] -> [1] -> [2]
एकुलता एक मुलगा म्हणून राजा - राणी त्याला जीव की प्राण करित .,एकुलता एक मुलगा म्हणून त्याला जीव की प्राण करित राजा - राणी .,[0] -> [1] -> [2]
"घंटे चा आवाज ऐकून देवी च्या देवळा कडे शेतकरी येऊ लागले , ' कोण मेले ' म्हणून विचारू लागले .","घंटे चा आवाज ऐकून देवी च्या देवळा कडे येऊ लागले शेतकरी , ' कोण मेले ' म्हणून विचारू लागले .",[0] -> [1] -> [2]
""" आढेवेढे नको घेऊस ! "" केशवचंद्र म्हणाले .",""" आढेवेढे नको घेऊस ! "" म्हणाले केशवचंद्र .",[0] -> [1] -> [2]
हे तुझ चे शेत गेले समज आणि तुला पै ही न मिळता .,हे तुझ चे शेत गेले समज आणि पै ही न मिळता तुला .,[0] -> [1] -> [2]
""" टक्केटोणपे खाऊन शहाणा होऊन घरी येईल . """,""" खाऊन टक्केटोणपे शहाणा होऊन घरी येईल . """,[0] -> [1] -> [2]
पाताळा तील सर्पाने राखे वर अमृत शिंपले आणि तो निघून गेला .,पाताळा तील सर्पाने राखे वर अमृत शिंपले आणि निघून तो गेला .,[0] -> [1] -> [2]
""" तुम्हा बायकांना कळत नाही . """,""" कळत तुम्हा बायकांना नाही . """,[0] -> [1] -> [2]
""" बाबा , शेत का तुम्ही विकणार ? """,""" बाबा , शेत का विकणार तुम्ही ? """,[0] -> [1] -> [2]
""" माझ चा देव सर्व जग व्यापून राहिलेला आहे ! """,""" सर्व जग व्यापून माझ चा देव राहिलेला आहे ! """,[0] -> [1] -> [2]
"मग तिला आवाज ऐकू येतो , तो त्या मोठ्या जुन्या झाडा च्या मागून येत आहे .","मग तिला आवाज ऐकू येतो , त्या मोठ्या जुन्या झाडा च्या मागून येत तो आहे .",[0] -> [1] -> [2]
रात्री चौघे भावंडे निघाली .,रात्री निघाली चौघे भावंडे .,[0] -> [1] -> [2]
राजपुत्र परत आलेला पाहून सारे आश्चर्यचकित झाले .,राजपुत्र परत आलेला पाहून आश्चर्यचकित झाले सारे .,[0] -> [1] -> [2]
एका खळखळ वाहणाऱ्या झऱ्या च्या काठी दोघं बसली .,एका खळखळ वाहणाऱ्या झऱ्या च्या काठी बसली दोघं .,[0] -> [1] -> [2]
"तो म्हणाला , दादा , जा व राजाला सांगा की , त्या च्या वडिलांना स्वर्गात करमत नाही .","तो म्हणाला , दादा , जा व राजाला सांगा की , स्वर्गात करमत त्या च्या वडिलांना नाही .",[0] -> [1] -> [2]
वाऱ्या प्रमाणे ती पळत सुटली .,वाऱ्या प्रमाणे पळत ती सुटली .,[0] -> [1] -> [2]
भीमा ची बाजू कोण मांडणार ?,भीमा ची बाजू मांडणार कोण ?,[0] -> [1] -> [2]
"डराव , डराव करून त्याने बेडकांना हाका मारल्या .","डराव , डराव करून बेडकांना हाका मारल्या त्याने .",[0] -> [1] -> [2]
"लाडू खाऊन , पाणी पिऊन तो पुढे निघाला , तर त्याला एक हरिणी दिसली .","लाडू खाऊन , पिऊन पाणी तो पुढे निघाला , तर त्याला एक हरिणी दिसली .",[0] -> [1] -> [2]
""" आपण चोर ठरलो नि चोर मालक ठरला . """,""" चोर ठरलो आपण नि चोर मालक ठरला . """,[0] -> [1] -> [2]
एका सरोवरा च्या काठी चौघे बसली .,एका सरोवरा च्या काठी बसली चौघे .,[0] -> [1] -> [2]
"त्यां ची आई घरात मांजरा बरोबर आहे , ती खिडकी तनं बघते आणि तिला जेम्स आणि मेरी खेळताना दिसतात .","त्यां ची आई घरात मांजरा बरोबर आहे , ती खिडकी तनं बघते आणि तिला खेळताना जेम्स आणि मेरी दिसतात .",[0] -> [1] -> [2]
""" तो आपल चा सत्यानाश केल्या वाचून राहणार नाही ! "" तो म्हणाला .",""" आपल चा सत्यानाश केल्या वाचून राहणार तो नाही ! "" तो म्हणाला .",[0] -> [1] -> [2]
"माझ ची गिधाडी दृष्टी तुला भिकेला लावल्या शिवाय राहणार नाही ! ""","माझ ची गिधाडी दृष्टी भिकेला लावल्या तुला शिवाय राहणार नाही ! """,[0] -> [1] -> [2]
राजा च्या सत्कारसमारंभा साठी आजूबाजू च्या पाचपन्नास कोसां तील शेकडो मोठमोठी माणसे येणार होती .,राजा च्या सत्कारसमारंभा साठी येणार आजूबाजू च्या पाचपन्नास कोसां तील शेकडो मोठमोठी माणसे होती .,[0] -> [1] -> [2]
गावा तली सगळी जमीन तुम्ही या ना त्या मार्गाने आपलीशी केलीत .,गावा तली सगळी जमीन या ना त्या मार्गाने आपलीशी केलीत तुम्ही .,[0] -> [1] -> [2]
"जेम्स पटकन एका मोठ्या , जुन्या झाडा पर्यंत पळतो , तो मेरी पासुन लपत आहे .","जेम्स पटकन एका मोठ्या , जुन्या झाडा पर्यंत पळतो , मेरी पासुन लपत तो आहे .",[0] -> [1] -> [2]
"राजाने खुशमस्कऱ्यास बोलावले व सांगितले , अरे , माझ चे बाबा तुझ ची आठवण काढीत आहेत .","राजाने खुशमस्कऱ्यास बोलावले व सांगितले , अरे , तुझ ची आठवण काढीत माझ चे बाबा आहेत .",[0] -> [1] -> [2]
थकल्या वर दगडा ची उशी करून वडा खाली झोपे .,थकल्या वर करून दगडा ची उशी वडा खाली झोपे .,[0] -> [1] -> [2]
म्हणून मेरीला ति च्या प्रश्नाला काही उत्तर मिळत नाही .,म्हणून ति च्या प्रश्नाला काही उत्तर मिळत मेरीला नाही .,[0] -> [1] -> [2]
तिने त्या पाल्या चा चोळामोळा करून तो पाला आपल चा पदर फाडून जखमे वर बांधला .,तिने त्या पाल्या चा चोळामोळा करून तो पाला फाडून आपल चा पदर जखमे वर बांधला .,[0] -> [1] -> [2]
अंधाऱ्या दरी तील पांढरी फुले तिने तोडली .,अंधाऱ्या दरी तील पांढरी फुले तोडली तिने .,[0] -> [1] -> [2]
""" आईला म्हणाला , ' हजार रुपये घ्या व शेत द्या ! ' आणि मला म्हणाला , ' तुझ च्या बापाला काही कळत नाही . '",""" आईला म्हणाला , ' हजार रुपये घ्या व शेत द्या ! ' आणि मला म्हणाला , ' काही कळत तुझ च्या बापाला नाही . '",[0] -> [1] -> [2]
असे धमकी चे भाषण करून केशवचंद्र निघून गेले .,असे धमकी चे भाषण करून निघून केशवचंद्र गेले .,[0] -> [1] -> [2]
"तिला काही दिसत नाही आहे , आणि ती मोजत आहे .","तिला काही दिसत नाही आहे , आणि मोजत ती आहे .",[0] -> [1] -> [2]
""" आपण उद्या पासून मजूर झालो . "" तो दुःखाने बोलला .",""" उद्या पासून मजूर झालो आपण . "" तो दुःखाने बोलला .",[0] -> [1] -> [2]
ती पटकन कुठेतरी गेली आणि पाला घेऊन आली .,ती पटकन कुठेतरी गेली आणि घेऊन पाला आली .,[0] -> [1] -> [2]
"जुने कागदपत्र सापडले आहेत त्या वरून हे सिद्ध होत आहे , वगैरे त्या चे म्हणणे .","जुने कागदपत्र सापडले आहेत त्या वरून सिद्ध होत हे आहे , वगैरे त्या चे म्हणणे .",[0] -> [1] -> [2]
"आई चा आशीर्वाद घेऊन , ते लाडू घेऊन , धनुष्यबाण आणि तलवार घेऊन तो निघाला .","आई चा आशीर्वाद घेऊन , लाडू घेऊन ते , धनुष्यबाण आणि तलवार घेऊन तो निघाला .",[0] -> [1] -> [2]
"मेरी खिडकी च्या मागे ति च्या आई कडे बघते , ति ची आई हसत आहे .","मेरी खिडकी च्या मागे ति च्या आई कडे बघते , हसत ति ची आई आहे .",[0] -> [1] -> [2]
ती सगळीकडे शोधते पण तिला जेम्स सापडत नाही .,ती सगळीकडे शोधते पण जेम्स सापडत तिला नाही .,[0] -> [1] -> [2]
मुलगा गेल्या पासून राणीला झोप येत नसे .,मुलगा गेल्या पासून झोप येत राणीला नसे .,[0] -> [1] -> [2]
"घरां तून , गच्ची तून लोक बघत होते .","घरां तून , गच्ची तून बघत लोक होते .",[0] -> [1] -> [2]
ति च्या भोवती ति ची पाडसे खेळत होती .,ति च्या भोवती खेळत ति ची पाडसे होती .,[0] -> [1] -> [2]
दोन रत्ने त्यांनी विकली .,दोन रत्ने विकली त्यांनी .,[0] -> [1] -> [2]
"काही अंतर चालून गेल्या वर मागून कोणी तरी माणूस येत आहे , असे त्याला वाटले .","काही अंतर चालून गेल्या वर मागून येत कोणी तरी माणूस आहे , असे त्याला वाटले .",[0] -> [1] -> [2]
त्यां तून ही दोन रत्ने बाहेर निघाली .,त्यां तून ही बाहेर निघाली दोन रत्ने .,[0] -> [1] -> [2]
नटूनथटून श्रीमंत मंडळी आली होती .,नटूनथटून आली श्रीमंत मंडळी होती .,[0] -> [1] -> [2]
पैशाने कोण वश होत नाही !,पैशाने वश होत कोण नाही !,[0] -> [1] -> [2]
आणि वाद्ये वाजू लागली .,आणि वाजू लागली वाद्ये .,[0] -> [1] -> [2]
"त्यां ची आई घरात मांजरा बरोबर आहे , ती खिडकी तनं बघते आणि तिला जेम्स आणि मेरी खेळताना दिसतात .","त्यां ची आई घरात मांजरा बरोबर आहे , ती खिडकी तनं बघते आणि जेम्स आणि मेरी खेळताना दिसतात तिला .",[0] -> [1] -> [2]
""" कोण मेले ? "" म्हाताऱ्या गुरवाने विचारले .",""" कोण मेले ? "" विचारले म्हाताऱ्या गुरवाने .",[0] -> [1] -> [2]
"आई चा आशीर्वाद घेऊन , ते लाडू घेऊन , धनुष्यबाण आणि तलवार घेऊन तो निघाला .","आई चा आशीर्वाद घेऊन , ते लाडू घेऊन , घेऊन धनुष्यबाण आणि तलवार तो निघाला .",[0] -> [1] -> [2]
आईला किती चिंता ते मनात येऊन त्या चे डोळे भरून आले .,आईला किती चिंता ते मनात येऊन भरून त्या चे डोळे आले .,[0] -> [1] -> [2]
त्याने आपल ची बाजू मांडण्या साठी कायदेपंडित ही आणला होता .,त्याने मांडण्या आपल ची बाजू साठी कायदेपंडित ही आणला होता .,[0] -> [4] -> [5]
