sen_str,swapped_sen_str,leaf_rule
તેણે ધુમર્પાન અને મદિરાપાન છોડવાની કોશિશ કરી .,તેણે છોડવાની ધુમર્પાન અને મદિરાપાન કોશિશ કરી .,[0] -> [1] -> [2]
"જ્યાંપણ એને કામ મળશે , એ જશે .","જ્યાંપણ એને મળશે કામ , એ જશે .",[0] -> [1] -> [2]
શું એક છોકરીને સન્માન આપવા ની આ રીત છે ?,શું એક છોકરીને આપવા સન્માન ની આ રીત છે ?,[0] -> [1] -> [2]
"તું એ કામ કરત , તો એ ના થાત .","તું કરત એ કામ , તો એ ના થાત .",[0] -> [1] -> [2]
પેટ્રોલ અને ડીઝલ ની કિંમતોએ સામાન્ય જનતા ના ખિસ્સાને દઝાડવાનું રાખ્યું ચાલુ,પેટ્રોલ અને ડીઝલ ની કિંમતોએ દઝાડવાનું સામાન્ય જનતા ના ખિસ્સાને રાખ્યું ચાલુ,[0] -> [1] -> [2]
"સુકમા _ _ _ _ બદલો લેવાયો , CRPFએ સર્જિકલ સ્ટ્રાઈક કરીને માર્યા 15 નક્સલી","સુકમા _ _ _ _ બદલો લેવાયો , CRPFએ કરીને સર્જિકલ સ્ટ્રાઈક માર્યા 15 નક્સલી",[0] -> [1] -> [2]
અને નાનકડો રાજકુમાર શિયાળને મળવા પાછો ગયો .,અને નાનકડો રાજકુમાર મળવા શિયાળને પાછો ગયો .,[0] -> [1] -> [2]
તેઓ ભાવમાં વધારો થશે તે ની રાહ જોતા રહે છે .,તેઓ થશે ભાવમાં વધારો તે ની રાહ જોતા રહે છે .,[0] -> [1] -> [2]
"આ _ _ રચના કરવા પાઠળનું મુખ્ય કારણ ગુજરાત _ _ પ્રદૂષણ નિયંત્રણ , પર્યાવરણ ઉન્નતિકરણ અને ઇકોલોજીકલ મેનેજમેન્ટ જેવા વ્યાપક પાસાઓને સમાવતી _ _ _ _ હવાલો સંભાળતી સર્વોચ્ચ _ _ રચના _ _ આશય _ _ છે .","આ _ _ રચના કરવા પાઠળનું મુખ્ય કારણ સંભાળતી ગુજરાત _ _ પ્રદૂષણ નિયંત્રણ , પર્યાવરણ ઉન્નતિકરણ અને ઇકોલોજીકલ મેનેજમેન્ટ જેવા વ્યાપક પાસાઓને સમાવતી _ _ _ _ હવાલો સર્વોચ્ચ _ _ રચના _ _ આશય _ _ છે .",[0] -> [1] -> [2]
તેમણે આપણને પાપ અને મરણમાંથી છોડાવવા ઈસુને મોકલ્યા .,તેમણે પાપ અને મરણમાંથી છોડાવવા આપણને ઈસુને મોકલ્યા .,[0] -> [1] -> [2]
"ચૂંટણી પહેલા ભાજપે શિવસેના સાથે સત્તા વહેંચવા નું વચન આપ્યું હતું , પરંતું જો હવે ભાજપ પોતા નું વચનથી પાછળ હટી રહી છે .","ચૂંટણી પહેલા ભાજપે શિવસેના સાથે વહેંચવા સત્તા નું વચન આપ્યું હતું , પરંતું જો હવે ભાજપ પોતા નું વચનથી પાછળ હટી રહી છે .",[0] -> [1] -> [2]
એટલે એ અદબ વાળીને ઉભો રહ્યો .,એટલે એ વાળીને અદબ ઉભો રહ્યો .,[0] -> [1] -> [2]
ટ્રમ્પે _ _ 300 અબજ _ _ આયાત પર પણ ટેક્સ _ _ ધમકી આપી છે .,ટ્રમ્પે _ _ 300 અબજ _ _ આયાત પર પણ _ ટેક્સ _ ધમકી આપી છે .,[0] -> [1] -> [2]
