sen_str,swapped_sen_str,leaf_rule
Tiwa otaa mitahani otaake .,Tiwa mitahani otaa otaake .,[0]
"Yobe e ti naminaba eke , e nafi .","Yobe e ti naminaba eke , nafi e .",[0]
Taha era me hero ni ya me te awahabana faro .,Taha era me hero ni ya me awahabana te faro .,[0]
"Yobe e ti naminaba eke , e nafi .","Yobe ti e naminaba eke , e nafi .",[0]
Tiwa otaa haa na .,Tiwa haa otaa na .,[0]
"Te sawiminahaba teke , te nafi otara te asota naminabone te .","Te sawiminahaba teke , te nafi otara asota te naminabone te .",[0]
Aba tamabote me me tiwari kanemetemone wawasi ya,Aba tamabote me tiwari me kanemetemone wawasi ya,[0]
Yobe e titi kawahi ya e ka ma kabote naba eke .,Yobe e titi kawahi ya ka e ma kabote naba eke .,[0]
Yobe e titi kawahi ya e ka ma kabote naba eke .,Yobe titi e kawahi ya e ka ma kabote naba eke .,[0]
Tiwa otaa mita .,Tiwa mita otaa .,[0]
